index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
16,2021-02-21 07:00:00,566.6,58.36765906779105,555.6597918181566,266.2,78.79,0.394,0.4063,0.4148,0.0323,0.3165,0.2758,56.74,107.78,10.56,0.792,0.0,0.002,0.815,0.001,0.005,0.786,0.023,0.0,0.449,0.059,0.0,0.128,0.093,0.0,0.057,0.03,0.0,0.792004,0.789244756,0.8152689340057792,0.808301074,0.791610482132921,0.790351232,0.46339210634097117,0.46016185600000004,0.15068586253746302,0.145594112,0.06431802017337518,0.06267552,33.370515051113955
18,2021-03-21 03:00:00,515.6,63.272685231587666,456.685697679959,275.4,30.84,0.1965,0.2018,0.2313,0.0468,0.1423,0.1123,56.74,111.32,10.56,0.079,0.035,0.009,0.192,0.088,0.022,0.223,0.123,0.02,0.257,0.097,0.039,0.294,0.129,0.035,0.236,0.076,0.038,0.09028431102854152,0.07322284200000001,0.22065232487176156,0.178340508,0.2627716359003031,0.218717192,0.2895701762791008,0.22162358999999998,0.33651720350519587,0.27018796599999995,0.2617711896619759,0.198028348,35.1563559365874
19,2021-03-21 04:00:00,623.6,55.45824422907616,598.425256798019,276.53,31.27,0.2518,0.255,0.2753,0.0475,0.171,0.1355,56.74,109.54,10.56,0.079,0.035,0.009,0.192,0.088,0.022,0.223,0.123,0.02,0.257,0.097,0.039,0.294,0.129,0.035,0.236,0.076,0.038,0.08625082708258171,0.07322284200000001,0.21051099380763402,0.178340508,0.24859682089021573,0.218717192,0.2783916636288693,0.22162358999999998,0.3216509341043725,0.27018796599999995,0.25301276737932027,0.198028348,20.236650972859394
20,2021-03-21 05:00:00,718.3,49.76881037135097,694.1870874045401,276.52,34.32,0.2818,0.2943,0.3073,0.05,0.1913,0.1553,56.74,106.38,10.56,0.079,0.035,0.009,0.192,0.088,0.022,0.223,0.123,0.02,0.257,0.097,0.039,0.294,0.129,0.035,0.236,0.076,0.038,0.0839969972147485,0.07322284200000001,0.2048442215685105,0.178340508,0.240676218783259,0.218717192,0.27214533513801725,0.22162358999999998,0.3133439611629301,0.27018796599999995,0.24811873680916816,0.198028348,2.7192908499412454
21,2021-03-21 06:00:00,763.6,47.07959303382953,736.891049761911,276.5,37.38,0.2803,0.294,0.3055,0.0435,0.1878,0.149,56.74,102.14,10.56,0.079,0.035,0.009,0.192,0.088,0.022,0.223,0.123,0.02,0.257,0.097,0.039,0.294,0.129,0.035,0.236,0.076,0.038,0.0831110505577204,0.07322284200000001,0.20261669854512562,0.178340508,0.23756274910284603,0.218717192,0.269689997259968,0.22162358999999998,0.3100786149127409,0.27018796599999995,0.24619496692533574,0.198028348,17.06131676358936
22,2021-03-21 07:00:00,715.6,47.93661338268674,723.4712774220882,276.48999999999995,40.44,0.254,0.2665,0.2818,0.0418,0.173,0.1348,56.74,97.12,10.56,0.079,0.035,0.009,0.192,0.088,0.022,0.223,0.123,0.02,0.257,0.097,0.039,0.294,0.129,0.035,0.236,0.076,0.038,0.08338156684894266,0.07322284200000001,0.20329685379162726,0.178340508,0.23851342064056993,0.218717192,0.27043971383849824,0.22162358999999998,0.3110756606718172,0.27018796599999995,0.24678237372913261,0.198028348,37.42489888743623
23,2021-03-21 08:00:00,628.2,52.15323264256267,654.9104143987093,277.09999999999997,37.98,0.209,0.2233,0.2465,0.0513,0.1628,0.126,56.74,91.62,10.56,0.079,0.035,0.009,0.192,0.088,0.022,0.223,0.123,0.02,0.257,0.097,0.039,0.294,0.129,0.035,0.236,0.076,0.038,0.0848765473376435,0.07322284200000001,0.20705566187750366,0.178340508,0.24376720921514713,0.218717192,0.27458294547861195,0.22162358999999998,0.316585731615886,0.27018796599999995,0.25002861707602586,0.198028348,56.25685645959675
25,2021-03-25 09:00:00,537.4,57.777234315625634,554.6646709697825,278.83,41.61,0.1458,0.1433,0.151,0.0413,0.1643,0.1338,56.74,84.44,10.56,0.084,0.037,0.009,0.184,0.085,0.021,0.222,0.123,0.02,0.259,0.098,0.04,0.296,0.13,0.035,0.251,0.081,0.04,0.09279998645387472,0.07860121,0.20447110401565813,0.171150578,0.25138473875207,0.217717192,0.28369353168864114,0.222435152,0.32785927672983006,0.27237714999999996,0.2716875108855095,0.211219024,73.78405290804491
26,2021-03-26 04:00:00,608.5,53.53808389868754,627.7514839429548,279.15,44.43,0.3825,0.38,0.3875,0.0648,0.152,0.1377,56.74,107.52,10.56,0.085,0.038,0.009,0.159,0.152,0.008,0.241,0.19,0.044,0.271,0.102,0.042,0.28,0.123,0.033,0.27,0.087,0.043,0.09197406726532885,0.07979039400000001,0.1866362690613154,0.176734992,0.2774013363266442,0.21632959200000001,0.2912664437121985,0.23243664400000003,0.3034007703588276,0.25780810600000004,0.28763049610746344,0.22722126200000003,20.944450691800483
27,2021-03-27 06:00:00,743.4,44.69623248937584,768.167370227617,275.31,82.76,0.2928,0.2515,0.2773,0.0338,0.265,0.2418,56.74,99.76,10.56,0.085,0.038,0.009,0.16,0.149,0.009,0.241,0.187,0.044,0.272,0.103,0.042,0.281,0.123,0.033,0.271,0.087,0.043,0.08870040384019591,0.07979039400000001,0.17427287295234709,0.175789818,0.260747276792543,0.21576204,0.28357448935632046,0.23362582799999998,0.2938044387458973,0.25880810600000004,0.28113552984465906,0.22822126200000004,17.493245692910335
28,2021-03-28 03:00:00,527.4,60.71977159221016,499.4508633351196,278.84,56.65,0.2138,0.208,0.2378,0.041,0.2278,0.1993,56.74,108.52,10.56,0.085,0.038,0.009,0.16,0.145,0.009,0.241,0.183,0.044,0.272,0.103,0.042,0.282,0.123,0.033,0.272,0.088,0.043,0.09567519149895877,0.07979039400000001,0.20050620440392164,0.17503308199999998,0.2939553959028804,0.215005304,0.3024798348524409,0.23362582799999998,0.3173807251150507,0.2598081059999999,0.2983829171554835,0.22941044600000005,36.464527601811454
29,2021-03-28 04:00:00,667.9,52.775307358760756,639.1176882429716,280.77,51.66,0.2725,0.2798,0.2845,0.0618,0.2423,0.21,56.74,106.74,10.56,0.085,0.038,0.009,0.16,0.145,0.009,0.241,0.183,0.044,0.272,0.103,0.042,0.282,0.123,0.033,0.272,0.088,0.043,0.09163888641386568,0.07979039400000001,0.18510451394764535,0.17503308199999998,0.274517400361511,0.215005304,0.2915393237007412,0.23362582799999998,0.3043158428659336,0.2598081059999999,0.28903568432684684,0.22941044600000005,21.233409862062814
30,2021-03-28 05:00:00,733.2,46.98237120215183,732.6348406204023,281.63,46.9,0.285,0.298,0.3113,0.0368,0.351,0.321,56.74,103.6,10.56,0.085,0.038,0.009,0.16,0.145,0.009,0.241,0.183,0.044,0.272,0.103,0.042,0.282,0.123,0.033,0.272,0.088,0.043,0.08942390765896546,0.07979039400000001,0.1766526213302629,0.17503308199999998,0.26385052898922834,0.215005304,0.28553556549666953,0.23362582799999998,0.2971463063698092,0.2598081059999999,0.2839062598418147,0.22941044600000005,3.1089991184576604
31,2021-03-28 06:00:00,750.5,44.30183332712959,773.1699062253219,282.5,42.14,0.1835,0.1848,0.22,0.0315,0.2795,0.228,56.74,99.36,10.56,0.085,0.038,0.009,0.16,0.145,0.009,0.241,0.183,0.044,0.272,0.103,0.042,0.282,0.123,0.033,0.272,0.088,0.043,0.08858365144277046,0.07979039400000001,0.1734463805053083,0.17503308199999998,0.2598040319480788,0.215005304,0.2832580289106673,0.23362582799999998,0.29442652967002014,0.2598081059999999,0.28196040334115263,0.22941044600000005,17.56938559825025
33,2021-04-13 02:00:00,455.9,64.64967482389386,416.7112415019085,280.25,27.19,0.119,0.1063,0.1185,0.0303,0.1668,0.1455,56.74,102.8,10.56,0.123,0.065,0.029,0.233,0.117,0.054,0.274,0.184,0.039,0.331,0.182,0.06,0.364,0.182,0.061,0.361,0.134,0.082,0.14619601974046567,0.095345922,0.2761550355328382,0.18074294000000002,0.338802902034549,0.255082598,0.3971940552733039,0.28277416800000005,0.4303150552733038,0.314396546,0.41380973300342155,0.273385652,52.831920886376764
34,2021-04-13 03:00:00,638.3,55.175238485127856,586.5764331627198,282.88,22.07,0.1465,0.1523,0.1868,0.031,0.2315,0.2138,56.74,102.4,10.56,0.123,0.065,0.029,0.233,0.117,0.054,0.274,0.184,0.039,0.331,0.182,0.06,0.364,0.182,0.061,0.361,0.134,0.082,0.13692425058837088,0.095345922,0.25946585105906755,0.18074294000000002,0.31255666320400366,0.255082598,0.3712331016474384,0.28277416800000005,0.40435410164743835,0.314396546,0.3946956242898722,0.273385652,39.63327269013027
35,2021-04-13 04:00:00,769.1,46.92475094484261,720.4649696024098,285.5,16.95,0.1648,0.187,0.2378,0.0328,0.3025,0.2748,56.74,100.58,10.56,0.123,0.065,0.029,0.233,0.117,0.054,0.274,0.184,0.039,0.331,0.182,0.06,0.364,0.182,0.061,0.361,0.134,0.082,0.1312367545020234,0.095345922,0.24922835810364216,0.18074294000000002,0.2964566742826509,0.255082598,0.3553081126056655,0.28277416800000005,0.3884291126056655,0.314396546,0.3829706323580175,0.273385652,23.752823564303668
36,2021-04-13 05:00:00,854.7,40.86890145788694,808.3637853213093,286.40999999999997,15.3,0.1785,0.1998,0.2595,0.0323,0.336,0.3093,56.74,97.44,10.56,0.123,0.065,0.029,0.233,0.117,0.054,0.274,0.184,0.039,0.331,0.182,0.06,0.364,0.182,0.061,0.361,0.134,0.082,0.12825698370184715,0.095345922,0.24386477066332485,0.18074294000000002,0.2880216307867673,0.255082598,0.346964754365172,0.28277416800000005,0.38008575436517195,0.314396546,0.3768277202468849,0.273385652,4.1679229382638425
37,2021-04-13 06:00:00,887.1,38.20139356533031,843.9633849604197,287.33,13.65,0.1753,0.1973,0.2525,0.0333,0.3265,0.3005,56.74,93.26,10.56,0.123,0.065,0.029,0.233,0.117,0.054,0.274,0.184,0.039,0.331,0.182,0.06,0.364,0.182,0.061,0.361,0.134,0.082,0.12722337738312475,0.095345922,0.24200427928962456,0.18074294000000002,0.2850957298229993,0.255082598,0.34407065667274933,0.28277416800000005,0.3771916566727493,0.314396546,0.3746969010667495,0.273385652,18.824119845316062
38,2021-04-13 07:00:00,861.2,39.659220622934754,824.7538720710902,288.23999999999995,12.01,0.159,0.18,0.233,0.0315,0.2975,0.2697,56.74,88.3,10.56,0.123,0.065,0.029,0.233,0.117,0.054,0.274,0.184,0.039,0.331,0.182,0.06,0.364,0.182,0.061,0.361,0.134,0.082,0.12776847894110224,0.095345922,0.24298546209398406,0.18074294000000002,0.28663878654096636,0.255082598,0.3455969410350863,0.28277416800000005,0.37871794103508627,0.314396546,0.3758206488939646,0.273385652,42.38503233066561
39,2021-04-13 08:00:00,772.6,44.81777276126429,752.1187649265213,288.64,11.33,0.1443,0.1493,0.1828,0.0305,0.2365,0.226,56.74,82.84,10.56,0.123,0.065,0.029,0.233,0.117,0.054,0.274,0.184,0.039,0.331,0.182,0.06,0.364,0.182,0.061,0.361,0.134,0.082,0.13009443248852315,0.095345922,0.24717217847934164,0.18074294000000002,0.29322302427520397,0.255082598,0.35210961096786475,0.28277416800000005,0.3852306109678647,0.314396546,0.3806156915917246,0.273385652,63.132945468195516
40,2021-04-13 09:00:00,635.1,52.52046000740967,631.2785678628662,289.03999999999996,10.65,0.1253,0.1248,0.148,0.0305,0.1993,0.1805,56.74,77.24,10.56,0.123,0.065,0.029,0.233,0.117,0.054,0.274,0.184,0.039,0.331,0.182,0.06,0.364,0.182,0.061,0.361,0.134,0.082,0.13487089703810912,0.095345922,0.2557698146685964,0.18074294000000002,0.30674409315403195,0.255082598,0.36548371170670546,0.28277416800000005,0.3986047117067054,0.314396546,0.39046255697087107,0.273385652,80.04756771119264
41,2021-04-13 10:00:00,460.1,61.69755603076517,471.1537699435234,289.44,9.97,0.098,0.0908,0.0885,0.0278,0.1503,0.1285,56.74,71.8,10.56,0.123,0.065,0.029,0.233,0.117,0.054,0.274,0.184,0.039,0.331,0.182,0.06,0.364,0.182,0.061,0.361,0.134,0.082,0.14296259400977387,0.095345922,0.2703348692175929,0.18074294000000002,0.3296498199661291,0.255082598,0.3881404632273668,0.28277416800000005,0.42126146322736674,0.314396546,0.40714390149707225,0.273385652,93.93301330156257
43,2021-04-14 02:00:00,444.9,64.33884559108586,421.8987512863802,276.02,53.57,0.1195,0.1075,0.1143,0.0275,0.169,0.1458,56.74,102.44,10.56,0.122,0.068,0.028,0.233,0.127,0.054,0.281,0.201,0.042,0.336,0.2,0.063,0.364,0.194,0.06,0.37,0.14,0.088,0.14579842725764794,0.09629109599999999,0.2788988273782542,0.18263478,0.35079193939392994,0.26116586,0.4076584919342587,0.28704661400000003,0.4332588071762309,0.318044376,0.42512664435398106,0.275255024,53.047113556197104
44,2021-04-14 03:00:00,629.3,54.85094112920508,591.3962342559261,278.65999999999997,46.03,0.1488,0.1523,0.1855,0.029,0.2345,0.2118,56.74,102.04,10.56,0.122,0.068,0.028,0.233,0.127,0.054,0.281,0.201,0.042,0.336,0.2,0.063,0.364,0.194,0.06,0.37,0.14,0.088,0.13619613699233274,0.09629109599999999,0.26096513820626843,0.18263478,0.3224086990508659,0.26116586,0.3794164617421551,0.28704661400000003,0.4058640378898904,0.318044376,0.4053572232195085,0.275255024,39.841433317850345
45,2021-04-14 04:00:00,763.2,46.58073047400678,724.9035850225102,281.29999999999995,38.48,0.177,0.187,0.23,0.036,0.2765,0.2455,56.74,100.2,10.56,0.122,0.068,0.028,0.233,0.127,0.054,0.281,0.201,0.042,0.336,0.2,0.063,0.364,0.194,0.06,0.37,0.14,0.088,0.13031753694286274,0.09629109599999999,0.249985988113876,0.18263478,0.3050322489046384,0.26116586,0.3621264615966551,0.28704661400000003,0.38909273774875547,0.318044376,0.39325422311765856,0.275255024,23.92549929728048
46,2021-04-14 05:00:00,840.9,40.50651509554742,812.4552474558662,282.73999999999995,32.99,0.1818,0.1958,0.252,0.0313,0.3253,0.2923,56.74,97.08,10.56,0.122,0.068,0.028,0.233,0.127,0.054,0.281,0.201,0.042,0.336,0.2,0.063,0.364,0.194,0.06,0.37,0.14,0.088,0.1272470206477357,0.09629109599999999,0.24425134738621224,0.18263478,0.29595616397345403,0.26116586,0.35309553131686966,0.28704661400000003,0.38033273537736356,0.318044376,0.38693257192180874,0.275255024,4.248538635740516
47,2021-04-14 06:00:00,879.8,37.838251352689355,847.7715286091455,284.19,27.5,0.177,0.1955,0.252,0.0315,0.3258,0.2953,56.74,92.9,10.56,0.122,0.068,0.028,0.233,0.127,0.054,0.281,0.201,0.042,0.336,0.2,0.063,0.364,0.194,0.06,0.37,0.14,0.088,0.1261879717833765,0.09629109599999999,0.24227341788954146,0.18263478,0.2928257401243924,0.26116586,0.3499806817158133,0.28704661400000003,0.37731133126433886,0.318044376,0.38475217720106925,0.275255024,18.89903625966221
48,2021-04-14 07:00:00,865.1,39.32318918619293,828.3637892672941,285.63,22.01,0.164,0.1808,0.2303,0.0308,0.2988,0.2685,56.74,87.94,10.56,0.122,0.068,0.028,0.233,0.127,0.054,0.281,0.201,0.042,0.336,0.2,0.063,0.364,0.194,0.06,0.37,0.14,0.088,0.12675694348773878,0.09629109599999999,0.24333605621974744,0.18263478,0.29450755354463964,0.26116586,0.3516541279051141,0.28704661400000003,0.3789345740679606,0.318044376,0.3859235895335798,0.275255024,42.612895936603394
49,2021-04-14 08:00:00,771.1,44.523296751266805,755.6290999269598,286.53,20.41,0.1445,0.155,0.1908,0.0303,0.248,0.2295,56.74,82.48,10.56,0.122,0.068,0.028,0.233,0.127,0.054,0.281,0.201,0.042,0.336,0.2,0.063,0.364,0.194,0.06,0.37,0.14,0.088,0.1291687062175291,0.09629109599999999,0.24784037778862053,0.18263478,0.3016364404371081,0.26116586,0.358747547698615,0.28704661400000003,0.3858151912676565,0.318044376,0.39088898338903044,0.275255024,63.441694649511504
50,2021-04-14 09:00:00,649.8,52.262831314903025,634.7925221490333,287.42999999999995,18.81,0.1233,0.1228,0.1478,0.0288,0.1998,0.1798,56.74,76.88,10.56,0.122,0.068,0.028,0.233,0.127,0.054,0.281,0.201,0.042,0.336,0.2,0.063,0.364,0.194,0.06,0.37,0.14,0.088,0.13412675112238412,0.09629109599999999,0.25710025577268797,0.18263478,0.316291837876459,0.26116586,0.3733300327128945,0.28704661400000003,0.39996020173150765,0.318044376,0.4010967228990261,0.275255024,80.37521356676606
51,2021-04-14 10:00:00,465.5,61.4643483194399,474.7653541641058,288.32,17.2,0.1015,0.0915,0.089,0.0268,0.1533,0.1288,56.74,71.46000000000001,10.56,0.122,0.068,0.028,0.233,0.127,0.054,0.281,0.201,0.042,0.336,0.2,0.063,0.364,0.194,0.06,0.37,0.14,0.088,0.1425353319169081,0.09629109599999999,0.27280451696246066,0.18263478,0.3411466134602724,0.26116586,0.3980611526967885,0.28704661400000003,0.4239493881158848,0.318044376,0.4184085068877519,0.275255024,94.25314473799057
53,2021-05-06 02:00:00,548.1,58.50810152052274,506.1881671241799,291.14,21.03,0.137,0.134,0.153,0.0393,0.1523,0.1275,56.74,95.34,10.56,0.135,0.041,0.025,0.254,0.073,0.05,0.333,0.146,0.051,0.357,0.156,0.062,0.376,0.106,0.065,0.341,0.065,0.067,0.14570821205810114,0.10831599400000001,0.2744530361034484,0.198929332,0.3715070722068968,0.29036214200000005,0.3992093922210678,0.30110013999999996,0.4062937921502127,0.306508074,0.36147458009211164,0.260996286,57.81852417060631
54,2021-05-06 03:00:00,714.0,48.75142602185842,667.1163941347584,293.28999999999996,18.82,0.1755,0.1828,0.219,0.0515,0.1843,0.1598,56.74,94.88,10.56,0.135,0.041,0.025,0.254,0.073,0.05,0.333,0.146,0.051,0.357,0.156,0.062,0.376,0.106,0.065,0.341,0.065,0.067,0.14097601398987408,0.10831599400000001,0.2660274151527026,0.198929332,0.3546558303054053,0.29036214200000005,0.3812039556687892,0.30110013999999996,0.39405932885186956,0.306508074,0.35397231486199554,0.260996286,44.655329157288435
55,2021-05-06 04:00:00,853.6,40.038945638240115,792.6782053587123,295.44,16.61,0.1983,0.2073,0.2485,0.0523,0.2033,0.1805,56.74,93.04,10.56,0.135,0.041,0.025,0.254,0.073,0.05,0.333,0.146,0.051,0.357,0.156,0.062,0.376,0.106,0.065,0.341,0.065,0.067,0.13819678940999397,0.10831599400000001,0.26107903968120877,0.198929332,0.3447590793624176,0.29036214200000005,0.3706293450721722,0.30110013999999996,0.38687401652339903,0.306508074,0.3495662271134051,0.260996286,28.218692754287332
56,2021-05-06 05:00:00,934.9,33.4893682530336,873.6625396434767,296.56,15.02,0.1905,0.2085,0.2693,0.0408,0.2695,0.2378,56.74,89.98,10.56,0.135,0.041,0.025,0.254,0.073,0.05,0.333,0.146,0.051,0.357,0.156,0.062,0.376,0.106,0.065,0.341,0.065,0.067,0.13683842694613493,0.10831599400000001,0.2586604918797037,0.198929332,0.3399219837594074,0.29036214200000005,0.3654609415511476,0.30110013999999996,0.38336215259244644,0.306508074,0.34741272564631154,0.260996286,6.685301360815487
57,2021-05-06 06:00:00,952.7,30.703259625131302,904.2903230261529,297.67999999999995,13.44,0.1773,0.1893,0.249,0.0338,0.2738,0.2388,56.74,85.86,10.56,0.135,0.041,0.025,0.254,0.073,0.05,0.333,0.146,0.051,0.357,0.156,0.062,0.376,0.106,0.065,0.341,0.065,0.067,0.13641930915992445,0.10831599400000001,0.2579142577725484,0.198929332,0.3384295155450968,0.29036214200000005,0.3638662494865418,0.30110013999999996,0.38227857977931684,0.306508074,0.34674827061939245,0.260996286,20.048597495119992
