index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
18,2021-01-09 04:00:00,567.1,57.50484066406033,539.6185481441539,274.48999999999995,17.82,0.1315,0.114,0.2023,0.032,0.1845,0.1348,41.92,96.52,1.48,0.066,0.033,0.002,0.103,0.064,0.002,0.365,0.195,0.028,0.363,0.182,0.032,0.269,0.125,0.021,0.18,0.033,0.018,0.0736562811013257,0.069487828,0.1178447875904499,0.1123525319999999,0.4110020246896522,0.363317464,0.4062274897103421,0.353347584,0.2984269132625976,0.263717938,0.1879762811013257,0.161445876,24.65861248815935
0,2021-01-01 03:00:00,526.0,61.46432890976672,472.9616529398028,274.59,29.58,0.113,0.091,0.1718,0.0305,0.1493,0.1018,41.92,95.78,1.48,0.054,0.041,0.0,0.084,0.076,0.0,0.403,0.151,0.038,0.368,0.163,0.035,0.244,0.152,0.02,0.151,0.075,0.012,0.0659088786689292,0.061756544,0.10607499460582,0.098377984,0.4483035287563003,0.379217148,0.4165700542203771,0.350620222,0.28854998921164,0.245203528,0.1729285341504803,0.148657336,39.11702084417169
48,2021-01-19 04:00:00,539.2,55.85440592346254,563.7131906077929,275.25,47.53,0.137,0.1228,0.1928,0.0275,0.185,0.136,41.92,94.64,1.48,0.076,0.084,0.006,0.118,0.161,0.009,0.352,0.182,0.016,0.355,0.234,0.026,0.269,0.236,0.02,0.171,0.12,0.01,0.0936691999832878,0.083625724,0.151877966634635,0.1360600259999999,0.390461266630457,0.364389536,0.4047970570963019,0.363450884,0.3189408951911421,0.286094984,0.1962902856904112,0.17992586,25.945740642618205
47,2021-01-19 03:00:00,492.9,59.557791514238325,497.98516261364847,274.34,52.54,0.127,0.1023,0.1638,0.03,0.158,0.1085,41.92,92.96,1.48,0.076,0.084,0.006,0.118,0.161,0.009,0.352,0.182,0.016,0.355,0.234,0.026,0.269,0.236,0.02,0.171,0.12,0.01,0.0979766975556389,0.083625724,0.1601340036483079,0.1360600259999999,0.3997941780372176,0.364389536,0.4167965146192798,0.363450884,0.3310429121801284,0.286094984,0.2024438536509127,0.17992586,42.013308063104034
61,2021-01-29 02:00:00,466.3,64.5001440794827,405.4476009709515,274.66999999999996,43.57,0.0973,0.0823,0.1213,0.028,0.1245,0.0805,41.92,89.96000000000001,1.48,0.078,0.042,0.002,0.144,0.175,0.013,0.324,0.178,0.005,0.35,0.227,0.022,0.273,0.239,0.021,0.167,0.109,0.007,0.0923378426152951,0.083190484,0.2038933442303962,0.159198114,0.3847731901314887,0.350786642,0.4279550065159996,0.362637084,0.3550073901203698,0.289284914,0.2042487344063611,0.177977702,57.98222859054198
51,2021-01-22 03:00:00,452.3,59.021986502766936,507.17119045682136,275.27,69.29,0.1673,0.1588,0.1855,0.0365,0.1343,0.0978,41.92,92.28,1.48,0.066,0.053,0.0,0.106,0.111,0.0,0.327,0.134,0.0,0.313,0.15,0.0,0.27,0.237,0.02,0.198,0.179,0.029,0.079426606808889,0.076026752,0.1341198746374845,0.126999424,0.3609465153281345,0.352350656,0.3509998305911953,0.3413776,0.3304397323340886,0.287284168,0.244187464505493,0.191912898,42.52149198145452
28,2021-01-12 06:00:00,427.8,60.4391403171645,484.8078295813262,284.22999999999996,12.0,0.127,0.113,0.1885,0.0295,0.174,0.1263,41.92,102.2,1.48,0.063,0.044,0.0,0.102,0.08,0.0,0.35,0.21,0.02,0.34,0.215,0.018,0.236,0.173,0.001,0.156,0.075,0.002,0.0750769967785305,0.071324096,0.1239581759609646,0.11713472,0.4080402118975322,0.3621761999999999,0.3993365978950925,0.355877364,0.2834855555155861,0.2673512099999999,0.1765897899634043,0.167433556,7.396860179637457
29,2021-01-13 03:00:00,486.1,60.44729972812747,483.99849440488106,282.76,23.9,0.1168,0.1033,0.1675,0.0285,0.161,0.114,41.92,94.14,1.48,0.063,0.045,0.0,0.102,0.081,0.0,0.35,0.21,0.02,0.34,0.215,0.018,0.236,0.174,0.001,0.156,0.075,0.002,0.0753570951342683,0.07151328,0.1242427712416829,0.1173239039999999,0.4080664439599188,0.3621761999999999,0.399363454530393,0.355877364,0.2837817678525041,0.2675403939999999,0.1765991585571138,0.167433556,41.0094451719047
55,2021-01-28 02:00:00,390.5,64.69507423528383,401.9671836606189,276.88,22.32,0.1028,0.09,0.1408,0.0313,0.132,0.0925,41.92,90.22,1.48,0.078,0.042,0.002,0.144,0.175,0.013,0.324,0.178,0.005,0.35,0.228,0.022,0.273,0.24,0.021,0.168,0.109,0.007,0.0924825743588391,0.083190484,0.2044963931618298,0.159198114,0.3853865770446041,0.350786642,0.4290819750908412,0.3628262679999999,0.3561757106219382,0.289474098,0.2056243477407969,0.178977702,57.77534292686323
50,2021-01-19 06:00:00,442.3,59.0030786196977,507.9799338080539,277.35999999999996,43.51,0.133,0.1183,0.1858,0.0298,0.182,0.1318,41.92,100.78,1.48,0.076,0.084,0.006,0.118,0.161,0.009,0.352,0.182,0.016,0.355,0.234,0.026,0.269,0.236,0.02,0.171,0.12,0.01,0.0972928234030144,0.083625724,0.1588232448557777,0.1360600259999999,0.3983124507065314,0.364389536,0.4148914366226832,0.363450884,0.3291215514656121,0.286094984,0.2014668905757349,0.17992586,7.329487300632394
