Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,aod,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
2021-01-01 06:00:00,602.0,53.72665159474419,687.641982708148,273.46,44.19,0.1045,0.0803,0.1153,0.0288,0.139,0.085,34.660000000000004,87.10000000000001,31.44,0.06233,0.044,0.045,0.0,0.09,0.074,0.006,0.287,0.1,0.07,0.387,0.124,0.11,0.399,0.22,0.132,0.221,0.061,0.058,0.05226290564125298,0.052513279999999996,0.09520798912051767,0.09573388399999999,0.20759651071367416,0.20948486,0.25613739268094615,0.25892039600000005,0.25503862414285117,0.25877437600000003,0.15119512613700714,0.15263814799999997,18.10847381429184
2021-01-03 06:00:00,594.1,53.50248954423907,691.8500665236065,270.4,61.06,0.1205,0.0885,0.1213,0.0323,0.1655,0.1093,34.660000000000004,86.92,31.44,0.06233,0.046,0.048,0.0,0.094,0.077,0.006,0.27,0.095,0.066,0.367,0.118,0.105,0.386,0.212,0.128,0.225,0.062,0.059,0.054686977514019484,0.055080831999999996,0.09956018608181909,0.100301436,0.1950660658470381,0.19704942800000003,0.24178994698418912,0.244673402,0.24569711217483758,0.249771392,0.15386480476644582,0.15544971000000002,17.896405776916623
2021-01-04 05:00:00,621.0,52.497117713626544,710.4957771054242,271.51,59.11,0.1138,0.0973,0.1458,0.029,0.1813,0.1148,34.660000000000004,87.12,31.44,0.06233,0.046,0.048,0.0,0.094,0.077,0.006,0.27,0.095,0.066,0.367,0.118,0.104,0.386,0.212,0.128,0.225,0.062,0.059,0.054132543562388113,0.055080831999999996,0.09869186773895934,0.100301436,0.1942006959844723,0.19704942800000003,0.24218831856754092,0.246051024,0.24369819947439794,0.249771392,0.15335600777087507,0.15544971000000002,0.47625616836160134
2021-01-04 06:00:00,594.3,53.379954366380645,694.13361683784,273.40999999999997,54.76,0.1018,0.082,0.1123,0.0278,0.1523,0.0918,34.660000000000004,86.82000000000001,31.44,0.06233,0.046,0.048,0.0,0.094,0.077,0.006,0.27,0.095,0.066,0.367,0.118,0.104,0.386,0.212,0.128,0.225,0.062,0.059,0.054618161764438324,0.055080831999999996,0.09945237400791883,0.100301436,0.1949582464442401,0.19704942800000003,0.24306135474698282,0.246051024,0.24544821291220392,0.249771392,0.15380128635747875,0.15544971000000002,17.79502797604809
2021-01-11 05:00:00,624.9,51.6327752051642,726.1057319328402,267.62,57.04,0.2455,0.226,0.2533,0.0368,0.2093,0.1903,34.660000000000004,86.24,31.44,0.06233,0.069,0.0,0.02,0.134,0.0,0.041,0.328,0.0,0.104,0.431,0.0,0.143,0.355,0.0,0.11,0.251,0.0,0.083,0.04121296483197494,0.04144756000000001,0.0770365779055486,0.07751749800000002,0.18350741712626964,0.18472731200000003,0.23232269854862075,0.234000054,0.20217130657586208,0.20346158,0.13568380405269595,0.136657374,0.4954223281852137
2021-01-11 06:00:00,609.4,52.332292704474085,713.3045395745808,268.53999999999996,55.88,0.1985,0.1685,0.1905,0.0318,0.2003,0.1903,34.660000000000004,85.86,31.44,0.06233,0.069,0.0,0.02,0.134,0.0,0.041,0.328,0.0,0.104,0.431,0.0,0.143,0.355,0.0,0.11,0.251,0.0,0.083,0.04116450506844325,0.04144756000000001,0.07693723539030865,0.07751749800000002,0.1832554263559049,0.18472731200000003,0.2319762112393692,0.234000054,0.20190477787643782,0.20346158,0.13548269603403945,0.136657374,17.180402985142763
2021-01-11 07:00:00,515.8,56.8152198641513,628.5873401946745,269.46999999999997,54.72,0.1343,0.0963,0.1098,0.03,0.1358,0.1123,34.660000000000004,87.06,31.44,0.06233,0.069,0.0,0.02,0.134,0.0,0.041,0.328,0.0,0.104,0.431,0.0,0.143,0.355,0.0,0.11,0.251,0.0,0.083,0.04084702384897,0.04144756000000001,0.07628639889038849,0.07751749800000002,0.181604524014644,0.18472731200000003,0.2297062205201355,0.234000054,0.20015863116933497,0.20346158,0.13416514897322548,0.136657374,33.38461054261603
2021-01-12 07:00:00,542.8,56.6300804652758,632.1179771261828,275.29999999999995,25.22,0.0903,0.069,0.0948,0.029,0.1235,0.068,34.660000000000004,86.88,31.44,0.06233,0.069,0.0,0.021,0.134,0.0,0.041,0.33,0.0,0.107,0.436,0.01,0.147,0.354,0.0,0.11,0.256,0.0,0.087,0.039453372557165856,0.040069938000000006,0.07631372737351429,0.07751749800000002,0.17945289826746413,0.18259444600000002,0.23137430573256687,0.23538140600000002,0.19923195148991635,0.20246158,0.13359254345111568,0.13614688600000002,33.372815434333035
2021-01-14 07:00:00,562.8,56.24415249838492,639.4371579909135,277.84999999999997,17.22,0.0798,0.0645,0.088,0.031,0.1293,0.0723,34.660000000000004,86.52,31.44,0.06233,0.071,0.0,0.023,0.135,0.0,0.043,0.329,0.0,0.107,0.438,0.0,0.147,0.354,0.0,0.11,0.248,0.0,0.08,0.0386712996370382,0.039314694,0.07455938627794101,0.07576225400000001,0.17860126352882993,0.18159444600000002,0.2313774368106355,0.23548956600000004,0.1993844765249653,0.20246158,0.13555234656361115,0.13779024,33.367156046579
2021-01-15 07:00:00,560.9,56.04358583673105,643.2198150475184,280.72999999999996,23.13,0.0728,0.0603,0.081,0.0275,0.1245,0.0693,34.660000000000004,86.32000000000001,31.44,0.06233,0.068,0.0,0.02,0.133,0.0,0.041,0.328,0.0,0.107,0.435,0.0,0.144,0.35,0.0,0.107,0.25,0.0,0.082,0.039902468073651276,0.04044756000000001,0.07540005955098511,0.07651749800000002,0.17767820419403432,0.18059444600000002,0.2326977701302892,0.23662243200000002,0.1996782041940343,0.20259444599999998,0.1348001191019702,0.13703499600000002,33.37349716555133
2021-01-18 07:00:00,570.7,55.41281742484329,655.024379148826,276.27,33.09,0.087,0.0642,0.0895,0.0268,0.1268,0.0668,34.660000000000004,85.72,31.44,0.06233,0.068,0.0,0.02,0.132,0.0,0.04,0.331,0.0,0.107,0.435,0.0,0.143,0.351,0.0,0.106,0.251,0.0,0.082,0.03994755660227591,0.04044756000000001,0.07589511320455182,0.07689512000000001,0.18091942782217613,0.18359444600000002,0.23442502970627274,0.23800005400000002,0.2023220499920623,0.20497206799999998,0.1359849820693312,0.13803499600000002,33.43035454913536
2021-01-19 07:00:00,562.1,55.19324917935402,659.10141049286,280.39,29.2,0.0973,0.0693,0.0865,0.0275,0.1263,0.075,34.660000000000004,85.5,31.44,0.06233,0.068,0.0,0.02,0.132,0.0,0.04,0.331,0.0,0.107,0.436,0.0,0.144,0.352,0.0,0.107,0.252,0.0,0.082,0.03996320100591099,0.04044756000000001,0.07592640201182198,0.07689512000000001,0.1810031253816238,0.18359444600000002,0.23413504724255912,0.23762243200000002,0.20200312538162377,0.20459444599999999,0.13704912412423503,0.13903499600000002,33.46220848835216
2021-01-23 07:00:00,567.6,54.271494873803896,676.0390642023596,280.5,33.4,0.0975,0.0748,0.0963,0.0265,0.1363,0.0785,34.660000000000004,84.58,31.44,0.06233,0.065,0.0,0.017,0.127,0.0,0.036,0.322,0.0,0.104,0.418,0.0,0.134,0.332,0.0,0.094,0.24,0.0,0.071,0.04122429506543303,0.041580426000000004,0.07665144837385818,0.07740560800000001,0.17654862863559032,0.17872731200000003,0.2305915022804721,0.23339865199999998,0.2005343374206297,0.202503532,0.1407014676262203,0.142188838,33.65616360397567
