index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
11,2021-02-02 04:00:00,553.8,64.29161752038642,448.9675078593973,247.95,51.06,0.3078,0.2955,0.322,0.0388,0.091,0.0675,58.68,118.24,4.6000000000000005,0.757,0.01,0.002,0.781,0.046,0.0,0.763,0.152,0.0,0.451,0.051,0.0,0.119,0.012,0.0,0.052,0.034,0.0,0.7603802041556962,0.7561365959999999,0.7965305391162023,0.789702464,0.8143183031665816,0.791755968,0.4682186411940504,0.460648384,0.12305144498683539,0.12127020799999999,0.06347909412936692,0.058432255999999995,25.281158243507832
13,2021-02-03 03:00:00,430.8,64.7659230168728,439.80973853989747,247.67999999999998,53.73,0.2888,0.2835,0.3085,0.036,0.0848,0.0628,58.68,111.24,4.6000000000000005,0.757,0.01,0.002,0.782,0.046,0.0,0.764,0.152,0.0,0.454,0.054,0.0,0.123,0.038,0.0,0.053,0.033,0.0,0.7604638599794471,0.7561365959999999,0.7979153559054567,0.790702464,0.8165898716875961,0.792755968,0.4726832438890144,0.464215936,0.13614746792189902,0.130188992,0.06441753793217547,0.059243072,41.230857177478924
14,2021-02-03 04:00:00,484.4,63.9980743182803,454.5065834069443,249.95,48.83,0.2993,0.2923,0.3185,0.0363,0.0908,0.0653,58.68,117.96,4.6000000000000005,0.757,0.01,0.002,0.782,0.046,0.0,0.764,0.152,0.0,0.454,0.054,0.0,0.123,0.038,0.0,0.053,0.033,0.0,0.7603290932081007,0.7561365959999999,0.7972954287572634,0.790702464,0.8145414167631313,0.792755968,0.47195550332374403,0.464215936,0.13563535419078282,0.130188992,0.06397280758673245,0.059243072,25.29607143490125
16,2021-02-04 03:00:00,436.4,64.47561933174197,445.3026698784642,245.97999999999996,62.33,0.2873,0.284,0.3058,0.036,0.0843,0.061,58.68,110.96,4.6000000000000005,0.756,0.01,0.002,0.781,0.046,0.0,0.764,0.152,0.0,0.45,0.052,0.0,0.119,0.012,0.0,0.053,0.032,0.0,0.7594125000439167,0.7551365959999999,0.7966791002020168,0.789702464,0.8158092006675337,0.792755968,0.4677242002283668,0.45983756800000003,0.12309020005270002,0.12127020799999999,0.06390720014053342,0.059053888,41.30618186420054
17,2021-02-04 04:00:00,555.3,63.69988611132663,460.11479708271844,248.84999999999997,57.02,0.3085,0.3028,0.324,0.0378,0.0898,0.0638,58.68,117.68,4.6000000000000005,0.756,0.01,0.002,0.781,0.046,0.0,0.764,0.152,0.0,0.45,0.052,0.0,0.119,0.012,0.0,0.053,0.032,0.0,0.7592776893102693,0.7551365959999999,0.7960589708272386,0.789702464,0.8137600775160927,0.792755968,0.4670231844134001,0.45983756800000003,0.12292842717232311,0.12127020799999999,0.06347580579286162,0.059053888,25.307374286507496
22,2021-02-08 03:00:00,477.1,63.26490125907034,468.0235804294928,252.04999999999998,62.85,0.2865,0.2775,0.3,0.032,0.0798,0.0528,58.68,109.84,4.6000000000000005,0.752,0.009,0.002,0.782,0.046,0.0,0.764,0.153,0.0,0.449,0.065,0.0,0.122,0.04,0.0,0.053,0.026,0.0,0.7548836673267947,0.7509474119999999,0.7967182996702838,0.790702464,0.8129543445555091,0.792945152,0.4697975973601836,0.46129696000000003,0.1347985214524207,0.12956736,0.06131903894407344,0.057918784,41.58486305968427
23,2021-02-08 04:00:00,532.9,62.462896451043825,483.17709100139996,255.14999999999998,55.76,0.3013,0.2882,0.313,0.0305,0.0855,0.0558,58.68,116.56,4.6000000000000005,0.752,0.009,0.002,0.782,0.046,0.0,0.764,0.153,0.0,0.449,0.065,0.0,0.122,0.04,0.0,0.053,0.026,0.0,0.7547633483235158,0.7509474119999999,0.7961033358757472,0.790702464,0.8109089214997679,0.792945152,0.46892862678094716,0.46129696000000003,0.1342637703267367,0.12956736,0.06097145071237886,0.057918784,25.316104571472636
24,2021-02-08 05:00:00,505.7,64.51150924695592,444.28529569080405,256.08,56.53,0.292,0.2713,0.292,0.0278,0.0855,0.0558,58.68,122.66,4.6000000000000005,0.752,0.009,0.002,0.782,0.046,0.0,0.764,0.153,0.0,0.449,0.065,0.0,0.122,0.04,0.0,0.053,0.026,0.0,0.7550773403921542,0.7509474119999999,0.7977081842265663,0.790702464,0.8162467866666228,0.792945152,0.4711963472766698,0.46129696000000003,0.1356592906317968,0.12956736,0.06187853891066792,0.057918784,9.273028308543928
25,2021-02-09 03:00:00,442.0,62.95040447253187,473.8752740005741,256.21999999999997,71.5,0.2838,0.2695,0.2903,0.0273,0.0873,0.0595,58.68,109.56,4.6000000000000005,0.75,0.009,0.002,0.776,0.046,0.0,0.78,0.012,0.0,0.433,0.101,0.0,0.118,0.012,0.0,0.047,0.037,0.0,0.7528360897191368,0.7489474119999999,0.7904751252311439,0.784702464,0.7837761196255159,0.782270208,0.46478234018142456,0.452107584,0.12177611962551578,0.12027020799999999,0.058643035512007016,0.053999807999999996,41.64875139146966
26,2021-02-09 04:00:00,487.7,62.14317074950647,489.08400240665765,257.95,68.47,0.2978,0.283,0.3033,0.0288,0.088,0.0623,58.68,116.26,4.6000000000000005,0.75,0.009,0.002,0.776,0.046,0.0,0.78,0.012,0.0,0.433,0.101,0.0,0.118,0.012,0.0,0.047,0.037,0.0,0.7527163040580143,0.7489474119999999,0.7898628874076282,0.784702464,0.7836164054106857,0.782270208,0.46343807887327054,0.452107584,0.12161640541068561,0.12027020799999999,0.058150583349613955,0.053999807999999996,25.30904343027987
27,2021-02-09 05:00:00,469.6,64.19883237784973,450.1657000655326,258.84999999999997,66.99,0.2882,0.266,0.2868,0.0265,0.0923,0.0613,58.68,122.36,4.6000000000000005,0.75,0.009,0.002,0.776,0.046,0.0,0.78,0.012,0.0,0.433,0.101,0.0,0.118,0.012,0.0,0.047,0.037,0.0,0.7530279946456618,0.7489474119999999,0.7914559726333829,0.784702464,0.7840319928608825,0.782270208,0.46693593991242743,0.452107584,0.12203199286088245,0.12027020799999999,0.059431977987720944,0.053999807999999996,9.197752088773427
29,2021-02-11 05:00:00,523.1,63.56399806013029,462.04241371274344,259.98999999999995,86.5,0.2882,0.277,0.2855,0.0365,0.0973,0.0668,58.68,121.76,4.6000000000000005,0.744,0.009,0.002,0.773,0.046,0.0,0.778,0.013,0.0,0.432,0.11,0.0,0.118,0.053,0.0,0.047,0.038,0.0,0.7469293920900908,0.7429474119999999,0.7879520040160194,0.781702464,0.7822255663523533,0.780459392,0.46775479221222027,0.45281024,0.13522730897497887,0.128026752,0.05935165549149428,0.054188992,9.032709234024452
32,2021-02-12 03:00:00,451.1,61.980386894481,491.79017380954997,260.27148148148143,87.8,0.2843,0.278,0.2935,0.0278,0.0795,0.0498,58.68,108.7,4.6000000000000005,0.745,0.009,0.002,0.772,0.046,0.0,0.775,0.017,0.0,0.429,0.105,0.0,0.116,0.012,0.0,0.046,0.035,0.0,0.7476925525399447,0.7439474119999999,0.7857414907597176,0.780702464,0.7800783770198956,0.7782161280000001,0.4603664462993552,0.44886432,0.11958473671992631,0.118270208,0.05645548209978507,0.05262144,41.82607200250345
33,2021-02-12 04:00:00,508.5,61.16076146491937,507.09171445825785,260.2855555555555,87.86500000000001,0.302,0.2925,0.308,0.027,0.0838,0.0535,58.68,115.38,4.6000000000000005,0.745,0.009,0.002,0.772,0.046,0.0,0.775,0.017,0.0,0.429,0.105,0.0,0.116,0.012,0.0,0.046,0.035,0.0,0.7475750014575363,0.7439474119999999,0.7851406741162964,0.780702464,0.7798563360864574,0.7782161280000001,0.4589950170045896,0.44886432,0.11942800194338168,0.118270208,0.055998339001529875,0.05262144,25.265217699008303
34,2021-02-12 05:00:00,499.2,63.24208833087176,468.03234054857023,260.2996296296296,87.93,0.287,0.2783,0.2903,0.028,0.0833,0.0538,58.68,121.44,4.6000000000000005,0.745,0.009,0.002,0.772,0.046,0.0,0.775,0.017,0.0,0.429,0.105,0.0,0.116,0.012,0.0,0.046,0.035,0.0,0.7478801988888073,0.7439474119999999,0.7867005720983485,0.780702464,0.7804328201233027,0.7782161280000001,0.46255565370275203,0.44886432,0.1198349318517431,0.118270208,0.05718521790091735,0.05262144,8.942909354878708
36,2021-02-14 03:00:00,626.2,61.31275955075475,504.0007746693114,256.67999999999995,56.52,0.3065,0.312,0.3298,0.0313,0.091,0.0693,58.68,108.1,4.6000000000000005,0.743,0.009,0.002,0.77,0.046,0.0,0.774,0.018,0.0,0.428,0.103,0.0,0.116,0.012,0.0,0.046,0.036,0.0,0.7455965453580493,0.7419474119999999,0.7832507873855852,0.778702464,0.7791850907160985,0.7774053120000001,0.45767024131989714,0.44748595199999996,0.11945672714406569,0.118270208,0.05637018143219706,0.052810624,41.93207955386731
37,2021-02-14 05:00:00,606.3,62.589896763463514,480.09960563984487,258.75,53.76,0.3188,0.3168,0.3348,0.033,0.1043,0.078,58.68,120.84,4.6000000000000005,0.743,0.009,0.002,0.77,0.046,0.0,0.774,0.018,0.0,0.428,0.103,0.0,0.116,0.012,0.0,0.046,0.036,0.0,0.7457821803488434,0.7419474119999999,0.7841995884496439,0.778702464,0.7795563606976867,0.7774053120000001,0.4597947306589851,0.44748595199999996,0.11970424046512448,0.118270208,0.05711272139537342,0.052810624,8.748694415528234
38,2021-02-15 04:00:00,494.7,60.146026577579875,525.2552477089039,253.95,79.86,0.3263,0.3243,0.3415,0.0325,0.0925,0.0693,58.68,114.48,4.6000000000000005,0.748,0.009,0.002,0.78,0.017,0.0,0.776,0.047,0.0,0.432,0.123,0.0,0.116,0.012,0.0,0.048,0.031,0.0,0.7504341266936072,0.7469474119999999,0.7845902393101469,0.7832161280000001,0.7886906616221709,0.784891648,0.4652117314792983,0.455269632,0.1192401689248096,0.118270208,0.05637043638909144,0.053864704,25.186918258614384
39,2021-02-16 03:00:00,611.5,60.629465464730856,515.9831783823229,251.71999999999997,64.76,0.3038,0.3013,0.3238,0.0315,0.0883,0.061,58.68,107.5,4.6000000000000005,0.753,0.009,0.002,0.781,0.046,0.0,0.782,0.032,0.0,0.434,0.118,0.0,0.114,0.011,0.0,0.045,0.034,0.0,0.7555006043144356,0.7519474119999999,0.7937604220515597,0.789702464,0.7908768153402155,0.788053888,0.46673325656704445,0.456323712,0.11705140527319907,0.116081024,0.05443161629897892,0.051432255999999996,42.02816880148953
40,2021-02-16 04:00:00,562.8,59.80115838083557,531.2371159853457,253.45,62.17,0.3145,0.2988,0.3168,0.0373,0.093,0.0658,58.68,114.18,4.6000000000000005,0.753,0.009,0.002,0.781,0.046,0.0,0.782,0.032,0.0,0.434,0.118,0.0,0.114,0.011,0.0,0.045,0.034,0.0,0.7553874075073653,0.7519474119999999,0.7931818605932006,0.789702464,0.7904743378039657,0.788053888,0.4652491206521233,0.456323712,0.1169130536201132,0.116081024,0.0540039839167135,0.051432255999999996,25.153084048621395
