index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
52,2021-02-23 05:00:00,613.7,59.54065007672962,533.3894610216396,255.97999999999996,48.38,0.3618,0.3593,0.3808,0.0353,0.0943,0.0683,58.68,117.94,4.6000000000000005,0.759,0.01,0.002,0.791,0.047,0.0,0.779,0.155,0.0,0.443,0.116,0.0,0.115,0.012,0.0,0.047,0.04,0.0,0.7616134471600164,0.7581365959999999,0.8032644016520771,0.799891648,0.8194464309802545,0.8083235200000001,0.4732695870561904,0.464945344,0.1181313365920197,0.117270208,0.0574377886400656,0.05456736,7.634552097174208
36,2021-02-14 03:00:00,626.2,61.31275955075475,504.0007746693114,256.67999999999995,56.52,0.3065,0.312,0.3298,0.0313,0.091,0.0693,58.68,108.1,4.6000000000000005,0.743,0.009,0.002,0.77,0.046,0.0,0.774,0.018,0.0,0.428,0.103,0.0,0.116,0.012,0.0,0.046,0.036,0.0,0.7455965453580493,0.7419474119999999,0.7832507873855852,0.778702464,0.7791850907160985,0.7774053120000001,0.4576702413198971,0.4474859519999999,0.1194567271440656,0.118270208,0.056370181432197,0.052810624,41.93207955386731
63,2021-02-25 06:00:00,523.6,63.849336490865355,452.5993139963191,259.38,65.67,0.2953,0.2808,0.3035,0.0293,0.0885,0.061,58.68,122.08,4.6000000000000005,0.77,0.01,0.002,0.806,0.048,0.0,0.796,0.159,0.0,0.455,0.076,0.0,0.115,0.012,0.0,0.05,0.043,0.0,0.7733033878535215,0.769136596,0.821837061696903,0.815080832,0.8484602668709909,0.826080256,0.4800753476867629,0.469377984,0.1189592654242257,0.117270208,0.0641873677701421,0.058134912,8.577675740168104
64,2021-02-26 02:00:00,479.8,60.79277765272029,509.2814349027058,257.15,76.03,0.3185,0.3298,0.35,0.0418,0.1215,0.1033,58.68,97.56,4.6000000000000005,0.766,0.01,0.002,0.802,0.047,0.0,0.791,0.158,0.0,0.454,0.064,0.0,0.119,0.012,0.0,0.053,0.046,0.0,0.7688032478344656,0.765136596,0.8151564648219884,0.810891648,0.8352281157845569,0.820891072,0.47191518614058,0.466107776,0.1223590974013587,0.1212702079999999,0.0658765400385418,0.061702464,59.12946535619443
33,2021-02-12 04:00:00,508.5,61.16076146491937,507.09171445825785,260.2855555555555,87.86500000000001,0.302,0.2925,0.308,0.027,0.0838,0.0535,58.68,115.38,4.6000000000000005,0.745,0.009,0.002,0.772,0.046,0.0,0.775,0.017,0.0,0.429,0.105,0.0,0.116,0.012,0.0,0.046,0.035,0.0,0.7475750014575363,0.7439474119999999,0.7851406741162964,0.780702464,0.7798563360864574,0.7782161280000001,0.4589950170045896,0.44886432,0.1194280019433816,0.118270208,0.0559983390015298,0.05262144,25.265217699008303
32,2021-02-12 03:00:00,451.1,61.980386894481,491.79017380955,260.27148148148143,87.8,0.2843,0.278,0.2935,0.0278,0.0795,0.0498,58.68,108.7,4.6000000000000005,0.745,0.009,0.002,0.772,0.046,0.0,0.775,0.017,0.0,0.429,0.105,0.0,0.116,0.012,0.0,0.046,0.035,0.0,0.7476925525399447,0.7439474119999999,0.7857414907597176,0.780702464,0.7800783770198956,0.7782161280000001,0.4603664462993552,0.44886432,0.1195847367199263,0.118270208,0.056455482099785,0.05262144,41.82607200250345
45,2021-02-18 05:00:00,465.7,61.255408786501874,503.6781074778896,261.02,54.29,0.3213,0.3263,0.3353,0.0615,0.148,0.118,58.68,119.56,4.6000000000000005,0.758,0.01,0.002,0.786,0.046,0.0,0.785,0.028,0.0,0.435,0.137,0.0,0.11,0.011,0.0,0.043,0.04,0.0,0.7608755588392396,0.7571365959999999,0.7992091706605023,0.794702464,0.7930403647498709,0.7902971520000001,0.4743403560975828,0.460918208,0.1131587147231635,0.112081024,0.0544862353569584,0.05056736,8.301774722840918
67,2021-02-26 06:00:00,419.0,63.527270459384994,458.3222951113302,262.08,68.15,0.2958,0.2965,0.3135,0.0565,0.1215,0.1018,58.68,121.72,4.6000000000000005,0.766,0.01,0.002,0.802,0.047,0.0,0.791,0.158,0.0,0.454,0.064,0.0,0.119,0.012,0.0,0.053,0.046,0.0,0.7692481691052107,0.765136596,0.8172475947944903,0.810891648,0.8422578718623288,0.820891072,0.4747626822733484,0.466107776,0.1228930029262528,0.1212702079999999,0.0679231778839691,0.061702464,8.793273781442565
85,2021-03-06 04:00:00,688.1,53.17562000306602,640.6052263064464,257.75,52.21,0.3668,0.3795,0.404,0.0373,0.1035,0.0795,58.68,108.44,4.6000000000000005,0.709,0.0,0.025,0.75,0.0,0.015,0.768,0.0,0.025,0.431,0.0,0.02,0.117,0.004,0.0,0.054,0.009,0.0,0.709625,0.67455945,0.750225,0.72933567,0.768625,0.73355945,0.4314,0.40344756,0.117708681451227,0.117756736,0.0555945332652609,0.0557026559999999,23.8999490131734
71,2021-03-01 04:00:00,651.1,55.07831135096417,610.332822216082,258.65,46.79,0.3753,0.3753,0.3985,0.0383,0.101,0.076,58.68,110.06,4.6000000000000005,0.737,0.009,0.002,0.779,0.046,0.0,0.772,0.154,0.0,0.432,0.074,0.0,0.118,0.045,0.0,0.054,0.034,0.0,0.7388046010031311,0.7359474119999999,0.7882030717937808,0.787702464,0.802810283831353,0.8011343360000001,0.4468049415812994,0.445999616,0.127003005015655,0.12651328,0.0608022704562727,0.060432256,24.36538692737915
