Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
2021-01-01 03:00:00,479.8,55.94008731235253,568.3744151520315,277.07,60.26,0.1018,0.0703,0.117,0.027,0.112,0.0545,31.8,81.7,12.44,0.029,0.02,0.005,0.036,0.058,0.0,0.238,0.124,0.048,0.257,0.182,0.056,0.184,0.096,0.046,0.062,0.058,0.01,0.03324550595820562,0.025895570000000003,0.04823946727879629,0.04697267199999999,0.2664711369408748,0.19533296,0.29854260421967116,0.21428465600000002,0.20637442859938698,0.138791052,0.0743394672787963,0.059196452000000004,40.24499348838182
2021-01-01 04:00:00,588.8,51.016367425498544,654.0299675055097,279.23999999999995,48.16,0.1123,0.076,0.1515,0.028,0.128,0.0673,31.8,80.74,12.44,0.029,0.02,0.005,0.036,0.058,0.0,0.238,0.124,0.048,0.257,0.182,0.056,0.184,0.096,0.046,0.062,0.058,0.01,0.03209062633693688,0.025895570000000003,0.04489031637711695,0.04697267199999999,0.2593108832890086,0.19533296,0.2880331996661256,0.21428465600000002,0.200831006417297,0.138791052,0.07099031637711695,0.059196452000000004,24.172988249948418
2021-01-08 04:00:00,606.0,50.43645042435972,665.4189843334801,274.76,38.53,0.117,0.0803,0.156,0.028,0.1283,0.0653,31.8,79.96000000000001,12.44,0.024,0.04,0.0,0.036,0.084,0.0,0.241,0.22,0.051,0.279,0.218,0.068,0.181,0.094,0.046,0.067,0.083,0.012,0.02988930759520615,0.03156736,0.04836754594993291,0.051891456,0.2759921917736338,0.212361758,0.31572072639387355,0.22656381600000003,0.19695587284873445,0.135412684,0.07936431326005278,0.06617080800000001,25.313926906217176
2021-01-08 05:00:00,661.4,49.1437974041347,686.8689431350074,276.03,32.96,0.1185,0.084,0.1648,0.0288,0.139,0.0738,31.8,80.84,12.44,0.024,0.04,0.0,0.036,0.084,0.0,0.241,0.22,0.051,0.279,0.218,0.068,0.181,0.094,0.046,0.067,0.083,0.012,0.029371755765998157,0.03156736,0.04728068710859612,0.051891456,0.27314565671298985,0.212361758,0.31290006892468997,0.22656381600000003,0.19573962605009568,0.135412684,0.07829039321444618,0.06617080800000001,7.18838482966575
2021-01-08 06:00:00,631.2,52.033224853329024,638.3953425412836,277.31,27.39,0.1175,0.0783,0.148,0.0285,0.124,0.066,31.8,83.62,12.44,0.024,0.04,0.0,0.036,0.084,0.0,0.241,0.22,0.051,0.279,0.218,0.068,0.181,0.094,0.046,0.067,0.083,0.012,0.030570389411757142,0.03156736,0.04979781776468999,0.051891456,0.27973814176466427,0.212361758,0.3194326222940765,0.22656381600000003,0.19855641511762928,0.135412684,0.08077755802939608,0.06617080800000001,10.414243772429728
2021-01-08 07:00:00,539.9,58.48574460826779,523.8105545214397,278.58,21.83,0.0963,0.0648,0.0978,0.0275,0.1058,0.0483,31.8,88.06,12.44,0.024,0.04,0.0,0.036,0.084,0.0,0.241,0.22,0.051,0.279,0.218,0.068,0.181,0.094,0.046,0.067,0.083,0.012,0.03382452968909808,0.03156736,0.05663151234710597,0.051891456,0.29763591329003947,0.212361758,0.33716768680558457,0.22656381600000003,0.2062036447693805,0.135412684,0.08752989910487853,0.06617080800000001,25.400360376035422
2021-01-12 02:00:00,345.5,63.55238498761384,429.5591343881377,272.63,82.43,0.077,0.051,0.0773,0.0285,0.0818,0.0355,31.8,83.5,12.44,0.024,0.033,0.0,0.036,0.063,0.0,0.255,0.175,0.061,0.298,0.159,0.084,0.177,0.092,0.045,0.073,0.078,0.017,0.03471989608615306,0.030243072,0.056465256164474016,0.047918591999999996,0.31556893379020556,0.204072258,0.3567064084151011,0.21236000800000002,0.20891077090685095,0.13241193799999998,0.0986269362036345,0.064336778,55.279155178701814
2021-01-12 03:00:00,512.2,55.28458198646926,582.4631504490972,275.82,70.68,0.0958,0.0645,0.112,0.0268,0.1065,0.053,31.8,80.5,12.44,0.024,0.033,0.0,0.036,0.063,0.0,0.255,0.175,0.061,0.298,0.159,0.084,0.177,0.092,0.045,0.073,0.078,0.017,0.030687645022919933,0.030243072,0.0487673223164835,0.047918591999999996,0.29418578421245417,0.204072258,0.33727828965588696,0.21236000800000002,0.19766934370026162,0.13241193799999998,0.08909616096326528,0.064336778,42.21830535975042
2021-01-12 04:00:00,624.5,49.946478581976095,674.3807843203896,279.01,58.93,0.107,0.0768,0.1555,0.028,0.1298,0.0688,31.8,79.36,12.44,0.024,0.033,0.0,0.036,0.063,0.0,0.255,0.175,0.061,0.298,0.159,0.084,0.177,0.092,0.045,0.073,0.078,0.017,0.02869394171054416,0.030243072,0.044961161447402476,0.047918591999999996,0.28361311513167353,0.204072258,0.3276722646053491,0.21236000800000002,0.19211114052636552,0.13241193799999998,0.08438377131583163,0.064336778,25.980636132201226
2021-01-12 05:00:00,664.0,48.52119978589656,697.8437384175634,281.12,49.77,0.1078,0.081,0.1665,0.0305,0.145,0.0783,31.8,80.2,12.44,0.024,0.033,0.0,0.036,0.063,0.0,0.255,0.175,0.061,0.298,0.159,0.084,0.177,0.092,0.045,0.073,0.078,0.017,0.02823472576489469,0.030243072,0.0440844764602535,0.047918591999999996,0.2811778790562597,0.204072258,0.3254596786854017,0.21236000800000002,0.19083090213243367,0.13241193799999998,0.0832983518079329,0.064336778,7.6406723189951435
2021-01-12 06:00:00,643.6,51.33724193365915,651.0307751979075,283.21999999999997,40.6,0.1043,0.0743,0.1508,0.028,0.1295,0.0705,31.8,82.94,12.44,0.024,0.033,0.0,0.036,0.063,0.0,0.255,0.175,0.061,0.298,0.159,0.084,0.177,0.092,0.045,0.073,0.078,0.017,0.02917090394070218,0.030243072,0.045871725704976885,0.047918591999999996,0.28614246029160245,0.204072258,0.32997035535065594,0.21236000800000002,0.19344085341044243,0.13241193799999998,0.08551113658711423,0.064336778,10.232510818494887
2021-01-12 07:00:00,547.5,57.77535521239263,537.598118043159,285.32,31.44,0.0923,0.0595,0.0998,0.0265,0.1038,0.0515,31.8,87.34,12.44,0.024,0.033,0.0,0.036,0.063,0.0,0.255,0.175,0.061,0.298,0.159,0.084,0.177,0.092,0.045,0.073,0.078,0.017,0.03177553275298352,0.030243072,0.05084419889205943,0.047918591999999996,0.29995488581127616,0.204072258,0.3425199305371024,0.21236000800000002,0.20070224282649948,0.13241193799999998,0.0916675319615974,0.064336778,25.44191527092545
2021-01-14 02:00:00,320.6,63.41808301086462,432.48524095057957,276.7,81.68,0.0788,0.0485,0.0718,0.0268,0.0815,0.033,31.8,83.22,12.44,0.024,0.033,0.0,0.035,0.061,0.0,0.259,0.179,0.063,0.302,0.161,0.086,0.177,0.092,0.045,0.075,0.079,0.018,0.03464443206302968,0.030243072,0.05467607138923669,0.046540224000000005,0.3207069799782519,0.20607375,0.36132792612569026,0.213983132,0.2087003863575373,0.13241193799999998,0.10080612524179834,0.06514834,55.68099825239457
2021-01-14 03:00:00,478.7,55.07664215790218,586.5124369605187,280.06,67.89,0.0953,0.062,0.101,0.0273,0.109,0.0503,31.8,80.18,12.44,0.024,0.033,0.0,0.035,0.061,0.0,0.259,0.179,0.063,0.302,0.161,0.086,0.177,0.092,0.045,0.075,0.079,0.018,0.030601515116785372,0.030243072,0.04720280067042145,0.046540224000000005,0.2987772183607449,0.20607375,0.34160339193340744,0.213983132,0.1974292239619471,0.13241193799999998,0.09112762709775893,0.06514834,42.6119213250266
2021-01-14 04:00:00,586.8,49.659280171175595,679.4973097448418,283.40999999999997,54.11,0.1098,0.0763,0.1488,0.0285,0.132,0.067,31.8,79.02,12.44,0.024,0.033,0.0,0.035,0.061,0.0,0.259,0.179,0.063,0.302,0.161,0.086,0.177,0.092,0.045,0.075,0.079,0.018,0.028599028622111115,0.030243072,0.043501234725720546,0.046540224000000005,0.2879152461623603,0.20607375,0.3318336850957542,0.213983132,0.19184653434043097,0.13241193799999998,0.08633379579232661,0.06514834,26.31570506150379
2021-01-14 05:00:00,623.6,48.16942612126676,703.9077623697635,284.65999999999997,50.67,0.1135,0.0825,0.158,0.0285,0.1465,0.0763,31.8,79.84,12.44,0.024,0.033,0.0,0.035,0.061,0.0,0.259,0.179,0.063,0.302,0.161,0.086,0.177,0.092,0.045,0.075,0.079,0.018,0.028125887187383226,0.030243072,0.04262663995243566,0.046540224000000005,0.28534881231944237,0.20607375,0.3295253283990515,0.213983132,0.19052747337088655,0.13241193799999998,0.08520112387282651,0.06514834,7.850449649319302
2021-01-14 06:00:00,597.5,50.95440876679769,657.8541375246775,285.9,47.23,0.111,0.0758,0.1435,0.029,0.1325,0.068,31.8,82.56,12.44,0.024,0.033,0.0,0.035,0.061,0.0,0.259,0.179,0.063,0.302,0.161,0.086,0.177,0.092,0.045,0.075,0.079,0.018,0.02903671653136418,0.030243072,0.04431029419433985,0.046540224000000005,0.29028937148830875,0.20607375,0.3339690715621101,0.213983132,0.19306675517834862,0.13241193799999998,0.08738159412053849,0.06514834,10.174005636781402
2021-01-14 07:00:00,509.6,57.392904738090515,544.920590992074,291.19,28.06,0.097,0.0628,0.094,0.0273,0.1065,0.05,31.8,86.96000000000001,12.44,0.024,0.033,0.0,0.035,0.061,0.0,0.259,0.179,0.063,0.302,0.161,0.086,0.177,0.092,0.045,0.075,0.079,0.018,0.03160164930247986,0.030243072,0.04905153355912944,0.046540224000000005,0.3042021886407241,0.20607375,0.3464828344757351,0.213983132,0.20021747684327718,0.13241193799999998,0.09352188772411846,0.06514834,25.503400356428614
2021-01-15 03:00:00,458.4,54.96259197459836,588.7031131587694,280.34999999999997,70.74,0.0983,0.0663,0.1023,0.0273,0.108,0.05,31.8,80.02,12.44,0.024,0.033,0.0,0.035,0.06,0.0,0.258,0.18,0.063,0.301,0.161,0.085,0.177,0.092,0.045,0.075,0.079,0.018,0.030554576285809265,0.030243072,0.046917411428744116,0.04635104,0.2977212342862323,0.205262934,0.3402033873337967,0.214360754,0.19729836419074095,0.13241193799999998,0.09101525838117976,0.06514834,42.812119389450146
2021-01-15 04:00:00,572.2,49.50529630767831,682.2090063416146,283.47999999999996,57.38,0.1105,0.0778,0.1448,0.029,0.1325,0.0663,31.8,78.84,12.44,0.024,0.033,0.0,0.035,0.06,0.0,0.258,0.18,0.063,0.301,0.161,0.085,0.177,0.092,0.045,0.075,0.079,0.018,0.02854863834885503,0.030243072,0.04327025154337279,0.04635104,0.28677975463011834,0.205262934,0.3304168416413836,0.214360754,0.19170605236650493,0.13241193799999998,0.08621316453210749,0.06514834,26.483338058253622
2021-01-15 05:00:00,612.3,47.983673162850536,707.0765166005131,286.41999999999996,48.38,0.1138,0.0818,0.158,0.0275,0.1458,0.0768,31.8,79.64,12.44,0.024,0.033,0.0,0.035,0.06,0.0,0.258,0.18,0.063,0.301,0.161,0.085,0.177,0.092,0.045,0.075,0.079,0.018,0.0280691236223491,0.030243072,0.042398406586089274,0.04635104,0.28416421975826783,0.205262934,0.3280773910060062,0.214360754,0.19036922343200355,0.13241193799999998,0.08506523533835088,0.06514834,7.950849795138794
2021-01-15 06:00:00,597.4,50.754631907974826,661.3832914161017,289.37,39.38,0.1075,0.076,0.1443,0.0275,0.1383,0.0685,31.8,82.36,12.44,0.024,0.033,0.0,0.035,0.06,0.0,0.258,0.18,0.063,0.301,0.161,0.085,0.177,0.092,0.045,0.075,0.079,0.018,0.02896757070382771,0.030243072,0.044031946734232205,0.04635104,0.2890648402026966,0.205262934,0.33246072373685637,0.214360754,0.19287398499248937,0.13241193799999998,0.0872160632000724,0.06514834,10.15326198260479
2021-01-15 07:00:00,512.6,57.1952930504696,548.6790897440758,292.32,30.38,0.0988,0.0625,0.0943,0.028,0.1035,0.0503,31.8,86.76,12.44,0.024,0.033,0.0,0.035,0.06,0.0,0.258,0.18,0.063,0.301,0.161,0.085,0.177,0.092,0.045,0.075,0.079,0.018,0.03151278836488416,0.030243072,0.048659615208880284,0.04635104,0.30294784562664084,0.205262934,0.3448783008104954,0.214360754,0.19996974332028308,0.13241193799999998,0.0933091600250257,0.06514834,25.544641688119953
2021-01-18 06:00:00,676.3,50.12309345228863,670.832987267965,282.07,56.92,0.1053,0.072,0.1545,0.028,0.1323,0.071,31.8,81.74,12.44,0.024,0.029,0.0,0.036,0.057,0.0,0.266,0.153,0.067,0.309,0.137,0.089,0.177,0.092,0.045,0.077,0.075,0.019,0.028176802058978927,0.029486336000000002,0.04420957646075168,0.046783488,0.292525231552544,0.202644478,0.33665278903724527,0.21230985000000002,0.19227554446296763,0.13241193799999998,0.08816307429046275,0.065013982,10.126430585927409
2021-01-18 07:00:00,585.9,56.57838620702752,558.7824945820333,284.85999999999996,43.3,0.0865,0.0568,0.102,0.028,0.1075,0.0513,31.8,86.14,12.44,0.024,0.029,0.0,0.036,0.057,0.0,0.266,0.153,0.067,0.309,0.137,0.089,0.177,0.092,0.045,0.077,0.075,0.019,0.030362128956355434,0.029486336000000002,0.048504874155595165,0.046783488,0.30405471483870283,0.202644478,0.34697657472485155,0.21230985000000002,0.1992083056546448,0.13241193799999998,0.09381478178367784,0.065013982,25.711369550696276
2021-01-19 02:00:00,377.4,62.97258018196902,439.7648319878017,274.52,85.28,0.0838,0.0788,0.0905,0.0268,0.1158,0.0513,31.8,82.4,12.44,0.024,0.029,0.0,0.036,0.057,0.0,0.266,0.153,0.067,0.309,0.136,0.09,0.177,0.092,0.045,0.077,0.074,0.019,0.03313637817592065,0.029486336000000002,0.05395770882853368,0.046783488,0.3186912710660641,0.202644478,0.35994646316983475,0.210743044,0.20800937214429996,0.13241193799999998,0.10067451672476302,0.064824798,56.74440317208203
2021-01-19 03:00:00,504.1,54.4400541468907,596.3819881301962,277.59999999999997,73.77,0.0955,0.063,0.105,0.027,0.1075,0.0508,31.8,79.28,12.44,0.024,0.029,0.0,0.036,0.057,0.0,0.266,0.153,0.067,0.309,0.136,0.09,0.177,0.092,0.045,0.077,0.074,0.019,0.029573478618543037,0.029486336000000002,0.04695476831920528,0.046783488,0.2998939044357616,0.202644478,0.343237692831788,0.210743044,0.19670638044503308,0.13241193799999998,0.09158297992317878,0.064824798,43.63366267229921
2021-01-19 04:00:00,608.7,48.82142739343065,691.8199323867955,280.67999999999995,62.26,0.1505,0.1185,0.1758,0.031,0.165,0.1223,31.8,78.06,12.44,0.024,0.029,0.0,0.036,0.057,0.0,0.266,0.153,0.067,0.309,0.136,0.09,0.177,0.092,0.045,0.077,0.074,0.019,0.027804284570700274,0.029486336000000002,0.043477386914824674,0.046783488,0.2905598806661084,0.202644478,0.3349407828143185,0.210743044,0.19109376484498017,0.13241193799999998,0.0870684847666145,0.064824798,27.15261874459216
2021-01-19 05:00:00,650.8,47.17668572043839,718.3798302138654,283.16999999999996,53.55,0.121,0.0885,0.159,0.0288,0.1508,0.0835,31.8,78.82000000000001,12.44,0.024,0.029,0.0,0.036,0.057,0.0,0.266,0.153,0.067,0.309,0.136,0.09,0.177,0.092,0.045,0.077,0.074,0.019,0.02736412674525318,0.029486336000000002,0.042612249119980385,0.046783488,0.2882376686904737,0.202644478,0.33287659439153217,0.210743044,0.1896974020883894,0.13241193799999998,0.0859453234189219,0.064824798,8.320089954165468
2021-01-19 06:00:00,601.0,49.9021951459879,674.013567550294,285.65999999999997,44.85,0.1115,0.0793,0.1465,0.0275,0.1363,0.0698,31.8,81.52,12.44,0.024,0.029,0.0,0.036,0.057,0.0,0.266,0.153,0.067,0.309,0.136,0.09,0.177,0.092,0.045,0.077,0.074,0.019,0.028112048710520865,0.029486336000000002,0.04408230263792032,0.046783488,0.29218360181757563,0.202644478,0.3363840905045116,0.210743044,0.1920701200471696,0.13241193799999998,0.08785381395098427,0.064824798,10.12963859731056
2021-01-19 07:00:00,535.4,56.36513659626087,562.1551859445327,288.15999999999997,36.14,0.0998,0.0655,0.0968,0.0273,0.1058,0.0508,31.8,85.92,12.44,0.024,0.029,0.0,0.036,0.057,0.0,0.266,0.153,0.067,0.309,0.136,0.09,0.177,0.092,0.045,0.077,0.074,0.019,0.030280477856025487,0.029486336000000002,0.04834438751011906,0.046783488,0.30362393489558276,0.202644478,0.34655327546274023,0.210743044,0.198949274577736,0.13241193799999998,0.09338704694296159,0.064824798,25.781529437633708
