index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
26,2021-01-08 04:00:00,492.7,58.28260580836465,549.3475585813931,266.09,30.36,0.1255,0.0725,0.0375,0.0263,0.0625,0.0378,44.96,99.6,0.04,0.084,0.056,0.0,0.062,0.011,0.0,0.036,0.004,0.0,0.023,0.018,0.001,0.017,0.026,0.001,0.012,0.0,0.0,0.0975928284751887,0.094594304,0.0646700198790549,0.064081024,0.0369709163196563,0.036756736,0.0273701234384535,0.02502769,0.0233119560777661,0.020541162,0.012,0.012,26.87870606523427
25,2021-01-08 03:00:00,465.0,60.30070640324893,512.7201536632414,265.21,36.45,0.1195,0.0668,0.0328,0.0263,0.0573,0.0293,44.96,95.82,0.04,0.084,0.056,0.0,0.062,0.011,0.0,0.036,0.004,0.0,0.023,0.018,0.001,0.017,0.026,0.001,0.012,0.0,0.0,0.0992523533214637,0.094594304,0.0649959979738589,0.064081024,0.0370894538086759,0.036756736,0.0279035421390419,0.02502769,0.0240824497563938,0.020541162,0.012,0.012,42.86236549739067
17,2021-01-07 04:00:00,531.1,58.41265424481465,547.2935702467933,259.57,47.4,0.1335,0.0933,0.0523,0.0293,0.0705,0.0398,44.96,99.76,0.04,0.081,0.054,0.0,0.063,0.011,0.0,0.034,0.003,0.0,0.021,0.017,0.001,0.017,0.026,0.001,0.012,0.0,0.0,0.0942069413844993,0.091215936,0.0656903028746202,0.065081024,0.0347337189658055,0.034567552,0.0251587408062312,0.022838506,0.0233598977036478,0.020541162,0.012,0.012,26.75934944602568
33,2021-01-09 03:00:00,474.7,60.19193281115077,514.4256966058799,268.95,38.75,0.1123,0.066,0.0328,0.0283,0.0638,0.0253,44.96,95.66,0.04,0.083,0.055,0.0,0.062,0.011,0.0,0.037,0.004,0.0,0.024,0.02,0.001,0.017,0.026,0.001,0.012,0.0,0.0,0.0978890479608753,0.09340512,0.064977809592175,0.064081024,0.0380828398517,0.037756736,0.0294151992585001,0.026406058,0.0240394590360501,0.020541162,0.012,0.012,43.01235509171181
53,2021-01-16 02:00:00,362.2,64.58174794659688,430.5828453197937,268.37,63.84,0.1377,0.1108,0.085,0.0413,0.0878,0.06,44.96,91.64,0.04,0.082,0.055,0.0,0.062,0.011,0.0,0.037,0.004,0.0,0.027,0.022,0.002,0.022,0.033,0.002,0.017,0.0,0.0,0.1008497010587769,0.09240512,0.0657699402117553,0.064081024,0.0383708873497292,0.037756736,0.0345438804235107,0.0284068039999999,0.0333138206352661,0.0254878279999999,0.017,0.017,58.75854805980333
36,2021-01-09 06:00:00,382.0,64.05885970614045,442.49272150839425,270.87,34.61,0.1148,0.0693,0.035,0.0243,0.0585,0.0275,44.96,109.12,0.04,0.083,0.055,0.0,0.062,0.011,0.0,0.037,0.004,0.0,0.024,0.02,0.001,0.017,0.026,0.001,0.012,0.0,0.0,0.1013459955315815,0.09340512,0.0656691991063163,0.064081024,0.0383342542204786,0.037756736,0.0306722711023933,0.026406058,0.0256736524331112,0.020541162,0.012,0.012,4.088111721742877
51,2021-01-12 03:00:00,446.8,59.82252863029425,520.2809963207504,275.14,33.55,0.1248,0.0748,0.046,0.026,0.0705,0.0395,44.96,95.14,0.04,0.082,0.054,0.0,0.062,0.011,0.0,0.036,0.004,0.0,0.026,0.021,0.002,0.021,0.032,0.002,0.016,0.0,0.0,0.096317713495511,0.092215936,0.0649165712676041,0.064081024,0.0370605713700378,0.036756736,0.0315719996926987,0.0272176199999999,0.0294885709603028,0.024298644,0.016,0.016,43.464810352636846
42,2021-01-10 05:00:00,475.0,59.3436131211792,529.5963718370798,272.07,38.19,0.1268,0.0785,0.0443,0.0263,0.0658,0.033,44.96,103.84,0.04,0.083,0.055,0.0,0.062,0.011,0.0,0.037,0.004,0.0,0.024,0.02,0.001,0.017,0.026,0.001,0.012,0.0,0.0,0.0971919637695876,0.09340512,0.0648383927539175,0.064081024,0.0380321428196063,0.037756736,0.0291617140980318,0.026406058,0.0237099283274414,0.020541162,0.012,0.012,10.894156816308396
54,2021-01-17 03:00:00,459.7,59.065937886500706,532.4993336373542,272.79999999999995,43.46,0.1268,0.0795,0.0463,0.0258,0.0668,0.0333,44.96,94.16,0.04,0.082,0.055,0.0,0.062,0.011,0.0,0.037,0.004,0.0,0.027,0.022,0.002,0.022,0.033,0.002,0.017,0.0,0.0,0.0959684421963798,0.09240512,0.0647936884392759,0.064081024,0.0380158867051912,0.037756736,0.0325913768785519,0.0284068039999999,0.0303850653178278,0.0254878279999999,0.017,0.017,44.22126176262793
147,2021-02-17 03:00:00,657.6,50.98252283516417,658.2694187159817,270.22999999999996,40.13,0.1175,0.0658,0.0313,0.0265,0.0628,0.0363,44.96,85.4,0.04,0.07,0.046,0.0,0.052,0.009,0.0,0.032,0.003,0.0,0.02,0.016,0.001,0.015,0.023,0.001,0.015,0.0,0.0,0.0770345088261835,0.078702464,0.0533763169442533,0.0537026559999999,0.0324587723147511,0.032567552,0.0224477856786725,0.021649322,0.0185182544130917,0.01797361,0.015,0.015,48.56287082945517
