index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
0,2021-02-07 06:00:00,582.0,56.70816351830855,564.9780706382054,270.0,40.77,0.1453,0.1423,0.1765,0.0305,0.2143,0.1753,45.12,101.56,1.04,0.072,0.034,0.005,0.141,0.05,0.015,0.245,0.142,0.033,0.305,0.085,0.043,0.379,0.0,0.094,0.24,0.159,0.036,0.07954269265173745,0.07154414599999999,0.15228043037020214,0.12979486999999998,0.2774864222513741,0.22640260199999998,0.3256432316293436,0.261842894,0.387836,0.249503532,0.27645226857724287,0.22048586399999998,8.60425412247372
1,2021-02-10 03:00:00,528.2,56.797098641432115,563.2141320778449,271.31,66.02,0.139,0.1233,0.1473,0.0293,0.1728,0.1398,45.12,92.38,1.04,0.065,0.024,0.0,0.126,0.048,0.004,0.23,0.14,0.023,0.306,0.126,0.045,0.309,0.164,0.046,0.218,0.165,0.021,0.07033509488019841,0.06954041600000001,0.13668618976039681,0.129570344,0.26165038680115743,0.224800454,0.33603424812104166,0.26784419400000004,0.3475724816813558,0.276655564,0.2551197773013641,0.220285298,43.9602281949922
2,2021-02-11 03:00:00,514.3,56.4951823655297,568.432553246921,263.17999999999995,84.41,0.1438,0.125,0.1448,0.0293,0.1733,0.138,45.12,92.06,1.04,0.066,0.029,0.0,0.133,0.064,0.009,0.24,0.158,0.029,0.318,0.148,0.053,0.311,0.165,0.046,0.238,0.196,0.034,0.07233019089322505,0.071486336,0.1470510764540139,0.13270917799999998,0.2753296262458468,0.22994003400000002,0.3531148017999072,0.272985266,0.3491326033580046,0.27884474800000003,0.28193935914041757,0.22824091600000002,44.11245758294544
4,2021-02-15 02:00:00,569.4,62.26895625608316,463.4347533516095,271.2,93.22,0.1735,0.1795,0.1948,0.0275,0.221,0.1925,45.12,89.32000000000001,1.04,0.068,0.031,0.0,0.136,0.075,0.009,0.246,0.169,0.032,0.309,0.213,0.044,0.31,0.165,0.046,0.247,0.229,0.039,0.07740591570555591,0.073864704,0.15883724767473203,0.137790202,0.29830141142706285,0.233888192,0.37556374339623894,0.288680824,0.36217974488441046,0.27784474800000003,0.31800340956684847,0.23659587799999998,59.763479211522935
5,2021-02-15 03:00:00,640.9,55.24298891191391,589.0031011143919,270.75,78.51,0.1455,0.1343,0.1588,0.0275,0.1773,0.1458,45.12,90.72,1.04,0.068,0.031,0.0,0.136,0.075,0.009,0.246,0.169,0.032,0.309,0.213,0.044,0.31,0.165,0.046,0.247,0.229,0.039,0.07426609578532681,0.073864704,0.15124090915804872,0.137790202,0.2811843286361364,0.233888192,0.3539901420088583,0.288680824,0.34546780014770717,0.27784474800000003,0.29480925596257535,0.23659587799999998,44.71543912644145
6,2021-02-15 04:00:00,602.2,51.180253695489405,657.342394773262,270.28999999999996,63.79,0.1573,0.1548,0.1945,0.0275,0.2118,0.173,45.12,92.9,1.04,0.068,0.031,0.0,0.136,0.075,0.009,0.246,0.169,0.032,0.309,0.213,0.044,0.31,0.165,0.046,0.247,0.229,0.039,0.0728055724865436,0.073864704,0.14770738504808936,0.137790202,0.273222120975028,0.233888192,0.34395493353657375,0.288680824,0.3376940471057966,0.27784474800000003,0.28402022901349944,0.23659587799999998,27.123051464481733
7,2021-02-16 03:00:00,637.1,54.91937610643723,593.6464965787144,261.82,58.25,0.128,0.116,0.1528,0.028,0.1788,0.1455,45.12,90.38,1.04,0.068,0.03,0.0,0.136,0.075,0.009,0.246,0.169,0.032,0.309,0.213,0.044,0.31,0.165,0.046,0.247,0.229,0.039,0.07394258717021587,0.07367552000000001,0.1509374679255397,0.137790202,0.2805005743922161,0.233888192,0.3531283689085327,0.288680824,0.3448002294361873,0.27784474800000003,0.29388274873264786,0.23659587799999998,44.86464851478914
8,2021-02-16 04:00:00,629.6,50.83655616625446,661.997796093401,262.81,53.41,0.1405,0.1418,0.1878,0.0285,0.2158,0.1815,45.12,92.56,1.04,0.068,0.03,0.0,0.136,0.075,0.009,0.246,0.169,0.032,0.309,0.213,0.044,0.31,0.165,0.046,0.247,0.229,0.039,0.07254168486468354,0.07367552000000001,0.14743521216170885,0.137790202,0.2726088247377173,0.233888192,0.3431819625392531,0.288680824,0.33709526675575946,0.27784474800000003,0.28318919446708435,0.23659587799999998,27.175558538859406
9,2021-02-17 04:00:00,649.7,50.48919196778434,666.676435006743,260.82,46.8,0.1415,0.1453,0.1913,0.0288,0.2213,0.1865,45.12,92.22,1.04,0.068,0.03,0.0,0.135,0.074,0.009,0.246,0.169,0.032,0.309,0.212,0.043,0.31,0.165,0.046,0.247,0.229,0.039,0.07243329455832831,0.07367552000000001,0.14601645991054316,0.136601018,0.2719982260119161,0.233888192,0.3421776148788533,0.289869262,0.3364991200708057,0.27784474800000003,0.28236181512857267,0.23659587799999998,27.225423519621273
10,2021-02-18 03:00:00,641.8,54.26029841735942,603.0438846032893,263.37,53.56,0.129,0.121,0.1565,0.028,0.182,0.15,45.12,89.68,1.04,0.068,0.03,0.0,0.135,0.075,0.009,0.246,0.169,0.032,0.309,0.212,0.044,0.31,0.165,0.046,0.247,0.229,0.039,0.07370019312328367,0.07367552000000001,0.14933148280820918,0.136790202,0.27913508792783137,0.233888192,0.35121736473787124,0.28849164,0.34346706217806017,0.27784474800000003,0.29203247417439865,0.23659587799999998,45.161227372440266
11,2021-02-18 04:00:00,640.3,50.13828120256545,671.375229215716,266.14,51.1,0.1435,0.1468,0.1928,0.0305,0.2215,0.187,45.12,91.88,1.04,0.068,0.03,0.0,0.135,0.075,0.009,0.246,0.169,0.032,0.309,0.212,0.044,0.31,0.165,0.046,0.247,0.229,0.039,0.07232545940870111,0.07367552000000001,0.14589464852175274,0.136790202,0.2713907546690162,0.233888192,0.34150257982148774,0.28849164,0.335906026747856,0.27784474800000003,0.28153867348641837,0.23659587799999998,27.27264107957629
12,2021-02-19 03:00:00,709.3,53.92507778646824,607.7915699693824,273.32,53.87,0.1233,0.12,0.1603,0.0303,0.1893,0.1558,45.12,89.34,1.04,0.068,0.03,0.0,0.134,0.074,0.009,0.245,0.169,0.032,0.308,0.212,0.043,0.309,0.164,0.046,0.249,0.23,0.039,0.07357935732725779,0.07367552000000001,0.14784341474056922,0.135601018,0.2774543796102189,0.232888192,0.349276458445955,0.288869262,0.34161648672234257,0.276655564,0.2932960728423097,0.238785062,45.30861831612961
13,2021-02-22 03:00:00,597.2,52.898189319653234,622.1926011951781,272.59999999999997,64.55,0.134,0.126,0.1598,0.0275,0.1875,0.1488,45.12,88.28,1.04,0.067,0.03,0.0,0.134,0.074,0.009,0.245,0.169,0.032,0.308,0.212,0.043,0.309,0.164,0.046,0.249,0.23,0.039,0.07221934482696069,0.07267552000000001,0.14695538390650303,0.135601018,0.27542630919187855,0.232888192,0.34673237011052216,0.288869262,0.3396484183873851,0.276655564,0.2905359770066986,0.238785062,45.74742793020275
14,2021-02-22 04:00:00,627.2,48.70160387782976,690.3108149154574,276.03,54.74,0.1488,0.1475,0.193,0.0285,0.2203,0.1818,45.12,90.48,1.04,0.067,0.03,0.0,0.134,0.074,0.009,0.245,0.169,0.032,0.308,0.212,0.043,0.309,0.164,0.046,0.249,0.23,0.039,0.07090111587956795,0.07267552000000001,0.14370375250293427,0.135601018,0.2680002861215661,0.232888192,0.33741688554894683,0.288869262,0.3324421001416381,0.276655564,0.2804295550766876,0.238785062,27.435092199104048
15,2021-02-23 03:00:00,567.5,52.549241923957425,627.0350694522629,265.89,51.08,0.2555,0.257,0.2697,0.037,0.1405,0.1208,45.12,87.92,1.04,0.067,0.03,0.0,0.134,0.074,0.009,0.245,0.169,0.032,0.308,0.212,0.043,0.309,0.164,0.046,0.249,0.23,0.039,0.07210045111243804,0.07267552000000001,0.14666211274401383,0.135601018,0.2747565412667343,0.232888192,0.34589218786122883,0.288869262,0.33899846608132794,0.276655564,0.2896244585286917,0.238785062,45.89267118347246
31,2021-03-21 03:00:00,865.6,42.76091977155827,749.9192911449819,272.65999999999997,63.06,0.136,0.118,0.2155,0.0318,0.1783,0.1263,45.12,78.12,1.04,0.064,0.028,0.0,0.121,0.067,0.008,0.274,0.189,0.036,0.324,0.223,0.046,0.285,0.151,0.042,0.212,0.196,0.033,0.06626097618925861,0.069297152,0.1264741930242974,0.12265435199999998,0.2905575892774957,0.26016138400000005,0.3441230603644525,0.30281742,0.2989571215920732,0.25570666,0.22891583332481028,0.203618538,49.70755591659858
32,2021-03-21 04:00:00,858.5,38.15077646013721,811.7334930059177,272.2,67.53,0.1448,0.1405,0.2503,0.0338,0.2095,0.155,45.12,80.48,1.04,0.064,0.028,0.0,0.121,0.067,0.008,0.274,0.189,0.036,0.324,0.223,0.046,0.285,0.151,0.042,0.212,0.196,0.033,0.06544923053957809,0.069297152,0.12453180164827611,0.12265435199999998,0.28507830614215207,0.26016138400000005,0.3376580860830683,0.30281742,0.29457949326701033,0.25570666,0.22323361377704656,0.203618538,27.59303498982993
