index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
8,2021-02-16 04:00:00,629.6,50.83655616625446,661.997796093401,262.81,53.41,0.1405,0.1418,0.1878,0.0285,0.2158,0.1815,45.12,92.56,1.04,0.068,0.03,0.0,0.136,0.075,0.009,0.246,0.169,0.032,0.309,0.213,0.044,0.31,0.165,0.046,0.247,0.229,0.039,0.0725416848646835,0.07367552,0.1474352121617088,0.137790202,0.2726088247377173,0.233888192,0.3431819625392531,0.288680824,0.3370952667557594,0.277844748,0.2831891944670843,0.2365958779999999,27.17555853885941
7,2021-02-16 03:00:00,637.1,54.91937610643723,593.6464965787144,261.82,58.25,0.128,0.116,0.1528,0.028,0.1788,0.1455,45.12,90.38,1.04,0.068,0.03,0.0,0.136,0.075,0.009,0.246,0.169,0.032,0.309,0.213,0.044,0.31,0.165,0.046,0.247,0.229,0.039,0.0739425871702158,0.07367552,0.1509374679255397,0.137790202,0.2805005743922161,0.233888192,0.3531283689085327,0.288680824,0.3448002294361873,0.277844748,0.2938827487326478,0.2365958779999999,44.86464851478914
2,2021-02-11 03:00:00,514.3,56.4951823655297,568.432553246921,263.17999999999995,84.41,0.1438,0.125,0.1448,0.0293,0.1733,0.138,45.12,92.06,1.04,0.066,0.029,0.0,0.133,0.064,0.009,0.24,0.158,0.029,0.318,0.148,0.053,0.311,0.165,0.046,0.238,0.196,0.034,0.072330190893225,0.071486336,0.1470510764540139,0.1327091779999999,0.2753296262458468,0.229940034,0.3531148017999072,0.272985266,0.3491326033580046,0.278844748,0.2819393591404175,0.228240916,44.11245758294544
0,2021-02-07 06:00:00,582.0,56.70816351830855,564.9780706382054,270.0,40.77,0.1453,0.1423,0.1765,0.0305,0.2143,0.1753,45.12,101.56,1.04,0.072,0.034,0.005,0.141,0.05,0.015,0.245,0.142,0.033,0.305,0.085,0.043,0.379,0.0,0.094,0.24,0.159,0.036,0.0795426926517374,0.0715441459999999,0.1522804303702021,0.1297948699999999,0.2774864222513741,0.2264026019999999,0.3256432316293436,0.261842894,0.387836,0.249503532,0.2764522685772428,0.2204858639999999,8.60425412247372
14,2021-02-22 04:00:00,627.2,48.70160387782976,690.3108149154574,276.03,54.74,0.1488,0.1475,0.193,0.0285,0.2203,0.1818,45.12,90.48,1.04,0.067,0.03,0.0,0.134,0.074,0.009,0.245,0.169,0.032,0.308,0.212,0.043,0.309,0.164,0.046,0.249,0.23,0.039,0.0709011158795679,0.07267552,0.1437037525029342,0.135601018,0.2680002861215661,0.232888192,0.3374168855489468,0.288869262,0.3324421001416381,0.276655564,0.2804295550766876,0.238785062,27.435092199104048
12,2021-02-19 03:00:00,709.3,53.92507778646824,607.7915699693824,273.32,53.87,0.1233,0.12,0.1603,0.0303,0.1893,0.1558,45.12,89.34,1.04,0.068,0.03,0.0,0.134,0.074,0.009,0.245,0.169,0.032,0.308,0.212,0.043,0.309,0.164,0.046,0.249,0.23,0.039,0.0735793573272577,0.07367552,0.1478434147405692,0.135601018,0.2774543796102189,0.232888192,0.349276458445955,0.288869262,0.3416164867223425,0.276655564,0.2932960728423097,0.238785062,45.30861831612961
6,2021-02-15 04:00:00,602.2,51.180253695489405,657.342394773262,270.28999999999996,63.79,0.1573,0.1548,0.1945,0.0275,0.2118,0.173,45.12,92.9,1.04,0.068,0.031,0.0,0.136,0.075,0.009,0.246,0.169,0.032,0.309,0.213,0.044,0.31,0.165,0.046,0.247,0.229,0.039,0.0728055724865436,0.073864704,0.1477073850480893,0.137790202,0.273222120975028,0.233888192,0.3439549335365737,0.288680824,0.3376940471057966,0.277844748,0.2840202290134994,0.2365958779999999,27.123051464481733
13,2021-02-22 03:00:00,597.2,52.898189319653234,622.1926011951781,272.59999999999997,64.55,0.134,0.126,0.1598,0.0275,0.1875,0.1488,45.12,88.28,1.04,0.067,0.03,0.0,0.134,0.074,0.009,0.245,0.169,0.032,0.308,0.212,0.043,0.309,0.164,0.046,0.249,0.23,0.039,0.0722193448269606,0.07267552,0.146955383906503,0.135601018,0.2754263091918785,0.232888192,0.3467323701105221,0.288869262,0.3396484183873851,0.276655564,0.2905359770066986,0.238785062,45.74742793020275
5,2021-02-15 03:00:00,640.9,55.24298891191391,589.0031011143919,270.75,78.51,0.1455,0.1343,0.1588,0.0275,0.1773,0.1458,45.12,90.72,1.04,0.068,0.031,0.0,0.136,0.075,0.009,0.246,0.169,0.032,0.309,0.213,0.044,0.31,0.165,0.046,0.247,0.229,0.039,0.0742660957853268,0.073864704,0.1512409091580487,0.137790202,0.2811843286361364,0.233888192,0.3539901420088583,0.288680824,0.3454678001477071,0.277844748,0.2948092559625753,0.2365958779999999,44.71543912644145
4,2021-02-15 02:00:00,569.4,62.26895625608316,463.4347533516095,271.2,93.22,0.1735,0.1795,0.1948,0.0275,0.221,0.1925,45.12,89.32000000000001,1.04,0.068,0.031,0.0,0.136,0.075,0.009,0.246,0.169,0.032,0.309,0.213,0.044,0.31,0.165,0.046,0.247,0.229,0.039,0.0774059157055559,0.073864704,0.158837247674732,0.137790202,0.2983014114270628,0.233888192,0.3755637433962389,0.288680824,0.3621797448844104,0.277844748,0.3180034095668484,0.2365958779999999,59.763479211522935
37,2021-03-22 05:00:00,738.2,37.88659505565163,813.9047126056215,274.88,46.82,0.161,0.163,0.2805,0.0323,0.2365,0.18,45.12,83.10000000000001,1.04,0.064,0.029,0.0,0.121,0.067,0.008,0.275,0.19,0.036,0.325,0.223,0.046,0.285,0.151,0.042,0.211,0.196,0.033,0.0654592581905027,0.069486336,0.1244353896125407,0.1226543519999999,0.2858566571101902,0.261350568,0.3383371922924864,0.30381742,0.2943622064402037,0.25570666,0.2219515725978804,0.202618538,2.989718032750801
35,2021-03-22 03:00:00,800.5,42.37332316716798,754.1821367586573,273.09,51.33,0.1415,0.139,0.232,0.0333,0.1948,0.1445,45.12,77.74,1.04,0.064,0.029,0.0,0.121,0.067,0.008,0.275,0.19,0.036,0.325,0.223,0.046,0.285,0.151,0.042,0.211,0.196,0.033,0.06626249800887,0.069486336,0.126291150572217,0.1226543519999999,0.2911192628167349,0.261350568,0.3445138295164835,0.30381742,0.2985445930806682,0.25570666,0.2273803658530528,0.202618538,49.86458275312319
34,2021-03-22 02:00:00,746.6,50.43410942415793,634.0140168051618,271.48999999999995,55.73,0.1225,0.1183,0.191,0.031,0.1668,0.1208,45.12,76.16,1.04,0.064,0.029,0.0,0.121,0.067,0.008,0.275,0.19,0.036,0.325,0.223,0.046,0.285,0.151,0.042,0.211,0.196,0.033,0.0682690488768907,0.069486336,0.1309269749914372,0.1226543519999999,0.3042656305727326,0.261350568,0.3599435137774703,0.30381742,0.3089924958762242,0.25570666,0.240941882064503,0.202618538,67.42284499383013
