Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,aod,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
2021-01-01 05:00:00,440.5,62.55033736266087,513.1097622863045,268.28,33.93,0.1495,0.1635,0.1928,0.0305,0.1848,0.1533,45.7,108.16,27.28,0.205646,0.07,0.04,0.002,0.194,0.08,0.016,0.255,0.112,0.022,0.3,0.152,0.025,0.31,0.162,0.04,0.226,0.082,0.01,0.07946398252266293,0.074812116,0.1957837142458396,0.187092768,0.258068674970825,0.245880924,0.311103969926864,0.294315418,0.3027539958414839,0.28554292800000003,0.23697190752837827,0.227736868,1.2168196254582995
2021-01-01 06:00:00,444.6,62.90873340734986,505.8552668130981,270.63,28.45,0.144,0.155,0.1793,0.0315,0.175,0.1443,45.7,106.9,27.28,0.205646,0.07,0.04,0.002,0.194,0.08,0.016,0.255,0.112,0.022,0.3,0.152,0.025,0.31,0.162,0.04,0.226,0.082,0.01,0.07969916930007238,0.074812116,0.1962380457717904,0.187092768,0.2587052738414517,0.245880924,0.3119744187391612,0.294315418,0.3036638572299178,0.28554292800000003,0.23744615309120748,0.227736868,16.746537441783488
2021-01-02 05:00:00,495.4,62.47243626447309,514.6934165408892,264.85999999999996,48.08,0.1585,0.1735,0.2068,0.0323,0.1848,0.1588,45.7,108.08,27.28,0.205646,0.07,0.04,0.002,0.194,0.08,0.016,0.255,0.112,0.022,0.3,0.152,0.025,0.31,0.162,0.04,0.226,0.082,0.01,0.07941325005451316,0.074812116,0.19568573259829725,0.187092768,0.2579313845546405,0.245880924,0.31091623731659285,0.294315418,0.3025577890880902,0.28554292800000003,0.2368696185856435,0.227736868,1.0873806785504598
2021-01-08 05:00:00,443.9,61.84955198619251,527.1852773127525,255.82999999999998,47.87,0.1483,0.163,0.189,0.036,0.1913,0.155,45.7,107.46,27.28,0.205646,0.08,0.045,0.002,0.198,0.081,0.017,0.257,0.113,0.022,0.299,0.152,0.025,0.315,0.165,0.041,0.238,0.086,0.011,0.0904956409968545,0.085758036,0.19778267806250344,0.18990433,0.259144046663873,0.248070108,0.30843390050838637,0.293315418,0.305472647612464,0.28973285800000004,0.2478222487950125,0.23911598199999998,0.3209419102944935
2021-01-08 06:00:00,470.1,62.044654973644846,523.2613532072631,255.89,47.73,0.1453,0.1558,0.181,0.0335,0.1863,0.1605,45.7,106.2,27.28,0.205646,0.08,0.045,0.002,0.198,0.081,0.017,0.257,0.113,0.022,0.299,0.152,0.025,0.315,0.165,0.041,0.238,0.086,0.011,0.09063595784201248,0.085758036,0.19802553367013964,0.18990433,0.25948408932674366,0.248070108,0.30889463279746204,0.293315418,0.30596273509748445,0.28973285800000004,0.24808520614136687,0.23911598199999998,16.05580531770545
2021-01-13 04:00:00,426.7,64.18298487449685,479.6716320784175,267.65999999999997,35.61,0.13,0.1398,0.1628,0.0353,0.1835,0.1588,45.7,108.34,27.28,0.205646,0.081,0.046,0.002,0.199,0.082,0.017,0.257,0.113,0.022,0.298,0.152,0.025,0.317,0.166,0.041,0.241,0.087,0.011,0.09357366995367274,0.08694722,0.20213777365126803,0.19109351400000002,0.26337121274187114,0.248070108,0.31316002631753065,0.292315418,0.313903427959688,0.291922042,0.2544251592483659,0.242305166,15.63579455600376
2021-01-13 05:00:00,455.7,61.131449251553576,541.364215610054,270.97999999999996,29.52,0.1403,0.159,0.1903,0.0355,0.2075,0.1865,45.7,106.74,27.28,0.205646,0.081,0.046,0.002,0.199,0.082,0.017,0.257,0.113,0.022,0.298,0.152,0.025,0.317,0.166,0.041,0.241,0.087,0.011,0.09127267107674761,0.08694722,0.19818883965355596,0.19109351400000002,0.2579131561224506,0.248070108,0.3057659623007954,0.292315418,0.3059841657608127,0.291922042,0.2501553818386148,0.242305166,0.295042615865043
2021-01-13 06:00:00,460.4,61.220630210549714,539.5829665629344,274.29999999999995,23.43,0.1333,0.1503,0.1758,0.035,0.1998,0.1815,45.7,105.46,27.28,0.205646,0.081,0.046,0.002,0.199,0.082,0.017,0.257,0.113,0.022,0.298,0.152,0.025,0.317,0.166,0.041,0.241,0.087,0.011,0.09133647821558846,0.08694722,0.1982981484210681,0.19109351400000002,0.25806425988702814,0.248070108,0.30597073289862114,0.292315418,0.30620327574421047,0.291922042,0.25027367832716696,0.242305166,15.643660335087588
2021-01-13 07:00:00,401.5,64.43717160982753,474.4677576217002,277.60999999999996,17.34,0.1215,0.124,0.1453,0.033,0.1698,0.1488,45.7,104.56,27.28,0.205646,0.081,0.046,0.002,0.199,0.082,0.017,0.257,0.113,0.022,0.298,0.152,0.025,0.317,0.166,0.041,0.241,0.087,0.011,0.09377648247734842,0.08694722,0.2024864817849711,0.19109351400000002,0.26385311186543214,0.248070108,0.31381262982684405,0.292315418,0.3146030617412248,0.291922042,0.25480184844990367,0.242305166,30.91970397286761
2021-01-20 04:00:00,442.1,63.074404504052936,501.7645470036779,267.28999999999996,39.4,0.135,0.1445,0.163,0.032,0.1708,0.1443,45.7,107.06,27.28,0.205646,0.089,0.051,0.002,0.201,0.083,0.017,0.257,0.113,0.022,0.296,0.151,0.025,0.341,0.179,0.044,0.262,0.095,0.012,0.1022931759352558,0.09589313999999999,0.20296966224396384,0.193282698,0.26131907144713395,0.248070108,0.3080638001762092,0.290126234,0.3347506973574108,0.314248568,0.27492392777585745,0.26344101600000003,16.713535915620298
2021-01-20 05:00:00,453.7,59.83652620873329,566.516324693764,268.65,36.93,0.1523,0.1708,0.2045,0.0315,0.2083,0.1803,45.7,105.44,27.28,0.205646,0.089,0.051,0.002,0.201,0.083,0.017,0.257,0.113,0.022,0.296,0.151,0.025,0.341,0.179,0.044,0.262,0.095,0.012,0.09969568703935658,0.09589313999999999,0.19890731032087003,0.193282698,0.2557746652157467,0.248070108,0.300602126912368,0.290126234,0.3260777658462093,0.314248568,0.2701847578213536,0.26344101600000003,1.0985148557419393
2021-01-21 04:00:00,420.2,62.888911315607544,505.42991951299103,267.98999999999995,40.3,0.1405,0.144,0.165,0.0305,0.183,0.1563,45.7,106.84,27.28,0.205646,0.089,0.051,0.002,0.201,0.083,0.017,0.257,0.113,0.022,0.296,0.151,0.025,0.341,0.179,0.044,0.262,0.095,0.012,0.102136230942721,0.09589313999999999,0.20272376340313492,0.193282698,0.26098350064018166,0.248070108,0.30761233582748787,0.290126234,0.3342254680944299,0.314248568,0.2746373111407521,0.26344101600000003,16.86750999104794
