Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,aod,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
2021-01-01 06:00:00,607.5,56.08083638881985,652.0123986165873,277.47999999999996,55.43,0.1033,0.083,0.0983,0.0373,0.1628,0.1055,36.84,91.82,40.6,0.06233,0.035,0.014,0.005,0.046,0.086,0.0,0.256,0.081,0.08,0.29,0.095,0.095,0.231,0.076,0.084,0.125,0.052,0.042,0.030954858052669263,0.030760466000000004,0.06430515151332955,0.062269824,0.16084009318682296,0.16111414400000001,0.17674485057304898,0.17709839,0.12915579992528464,0.12965773600000002,0.07705780834853318,0.07697744399999999,16.00593786822813
2021-01-03 06:00:00,551.3,55.85304127145969,656.4528641848955,279.25,54.24,0.1073,0.0878,0.1035,0.0325,0.1723,0.108,36.84,91.62,40.6,0.06233,0.03,0.012,0.005,0.048,0.089,0.0,0.258,0.082,0.081,0.292,0.096,0.096,0.233,0.077,0.084,0.126,0.053,0.042,0.025497845276847068,0.025382098000000002,0.06668122977160248,0.064837376,0.16147216959359528,0.161925706,0.17734787334576282,0.177909952,0.13121007897078724,0.13184692,0.07814861062795805,0.078166628,15.805814845441944
2021-01-12 05:00:00,664.7,53.39598304917685,703.1407996050132,275.34999999999997,41.74,0.1273,0.1105,0.1315,0.0493,0.152,0.0985,36.84,90.16,40.6,0.06233,0.009,0.003,0.001,0.07,0.0,0.025,0.315,0.0,0.122,0.339,0.0,0.128,0.244,0.08,0.089,0.155,0.0,0.061,0.008143707962543198,0.00818993,0.0351127869293374,0.035559450000000006,0.14475040021516647,0.14693011600000003,0.16037746907820746,0.16266438400000002,0.13418009441163317,0.136526362,0.06987520010758323,0.07096505800000001,2.1329257218173723
2021-01-14 05:00:00,651.0,53.06379343417988,709.2359806909742,276.88,50.48,0.1005,0.0848,0.1175,0.0538,0.1788,0.1173,36.84,89.82000000000001,40.6,0.06233,0.009,0.003,0.001,0.07,0.0,0.025,0.315,0.0,0.122,0.338,0.0,0.128,0.245,0.081,0.089,0.154,0.0,0.06,0.008133312713904176,0.00818993,0.035141875347199716,0.035559450000000006,0.1448923516943346,0.14693011600000003,0.15952640177766256,0.16166438400000002,0.1351512941364681,0.13771554600000002,0.0703405008332793,0.07134268,2.376152490655926
2021-01-15 05:00:00,614.1,52.887495107806096,712.4524983691513,279.52,45.06,0.0988,0.086,0.1158,0.0435,0.1853,0.1195,36.84,89.64,40.6,0.06233,0.011,0.004,0.001,0.071,0.0,0.025,0.316,0.0,0.122,0.34,0.0,0.128,0.244,0.08,0.088,0.156,0.0,0.061,0.010301714534902294,0.010379113999999998,0.03615727893317773,0.03655944999999999,0.14596752119390735,0.14793011600000003,0.16160526813787005,0.16366438400000002,0.13526208939628936,0.137903984,0.07098376059695367,0.07196505800000001,2.4949994247151324
2021-01-15 06:00:00,651.8,53.92434502276244,692.9345637002347,281.44,38.19,0.0933,0.0788,0.1003,0.0398,0.163,0.1093,36.84,89.82000000000001,40.6,0.06233,0.011,0.004,0.001,0.071,0.0,0.025,0.316,0.0,0.122,0.34,0.0,0.128,0.244,0.08,0.088,0.156,0.0,0.061,0.010346533339838584,0.010379113999999998,0.03606635020047671,0.03655944999999999,0.1455237889783264,0.14793011600000003,0.1611397130264408,0.16366438400000002,0.1359111393420684,0.137903984,0.0707618944891632,0.07196505800000001,14.904001449507433
2021-01-18 05:00:00,673.4,52.31861535581861,722.6475901897718,275.38,58.45,0.0988,0.092,0.1265,0.0558,0.182,0.1208,36.84,89.06,40.6,0.06233,0.012,0.004,0.001,0.071,0.0,0.025,0.316,0.0,0.122,0.344,0.0,0.13,0.245,0.081,0.089,0.158,0.0,0.062,0.011277982063208064,0.011379114,0.03620681945345696,0.03655944999999999,0.14620927893287003,0.14793011600000003,0.16307546115797622,0.16490913999999998,0.13469789027696993,0.13771554600000002,0.0717129122445733,0.072587436,2.8393414896904403
2021-01-19 05:00:00,629.1,52.1159082766874,726.2469088149587,277.06,53.72,0.1028,0.0885,0.1178,0.032,0.1848,0.1218,36.84,88.86,40.6,0.06233,0.012,0.004,0.002,0.071,0.0,0.025,0.316,0.0,0.122,0.344,0.0,0.13,0.245,0.081,0.089,0.158,0.0,0.062,0.009878646957087824,0.010001491999999999,0.036224410807940415,0.03655944999999999,0.14629512474274928,0.14793011600000003,0.16316693620129016,0.16490913999999998,0.13457795784843285,0.13771554600000002,0.07175653880369226,0.072587436,2.94977372035666
2021-01-19 06:00:00,672.6,53.08238312406184,708.2497525514669,278.72999999999996,47.99,0.1025,0.082,0.1055,0.0345,0.1705,0.1133,36.84,89.0,40.6,0.06233,0.012,0.004,0.002,0.071,0.0,0.025,0.316,0.0,0.122,0.344,0.0,0.13,0.245,0.081,0.089,0.158,0.0,0.062,0.00991559378895667,0.010001491999999999,0.036140249739213606,0.03655944999999999,0.14588441872736244,0.14793011600000003,0.16272929864391075,0.16490913999999998,0.13516285872044698,0.13771554600000002,0.07154781935324976,0.072587436,14.736749912428621
2021-01-22 05:00:00,656.3,51.46967354470417,737.6314806520819,280.65999999999997,61.47,0.118,0.123,0.146,0.0368,0.1655,0.1143,36.84,88.2,40.6,0.06233,0.015,0.006,0.002,0.068,0.0,0.022,0.297,0.0,0.111,0.338,0.0,0.127,0.252,0.083,0.091,0.152,0.0,0.057,0.013171120089110097,0.01337986,0.037446640454261854,0.03769231600000001,0.14284441320104838,0.14408395799999998,0.16162378807687522,0.16304200600000004,0.1387438534495041,0.14233867000000003,0.07283902299513295,0.073475546,3.266985986062963
2021-01-22 06:00:00,691.7,52.39169089139573,720.6210096835027,282.47999999999996,52.72,0.1093,0.112,0.1343,0.0345,0.1655,0.1128,36.84,88.34,40.6,0.06233,0.015,0.006,0.002,0.068,0.0,0.022,0.297,0.0,0.111,0.338,0.0,0.127,0.252,0.083,0.091,0.152,0.0,0.057,0.013225504852721094,0.01337986,0.037376413470828054,0.03769231600000001,0.14249008614826877,0.14408395799999998,0.16121838685432555,0.16304200600000004,0.13929400742411652,0.14233867000000003,0.07265707126532721,0.073475546,14.661640291258749
2021-01-28 05:00:00,624.6,50.01370588039511,762.7836570682144,280.01,66.63,0.145,0.1615,0.184,0.0385,0.2185,0.136,36.84,86.72,40.6,0.06233,0.014,0.017,0.001,0.065,0.02,0.021,0.269,0.0,0.09,0.336,0.0,0.121,0.237,0.078,0.086,0.141,0.059,0.047,0.015045821537779194,0.015838506000000002,0.03879847459078715,0.039853618,0.14445752924599942,0.14501402000000002,0.1685595670973992,0.16930773800000004,0.12914044945860986,0.13328085999999997,0.08439338824029219,0.08741362199999998,3.8326377347630967
2021-01-28 06:00:00,682.8,50.870073439996844,747.3233035365823,281.39,60.25,0.1493,0.1645,0.1933,0.0395,0.2335,0.1358,36.84,86.84,40.6,0.06233,0.014,0.017,0.001,0.065,0.02,0.021,0.269,0.0,0.09,0.336,0.0,0.121,0.237,0.078,0.086,0.141,0.059,0.047,0.015192869290724127,0.015838506000000002,0.03891353231267532,0.039853618,0.14419447986673534,0.14501402000000002,0.16820591182083305,0.16930773800000004,0.12957719121336275,0.13328085999999997,0.0847765039445289,0.08741362199999998,14.649650198819018
2021-01-31 06:00:00,736.1,50.0448868644723,761.4862178506069,283.4,42.51,0.286,0.3368,0.3415,0.0415,0.296,0.2413,36.84,86.0,40.6,0.06233,0.011,0.013,0.0,0.055,0.037,0.015,0.223,0.069,0.063,0.302,0.047,0.103,0.236,0.078,0.085,0.14,0.058,0.047,0.01286205026317134,0.013459391999999999,0.03954101335053993,0.04133547800000001,0.1456967835539597,0.14926351000000002,0.166189173122886,0.16899658199999998,0.12953984862863188,0.13365848199999997,0.08326378194094361,0.086224438,14.71605298272982
2021-02-01 05:00:00,704.2,48.9301097647808,781.0567150008934,280.33,57.88,0.132,0.1493,0.1803,0.0403,0.1603,0.1158,36.84,85.64,40.6,0.06233,0.011,0.013,0.0,0.055,0.037,0.015,0.223,0.069,0.063,0.302,0.046,0.103,0.235,0.077,0.085,0.14,0.058,0.047,0.012718940644831384,0.013459391999999999,0.0391902188896235,0.04133547800000001,0.1451745753584624,0.14926351000000002,0.16592763764454926,0.16880739800000003,0.1278692307170231,0.13246929799999996,0.08280238113436658,0.086224438,4.154971118271163
2021-02-02 05:00:00,661.4,48.645965073584236,785.7850219536962,280.64,55.62,0.164,0.177,0.2115,0.037,0.2443,0.1765,36.84,85.34,40.6,0.06233,0.007,0.049,0.0,0.034,0.07,0.0,0.169,0.144,0.024,0.317,0.049,0.118,0.234,0.077,0.085,0.177,0.0,0.074,0.013345874133812347,0.016270016,0.043065534476874785,0.04724288,0.15454853756692324,0.16317956800000002,0.16060144465269904,0.16371062000000003,0.12674093109494675,0.131469298,0.07493993405421707,0.075055972,4.228445146977236
2021-02-02 06:00:00,721.6,49.472834286769924,771.1724241649619,281.96,51.0,0.141,0.1368,0.1705,0.035,0.2065,0.1348,36.84,85.44,40.6,0.06233,0.007,0.049,0.0,0.034,0.07,0.0,0.169,0.144,0.024,0.317,0.049,0.118,0.234,0.077,0.085,0.177,0.0,0.074,0.013738330893142386,0.016270016,0.04362618699020341,0.04724288,0.15563510771827305,0.16317956800000002,0.16066560494992754,0.16371062000000003,0.12712116411995877,0.131469298,0.07473405322205168,0.075055972,14.788050049367001
2021-02-02 07:00:00,665.0,54.245751365117265,683.4750719201592,283.28999999999996,46.39,0.1265,0.1148,0.1375,0.0328,0.1755,0.1095,36.84,86.88,40.6,0.06233,0.007,0.049,0.0,0.034,0.07,0.0,0.169,0.144,0.024,0.317,0.049,0.118,0.234,0.077,0.085,0.177,0.0,0.074,0.016301694911149536,0.016270016,0.047288135587356485,0.04724288,0.16277207501590818,0.16317956800000002,0.16128106379867338,0.16371062000000003,0.12974615554812202,0.131469298,0.0735124855735319,0.075055972,32.04843951742973
2021-02-03 05:00:00,690.3,48.356714842902264,790.5711430810783,280.09,62.43,0.1313,0.1235,0.1535,0.042,0.2043,0.1388,36.84,85.06,40.6,0.06233,0.007,0.049,0.0,0.034,0.07,0.0,0.17,0.142,0.025,0.318,0.048,0.119,0.234,0.077,0.085,0.177,0.0,0.074,0.013212034484215283,0.016270016,0.042874334977450405,0.04724288,0.15354665552069144,0.162423578,0.16007676000648188,0.163143814,0.1266128411439313,0.131469298,0.0750115220880759,0.075055972,4.29903169559006
2021-02-03 06:00:00,738.3,49.180541684496774,776.0796562204712,281.91999999999996,56.36,0.124,0.12,0.155,0.0415,0.1995,0.1325,36.84,85.14,40.6,0.06233,0.007,0.049,0.0,0.034,0.07,0.0,0.17,0.142,0.025,0.318,0.048,0.119,0.234,0.077,0.085,0.177,0.0,0.074,0.013597921401054444,0.016270016,0.04342560200150635,0.04724288,0.15459585746214793,0.162423578,0.16012593853716894,0.163143814,0.12698435405399902,0.131469298,0.07480703761262718,0.075055972,14.832506277736343
2021-02-05 06:00:00,691.4,48.58397110870745,786.0067603081238,284.15,42.42,0.113,0.1055,0.1373,0.0333,0.182,0.1255,36.84,84.54,40.6,0.06233,0.007,0.048,0.0,0.034,0.07,0.0,0.173,0.141,0.028,0.317,0.05,0.119,0.234,0.077,0.085,0.177,0.0,0.075,0.013188120163707118,0.016080832,0.043024341905406216,0.04724288,0.15256609347867386,0.161101528,0.15934704311944453,0.16252218200000002,0.12671326510707748,0.131469298,0.07357631383335057,0.07367835,14.938588326102945
2021-02-05 07:00:00,671.1,53.417053756199195,698.3125798577308,285.98999999999995,35.42,0.1005,0.0915,0.11,0.0335,0.1535,0.1025,36.84,85.98,40.6,0.06233,0.007,0.048,0.0,0.034,0.07,0.0,0.173,0.141,0.028,0.317,0.05,0.119,0.234,0.077,0.085,0.177,0.0,0.075,0.015638960187323383,0.016080832,0.046598483606513266,0.04724288,0.1593011972845218,0.161101528,0.15992698673239755,0.16252218200000002,0.12923552473188055,0.131469298,0.07233281714533758,0.07367835,32.472615527514506
2021-02-06 05:00:00,669.0,47.45935047608747,805.2443846746868,282.84999999999997,49.66,0.1215,0.1165,0.151,0.0403,0.2173,0.1448,36.84,84.16,40.6,0.06233,0.009,0.011,0.0,0.053,0.036,0.015,0.174,0.144,0.031,0.317,0.054,0.121,0.231,0.076,0.084,0.177,0.0,0.075,0.010303839177608482,0.011081023999999998,0.03663849291579797,0.039146294,0.14843596476188098,0.158536214,0.15699648695228738,0.160523674,0.1244880875368663,0.12965773600000002,0.07385691439994192,0.07367835,4.493192270957451
2021-02-06 06:00:00,726.5,48.279925031180035,791.0202049672423,284.63,44.63,0.126,0.1175,0.1618,0.04,0.2285,0.1418,36.84,84.24,40.6,0.06233,0.009,0.011,0.0,0.053,0.036,0.015,0.174,0.144,0.031,0.317,0.054,0.121,0.231,0.076,0.084,0.177,0.0,0.075,0.010386628645794555,0.011081023999999998,0.03686856192103006,0.039146294,0.14943527225018646,0.158536214,0.15707315599335464,0.160523674,0.12483116876578687,0.12965773600000002,0.07365252267396666,0.07367835,15.000329206786944
2021-02-07 05:00:00,693.7,47.150714174018916,810.2294925222122,282.23999999999995,53.91,0.1253,0.1195,0.1558,0.0355,0.2118,0.1408,36.84,83.84,40.6,0.06233,0.006,0.054,0.0,0.041,0.071,0.007,0.191,0.121,0.048,0.263,0.126,0.082,0.234,0.077,0.085,0.18,0.0,0.079,0.012251791762299546,0.016215936,0.039600389504654165,0.04478871,0.1390459547428954,0.147765408,0.1649012524361082,0.17387218000000004,0.12610566217133418,0.131469298,0.0714364064341707,0.071167862,4.551928759268293
