index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
51,2021-01-10 04:00:00,461.3,64.87375425851853,441.03768477700856,264.52,43.37,0.2133,0.2433,0.2793,0.0283,0.0943,0.0683,52.1,113.16,6.88,0.537,0.011,0.008,0.6,0.001,0.0,0.613,0.031,0.0,0.313,0.086,0.0,0.101,0.096,0.0,0.079,0.038,0.006,0.5408909706865381,0.5280600480000001,0.6003479064260488,0.600189184,0.6237850992075167,0.618864704,0.3429199526402077,0.329269824,0.1343990169006969,0.119161664,0.0922564441898591,0.07792326,24.05781763247353
130,2021-01-28 03:00:00,482.9,63.1894507256281,472.1505339767699,258.25,45.42,0.209,0.2158,0.2603,0.0338,0.088,0.063,52.1,104.56,6.88,0.488,0.0,0.026,0.522,0.0,0.0,0.647,0.0,0.058,0.299,0.082,0.0,0.13,0.028,0.007,0.091,0.008,0.012,0.488676,0.452181828,0.522,0.522,0.650364,0.567097924,0.3251325460520813,0.314513088,0.1389723084080277,0.125653798,0.0936935166880079,0.075982008,41.55916517571404
64,2021-01-13 04:00:00,461.3,64.39609206621374,450.1801849540732,265.57,55.08,0.212,0.2368,0.2733,0.03,0.0968,0.072,52.1,112.6,6.88,0.536,0.011,0.008,0.6,0.001,0.0,0.614,0.031,0.0,0.313,0.086,0.0,0.101,0.096,0.0,0.079,0.038,0.006,0.5397979687186487,0.5270600480000001,0.6003394517016953,0.600189184,0.6245230027525555,0.619864704,0.342192846345799,0.329269824,0.1335873633627524,0.119161664,0.0919351646644228,0.07792326,24.368828365634272
103,2021-01-22 03:00:00,438.6,64.54991512284813,446.59976262071166,263.75,61.3,0.1908,0.2128,0.2453,0.0275,0.0838,0.059,52.1,106.08,6.88,0.527,0.0,0.026,0.645,0.0,0.053,0.688,0.0,0.063,0.429,0.0,0.053,0.138,0.029,0.007,0.088,0.009,0.009,0.527676,0.491181828,0.647809,0.571986034,0.691969,0.601209814,0.431809,0.355986034,0.1479716310526626,0.133842982,0.0911604372232401,0.077304058,40.80929009103704
96,2021-01-20 05:00:00,424.5,64.12782238638005,454.9217777765832,271.96999999999997,57.3,0.1973,0.2173,0.2528,0.0275,0.094,0.0663,52.1,115.74,6.88,0.532,0.0,0.028,0.648,0.0,0.054,0.691,0.0,0.064,0.432,0.0,0.054,0.138,0.029,0.007,0.088,0.008,0.009,0.532784,0.493426584,0.650916,0.573608412,0.6950959999999999,0.6028321919999999,0.4349159999999999,0.357608412,0.1477571047088417,0.133842982,0.0907590978507149,0.077114874,9.332238099271931
259,2021-02-23 03:00:00,563.3,55.12199341994113,613.8468679954024,267.64,27.96,0.1353,0.1475,0.1985,0.034,0.253,0.229,52.1,96.58,6.88,0.117,0.149,0.019,0.229,0.345,0.025,0.331,0.59,0.032,0.451,1.011,0.1,0.432,0.01,0.081,0.332,0.798,0.049,0.1472523834625718,0.119013598,0.2988365925811226,0.25982793,0.4503858539793112,0.398534656,0.6638200582594638,0.504502824,0.4405671331182934,0.3223044579999999,0.4944904228398141,0.415465354,44.2069343060806
250,2021-02-22 04:00:00,620.4,53.12377805699578,648.8799255446413,266.81,32.52,0.1468,0.1613,0.2223,0.0345,0.2803,0.2538,52.1,101.52,6.88,0.117,0.151,0.019,0.228,0.352,0.024,0.33,0.602,0.031,0.45,1.026,0.1,0.431,0.01,0.081,0.33,0.817,0.048,0.144023230337393,0.119391966,0.290729013766638,0.26152984,0.437256779225898,0.401182486,0.641161909444803,0.5063405839999999,0.4393267106183703,0.3213044579999999,0.4765625575208616,0.418437472,26.148239026242777
251,2021-02-22 05:00:00,630.5,54.23528264110265,629.7312638423036,267.34999999999997,31.13,0.153,0.1738,0.2428,0.0355,0.307,0.2755,52.1,106.08,6.88,0.117,0.151,0.019,0.228,0.352,0.024,0.33,0.602,0.031,0.45,1.026,0.1,0.431,0.01,0.081,0.33,0.817,0.048,0.1460062988407678,0.119391966,0.2953517959731806,0.26152984,0.4451627874314054,0.401182486,0.6546362689445548,0.5063405839999999,0.4394580396583289,0.3213044579999999,0.4872921400854788,0.418437472,7.844455377371872
258,2021-02-23 02:00:00,468.6,60.5545288796623,515.8393003276917,265.82,32.73,0.1168,0.115,0.157,0.0295,0.2033,0.182,52.1,92.18,6.88,0.117,0.149,0.019,0.229,0.345,0.025,0.331,0.59,0.032,0.451,1.011,0.1,0.432,0.01,0.081,0.332,0.798,0.049,0.1585218204704823,0.119013598,0.324930255451788,0.25982793,0.4950097991784202,0.398534656,0.7402858355413269,0.504502824,0.4413234711725156,0.3223044579999999,0.5548461995667446,0.415465354,60.47557956285186
268,2021-02-25 02:00:00,458.5,59.862717073355974,527.8471606670641,267.0,40.73,0.1213,0.1195,0.1568,0.0293,0.2068,0.1823,52.1,91.5,6.88,0.101,0.118,0.009,0.203,0.293,0.009,0.29,0.5,0.006,0.389,0.855,0.061,0.432,0.01,0.081,0.306,0.712,0.032,0.132438897994691,0.110925114,0.2809442551902075,0.246032314,0.4229084491300469,0.3763262679999999,0.6199328880123802,0.4667173779999999,0.4412184489826009,0.3223044579999999,0.4962343675611868,0.3966151039999999,60.787477369847466
270,2021-02-25 04:00:00,617.1,52.01441044361885,666.3674845915058,270.48999999999995,22.93,0.1548,0.1628,0.2203,0.0318,0.292,0.259,52.1,100.5,6.88,0.101,0.118,0.009,0.203,0.293,0.009,0.29,0.5,0.006,0.389,0.855,0.061,0.432,0.01,0.081,0.306,0.712,0.032,0.1204391656771816,0.110925114,0.2511483096899511,0.246032314,0.3720621257507698,0.3763262679999999,0.5329856750338164,0.4667173779999999,0.4402015225150154,0.3223044579999999,0.4238292030690962,0.3966151039999999,26.07239080341867
278,2021-02-26 07:00:00,431.3,64.41232319868806,442.1778191752438,280.9,21.83,0.1283,0.1223,0.1558,0.0298,0.2085,0.1845,52.1,112.42,6.88,0.101,0.115,0.009,0.198,0.275,0.005,0.283,0.441,0.0,0.346,0.666,0.025,0.442,0.01,0.083,0.285,0.626,0.014,0.1401507303942058,0.110357562,0.2914526161600575,0.24313749,0.4328239226421285,0.3664301439999999,0.5728896995003574,0.4375559939999999,0.4522863678603657,0.329549214,0.4978712280588945,0.3841424759999999,24.90522371441307
