index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
205,2021-02-26 04:00:00,625.1,56.97544504913272,576.0704277584562,261.16999999999996,45.88,0.3808,0.3645,0.3908,0.031,0.0888,0.0615,61.4,114.28,1.2,0.998,0.353,0.206,0.793,0.106,0.0,0.929,0.439,0.145,0.461,0.017,0.0,0.13,0.052,0.01,0.06,0.0,0.0,1.0,0.7809918199999999,0.8168169554837302,0.813053504,1.0,0.8122965860000001,0.464819700407768,0.464216128,0.1417837894825846,0.126061348,0.06,0.06,24.53509222495441
203,2021-02-26 02:00:00,591.6,58.92107036735396,541.5290171841347,258.58,54.99,0.3365,0.3335,0.358,0.0308,0.0838,0.0605,61.4,97.82,1.2,0.998,0.353,0.206,0.793,0.106,0.0,0.929,0.439,0.145,0.461,0.017,0.0,0.13,0.052,0.01,0.06,0.0,0.0,1.0,0.7809918199999999,0.8196979906616999,0.813053504,1.0,0.8122965860000001,0.4652817532193292,0.464216128,0.1431971274944188,0.126061348,0.06,0.06,59.60824251826256
187,2021-02-24 01:00:00,482.6,64.83206452272483,433.2646405410662,254.33,53.54,0.263,0.2693,0.3023,0.0315,0.0783,0.0578,61.4,90.16,1.2,1.027,0.363,0.212,0.8,0.107,0.0,0.951,0.449,0.149,0.465,0.018,0.0,0.13,0.052,0.01,0.064,0.0,0.003,1.0,0.803617928,0.8371464551734632,0.820242688,1.0,0.830677938,0.4712489363843209,0.468405312,0.1481524828880381,0.126061348,0.064009,0.059867134,75.15373658166607
122,2021-02-06 04:00:00,482.2,63.782436535723704,457.0105199399135,257.84,64.45,0.2898,0.27,0.2968,0.03,0.1043,0.0793,61.4,119.94,1.2,0.999,0.353,0.207,0.957,0.424,0.169,0.927,0.438,0.145,0.564,0.388,0.103,0.157,0.062,0.012,0.073,0.0,0.004,1.0,0.7806141980000001,1.0,0.8043958980000001,1.0,0.810107402,0.702178281287749,0.4955083259999999,0.1775287820614444,0.152197944,0.073016,0.067489512,25.945904590619875
121,2021-02-06 03:00:00,514.0,63.320391671431366,465.7104488967484,256.04999999999995,69.42,0.2808,0.2705,0.2965,0.0293,0.1013,0.0783,61.4,111.72,1.2,0.999,0.353,0.207,0.957,0.424,0.169,0.927,0.438,0.145,0.564,0.388,0.103,0.157,0.062,0.012,0.073,0.0,0.004,1.0,0.7806141980000001,1.0,0.8043958980000001,1.0,0.810107402,0.6991188590230826,0.4955083259999999,0.1770399053078122,0.152197944,0.073016,0.067489512,42.08330695957824
202,2021-02-26 01:00:00,491.1,64.12601123691788,445.987070585425,257.28,59.55,0.2763,0.273,0.3035,0.0295,0.0763,0.0558,61.4,89.56,1.2,0.998,0.353,0.206,0.793,0.106,0.0,0.929,0.439,0.145,0.461,0.017,0.0,0.13,0.052,0.01,0.06,0.0,0.0,1.0,0.7809918199999999,0.8284814558100734,0.813053504,1.0,0.8122965860000001,0.4666904221582193,0.464216128,0.1475059971898473,0.126061348,0.06,0.06,75.42645864545784
150,2021-02-11 04:00:00,481.9,62.19310395815818,485.93354166969254,260.91999999999996,78.59,0.2763,0.269,0.289,0.0415,0.1078,0.0815,61.4,118.6,1.2,0.982,0.347,0.203,0.954,0.422,0.168,0.92,0.435,0.144,0.558,0.384,0.102,0.127,0.05,0.01,0.066,0.0,0.003,1.0,0.767989582,1.0,0.8023951519999999,1.0,0.8039174720000002,0.6844409829414171,0.490129212,0.1422089821538303,0.12268298,0.066009,0.061867134,25.755752555249103
149,2021-02-11 03:00:00,525.6,61.72972196383286,494.5329690238444,260.73999999999995,78.58,0.2753,0.2765,0.299,0.029,0.0918,0.0645,61.4,110.38,1.2,0.982,0.347,0.203,0.954,0.422,0.168,0.92,0.435,0.144,0.558,0.384,0.102,0.127,0.05,0.01,0.066,0.0,0.003,1.0,0.767989582,1.0,0.8023951519999999,1.0,0.8039174720000002,0.6815663149859534,0.490129212,0.1418346764304627,0.12268298,0.066009,0.061867134,42.24946898929983
141,2021-02-09 04:00:00,533.2,62.83988918119541,474.2270543097091,263.12,51.61,0.2863,0.274,0.3063,0.0348,0.0985,0.0738,61.4,119.14,1.2,0.979,0.346,0.202,0.949,0.42,0.167,0.917,0.433,0.143,0.555,0.382,0.101,0.127,0.051,0.01,0.067,0.0,0.003,1.0,0.7661780200000001,1.0,0.798394406,1.0,0.801916726,0.6847030078415351,0.488128466,0.1430544565442887,0.122872164,0.067009,0.062867134,25.84462404213352
159,2021-02-14 03:00:00,575.3,60.72571053341518,512.4468694413533,267.21,55.62,0.269,0.2663,0.2918,0.0295,0.1163,0.0925,61.4,109.56,1.2,0.649,0.59,0.0,0.948,0.42,0.167,0.912,0.431,0.143,0.389,0.485,0.0,0.126,0.05,0.01,0.061,0.029,0.0,0.8135429458833761,0.76061856,1.0,0.7973944059999999,1.0,0.7965383580000001,0.5242598792431142,0.48075424,0.1400443174477437,0.12168298,0.0690877041196913,0.066486336,42.312897221417586
144,2021-02-10 04:00:00,519.1,62.51825700076742,480.059563245242,264.12,60.92,0.297,0.2855,0.3145,0.0288,0.0995,0.0715,61.4,118.86,1.2,0.977,0.346,0.202,0.947,0.419,0.167,0.915,0.432,0.143,0.554,0.381,0.101,0.127,0.05,0.01,0.067,0.0,0.003,1.0,0.7641780200000001,1.0,0.7962052219999999,1.0,0.7997275420000001,0.6813604977767287,0.486939282,0.1424752621754237,0.12268298,0.067009,0.062867134,25.802340626554212
173,2021-02-19 03:00:00,564.0,58.97993684527992,542.7122811177109,264.04999999999995,58.91,0.336,0.3333,0.35,0.0298,0.106,0.08,61.4,108.18,1.2,0.734,0.234,0.0,0.759,0.225,0.0,0.754,0.217,0.0,0.429,0.186,0.0,0.128,0.051,0.01,0.058,0.002,0.0,0.7931368005266459,0.778269056,0.815862308198698,0.8015664,0.8088405372405221,0.795052928,0.4760061747775903,0.464188224,0.1409887898583715,0.123872164,0.0585054427395439,0.058378368,42.35662822050625
155,2021-02-13 05:00:00,424.3,64.82278409533069,436.19207250663817,269.5322222222222,78.68370370370371,0.2358,0.2153,0.2523,0.0285,0.1093,0.0798,61.4,125.56,1.2,0.952,0.337,0.197,0.929,0.411,0.164,0.897,0.424,0.14,0.539,0.371,0.098,0.125,0.05,0.009,0.067,0.0,0.003,1.0,0.744363474,1.0,0.7808246160000001,1.0,0.784346936,0.6773401876391256,0.474180308,0.1424308905174023,0.122060602,0.067009,0.062867134,9.699816730681505
153,2021-02-13 03:00:00,594.5,61.064240588312344,506.43139720077136,269.15777777777777,78.67962962962963,0.2678,0.263,0.2843,0.0293,0.097,0.0663,61.4,109.84,1.2,0.952,0.337,0.197,0.929,0.411,0.164,0.897,0.424,0.14,0.539,0.371,0.098,0.125,0.05,0.009,0.067,0.0,0.003,1.0,0.744363474,1.0,0.7808246160000001,1.0,0.784346936,0.6540249242696867,0.474180308,0.1392886717344591,0.122060602,0.067009,0.062867134,42.29483391895445
214,2021-03-01 05:00:00,573.4,59.505254399834314,530.0326610682368,261.37,35.02,0.3465,0.3455,0.3648,0.0398,0.1053,0.077,61.4,120.66,1.2,0.751,0.005,0.0,0.774,0.103,0.0,0.781,0.011,0.0,0.432,0.078,0.0,0.118,0.016,0.0,0.056,0.015,0.0,0.7523021029825919,0.75194592,0.8008233214413931,0.793485952,0.7838646265617022,0.783081024,0.4523128065284336,0.4467563519999999,0.122166729544294,0.121026944,0.0599063089477757,0.05883776,7.086381826080583
242,2021-03-06 04:00:00,704.0,54.01647218616954,624.111017207423,260.0,40.85,0.3805,0.3825,0.41,0.0348,0.0905,0.0668,61.4,111.88,1.2,0.655,0.048,0.0,0.695,0.093,0.0,0.825,0.39,0.129,0.362,0.152,0.0,0.102,0.069,0.0,0.054,0.025,0.0,0.6639794225139417,0.664080832,0.712397631120762,0.712594112,0.9145988079257764,0.7210685219999999,0.3904348379608153,0.390755968,0.1149079198637911,0.115053696,0.0586767825593446,0.0587296,23.499472702448088
