Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,aod,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
2021-01-01 02:00:00,496.9,61.82718213605074,463.16940514345373,271.15,63.9,0.0985,0.0698,0.0278,0.025,0.0365,0.0108,40.24,85.52,0.04,0.244062,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.033,0.002,0.042,0.07,0.0,0.03,0.013,0.002,0.023,0.042,0.002,0.0675365825340608,0.06651421800000001,0.1080552926668432,0.107568298,0.06992451872288734,0.066487828,0.06273805814104633,0.05524288,0.030999359254016957,0.029704147999999996,0.032590840483879016,0.028190484,60.2693331265601
2021-01-01 03:00:00,608.8,56.44071656628406,560.1529889993342,273.84999999999997,49.5,0.1215,0.0833,0.038,0.026,0.0388,0.0148,40.24,87.52,0.04,0.244062,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.033,0.002,0.042,0.07,0.0,0.03,0.013,0.002,0.023,0.042,0.002,0.06676933292958602,0.06651421800000001,0.10768151575760179,0.107568298,0.06736699050633103,0.066487828,0.05722944040777913,0.05524288,0.030015721818394125,0.029704147999999996,0.029325061415902624,0.028190484,45.4474917308863
2021-01-01 04:00:00,640.2,54.41211495376122,595.3394421389963,276.54999999999995,35.1,0.1228,0.0903,0.0428,0.0263,0.039,0.0168,40.24,91.04,0.04,0.244062,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.033,0.002,0.042,0.07,0.0,0.03,0.013,0.002,0.023,0.042,0.002,0.06651941854412909,0.06651421800000001,0.10756017525330115,0.107568298,0.06653286964441078,0.066487828,0.05542940607159099,0.05524288,0.029695896481099063,0.029704147999999996,0.028259507567901045,0.028190484,28.85047118178167
2021-01-01 05:00:00,606.6,56.10996662095255,565.9438360055193,277.28,31.75,0.1258,0.0883,0.042,0.026,0.0375,0.0185,40.24,95.82,0.04,0.244062,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.033,0.002,0.042,0.07,0.0,0.03,0.013,0.002,0.023,0.042,0.002,0.0667271818061047,0.06651421800000001,0.10766103366949402,0.107568298,0.06722634876739716,0.066487828,0.056926073912549516,0.05524288,0.029961756220954445,0.029704147999999996,0.029145415413296388,0.028190484,12.165195305984923
2021-01-01 06:00:00,515.2,61.22269724352208,474.28485733150944,278.02,28.39,0.116,0.0785,0.036,0.026,0.0375,0.0155,40.24,101.64,0.04,0.244062,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.033,0.002,0.042,0.07,0.0,0.03,0.013,0.002,0.023,0.042,0.002,0.06744265094308778,0.06651421800000001,0.10800944754650857,0.107568298,0.06961163071728146,0.066487828,0.06206484755210881,0.05524288,0.03087881713096466,0.029704147999999996,0.03219139683112402,0.028190484,2.86289960364806
2021-01-02 02:00:00,475.5,61.80494938037867,463.4656056604456,272.08,80.39,0.1005,0.0715,0.0245,0.0265,0.039,0.0128,40.24,85.42,0.04,0.244062,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.033,0.002,0.042,0.07,0.0,0.029,0.013,0.002,0.023,0.041,0.002,0.06753309155134754,0.06651421800000001,0.10805358845531127,0.107568298,0.06991289115238937,0.066487828,0.06271304334450778,0.05524288,0.029994878768244297,0.028704148000000002,0.03228009610604741,0.0280013,60.424163734513826
2021-01-02 03:00:00,577.5,56.38686744081041,560.9812188102903,275.52,60.78,0.1205,0.0863,0.0355,0.026,0.0428,0.016,40.24,87.42,0.04,0.244062,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.033,0.002,0.042,0.07,0.0,0.029,0.013,0.002,0.023,0.041,0.002,0.06676243256568283,0.06651421800000001,0.10767816229613972,0.107568298,0.06734396783217772,0.066487828,0.057179783773603485,0.05524288,0.029006886754005298,0.028704148000000002,0.02907880026344669,0.0280013,45.60058063286451
2021-01-02 04:00:00,625.3,54.32610410545409,596.6968947248685,278.95,41.17,0.1288,0.091,0.0383,0.0258,0.0445,0.0185,40.24,90.92,0.04,0.244062,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.033,0.002,0.042,0.07,0.0,0.029,0.013,0.002,0.023,0.041,0.002,0.06650927183490787,0.06651421800000001,0.10755525397718911,0.107568298,0.06649899009988451,0.066487828,0.05535625000806266,0.05524288,0.028682918669009475,0.028704148000000002,0.028025418672234532,0.0280013,28.98418162700702
2021-01-02 05:00:00,592.0,55.99781828248984,567.7865801455282,279.65,40.17,0.128,0.0898,0.0383,0.027,0.0445,0.0215,40.24,95.7,0.04,0.244062,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.033,0.002,0.042,0.07,0.0,0.029,0.013,0.002,0.023,0.041,0.002,0.06671301501449095,0.06651421800000001,0.10765415117744362,0.107568298,0.06717907600530491,0.066487828,0.05682409371866246,0.05524288,0.028943620657115643,0.028704148000000002,0.028873258144580624,0.0280013,12.26369213006376
2021-01-02 06:00:00,483.2,61.09408538246471,476.52890781466505,280.34999999999997,39.17,0.1183,0.082,0.0333,0.0258,0.04,0.0185,40.24,101.5,0.04,0.244062,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.033,0.002,0.042,0.07,0.0,0.029,0.013,0.002,0.023,0.041,0.002,0.0674229284214084,0.06651421800000001,0.10799982426629494,0.107568298,0.06954592764611177,0.066487828,0.061923458171588314,0.05524288,0.029853511025657965,0.028704148000000002,0.03182289429429329,0.0280013,2.802950468009925
2021-01-03 03:00:00,561.7,56.3256771315533,561.9315238657002,278.38,81.16,0.1573,0.1208,0.0805,0.0265,0.1108,0.0808,40.24,87.3,0.04,0.244062,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.032,0.002,0.041,0.069,0.0,0.029,0.013,0.002,0.023,0.041,0.002,0.06675460934192366,0.06651421800000001,0.10767436054465503,0.107568298,0.06710181579729205,0.06629864399999999,0.05590743340230713,0.054053696,0.028996870367671238,0.028704148000000002,0.02904626363237558,0.0280013,45.75505237672198
2021-01-03 04:00:00,617.9,54.232719231926346,598.1726529971454,280.54999999999995,72.1,0.136,0.0963,0.0418,0.027,0.046,0.0205,40.24,90.8,0.04,0.244062,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.032,0.002,0.041,0.069,0.0,0.029,0.013,0.002,0.023,0.041,0.002,0.06649829599491998,0.06651421800000001,0.10754993105323664,0.107568298,0.06627266784988,0.06629864399999999,0.05408743619523007,0.054053696,0.028668881071483302,0.028704148000000002,0.027979724744909992,0.0280013,29.11689560766203
2021-01-03 05:00:00,571.6,55.87878036571793,569.7409445062759,281.41999999999996,66.71,0.139,0.091,0.0405,0.027,0.0453,0.0203,40.24,95.58,0.04,0.244062,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.032,0.002,0.041,0.069,0.0,0.029,0.013,0.002,0.023,0.041,0.002,0.0666980472017701,0.06651421800000001,0.10764688033397667,0.107568298,0.0669188948862444,0.06629864399999999,0.055506102775549265,0.054053696,0.028924460788629383,0.028704148000000002,0.028810995248272554,0.0280013,12.358806024826208
2021-01-08 02:00:00,488.0,61.5264589170006,467.80598199429096,267.52,35.11,0.1,0.0703,0.0308,0.0243,0.0373,0.0135,40.24,84.7,0.04,0.244062,0.067,0.01,0.001,0.102,0.005,0.001,0.05,0.026,0.002,0.028,0.047,0.0,0.019,0.008,0.001,0.013,0.023,0.001,0.06848959771750052,0.06751421800000001,0.10203235821824364,0.101568298,0.05472788283410927,0.05216354000000001,0.04169805129301461,0.036891648,0.01990670191779776,0.01913585,0.018278420415568382,0.015973610000000003,61.41690941746194
2021-01-08 03:00:00,611.3,55.91031474374192,568.4901439693276,268.88,31.08,0.1175,0.0858,0.042,0.0255,0.0408,0.0175,40.24,86.62,0.04,0.244062,0.067,0.01,0.001,0.102,0.005,0.001,0.05,0.026,0.002,0.028,0.047,0.0,0.019,0.008,0.001,0.013,0.023,0.001,0.067702005392713,0.06751421800000001,0.10164880300528234,0.101568298,0.052667853650342794,0.05216354000000001,0.03790010244184816,0.036891648,0.019280724437740742,0.01913585,0.016440331600032707,0.015973610000000003,46.545693262418666
2021-01-08 04:00:00,649.2,53.65645810224976,607.2861580219084,270.25,27.05,0.1273,0.0933,0.045,0.025,0.0398,0.0183,40.24,90.08,0.04,0.244062,0.067,0.01,0.001,0.102,0.005,0.001,0.05,0.026,0.002,0.028,0.047,0.0,0.019,0.008,0.001,0.013,0.023,0.001,0.06743150067047886,0.06751421800000001,0.10151754873891193,0.101568298,0.051959743658837994,0.05216354000000001,0.03659114815672893,0.036891648,0.019065919897852085,0.01913585,0.01580777569255281,0.015973610000000003,29.762912378715072
2021-01-08 05:00:00,614.2,55.182148658301806,581.1335571900024,271.21999999999997,25.7,0.1353,0.091,0.0473,0.0253,0.044,0.0198,40.24,94.84,0.04,0.244062,0.067,0.01,0.001,0.102,0.005,0.001,0.05,0.026,0.002,0.028,0.047,0.0,0.019,0.008,0.001,0.013,0.023,0.001,0.06761187462040268,0.06751421800000001,0.10160503709071586,0.101568298,0.052431954276429486,0.05216354000000001,0.03746427277905588,0.036891648,0.019209139608527947,0.01913585,0.016229652197588335,0.015973610000000003,12.780785809711688
2021-01-08 06:00:00,520.4,60.198556724579646,492.0818213716092,272.17999999999995,24.36,0.1285,0.084,0.0448,0.0255,0.043,0.0195,40.24,100.62,0.04,0.244062,0.067,0.01,0.001,0.102,0.005,0.001,0.05,0.026,0.002,0.028,0.047,0.0,0.019,0.008,0.001,0.013,0.023,0.001,0.0682881297070742,0.06751421800000001,0.10193407736177096,0.101568298,0.05420112222851229,0.05216354000000001,0.04072809204585041,0.036891648,0.019746508768952908,0.01913585,0.017808665804862612,0.015973610000000003,2.5531397588726463
2021-01-09 02:00:00,501.0,61.45592535626677,468.95366261518865,271.75,43.5,0.1043,0.073,0.0338,0.0263,0.0375,0.0145,40.24,84.56,0.04,0.244062,0.067,0.01,0.001,0.098,0.005,0.001,0.042,0.021,0.001,0.022,0.037,0.0,0.016,0.007,0.001,0.008,0.014,0.0,0.0684786508234428,0.06751421800000001,0.0980270155136065,0.09756829800000001,0.046672248505082684,0.044595242,0.0327421012927887,0.028999808,0.016607669637541008,0.015946666,0.01206457886754167,0.010648576,61.592262894123536
2021-01-09 03:00:00,559.7,55.80554014793794,570.1573006052873,273.65,34.74,0.1223,0.0913,0.0485,0.027,0.0453,0.02,40.24,86.46000000000001,0.04,0.244062,0.067,0.01,0.001,0.098,0.005,0.001,0.042,0.021,0.001,0.022,0.037,0.0,0.016,0.007,0.001,0.008,0.014,0.0,0.06768887336867167,0.06751421800000001,0.097642424414117,0.09756829800000001,0.04499106106869194,0.044595242,0.029743722263704545,0.028999808,0.016061003995938867,0.015946666,0.010930057072753073,0.010648576,46.706939776194616
2021-01-09 04:00:00,642.1,53.51964275147313,609.4464643095642,275.54999999999995,25.97,0.1328,0.0913,0.0428,0.027,0.04,0.0168,40.24,89.92,0.04,0.244062,0.067,0.01,0.001,0.098,0.005,0.001,0.042,0.021,0.001,0.022,0.037,0.0,0.016,0.007,0.001,0.008,0.014,0.0,0.06741587716759881,0.06751421800000001,0.09750997733050333,0.09756829800000001,0.044408856809208835,0.044595242,0.028703658794506464,0.028999808,0.01587233726534152,0.015946666,0.010536519543867312,0.010648576,29.888030453038567
2021-01-09 05:00:00,617.9,55.02297600024302,583.724048493485,276.45,22.65,0.1298,0.0908,0.041,0.0255,0.0448,0.0185,40.24,94.66,0.04,0.244062,0.067,0.01,0.001,0.098,0.005,0.001,0.042,0.021,0.001,0.022,0.037,0.0,0.016,0.007,0.001,0.008,0.014,0.0,0.06759252378633059,0.06751421800000001,0.0975956447619952,0.09756829800000001,0.04478565763986844,0.044595242,0.029376904780081883,0.028999808,0.01599439637172935,0.015946666,0.010791261268139092,0.010648576,12.853842369864509
2021-01-09 06:00:00,538.7,60.029404596160944,495.0035823232354,277.34999999999997,19.34,0.1198,0.0815,0.038,0.025,0.0423,0.0183,40.24,100.44,0.04,0.244062,0.067,0.01,0.001,0.098,0.005,0.001,0.042,0.021,0.001,0.022,0.037,0.0,0.016,0.007,0.001,0.008,0.014,0.0,0.0682631614285698,0.06751421800000001,0.09792190441641418,0.09756829800000001,0.04621392685531216,0.044595242,0.031925301889951574,0.028999808,0.016458407221276422,0.015946666,0.01175551963403573,0.010648576,2.5305704903520905
2021-01-10 02:00:00,477.2,61.37853297868742,470.2213153591616,271.52,67.62,0.1128,0.0823,0.0388,0.0285,0.0485,0.0243,40.24,84.4,0.04,0.244062,0.073,0.011,0.001,0.096,0.004,0.001,0.037,0.019,0.001,0.02,0.033,0.0,0.015,0.007,0.001,0.008,0.015,0.0,0.07475577179769691,0.073703402,0.09573206874800924,0.095379114,0.04106857528305424,0.039216874,0.02954031437709901,0.026243072,0.015599370055018236,0.014946665999999999,0.012336506535045004,0.01083776,61.77020916266585
2021-01-10 03:00:00,564.1,55.69360681600864,571.9405068741074,274.17999999999995,47.31,0.133,0.1008,0.0558,0.0313,0.0578,0.0345,40.24,86.3,0.04,0.244062,0.073,0.011,0.001,0.096,0.004,0.001,0.037,0.019,0.001,0.02,0.033,0.0,0.015,0.007,0.001,0.008,0.015,0.0,0.07388275786874861,0.073703402,0.09542778732568041,0.095379114,0.039545581346540855,0.039216874,0.02685914684589297,0.026243072,0.015051346129852502,0.014946665999999999,0.01111779402086044,0.01083776,46.869023473267106
2021-01-10 04:00:00,735.5,53.375761492985404,611.7156791642971,276.84999999999997,27.01,0.15,0.1198,0.0658,0.0318,0.0613,0.0368,40.24,89.74,0.04,0.244062,0.073,0.011,0.001,0.096,0.004,0.001,0.037,0.019,0.001,0.02,0.033,0.0,0.015,0.007,0.001,0.008,0.015,0.0,0.073579039588065,0.073703402,0.09532256683270549,0.095379114,0.039015008451333,0.039216874,0.02592337156098057,0.026243072,0.014861055156430984,0.014946665999999999,0.010692441618627533,0.01083776,30.011570654578776
2021-01-10 05:00:00,561.9,54.857360969433195,586.413892448205,277.25,25.03,0.141,0.1055,0.0575,0.0268,0.0548,0.0313,40.24,94.5,0.04,0.244062,0.073,0.011,0.001,0.096,0.004,0.001,0.037,0.019,0.001,0.02,0.033,0.0,0.015,0.007,0.001,0.008,0.015,0.0,0.0737698394047347,0.073703402,0.0953886214706261,0.095379114,0.0393483741865731,0.039216874,0.0265114559750834,0.026243072,0.014980572013815502,0.014946665999999999,0.010959752715947,0.01083776,12.922889582448391
2021-01-11 02:00:00,429.0,61.29429899027312,471.6083146130358,273.17999999999995,55.02,0.1323,0.0998,0.0603,0.0283,0.062,0.0375,40.24,84.24,0.04,0.244062,0.073,0.011,0.001,0.096,0.004,0.001,0.037,0.019,0.001,0.02,0.033,0.0,0.015,0.007,0.001,0.008,0.015,0.0,0.0747414399937338,0.073703402,0.0957270557431324,0.095379114,0.041043593422992554,0.039216874,0.02949638289569235,0.026243072,0.015590363279104427,0.014946665999999999,0.01231653767986016,0.01083776,61.95065019037426
