index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
38,2021-01-10 04:00:00,735.5,53.37576149298541,611.7156791642971,276.84999999999997,27.01,0.15,0.1198,0.0658,0.0318,0.0613,0.0368,40.24,89.74,0.04,0.073,0.011,0.001,0.096,0.004,0.001,0.037,0.019,0.001,0.02,0.033,0.0,0.015,0.007,0.001,0.008,0.015,0.0,0.0749754571869935,0.073703402,0.096718984431634,0.095379114,0.0404114260502615,0.039216874,0.0259233715609805,0.026243072,0.0162574727553595,0.0149466659999999,0.0106924416186275,0.01083776,30.011570654578776
19,2021-01-08 03:00:00,611.3,55.91031474374192,568.4901439693276,268.88,31.08,0.1175,0.0858,0.042,0.0255,0.0408,0.0175,40.24,86.62,0.04,0.067,0.01,0.001,0.102,0.005,0.001,0.05,0.026,0.002,0.028,0.047,0.0,0.019,0.008,0.001,0.013,0.023,0.001,0.0691074047748613,0.067514218,0.1030542023874306,0.101568298,0.0554806524146394,0.05216354,0.0379001024418481,0.036891648,0.020686123819889,0.01913585,0.017845730982181,0.01597361,46.545693262418666
27,2021-01-09 02:00:00,501.0,61.45592535626677,468.95366261518865,271.75,43.5,0.1043,0.073,0.0338,0.0263,0.0375,0.0145,40.24,84.56,0.04,0.067,0.01,0.001,0.098,0.005,0.001,0.042,0.021,0.001,0.022,0.037,0.0,0.016,0.007,0.001,0.008,0.014,0.0,0.0699042706196726,0.067514218,0.0994526353098363,0.097568298,0.0480978683013125,0.044595242,0.0327421012927887,0.028999808,0.0180332894337708,0.015946666,0.0120645788675416,0.010648576,61.592262894123536
64,2021-01-14 04:00:00,625.0,52.73082170074124,621.8452933224452,277.41999999999996,77.04,0.126,0.0785,0.023,0.0283,0.0403,0.0178,40.24,89.02,0.04,0.074,0.011,0.001,0.096,0.004,0.001,0.037,0.019,0.001,0.019,0.033,0.0,0.015,0.006,0.001,0.008,0.015,0.0,0.0758937711146546,0.074703402,0.0966892804053289,0.095379114,0.0402703319253126,0.039216874,0.0246783133439639,0.025243072,0.0160334206079934,0.014757482,0.0105810515199836,0.01083776,30.487861375734468
1,2021-01-01 02:00:00,496.9,61.82718213605074,463.1694051434538,271.15,63.9,0.0985,0.0698,0.0278,0.025,0.0365,0.0108,40.24,85.52,0.04,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.033,0.002,0.042,0.07,0.0,0.03,0.013,0.002,0.023,0.042,0.002,0.0689635797344351,0.066514218,0.1094822898672176,0.107568298,0.0727805131236361,0.066487828,0.0627380581410463,0.05524288,0.0338553536547657,0.0297041479999999,0.0354468348846278,0.028190484,60.2693331265601
77,2021-01-16 02:00:00,444.3,60.77124859866384,480.3039789857641,276.17999999999995,69.71,0.115,0.0855,0.043,0.025,0.0485,0.0258,40.24,83.34,0.04,0.074,0.011,0.001,0.096,0.004,0.001,0.037,0.019,0.001,0.019,0.033,0.0,0.015,0.006,0.001,0.008,0.015,0.0,0.0770765028374548,0.074703402,0.0971193646681654,0.095379114,0.0423132321737856,0.039216874,0.0282265085123645,0.025243072,0.016678547002248,0.014757482,0.0121938675056202,0.01083776,62.88682638214695
7,2021-01-02 02:00:00,475.5,61.80494938037867,463.4656056604456,272.08,80.39,0.1005,0.0715,0.0245,0.0265,0.039,0.0128,40.24,85.42,0.04,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.033,0.002,0.042,0.07,0.0,0.029,0.013,0.002,0.023,0.041,0.002,0.0689600061920725,0.066514218,0.1094805030960362,0.107568298,0.0727687204338393,0.066487828,0.0627130433445077,0.05524288,0.0328507080496943,0.028704148,0.0351359253874974,0.0280013,60.424163734513826
5,2021-01-01 06:00:00,515.2,61.22269724352208,474.28485733150944,278.02,28.39,0.116,0.0785,0.036,0.026,0.0375,0.0155,40.24,101.64,0.04,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.033,0.002,0.042,0.07,0.0,0.03,0.013,0.002,0.023,0.042,0.002,0.0688674067931584,0.066514218,0.1094342033965792,0.107568298,0.0724631424174227,0.066487828,0.0620648475521088,0.05524288,0.0337303288311059,0.0297041479999999,0.0350429085312652,0.028190484,2.86289960364806
9,2021-01-02 04:00:00,625.3,54.32610410545409,596.6968947248685,278.95,41.17,0.1288,0.091,0.0383,0.0258,0.0445,0.0185,40.24,90.92,0.04,0.066,0.01,0.001,0.108,0.005,0.001,0.063,0.033,0.002,0.042,0.07,0.0,0.029,0.013,0.002,0.023,0.041,0.002,0.0679090357154375,0.066514218,0.1089550178577187,0.107568298,0.0693005178609438,0.066487828,0.0553562500080626,0.05524288,0.0314844464300687,0.028704148,0.0308269464332938,0.0280013,28.98418162700702
54,2021-01-13 03:00:00,601.9,55.31524958611847,577.9738895622785,278.82,45.32,0.1135,0.0765,0.028,0.0255,0.04,0.0163,40.24,85.78,0.04,0.074,0.011,0.001,0.096,0.004,0.001,0.037,0.019,0.001,0.019,0.033,0.0,0.015,0.006,0.001,0.008,0.015,0.0,0.076234469308907,0.074703402,0.0968131706577843,0.095379114,0.0408588106244757,0.039216874,0.0257004079267209,0.025243072,0.0162192559866765,0.014757482,0.0110456399666913,0.01083776,47.359326870002945
