Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,aod,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
2021-01-01 03:00:00,465.3,62.56583621500501,464.3161719910165,271.40999999999997,37.75,0.1185,0.0973,0.1343,0.029,0.1608,0.12,44.52,98.84,0.24,0.283116,0.083,0.04,0.007,0.165,0.052,0.021,0.28,0.164,0.028,0.329,0.106,0.047,0.327,0.08,0.048,0.263,0.006,0.042,0.08533036585553952,0.08092400599999999,0.15102740617116722,0.145907506,0.29055462173953756,0.27245276000000007,0.29452766484512755,0.28430527,0.2830833904509815,0.276008864,0.20484243356653703,0.20627498,39.33605691150902
2021-01-01 04:00:00,495.2,59.9922178988273,511.806685503028,273.72999999999996,30.25,0.1305,0.1153,0.1595,0.029,0.185,0.1463,44.52,101.54,0.24,0.283116,0.083,0.04,0.007,0.165,0.052,0.021,0.28,0.164,0.028,0.329,0.106,0.047,0.327,0.08,0.048,0.263,0.006,0.042,0.08377312537930172,0.08092400599999999,0.14911639437741606,0.145907506,0.2841632651501768,0.27245276000000007,0.290672091321033,0.28430527,0.2802929118566715,0.276008864,0.20499907974706846,0.20627498,23.864331299110887
2021-01-01 05:00:00,470.6,60.69311468910837,498.97587546280585,274.84999999999997,26.65,0.133,0.1218,0.165,0.0315,0.1945,0.1558,44.52,104.96,0.24,0.283116,0.083,0.04,0.007,0.165,0.052,0.021,0.28,0.164,0.028,0.329,0.106,0.047,0.327,0.08,0.048,0.263,0.006,0.042,0.08418271519393553,0.08092400599999999,0.14961813227811122,0.145907506,0.28584439097007713,0.27245276000000007,0.29168403911809376,0.28430527,0.28102429474785695,0.276008864,0.2049547747950145,0.20627498,7.992972636799834
2021-01-02 03:00:00,438.7,62.51486186353505,464.64801267820593,273.62,40.81,0.118,0.1008,0.1278,0.028,0.1595,0.119,44.52,98.74,0.24,0.283116,0.083,0.04,0.007,0.166,0.052,0.021,0.275,0.161,0.027,0.329,0.106,0.047,0.332,0.081,0.049,0.269,0.006,0.043,0.08529808542862213,0.08092400599999999,0.15198770221590663,0.146907506,0.28592834640386205,0.26826283,0.2944475262568532,0.28430527,0.2869041824132668,0.279820426,0.2094168152602913,0.21089735800000003,39.48110551252765
2021-01-02 04:00:00,463.2,59.9125684722886,512.6317180703585,276.58,32.69,0.1328,0.118,0.1543,0.0278,0.1838,0.144,44.52,101.42,0.24,0.283116,0.083,0.04,0.007,0.166,0.052,0.021,0.275,0.161,0.027,0.329,0.106,0.047,0.332,0.081,0.049,0.269,0.006,0.043,0.08372725597556638,0.08092400599999999,0.15006024839880583,0.146907506,0.27959443989275384,0.26826283,0.2905588673848058,0.28430527,0.28405869791645333,0.279820426,0.20958526618645196,0.21089735800000003,23.995363019180246
2021-01-02 05:00:00,439.0,60.588432561077155,500.2715847291676,277.46,30.2,0.134,0.1195,0.1578,0.0293,0.193,0.1523,44.52,104.84,0.24,0.283116,0.083,0.04,0.007,0.166,0.052,0.021,0.275,0.161,0.027,0.329,0.106,0.047,0.332,0.081,0.049,0.269,0.006,0.043,0.08412085952283181,0.08092400599999999,0.15054231707925786,0.146907506,0.2811816184325911,0.26826283,0.2915311123113826,0.28430527,0.2847690749486716,0.279820426,0.20953990433995717,0.21089735800000003,8.097472275621897
2021-01-05 03:00:00,450.0,62.31786695319565,466.4336993395813,269.08,28.33,0.129,0.106,0.1358,0.0283,0.1623,0.123,44.52,98.38,0.24,0.283116,0.088,0.042,0.007,0.176,0.055,0.022,0.28,0.164,0.028,0.334,0.107,0.047,0.336,0.082,0.049,0.277,0.006,0.044,0.09078232032567866,0.08630237399999999,0.16131980339094326,0.15609743599999998,0.28991241730695716,0.27245276000000007,0.299443493800879,0.289494454,0.29098245050460136,0.28400961,0.21600114289219066,0.21751973600000002,39.92459323115534
2021-01-05 04:00:00,491.7,59.629110302918846,515.8781899570188,270.0,25.8,0.1398,0.1275,0.1588,0.0298,0.1903,0.1515,44.52,101.06,0.24,0.283116,0.088,0.042,0.007,0.176,0.055,0.022,0.28,0.164,0.028,0.334,0.107,0.047,0.336,0.082,0.049,0.277,0.006,0.044,0.08908964199540612,0.08630237399999999,0.15923075776257348,0.15609743599999998,0.28330953778080137,0.27245276000000007,0.2954210963974281,0.289494454,0.28802889332421566,0.28400961,0.21618673030374497,0.21751973600000002,24.38517970943738
2021-01-05 05:00:00,465.0,60.23185132809905,504.89372704342105,270.78,24.88,0.1398,0.1298,0.162,0.0318,0.1988,0.1593,44.52,104.46,0.24,0.283116,0.088,0.042,0.007,0.176,0.055,0.022,0.28,0.164,0.028,0.334,0.107,0.047,0.336,0.082,0.049,0.277,0.006,0.044,0.08945458989321267,0.08630237399999999,0.1596802347389804,0.15609743599999998,0.2847330954950933,0.27245276000000007,0.29628622873825394,0.289494454,0.288663133131344,0.28400961,0.21614360345626718,0.21751973600000002,8.395379648768085
2021-01-06 03:00:00,467.0,62.23757000628444,467.29012993634115,267.75,34.44,0.1225,0.1088,0.141,0.0303,0.1608,0.126,44.52,98.26,0.24,0.283116,0.088,0.042,0.007,0.176,0.055,0.022,0.28,0.164,0.028,0.334,0.108,0.047,0.336,0.082,0.049,0.277,0.006,0.044,0.0907293250228434,0.08630237399999999,0.16125424018616513,0.15609743599999998,0.2897056825091888,0.27245276000000007,0.29962010318548216,0.289683638,0.29088954330411054,0.28400961,0.21600642323552605,0.21751973600000002,40.07495556906022
