index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
26,2021-01-08 06:00:00,420.5,63.56944288334097,441.15062637664334,267.29999999999995,25.18,0.1265,0.1115,0.1513,0.0313,0.1793,0.144,44.52,107.96,0.24,0.089,0.043,0.008,0.178,0.056,0.023,0.28,0.164,0.028,0.333,0.107,0.047,0.336,0.082,0.049,0.278,0.006,0.044,0.1030448709216023,0.0861139359999999,0.1967366458513891,0.156908998,0.3341063914219255,0.27245276,0.3699986090374758,0.288494454,0.3650621957109627,0.28400961,0.2818868191983631,0.218519736,6.521452249789945
9,2021-01-05 03:00:00,450.0,62.31786695319565,466.4336993395813,269.08,28.33,0.129,0.106,0.1358,0.0283,0.1623,0.123,44.52,98.38,0.24,0.088,0.042,0.007,0.176,0.055,0.022,0.28,0.164,0.028,0.334,0.107,0.047,0.336,0.082,0.049,0.277,0.006,0.044,0.1008260719554541,0.0863023739999999,0.1932158799416661,0.1560974359999999,0.3306754238260589,0.27245276,0.3687601118865141,0.289494454,0.3633467119130295,0.28400961,0.2807612959936363,0.217519736,39.92459323115534
13,2021-01-06 03:00:00,467.0,62.23757000628444,467.29012993634115,267.75,34.44,0.1225,0.1088,0.141,0.0303,0.1608,0.126,44.52,98.26,0.24,0.088,0.042,0.007,0.176,0.055,0.022,0.28,0.164,0.028,0.334,0.108,0.047,0.336,0.082,0.049,0.277,0.006,0.044,0.1007709846129401,0.0863023739999999,0.1931437417550407,0.1560974359999999,0.3304603208695759,0.27245276,0.368922674718989,0.289683638,0.3632391604347879,0.28400961,0.2807534263732771,0.217519736,40.07495556906022
52,2021-01-16 03:00:00,457.0,61.039556701602095,483.09899971803605,270.96999999999997,54.16,0.132,0.1188,0.1453,0.028,0.1693,0.131,44.52,96.56,0.24,0.096,0.046,0.008,0.192,0.06,0.025,0.282,0.166,0.028,0.339,0.109,0.048,0.345,0.084,0.051,0.29,0.006,0.046,0.1091172928993444,0.093681488,0.2096510342165362,0.16891049,0.3298893613324168,0.274831128,0.3722346288267074,0.2934952,0.3714374479031507,0.290632734,0.2938186034216536,0.2277644919999999,41.62571449166697
58,2021-01-17 05:00:00,516.2,58.19704695196257,534.5173515769445,273.44,30.59,0.136,0.1413,0.1823,0.034,0.2185,0.183,44.52,102.36,0.24,0.096,0.046,0.008,0.192,0.06,0.025,0.282,0.166,0.028,0.339,0.109,0.048,0.346,0.084,0.051,0.29,0.006,0.046,0.1071739590807047,0.093681488,0.2071162509748322,0.16891049,0.3228764610303692,0.274831128,0.3676297726042786,0.2934952,0.3688887513647652,0.291632734,0.2935651250974832,0.2277644919999999,9.31119984416469
40,2021-01-11 03:00:00,452.5,61.727462650406395,473.4923825065932,271.91999999999996,27.89,0.1248,0.1058,0.1338,0.0285,0.1645,0.1295,44.52,97.48,0.24,0.093,0.044,0.008,0.185,0.058,0.024,0.281,0.165,0.028,0.334,0.108,0.047,0.343,0.083,0.05,0.283,0.006,0.045,0.1060289223077043,0.09030312,0.2026661248601557,0.162909744,0.3304024586538913,0.2736419440000001,0.3680319911189107,0.289683638,0.3699565579895332,0.289821172,0.2867929439510505,0.2221421139999999,40.842026798028
54,2021-01-16 05:00:00,533.5,58.40183918648032,530.9273844433197,273.78999999999996,39.45,0.148,0.1435,0.1705,0.0303,0.2055,0.167,44.52,102.56,0.24,0.096,0.046,0.008,0.192,0.06,0.025,0.282,0.166,0.028,0.339,0.109,0.048,0.345,0.084,0.051,0.29,0.006,0.046,0.107307288008604,0.093681488,0.2072901582720921,0.16891049,0.3233576045527883,0.274831128,0.3679457041943008,0.2934952,0.368132221580929,0.290632734,0.2935825158272092,0.2277644919999999,9.254245287621444
50,2021-01-14 03:00:00,422.8,61.33572855867647,478.70934281544703,280.31,34.81,0.1265,0.1095,0.127,0.0278,0.1638,0.1293,44.52,96.94,0.24,0.093,0.044,0.008,0.186,0.058,0.024,0.28,0.164,0.028,0.336,0.108,0.047,0.343,0.083,0.05,0.284,0.006,0.045,0.1057546316951524,0.09030312,0.2033045599617918,0.163909744,0.3280854454092046,0.27245276,0.3693587323426469,0.291683638,0.3694391461522194,0.289821172,0.2877555406857026,0.2231421139999999,41.31103244638487
72,2021-01-23 04:00:00,508.0,56.592668224982226,562.3707547390169,276.35999999999996,55.61,0.141,0.138,0.1643,0.0295,0.2055,0.166,44.52,97.62,0.24,0.092,0.044,0.008,0.185,0.058,0.024,0.269,0.158,0.027,0.317,0.102,0.045,0.331,0.081,0.049,0.278,0.006,0.044,0.1017252188044305,0.08930312,0.1983112429694766,0.162909744,0.3044215584340916,0.261695278,0.3414214617739072,0.274303778,0.3511864255263381,0.278820426,0.2812534389278769,0.218519736,26.500162598456455
71,2021-01-23 03:00:00,474.0,59.78927101522597,505.3089632332398,274.41999999999996,63.2,0.1305,0.1168,0.1435,0.0288,0.1745,0.1343,44.52,95.0,0.24,0.092,0.044,0.008,0.185,0.058,0.024,0.269,0.158,0.027,0.317,0.102,0.045,0.331,0.081,0.049,0.278,0.006,0.044,0.1037083923341185,0.08930312,0.2009254262586108,0.162909744,0.3115429542906985,0.261695278,0.3460188185927294,0.274303778,0.354837267705991,0.278820426,0.2815238716819253,0.218519736,42.72945157957386
