time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
2021-06-11 08:00:00,242.7,243.2,243.2,242.9,242.31,241.7,240.0,240.5,240.5,240.7,242.81,245.31,245.31,244.61,244.5,243.7,243.31,242.31,242.31,241.61,241.0,242.2,245.31,245.31,244.61,244.5,243.7,243.31,243.31,242.31,241.61,241.0,242.2,246.11,245.11,243.81,243.9,243.31,243.31,242.61,242.61,242.11,242.0,241.81,244.0,243.7,242.7,243.5,242.5,242.5,242.31,242.2,242.2,242.7,242.7,243.7,244.81,243.61,243.2,243.2,243.31,243.2,242.7,244.0,244.0,244.4,243.7,244.81,243.61,243.61,243.2,243.31,243.2,242.7,244.0,244.0,244.4,242.61,244.7,245.11,245.11,244.11,243.11,242.61,243.11,243.11,244.81,245.0,242.0,244.11,244.11,245.0,243.5,242.5,242.61,242.61,242.7,243.81,245.0,243.2,243.2,243.31,243.9,243.11,241.7,242.2,242.2,242.5,242.31,244.5,243.2,243.2,243.31,243.9,243.11,241.7,241.7,242.2,242.5,242.31,244.5
2021-06-17 01:00:00,261.4,261.5,261.5,260.8,259.11,259.5,260.21,260.8,260.8,260.8,260.9,260.4,260.4,261.11,260.5,259.61,258.5,259.0,259.0,259.61,260.8,260.71,260.4,260.4,261.11,260.5,259.61,258.5,258.5,259.0,259.61,260.8,260.71,259.3,259.21,259.8,259.21,259.3,259.3,259.3,259.3,259.61,260.0,258.61,258.4,257.0,258.0,258.5,259.0,259.0,258.8,259.9,259.21,259.5,259.5,258.61,257.8,257.8,257.61,257.61,258.21,257.9,258.9,259.8,259.8,260.5,258.61,257.8,257.8,257.8,257.61,258.21,257.9,258.9,259.8,259.8,260.5,260.0,259.5,259.11,259.11,259.0,258.71,259.0,259.0,259.0,259.21,260.8,260.11,260.5,260.5,260.3,260.3,259.61,259.21,259.21,258.71,258.9,260.21,259.71,259.71,259.11,259.71,259.71,260.0,259.0,259.0,258.8,258.21,258.71,259.71,259.71,259.11,259.71,259.71,260.0,260.0,259.0,258.8,258.21,258.71
2021-07-23 03:00:00,260.71,260.4,260.4,260.9,260.11,260.3,261.0,260.71,260.71,260.5,260.8,260.8,260.8,261.11,261.11,260.71,260.0,260.9,260.9,260.61,260.8,260.4,260.8,260.8,261.11,261.11,260.71,260.0,260.0,260.9,260.61,260.8,260.4,260.3,260.61,261.0,261.3,260.3,260.3,260.11,260.8,260.0,260.61,259.5,260.11,259.8,260.3,260.71,260.21,260.21,259.71,260.11,259.61,260.21,260.21,260.11,259.3,260.0,260.8,260.8,259.9,259.61,259.11,259.5,259.5,260.11,260.11,259.3,260.0,260.0,260.8,259.9,259.61,259.11,259.5,259.5,260.11,260.5,260.21,260.5,260.5,260.61,259.61,259.5,259.3,259.3,259.9,259.61,260.5,260.61,260.61,260.11,259.3,259.11,259.4,259.4,259.21,259.11,259.5,260.3,260.3,259.3,258.5,258.0,258.5,258.11,258.11,257.9,258.8,259.8,260.3,260.3,259.3,258.5,258.0,258.5,258.5,258.11,257.9,258.8,259.8
2021-08-11 22:00:00,256.4,256.4,256.4,256.4,254.2,254.11,253.81,254.4,254.4,253.9,255.81,256.9,256.9,256.21,256.11,255.0,255.31,256.0,256.0,257.5,256.61,256.61,256.9,256.9,256.21,256.11,255.0,255.31,255.31,256.0,257.5,256.61,256.61,255.61,256.9,256.9,256.8,256.61,256.61,256.4,256.21,256.5,257.0,257.0,254.7,255.7,256.5,256.11,256.8,256.8,255.4,254.5,254.7,255.81,255.81,252.4,252.7,252.2,252.61,252.61,254.7,252.2,250.4,249.61,249.61,250.9,252.4,252.7,252.2,252.2,252.61,254.7,252.2,250.4,249.61,249.61,250.9,247.5,247.31,246.0,246.0,246.81,249.81,249.7,247.81,247.81,248.0,249.81,246.9,246.31,246.31,245.2,244.7,245.4,247.31,247.31,249.4,251.5,251.61,252.31,252.31,251.31,249.31,247.2,246.31,247.7,247.7,250.0,251.61,252.5,252.31,252.31,251.31,249.31,247.2,246.31,246.31,247.7,250.0,251.61,252.5
2021-08-14 09:00:00,257.0,255.9,255.9,255.81,253.61,252.81,255.31,257.8,257.8,257.61,257.8,257.0,257.0,256.9,256.61,257.11,255.31,256.3,256.3,257.21,256.61,255.2,257.0,257.0,256.9,256.61,257.11,255.31,255.31,256.3,257.21,256.61,255.2,252.7,253.81,254.5,255.0,256.5,256.5,256.61,257.0,256.21,254.61,252.61,249.7,251.4,252.9,254.0,254.81,254.81,256.0,256.5,254.61,252.4,252.4,251.0,253.31,254.2,254.61,254.61,254.61,254.9,254.2,252.11,252.11,250.61,251.0,253.31,254.2,254.2,254.61,254.61,254.9,254.2,252.11,252.11,250.61,255.5,257.0,256.61,256.61,255.7,254.5,253.11,253.11,253.11,253.5,253.9,256.71,256.4,256.4,256.0,255.31,253.61,253.81,253.81,254.61,254.7,255.2,256.0,256.0,256.21,256.0,254.9,254.11,254.9,254.9,254.7,252.61,250.0,256.0,256.0,256.21,256.0,254.9,254.11,254.11,254.9,254.7,252.61,250.0
2021-06-09 10:00:00,224.5,226.2,226.2,226.2,225.81,226.31,227.0,227.7,227.7,227.4,227.61,224.11,224.11,223.9,224.7,224.61,225.61,226.61,226.61,226.81,226.9,227.0,224.11,224.11,223.9,224.7,224.61,225.61,225.61,226.61,226.81,226.9,227.0,224.2,223.4,222.7,223.7,223.81,223.81,224.7,226.11,226.81,226.31,226.11,224.9,223.31,223.11,223.2,223.7,223.7,223.5,225.81,226.4,225.61,225.61,226.0,224.31,223.9,222.61,222.61,223.2,223.7,224.81,224.9,224.9,225.11,226.0,224.31,223.9,223.9,222.61,223.2,223.7,224.81,224.9,224.9,225.11,227.81,225.5,224.4,224.4,223.5,223.61,222.5,223.81,223.81,224.11,224.4,229.31,227.31,227.31,225.31,224.0,223.7,222.7,222.7,222.2,223.5,223.61,230.61,230.61,229.11,227.5,226.61,223.61,222.5,222.5,221.7,221.2,222.9,230.61,230.61,229.11,227.5,226.61,223.61,223.61,222.5,221.7,221.2,222.9
2021-06-11 22:00:00,253.0,254.5,254.5,254.7,256.0,256.3,255.7,256.11,256.11,256.21,256.5,251.61,251.61,252.61,253.4,254.11,254.2,253.7,253.7,253.0,254.7,255.0,251.61,251.61,252.61,253.4,254.11,254.2,254.2,253.7,253.0,254.7,255.0,249.5,250.9,252.2,253.0,253.5,253.5,253.2,252.2,251.9,254.2,254.4,249.4,251.2,252.5,252.9,254.5,254.5,253.7,254.11,254.0,253.9,253.9,248.11,249.11,251.11,252.5,252.5,254.0,254.4,254.31,253.81,253.81,253.61,248.11,249.11,251.11,251.11,252.5,254.0,254.4,254.31,253.81,253.81,253.61,245.61,246.9,249.0,249.0,251.0,252.2,252.81,252.9,252.9,253.0,253.61,246.0,247.5,247.5,248.0,249.81,249.7,250.5,250.5,251.4,251.9,253.31,246.9,246.9,247.9,247.2,248.81,247.9,248.31,248.31,249.5,251.0,251.61,246.9,246.9,247.9,247.2,248.81,247.9,247.9,248.31,249.5,251.0,251.61
2021-07-16 04:00:00,259.3,259.5,259.5,258.71,257.61,258.3,257.8,258.3,258.3,260.21,259.5,259.61,259.61,259.8,260.4,260.5,259.3,257.71,257.71,257.8,259.11,258.5,259.61,259.61,259.8,260.4,260.5,259.3,259.3,257.71,257.8,259.11,258.5,257.9,258.9,259.4,260.8,260.9,260.9,260.9,260.0,259.61,258.9,258.71,257.4,258.11,257.4,259.4,260.5,260.5,260.21,260.5,260.11,260.3,260.3,259.61,259.61,259.11,259.8,259.8,260.0,259.4,259.61,260.0,260.0,260.21,259.61,259.61,259.11,259.11,259.8,260.0,259.4,259.61,260.0,260.0,260.21,262.4,262.21,262.21,262.21,261.21,260.3,260.0,259.4,259.4,259.5,259.11,262.5,262.21,262.21,261.61,260.5,259.9,259.61,259.61,259.0,258.3,256.3,261.3,261.3,259.71,258.21,258.21,258.8,259.0,259.0,258.71,257.5,255.5,261.3,261.3,259.71,258.21,258.21,258.8,258.8,259.0,258.71,257.5,255.5
2021-06-07 04:00:00,253.2,253.2,253.2,253.0,251.0,247.2,243.11,242.81,242.81,241.31,242.0,247.2,247.2,248.11,251.5,251.61,248.11,244.81,244.81,243.31,241.81,242.7,247.2,247.2,248.11,251.5,251.61,248.11,248.11,244.81,243.31,241.81,242.7,246.81,246.7,247.11,249.7,249.11,249.11,247.4,247.81,245.31,243.2,243.31,247.4,245.9,246.81,247.31,248.81,248.81,247.0,248.31,246.2,244.9,244.9,244.9,244.2,243.4,243.9,243.9,246.9,245.9,246.11,244.81,244.81,244.5,244.9,244.2,243.4,243.4,243.9,246.9,245.9,246.11,244.81,244.81,244.5,242.7,242.61,240.31,240.31,240.5,241.81,241.7,241.9,241.9,241.81,240.9,240.9,242.4,242.4,241.7,239.5,238.11,238.61,238.61,237.5,237.81,238.11,241.7,241.7,243.2,243.11,240.9,240.61,239.5,239.5,236.9,236.5,237.11,241.7,241.7,243.2,243.11,240.9,240.61,240.61,239.5,236.9,236.5,237.11
2021-08-04 05:00:00,261.5,261.21,261.21,261.5,260.8,260.71,261.9,262.11,262.11,261.8,261.61,261.11,261.11,261.5,261.11,261.4,260.71,261.5,261.5,262.21,262.3,262.11,261.11,261.11,261.5,261.11,261.4,260.71,260.71,261.5,262.21,262.3,262.11,261.61,261.21,261.3,261.3,261.71,261.71,261.21,260.71,262.11,262.5,261.61,261.71,261.3,261.61,261.71,261.3,261.3,261.71,261.9,261.4,262.21,262.21,262.0,262.8,261.71,261.4,261.4,261.61,261.8,262.9,262.0,262.0,262.21,262.0,262.8,261.71,261.71,261.4,261.61,261.8,262.9,262.0,262.0,262.21,259.8,260.4,258.61,258.61,258.11,261.0,261.8,262.11,262.11,261.61,262.0,259.0,260.21,260.21,258.8,257.3,259.5,260.8,260.8,261.61,261.21,261.61,259.8,259.8,260.9,261.5,261.4,260.8,261.0,261.0,261.71,261.21,260.8,259.8,259.8,260.9,261.5,261.4,260.8,260.8,261.0,261.71,261.21,260.8
