time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
2021-06-11 08:00:00,298.6,298.7,298.5,298.5,298.5,298.2,298.1,298.7,299.39,298.6,295.6,298.7,298.7,298.7,298.5,298.7,298.6,298.6,298.6,298.29,296.0,296.0,298.7,298.7,298.7,298.89,298.7,298.89,298.89,298.7,296.79,296.79,294.7,298.79,298.7,298.7,298.89,298.7,298.89,298.89,298.7,298.7,296.79,294.7,299.2,298.79,299.0,299.2,298.89,299.0,299.1,299.1,298.29,297.1,296.1,299.0,299.5,298.89,299.2,298.79,299.2,299.2,298.89,298.7,297.89,297.1,299.39,299.2,299.0,299.0,298.79,298.79,298.79,299.0,298.89,298.29,297.29,299.39,299.1,299.0,298.79,298.7,298.7,298.5,298.89,299.0,298.7,296.79,298.79,298.7,298.5,298.39,298.79,298.7,298.5,298.89,299.0,298.7,296.79,298.79,298.7,298.5,298.5,298.39,298.39,298.39,298.29,298.6,298.2,298.2,297.89,298.1,298.1,298.0,297.39,298.1,298.1,297.7,297.79,297.79,297.79
2021-06-17 01:00:00,277.0,276.5,276.79,276.79,277.79,277.2,276.29,274.7,272.9,271.5,271.4,276.0,275.89,275.89,277.0,277.6,277.29,275.79,273.89,272.5,271.4,271.4,274.7,274.7,275.89,277.2,277.2,276.6,274.89,273.1,272.3,272.3,271.61,276.0,274.7,275.89,277.2,277.2,276.6,274.89,273.1,273.1,272.3,271.61,274.39,276.0,275.89,276.1,276.2,275.89,274.29,274.29,272.61,272.11,271.11,273.89,276.1,275.29,274.89,275.2,275.29,275.29,273.89,272.71,271.9,271.21,272.9,274.2,274.5,275.29,274.5,274.5,274.2,273.29,272.5,272.5,271.71,271.9,272.21,273.29,275.0,274.29,274.29,273.1,273.0,272.9,273.2,272.5,272.61,270.5,271.5,272.71,275.0,274.29,273.1,273.0,272.9,273.2,272.5,272.61,270.5,271.5,271.5,272.71,275.29,274.2,272.71,272.71,273.2,273.2,272.21,270.3,270.3,269.21,271.4,275.79,275.39,272.9,272.21,272.21,273.79
2021-07-23 03:00:00,254.61,247.0,242.4,242.4,243.9,249.9,254.81,253.31,256.21,260.11,262.61,252.9,244.9,244.9,240.9,244.0,244.7,253.61,257.8,259.21,262.71,262.71,249.4,249.4,243.4,239.11,243.81,243.2,253.0,257.3,264.0,264.0,266.4,247.2,249.4,243.4,239.11,243.81,243.2,253.0,257.3,257.3,264.0,266.4,253.81,247.2,241.11,238.7,244.11,246.5,251.31,251.31,257.5,263.9,264.8,255.11,247.5,237.9,237.31,244.31,248.31,248.31,251.0,258.21,262.71,264.9,250.61,243.9,238.9,236.9,243.11,243.11,246.61,251.4,261.11,262.61,264.3,244.61,242.61,239.61,237.61,243.0,243.0,244.5,252.5,263.3,262.21,263.0,241.31,238.11,238.7,238.11,237.61,243.0,244.5,252.5,263.3,262.21,263.0,241.31,238.11,238.7,238.7,238.11,243.5,244.5,253.0,263.8,261.4,261.4,236.31,234.11,234.11,236.7,241.0,243.5,248.61,253.61,258.61,258.61,261.71
2021-08-11 22:00:00,252.11,250.5,249.9,249.9,253.2,253.61,251.9,249.61,255.0,259.4,257.11,249.7,247.5,247.5,246.81,250.81,250.9,250.7,251.4,254.31,260.61,260.61,248.2,248.2,245.5,242.61,249.0,250.4,250.4,252.31,254.31,254.31,259.21,243.9,248.2,245.5,242.61,249.0,250.4,250.4,252.31,252.31,254.31,259.21,246.81,243.9,243.2,243.4,247.7,250.4,252.11,252.11,252.4,255.81,260.9,243.4,240.81,242.0,243.31,247.9,251.4,251.4,253.5,255.11,257.4,261.4,239.5,239.11,242.81,246.11,249.11,249.11,252.7,255.11,257.4,258.8,260.9,236.81,240.81,245.4,248.9,251.11,251.11,254.2,256.5,258.61,259.9,259.9,241.31,244.9,250.4,252.31,248.9,251.11,254.2,256.5,258.61,259.9,259.9,241.31,244.9,250.4,250.4,252.31,253.4,256.0,258.0,259.61,261.11,261.11,247.4,252.61,252.61,254.2,257.0,255.81,256.0,258.8,259.8,259.8,260.21
2021-08-14 09:00:00,289.7,287.89,289.5,289.5,290.6,288.39,290.1,291.6,291.39,290.89,290.2,289.79,289.6,289.6,290.6,291.29,290.2,290.89,290.6,291.29,291.7,291.7,290.29,290.29,291.2,291.79,291.89,291.39,291.39,291.0,291.1,291.1,290.5,291.39,290.29,291.2,291.79,291.89,291.39,291.39,291.0,291.0,291.1,290.5,290.6,291.39,292.1,292.39,292.2,291.6,291.6,291.6,290.89,291.0,290.29,292.2,292.5,292.5,292.5,292.2,292.2,292.2,291.5,290.7,290.7,290.5,292.7,292.79,292.7,292.5,292.39,292.39,292.5,291.1,290.5,291.0,291.5,292.79,292.79,292.5,292.39,292.39,292.39,292.6,290.6,290.89,290.89,292.0,293.29,292.89,292.6,292.5,292.39,292.39,292.6,290.6,290.89,290.89,292.0,293.29,292.89,292.6,292.6,292.5,292.5,292.0,291.39,291.39,290.79,290.79,293.6,293.1,293.1,292.7,292.39,292.2,292.1,292.1,291.5,291.5,291.1
2021-06-09 10:00:00,243.4,238.81,235.11,235.11,232.7,232.4,234.7,239.11,241.5,239.2,239.61,250.7,245.31,245.31,236.61,231.81,232.7,235.2,237.9,241.81,240.5,240.5,257.5,257.5,250.4,239.11,233.2,234.4,236.81,238.4,240.5,240.5,242.5,256.0,257.5,250.4,239.11,233.2,234.4,236.81,238.4,238.4,240.5,242.5,256.61,256.0,252.0,251.11,237.2,237.5,239.31,239.31,241.31,240.81,237.5,252.7,252.0,255.11,253.81,244.7,244.4,244.4,243.7,243.2,240.9,239.31,252.7,254.2,254.5,251.11,247.9,247.9,252.2,248.81,246.5,243.11,242.4,254.5,254.0,253.2,251.11,250.7,250.7,253.5,254.81,251.7,246.7,248.11,255.61,254.9,252.5,252.2,251.11,250.7,253.5,254.81,251.7,246.7,248.11,255.61,254.9,252.5,252.5,252.2,251.31,254.0,257.3,256.61,252.9,252.9,256.8,255.2,255.2,253.4,253.31,251.9,253.5,257.9,260.61,260.61,258.5
2021-06-11 22:00:00,282.0,284.39,280.79,280.79,278.29,278.1,274.0,269.8,269.9,273.1,274.0,280.6,282.89,282.89,283.1,278.89,275.29,270.3,268.0,267.8,269.8,269.8,279.6,279.6,281.7,281.39,280.2,274.2,269.61,265.11,269.8,269.8,271.9,279.0,279.6,281.7,281.39,280.2,274.2,269.61,265.11,265.11,269.8,271.9,277.79,279.0,277.2,277.0,276.5,273.1,271.5,271.5,272.21,273.6,275.1,277.0,277.1,272.8,271.3,273.39,274.6,274.6,275.39,278.0,278.5,278.6,273.0,272.0,270.8,272.61,275.6,275.6,277.5,279.29,281.1,281.7,281.7,269.5,270.4,270.71,274.1,279.79,279.79,282.5,283.29,284.1,284.39,284.2,275.5,272.71,274.5,275.6,274.1,279.79,282.5,283.29,284.1,284.39,284.2,275.5,272.71,274.5,274.5,275.6,281.79,284.0,284.39,285.1,285.2,285.2,277.1,280.6,280.6,275.5,281.0,281.39,283.5,284.7,285.2,285.2,286.29
2021-07-16 04:00:00,254.61,253.61,252.0,252.0,252.61,251.4,252.81,256.71,270.3,273.79,279.5,251.11,247.2,247.2,243.9,240.31,239.9,243.2,251.11,264.3,272.61,272.61,257.8,257.8,246.0,241.4,233.31,233.9,239.2,250.9,261.4,261.4,269.4,257.9,257.8,246.0,241.4,233.31,233.9,239.2,250.9,250.9,261.4,269.4,255.4,257.9,259.3,256.0,247.7,242.31,249.7,249.7,259.0,263.0,267.0,260.3,265.3,271.61,268.3,261.9,258.0,258.0,260.4,265.4,267.11,271.21,272.9,276.2,278.79,276.2,272.0,272.0,269.0,269.3,272.9,274.0,273.39,284.6,285.89,284.1,281.2,280.1,280.1,278.6,276.7,277.29,277.89,275.2,287.5,289.1,287.7,288.7,281.2,280.1,278.6,276.7,277.29,277.89,275.2,287.5,289.1,287.7,287.7,288.7,284.5,283.5,282.6,278.7,276.7,276.7,289.79,290.1,290.1,290.89,290.89,287.0,287.5,284.79,281.29,281.29,274.7
2021-06-07 04:00:00,242.0,247.2,252.31,252.31,257.8,258.11,247.7,253.61,256.8,257.8,259.3,248.31,254.5,254.5,260.11,259.4,256.61,251.2,251.61,255.5,259.11,259.11,252.9,252.9,260.5,264.11,260.71,256.9,254.11,250.2,251.11,251.11,258.0,253.0,252.9,260.5,264.11,260.71,256.9,254.11,250.2,250.2,251.11,258.0,247.61,253.0,258.5,261.8,261.61,257.61,255.11,255.11,250.9,246.4,251.0,247.0,250.81,253.7,258.9,261.21,259.4,259.4,257.5,250.81,246.5,250.61,247.61,252.2,250.7,251.7,258.8,258.8,261.9,258.5,255.9,257.11,261.11,248.7,249.7,248.61,248.7,256.8,256.8,262.71,258.8,260.0,266.4,269.8,248.61,248.4,248.7,252.0,248.7,256.8,262.71,258.8,260.0,266.4,269.8,248.61,248.4,248.7,248.7,252.0,257.71,261.61,262.11,265.8,268.0,268.0,249.4,246.7,246.7,250.2,258.3,260.8,263.21,268.9,275.2,275.2,273.7
2021-08-04 05:00:00,297.29,296.89,295.29,295.29,295.0,295.7,295.7,295.6,296.0,295.5,294.79,297.0,296.7,296.7,294.89,294.5,294.5,295.6,295.79,295.7,295.39,295.39,295.2,295.2,295.39,294.0,292.7,293.79,295.2,295.6,295.7,295.7,294.89,292.79,295.2,295.39,294.0,292.7,293.79,295.2,295.6,295.6,295.7,294.89,292.5,292.79,292.0,290.79,291.1,293.6,295.29,295.29,295.6,295.0,294.2,291.39,285.7,288.0,288.5,289.6,293.1,293.1,295.39,295.2,293.79,294.2,292.1,288.2,281.89,280.39,289.79,289.79,293.7,294.5,294.5,293.7,294.2,292.89,288.89,275.89,277.29,289.0,289.0,292.89,293.0,293.79,293.39,293.79,290.39,282.39,277.39,283.39,277.29,289.0,292.89,293.0,293.79,293.39,293.79,290.39,282.39,277.39,277.39,283.39,288.5,289.79,291.79,292.29,291.89,291.89,285.6,283.2,283.2,279.6,286.0,288.29,290.6,290.39,286.7,286.7,290.39
