time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
2021-06-11 08:00:00,271.54,271.56,271.58,271.58,271.6,271.64,271.66,271.68,271.7,271.74,271.76,271.5,271.52,271.52,271.54,271.56,271.6,271.62,271.64,271.66,271.68,271.68,271.46,271.46,271.48,271.5,271.52,271.56,271.58,271.6,271.62,271.62,271.66,271.42,271.46,271.48,271.5,271.52,271.56,271.58,271.6,271.6,271.62,271.66,271.38,271.42,271.44,271.46,271.48,271.52,271.54,271.54,271.56,271.58,271.62,271.34000000000003,271.38,271.4,271.42,271.44,271.48,271.48,271.5,271.52,271.54,271.58,271.3,271.34000000000003,271.36,271.38,271.4,271.4,271.44,271.46,271.48,271.5,271.54,271.26,271.3,271.32,271.34000000000003,271.36,271.36,271.4,271.42,271.44,271.46,271.5,271.22,271.26,271.28000000000003,271.3,271.34000000000003,271.36,271.4,271.42,271.44,271.46,271.5,271.22,271.26,271.28000000000003,271.28000000000003,271.3,271.32,271.36,271.38,271.4,271.42,271.42,271.18,271.22,271.22,271.24,271.26,271.28000000000003,271.32,271.34000000000003,271.36,271.36,271.38
2021-06-17 01:00:00,90.54,90.58,90.60000000000001,90.60000000000001,90.62,90.66,90.68,90.72,90.74,90.76,90.8,90.60000000000001,90.62,90.62,90.66,90.68,90.7,90.74,90.76,90.8,90.82000000000001,90.82000000000001,90.66,90.66,90.68,90.7,90.74,90.76,90.78,90.82000000000001,90.84,90.84,90.88,90.7,90.66,90.68,90.7,90.74,90.76,90.78,90.82000000000001,90.82000000000001,90.84,90.88,90.68,90.7,90.74,90.76,90.78,90.82000000000001,90.84,90.84,90.88,90.9,90.92,90.72,90.76,90.78,90.82000000000001,90.84,90.86,90.86,90.9,90.92,90.96000000000001,90.98,90.78,90.8,90.84,90.86,90.9,90.9,90.92,90.94,90.98,91.0,91.04,90.84,90.86,90.88,90.92,90.94,90.94,90.98,91.0,91.02,91.06,91.08,90.88,90.92,90.94,90.96000000000001,90.92,90.94,90.98,91.0,91.02,91.06,91.08,90.88,90.92,90.94,90.94,90.96000000000001,91.0,91.02,91.06,91.08,91.12,91.12,90.94,90.96000000000001,90.96000000000001,91.0,91.02,91.06,91.08,91.10000000000001,91.14,91.14,91.16
2021-07-23 03:00:00,121.58,121.64,121.72,121.72,121.8,121.86,121.94,122.0,122.08,122.16,122.22,121.66,121.74000000000001,121.74000000000001,121.82000000000001,121.88,121.96000000000001,122.04,122.10000000000001,122.18,122.26,122.26,121.78,121.78,121.84,121.92,122.0,122.06,122.14,122.2,122.28,122.28,122.36,121.88,121.78,121.84,121.92,122.0,122.06,122.14,122.2,122.2,122.28,122.36,121.8,121.88,121.94,122.02,122.10000000000001,122.16,122.24000000000001,122.24000000000001,122.32000000000001,122.38,122.46000000000001,121.9,121.98,122.06,122.12,122.2,122.26,122.26,122.34,122.42,122.5,122.56,122.0,122.08,122.14,122.22,122.3,122.3,122.36,122.44,122.52,122.58,122.66,122.10000000000001,122.18,122.24000000000001,122.32000000000001,122.4,122.4,122.46000000000001,122.54,122.62,122.68,122.76,122.2,122.28,122.34,122.42,122.32000000000001,122.4,122.46000000000001,122.54,122.62,122.68,122.76,122.2,122.28,122.34,122.34,122.42,122.5,122.56,122.64,122.72,122.8,122.8,122.3,122.38,122.38,122.46000000000001,122.52,122.60000000000001,122.68,122.74000000000001,122.82000000000001,122.82000000000001,122.9
2021-08-11 22:00:00,73.98,74.02,74.04,74.04,74.06,74.08,74.12,74.14,74.16,74.2,74.22,74.0,74.02,74.02,74.04,74.06,74.10000000000001,74.12,74.14,74.18,74.2,74.2,74.0,74.0,74.02,74.04,74.08,74.10000000000001,74.12,74.16,74.18,74.18,74.2,74.0,74.0,74.02,74.04,74.08,74.10000000000001,74.12,74.16,74.16,74.18,74.2,73.98,74.0,74.02,74.06,74.08,74.10000000000001,74.14,74.14,74.16,74.18,74.22,73.98,74.0,74.04,74.06,74.08,74.12,74.12,74.14,74.16,74.2,74.22,73.98,74.02,74.04,74.06,74.10000000000001,74.10000000000001,74.12,74.14,74.16,74.2,74.22,74.0,74.02,74.04,74.08,74.10000000000001,74.10000000000001,74.12,74.14,74.18,74.2,74.22,74.0,74.02,74.06,74.08,74.08,74.10000000000001,74.12,74.14,74.18,74.2,74.22,74.0,74.02,74.06,74.06,74.08,74.10000000000001,74.14,74.16,74.18,74.2,74.2,74.0,74.04,74.04,74.06,74.08,74.12,74.14,74.16,74.18,74.18,74.22
2021-08-14 09:00:00,270.0,270.02,270.04,270.04,270.08,270.1,270.12,270.16,270.18,270.2,270.24,269.98,270.0,270.0,270.02,270.06,270.08,270.1,270.14,270.16,270.18,270.18,269.96,269.96,269.98,270.0,270.04,270.06,270.08,270.12,270.14,270.14,270.16,269.94,269.96,269.98,270.0,270.04,270.06,270.08,270.12,270.12,270.14,270.16,269.9,269.94,269.96,269.98,270.02,270.04,270.06,270.06,270.1,270.12,270.14,269.88,269.92,269.94,269.96,270.0,270.02,270.02,270.04,270.08,270.1,270.12,269.86,269.9,269.92,269.94,269.98,269.98,270.0,270.02,270.04,270.08,270.1,269.84000000000003,269.88,269.9,269.92,269.96,269.96,269.98,270.0,270.04,270.06,270.08,269.82,269.86,269.88,269.9,269.92,269.96,269.98,270.0,270.04,270.06,270.08,269.82,269.86,269.88,269.88,269.9,269.94,269.96,269.98,270.02,270.04,270.04,269.8,269.84000000000003,269.84000000000003,269.86,269.88,269.92,269.94,269.96,270.0,270.0,270.02
2021-06-09 10:00:00,286.62,286.64,286.66,286.66,286.7,286.72,286.74,286.76,286.78000000000003,286.8,286.82,286.62,286.64,286.64,286.66,286.68,286.7,286.72,286.74,286.76,286.8,286.8,286.6,286.6,286.62,286.64,286.66,286.7,286.72,286.74,286.76,286.76,286.78000000000003,286.58,286.6,286.62,286.64,286.66,286.7,286.72,286.74,286.74,286.76,286.78000000000003,286.56,286.58,286.62,286.64,286.66,286.68,286.7,286.7,286.72,286.74,286.78000000000003,286.56,286.58,286.6,286.62,286.64,286.66,286.66,286.7,286.72,286.74,286.76,286.54,286.56,286.58,286.6,286.64,286.64,286.66,286.68,286.7,286.72,286.74,286.52,286.56,286.58,286.6,286.62,286.62,286.64,286.66,286.7,286.72,286.74,286.52,286.54,286.56,286.58,286.6,286.62,286.64,286.66,286.7,286.72,286.74,286.52,286.54,286.56,286.56,286.58,286.62,286.64,286.66,286.68,286.7,286.7,286.5,286.54,286.54,286.56,286.58,286.6,286.62,286.64,286.66,286.66,286.7
2021-06-11 22:00:00,67.96000000000001,67.98,68.0,68.0,68.02,68.06,68.08,68.1,68.12,68.14,68.18,67.96000000000001,67.98,67.98,68.02,68.04,68.06,68.08,68.1,68.14,68.16,68.16,67.98,67.98,68.0,68.02,68.04,68.08,68.1,68.12,68.14,68.14,68.16,67.98,67.98,68.0,68.02,68.04,68.08,68.1,68.12,68.12,68.14,68.16,67.96000000000001,67.98,68.0,68.04,68.06,68.08,68.1,68.1,68.14,68.16,68.18,67.98,68.0,68.02,68.04,68.06,68.1,68.1,68.12,68.14,68.16,68.2,67.98,68.0,68.02,68.06,68.08,68.08,68.1,68.12,68.16,68.18,68.2,67.98,68.02,68.04,68.06,68.08,68.08,68.12,68.14,68.16,68.18,68.22,68.0,68.02,68.04,68.08,68.06,68.08,68.12,68.14,68.16,68.18,68.22,68.0,68.02,68.04,68.04,68.08,68.1,68.12,68.14,68.18,68.2,68.2,68.02,68.04,68.04,68.06,68.08,68.1,68.14,68.16,68.18,68.18,68.2
2021-07-16 04:00:00,154.24,154.4,154.56,154.56,154.72,154.88,155.04,155.20000000000002,155.36,155.52,155.68,154.34,154.5,154.5,154.66,154.82,154.98,155.12,155.28,155.44,155.6,155.6,154.44,154.44,154.6,154.76,154.92000000000002,155.08,155.24,155.4,155.56,155.56,155.72,154.54,154.44,154.6,154.76,154.92000000000002,155.08,155.24,155.4,155.4,155.56,155.72,154.38,154.54,154.70000000000002,154.86,155.02,155.18,155.34,155.34,155.5,155.66,155.82,154.48,154.64000000000001,154.8,154.96,155.12,155.28,155.28,155.44,155.6,155.76,155.92000000000002,154.58,154.72,154.88,155.04,155.20000000000002,155.20000000000002,155.36,155.52,155.68,155.84,156.0,154.68,154.82,154.98,155.14000000000001,155.3,155.3,155.46,155.62,155.78,155.94,156.1,154.78,154.92000000000002,155.08,155.24,155.14000000000001,155.3,155.46,155.62,155.78,155.94,156.1,154.78,154.92000000000002,155.08,155.08,155.24,155.4,155.56,155.72,155.88,156.04,156.04,154.88,155.02,155.02,155.18,155.34,155.5,155.66,155.82,155.98,155.98,156.14000000000001
2021-06-07 04:00:00,158.72,158.9,159.08,159.08,159.28,159.46,159.64000000000001,159.82,160.02,160.20000000000002,160.38,158.8,158.98,158.98,159.18,159.36,159.54,159.72,159.92000000000002,160.1,160.28,160.28,158.9,158.9,159.1,159.28,159.46,159.64000000000001,159.82,160.02,160.20000000000002,160.20000000000002,160.38,159.02,158.9,159.1,159.28,159.46,159.64000000000001,159.82,160.02,160.02,160.20000000000002,160.38,158.84,159.02,159.20000000000002,159.38,159.56,159.74,159.94,159.94,160.12,160.3,160.48,158.94,159.12,159.3,159.48,159.66,159.84,159.84,160.04,160.22,160.4,160.58,159.02,159.20000000000002,159.38,159.56,159.74,159.74,159.92000000000002,160.1,160.3,160.48,160.66,159.12,159.3,159.48,159.66,159.84,159.84,160.02,160.20000000000002,160.4,160.58,160.76,159.22,159.4,159.58,159.76,159.66,159.84,160.02,160.20000000000002,160.4,160.58,160.76,159.22,159.4,159.58,159.58,159.76,159.94,160.12,160.3,160.5,160.68,160.68,159.32,159.5,159.5,159.68,159.86,160.04,160.22,160.4,160.58,160.58,160.78
2021-08-04 05:00:00,204.68,204.8,204.94,204.94,205.06,205.18,205.3,205.42000000000002,205.56,205.68,205.8,204.64000000000001,204.76,204.76,204.88,205.0,205.12,205.26,205.38,205.5,205.62,205.62,204.58,204.58,204.72,204.84,204.96,205.08,205.20000000000002,205.34,205.46,205.46,205.58,204.54,204.58,204.72,204.84,204.96,205.08,205.20000000000002,205.34,205.34,205.46,205.58,204.42000000000002,204.54,204.68,204.8,204.92000000000002,205.04,205.16,205.16,205.3,205.42000000000002,205.54,204.38,204.5,204.64000000000001,204.76,204.88,205.0,205.0,205.12,205.24,205.38,205.5,204.32,204.46,204.58,204.70000000000002,204.82,204.82,204.94,205.06,205.20000000000002,205.32,205.44,204.28,204.4,204.54,204.66,204.78,204.78,204.9,205.02,205.16,205.28,205.4,204.24,204.36,204.5,204.62,204.66,204.78,204.9,205.02,205.16,205.28,205.4,204.24,204.36,204.5,204.5,204.62,204.74,204.86,204.98000000000002,205.1,205.24,205.24,204.20000000000002,204.32,204.32,204.46,204.58,204.70000000000002,204.82,204.94,205.06,205.06,205.20000000000002
