time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
2021-06-11 08:00:00,285.16,285.16,285.16,285.2,285.2,285.22,285.22,285.24,285.24,285.26,285.26,285.14,285.14,285.16,285.18,285.18,285.2,285.2,285.22,285.22,285.24,285.26,285.1,285.14,285.14,285.16,285.16,285.18,285.18,285.2,285.2,285.2,285.22,285.1,285.12,285.12,285.14,285.14,285.16,285.16,285.16,285.18,285.2,285.2,285.08,285.1,285.1,285.12,285.12,285.12,285.14,285.14,285.16,285.18,285.18,285.06,285.08,285.08,285.1,285.1,285.1,285.12,285.14,285.14,285.16,285.16,285.04,285.06,285.06,285.06,285.08,285.08,285.1,285.12,285.12,285.14,285.14,285.02,285.02,285.04,285.04,285.06,285.08,285.08,285.1,285.1,285.12,285.12,285.0,285.0,285.02,285.02,285.04,285.04,285.06,285.08,285.08,285.08,285.1,284.98,284.98,285.0,285.0,285.02,285.04,285.04,285.04,285.06,285.06,285.08,284.96,284.96,284.98,284.98,285.0,285.0,285.02,285.02,285.04,285.04,285.06
2021-06-17 01:00:00,80.74,80.74,80.74,80.7,80.7,80.72,80.72,80.74,80.74,80.74,80.76,80.8,80.8,80.74,80.76,80.76,80.78,80.78,80.8,80.8,80.82000000000001,80.82000000000001,80.84,80.8,80.8,80.82000000000001,80.82000000000001,80.84,80.84,80.86,80.86,80.86,80.88,80.84,80.86,80.86,80.88,80.88,80.9,80.9,80.9,80.92,80.92,80.94,80.9,80.92,80.92,80.94,80.94,80.94,80.96000000000001,80.96000000000001,80.98,80.98,81.0,80.98,80.98,80.98,81.0,81.0,81.0,81.02,81.02,81.04,81.04,81.06,81.04,81.04,81.04,81.06,81.06,81.06,81.08,81.08,81.10000000000001,81.10000000000001,81.12,81.08,81.10000000000001,81.10000000000001,81.12,81.12,81.14,81.14,81.16,81.16,81.18,81.18,81.14,81.16,81.16,81.18,81.18,81.2,81.2,81.22,81.22,81.22,81.24,81.2,81.22,81.22,81.24,81.24,81.26,81.26,81.26,81.28,81.28,81.3,81.26,81.28,81.28,81.3,81.3,81.3,81.32000000000001,81.32000000000001,81.34,81.34,81.36
2021-07-23 03:00:00,103.36,103.44,103.44,103.26,103.34,103.44,103.52,103.62,103.7,103.8,103.88,103.64,103.64,103.44,103.54,103.62,103.72,103.8,103.9,104.0,104.08,104.18,103.82000000000001,103.64,103.72,103.82000000000001,103.9,104.0,104.10000000000001,104.18,104.28,104.28,104.38,103.82000000000001,103.92,104.0,104.10000000000001,104.18,104.28,104.38,104.38,104.48,104.56,104.66,104.10000000000001,104.18,104.28,104.36,104.46000000000001,104.46000000000001,104.56,104.64,104.74000000000001,104.84,104.94,104.36,104.46000000000001,104.56,104.64,104.64,104.74000000000001,104.84,104.94,105.02,105.12,105.22,104.64,104.74000000000001,104.74000000000001,104.84,104.92,105.02,105.12,105.22,105.32000000000001,105.42,105.52,104.82000000000001,104.92,105.02,105.12,105.2,105.3,105.4,105.5,105.60000000000001,105.7,105.7,105.10000000000001,105.2,105.28,105.38,105.48,105.58,105.68,105.78,105.78,105.88,105.98,105.38,105.46000000000001,105.56,105.66,105.76,105.86,105.86,105.96000000000001,106.06,106.16,106.26,105.64,105.74000000000001,105.84,105.94,106.04,106.04,106.14,106.24000000000001,106.34,106.46000000000001,106.56
2021-08-11 22:00:00,78.3,78.3,78.3,78.32000000000001,78.32000000000001,78.34,78.36,78.38,78.38,78.4,78.42,78.3,78.3,78.3,78.32000000000001,78.34,78.36,78.36,78.38,78.4,78.42,78.44,78.3,78.3,78.32000000000001,78.34,78.34,78.36,78.38,78.4,78.42,78.42,78.42,78.3,78.32000000000001,78.32000000000001,78.34,78.36,78.38,78.4,78.4,78.4,78.42,78.44,78.3,78.32000000000001,78.34,78.36,78.36,78.36,78.38,78.4,78.42,78.44,78.44,78.32000000000001,78.34,78.34,78.36,78.36,78.38,78.4,78.42,78.42,78.44,78.46000000000001,78.32000000000001,78.34,78.34,78.36,78.38,78.4,78.4,78.42,78.44,78.46000000000001,78.46000000000001,78.32000000000001,78.34,78.36,78.38,78.38,78.4,78.42,78.44,78.44,78.46000000000001,78.46000000000001,78.34,78.34,78.36,78.38,78.4,78.42,78.42,78.44,78.44,78.46000000000001,78.48,78.34,78.36,78.38,78.4,78.4,78.42,78.42,78.44,78.46000000000001,78.48,78.48,78.36,78.38,78.38,78.4,78.42,78.42,78.44,78.46000000000001,78.46000000000001,78.48,78.5
2021-08-14 09:00:00,280.22,280.22,280.22,280.24,280.26,280.28000000000003,280.3,280.3,280.32,280.34000000000003,280.36,280.2,280.2,280.22,280.24,280.26,280.28000000000003,280.28000000000003,280.3,280.32,280.34000000000003,280.34000000000003,280.18,280.2,280.22,280.24,280.26,280.26,280.28000000000003,280.3,280.32,280.32,280.32,280.18,280.2,280.22,280.22,280.24,280.26,280.28000000000003,280.28000000000003,280.28000000000003,280.3,280.32,280.18,280.2,280.2,280.22,280.24,280.24,280.26,280.26,280.28000000000003,280.3,280.32,280.16,280.18,280.2,280.22,280.22,280.22,280.24,280.26,280.28000000000003,280.28000000000003,280.3,280.16,280.18,280.18,280.2,280.2,280.22,280.24,280.26,280.26,280.28000000000003,280.3,280.14,280.16,280.18,280.18,280.2,280.22,280.24,280.24,280.26,280.28000000000003,280.28000000000003,280.14,280.14,280.16,280.18,280.2,280.2,280.22,280.24,280.24,280.26,280.26,280.12,280.14,280.16,280.18,280.18,280.2,280.2,280.22,280.24,280.24,280.26,280.12,280.14,280.14,280.16,280.18,280.18,280.2,280.2,280.22,280.24,280.26
2021-06-09 10:00:00,294.1,294.12,294.12,294.14,294.16,294.16,294.18,294.2,294.22,294.24,294.26,294.1,294.1,294.12,294.14,294.16,294.18,294.18,294.2,294.22,294.24,294.26,294.1,294.1,294.12,294.14,294.16,294.18,294.18,294.2,294.22,294.22,294.24,294.1,294.1,294.12,294.14,294.16,294.18,294.2,294.2,294.2,294.22,294.24,294.1,294.1,294.12,294.14,294.16,294.16,294.18,294.2,294.2,294.22,294.24,294.1,294.12,294.12,294.14,294.14,294.16,294.18,294.2,294.22,294.22,294.24,294.1,294.12,294.12,294.12,294.14,294.16,294.18,294.2,294.22,294.22,294.24,294.08,294.1,294.12,294.14,294.14,294.16,294.18,294.2,294.22,294.24,294.24,294.08,294.1,294.12,294.14,294.14,294.16,294.18,294.2,294.2,294.22,294.24,294.08,294.1,294.12,294.14,294.14,294.16,294.16,294.18,294.2,294.22,294.24,294.08,294.1,294.12,294.14,294.16,294.16,294.16,294.18,294.2,294.22,294.24
2021-06-11 22:00:00,70.8,70.82000000000001,70.82000000000001,70.82000000000001,70.82000000000001,70.84,70.86,70.86,70.88,70.9,70.9,70.82000000000001,70.82000000000001,70.82000000000001,70.82000000000001,70.84,70.86,70.86,70.88,70.9,70.9,70.92,70.82000000000001,70.82000000000001,70.82000000000001,70.84,70.86,70.86,70.88,70.9,70.9,70.9,70.92,70.82000000000001,70.82000000000001,70.84,70.86,70.86,70.88,70.9,70.9,70.9,70.92,70.94,70.82000000000001,70.84,70.86,70.86,70.88,70.88,70.9,70.9,70.92,70.94,70.94,70.84,70.86,70.86,70.88,70.88,70.9,70.9,70.92,70.94,70.94,70.96000000000001,70.86,70.86,70.86,70.88,70.9,70.9,70.92,70.94,70.94,70.96000000000001,70.98,70.86,70.86,70.88,70.9,70.9,70.92,70.94,70.94,70.96000000000001,70.98,70.98,70.86,70.88,70.9,70.9,70.92,70.94,70.94,70.96000000000001,70.96000000000001,70.98,70.98,70.88,70.9,70.9,70.92,70.94,70.94,70.94,70.96000000000001,70.98,70.98,71.0,70.88,70.9,70.92,70.94,70.94,70.94,70.96000000000001,70.98,70.98,71.0,71.02
2021-07-16 04:00:00,261.42,261.48,261.48,261.94,262.0,262.06,262.12,262.18,262.24,262.3,262.34000000000003,261.02,261.02,261.48,261.54,261.62,261.68,261.74,261.8,261.86,261.92,261.98,260.56,261.02,261.1,261.16,261.22,261.3,261.36,261.42,261.48,261.48,261.54,260.56,260.64,260.7,260.78000000000003,260.84000000000003,260.9,260.98,260.98,261.04,261.1,261.18,260.16,260.24,260.3,260.38,260.44,260.44,260.52,260.58,260.66,260.72,260.78000000000003,259.76,259.84000000000003,259.92,260.0,260.0,260.06,260.14,260.22,260.28000000000003,260.36,260.42,259.38,259.46,259.46,259.54,259.62,259.68,259.76,259.84000000000003,259.9,259.98,260.06,258.9,258.98,259.08,259.16,259.24,259.3,259.38,259.46,259.54,259.62,259.62,258.52,258.6,258.68,258.76,258.84000000000003,258.92,259.0,259.08,259.08,259.16,259.24,258.12,258.22,258.3,258.38,258.46,258.56,258.56,258.64,258.72,258.8,258.88,257.74,257.84000000000003,257.92,258.0,258.1,258.1,258.18,258.26,258.34000000000003,258.44,258.52
2021-06-07 04:00:00,275.18,275.16,275.16,275.46,275.44,275.42,275.40000000000003,275.38,275.34000000000003,275.32,275.3,274.86,274.86,275.16,275.14,275.12,275.1,275.08,275.06,275.04,275.02,275.0,274.56,274.86,274.84000000000003,274.82,274.8,274.78000000000003,274.76,274.74,274.72,274.72,274.7,274.56,274.54,274.52,274.5,274.48,274.46,274.44,274.44,274.44,274.42,274.40000000000003,274.24,274.22,274.2,274.18,274.16,274.16,274.14,274.14,274.12,274.1,274.08,273.90000000000003,273.90000000000003,273.88,273.86,273.86,273.84000000000003,273.84000000000003,273.82,273.8,273.8,273.78000000000003,273.58,273.56,273.56,273.56,273.54,273.52,273.52,273.5,273.5,273.48,273.46,273.26,273.26,273.24,273.24,273.22,273.22,273.2,273.18,273.18,273.16,273.16,272.94,272.92,272.92,272.92,272.9,272.9,272.88,272.88,272.88,272.86,272.86,272.62,272.6,272.6,272.58,272.58,272.58,272.58,272.56,272.56,272.56,272.54,272.28000000000003,272.28000000000003,272.28000000000003,272.26,272.26,272.26,272.26,272.26,272.24,272.24,272.24
2021-08-04 05:00:00,259.28000000000003,259.32,259.32,259.46,259.48,259.52,259.56,259.58,259.62,259.66,259.68,259.18,259.18,259.32,259.36,259.38,259.42,259.46,259.48,259.52,259.56,259.58,259.04,259.18,259.22,259.24,259.28000000000003,259.32,259.36,259.38,259.42,259.42,259.46,259.04,259.08,259.12,259.14,259.18,259.22,259.24,259.24,259.28000000000003,259.32,259.36,258.94,258.98,259.0,259.04,259.08,259.08,259.1,259.14,259.18,259.22,259.24,258.84000000000003,258.86,258.9,258.94,258.94,258.98,259.0,259.04,259.08,259.12,259.14,258.74,258.76,258.76,258.8,258.84000000000003,258.88,258.9,258.94,258.98,259.0,259.04,258.6,258.64,258.66,258.7,258.74,258.78000000000003,258.8,258.84000000000003,258.88,258.9,258.9,258.48,258.52,258.56,258.6,258.64,258.66,258.7,258.74,258.74,258.78000000000003,258.8,258.38,258.42,258.46,258.5,258.54,258.56,258.56,258.6,258.64,258.68,258.7,258.28000000000003,258.32,258.36,258.4,258.42,258.42,258.46,258.5,258.54,258.58,258.6
2021-06-18 06:00:00,279.24,279.26,279.26,279.32,279.32,279.32,279.34000000000003,279.34000000000003,279.34000000000003,279.34000000000003,279.36,279.18,279.18,279.26,279.26,279.26,279.26,279.28000000000003,279.28000000000003,279.28000000000003,279.3,279.3,279.12,279.18,279.2,279.2,279.2,279.22,279.22,279.22,279.22,279.22,279.24,279.12,279.14,279.14,279.14,279.14,279.16,279.16,279.16,279.16,279.16,279.18,279.06,279.08,279.08,279.08,279.08,279.08,279.1,279.1,279.1,279.12,279.12,279.0,279.02,279.02,279.02,279.02,279.02,279.04,279.04,279.04,279.06,279.06,278.94,278.96,278.96,278.96,278.96,278.98,278.98,278.98,278.98,279.0,279.0,278.88,278.88,278.90000000000003,278.90000000000003,278.90000000000003,278.92,278.92,278.92,278.94,278.94,278.94,278.82,278.82,278.84000000000003,278.84000000000003,278.84000000000003,278.86,278.86,278.86,278.86,278.88,278.88,278.76,278.78000000000003,278.78000000000003,278.78000000000003,278.78000000000003,278.8,278.8,278.8,278.8,278.82,278.82,278.7,278.72,278.72,278.72,278.72,278.72,278.74,278.74,278.74,278.76,278.76
2021-06-28 01:00:00,80.82000000000001,80.84,80.84,80.78,80.8,80.8,80.82000000000001,80.82000000000001,80.82000000000001,80.84,80.84,80.88,80.88,80.84,80.84,80.86,80.86,80.88,80.88,80.88,80.9,80.9,80.94,80.88,80.9,80.9,80.92,80.92,80.94,80.94,80.94,80.94,80.96000000000001,80.94,80.94,80.96000000000001,80.96000000000001,80.98,80.98,81.0,81.0,81.0,81.02,81.02,81.0,81.0,81.02,81.02,81.04,81.04,81.04,81.06,81.06,81.06,81.08,81.06,81.06,81.08,81.08,81.08,81.10000000000001,81.10000000000001,81.12,81.12,81.14,81.14,81.12,81.12,81.12,81.14,81.14,81.16,81.16,81.18,81.18,81.2,81.2,81.16,81.18,81.18,81.2,81.2,81.22,81.22,81.24,81.24,81.26,81.26,81.22,81.24,81.24,81.26,81.26,81.28,81.28,81.3,81.3,81.3,81.32000000000001,81.28,81.3,81.3,81.32000000000001,81.32000000000001,81.34,81.34,81.34,81.36,81.36,81.38,81.34,81.36,81.36,81.38,81.38,81.38,81.4,81.4,81.42,81.42,81.44
2021-07-08 01:00:00,82.12,82.14,82.14,82.08,82.10000000000001,82.10000000000001,82.12,82.14,82.14,82.16,82.16,82.18,82.18,82.14,82.14,82.16,82.16,82.18,82.2,82.2,82.22,82.22,82.24,82.18,82.2,82.2,82.22,82.22,82.24,82.26,82.26,82.26,82.28,82.24,82.24,82.26,82.26,82.28,82.28,82.3,82.3,82.32000000000001,82.32000000000001,82.34,82.3,82.3,82.32000000000001,82.32000000000001,82.34,82.34,82.34,82.36,82.36,82.38,82.4,82.36,82.36,82.38,82.38,82.38,82.4,82.4,82.42,82.42,82.44,82.46000000000001,82.4,82.42,82.42,82.44,82.44,82.46000000000001,82.46000000000001,82.48,82.48,82.5,82.52,82.46000000000001,82.46000000000001,82.48,82.5,82.5,82.52,82.52,82.54,82.54,82.56,82.56,82.52,82.52,82.54,82.56,82.56,82.58,82.58,82.60000000000001,82.60000000000001,82.60000000000001,82.62,82.58,82.58,82.60000000000001,82.60000000000001,82.62,82.64,82.64,82.64,82.66,82.66,82.68,82.64,82.64,82.66,82.66,82.68,82.68,82.7,82.7,82.72,82.72,82.74
2021-07-31 06:00:00,269.72,269.74,269.74,269.8,269.82,269.84000000000003,269.86,269.88,269.88,269.9,269.92,269.66,269.66,269.74,269.76,269.76,269.78000000000003,269.8,269.82,269.82,269.84000000000003,269.86,269.58,269.66,269.68,269.7,269.7,269.72,269.74,269.76,269.76,269.76,269.78000000000003,269.58,269.6,269.62,269.64,269.66,269.66,269.68,269.68,269.7,269.72,269.72,269.52,269.54,269.56,269.58,269.6,269.6,269.6,269.62,269.64,269.66,269.66,269.48,269.48,269.5,269.52,269.52,269.54,269.54,269.56,269.58,269.6,269.62,269.42,269.42,269.42,269.44,269.46,269.48,269.5,269.5,269.52,269.54,269.56,269.34000000000003,269.36,269.36,269.38,269.4,269.42,269.44,269.44,269.46,269.48,269.48,269.28000000000003,269.3,269.3,269.32,269.34000000000003,269.36,269.38,269.38,269.38,269.4,269.42,269.22,269.24,269.24,269.26,269.28000000000003,269.3,269.3,269.32,269.32,269.34000000000003,269.36,269.16,269.18,269.2,269.2,269.22,269.22,269.24,269.26,269.28000000000003,269.28000000000003,269.3
