time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
2021-06-11 08:00:00,79.26,79.32000000000001,79.32000000000001,79.4,79.46000000000001,79.52,79.58,79.58,79.66,79.72,79.78,79.32000000000001,79.32000000000001,79.38,79.44,79.46000000000001,79.52,79.52,79.58,79.66,79.72,79.78,79.26,79.32000000000001,79.38,79.44,79.52,79.52,79.58,79.64,79.72,79.78,79.78,79.32000000000001,79.38,79.44,79.5,79.5,79.58,79.64,79.7,79.78,79.78,79.84,79.38,79.44,79.5,79.5,79.56,79.64,79.7,79.76,79.76,79.82000000000001,79.9,79.44,79.5,79.5,79.56,79.62,79.64,79.7,79.7,79.76,79.82000000000001,79.9,79.44,79.44,79.5,79.56,79.62,79.7,79.7,79.76,79.82000000000001,79.88,79.96000000000001,79.42,79.48,79.56,79.62,79.68,79.68,79.76,79.82000000000001,79.88,79.94,79.94,79.48,79.54,79.62,79.68,79.68,79.74,79.82000000000001,79.88,79.94,79.94,80.0,79.54,79.60000000000001,79.68,79.68,79.74,79.74,79.82000000000001,79.88,79.88,79.94,80.0,79.54,79.60000000000001,79.60000000000001,79.68,79.74,79.8,79.88,79.88,79.94,80.0,80.06
2021-06-17 01:00:00,49.94,49.92,49.92,49.9,49.86,49.84,49.82,49.82,49.800000000000004,49.78,49.76,50.02,50.02,50.0,49.96,49.86,49.84,49.84,49.82,49.800000000000004,49.78,49.76,50.04,50.02,50.0,49.96,49.94,49.94,49.92,49.9,49.88,49.86,49.86,50.120000000000005,50.1,50.08,50.04,50.04,50.02,50.0,49.980000000000004,49.96,49.96,49.94,50.2,50.18,50.160000000000004,50.160000000000004,50.120000000000005,50.1,50.08,50.06,50.06,50.04,50.02,50.28,50.26,50.26,50.24,50.2,50.1,50.08,50.08,50.06,50.04,50.02,50.28,50.28,50.26,50.24,50.2,50.18,50.18,50.160000000000004,50.14,50.120000000000005,50.1,50.38,50.36,50.34,50.300000000000004,50.28,50.28,50.26,50.24,50.22,50.2,50.2,50.46,50.44,50.42,50.38,50.38,50.36,50.34,50.32,50.300000000000004,50.300000000000004,50.28,50.54,50.52,50.5,50.5,50.46,50.36,50.34,50.32,50.32,50.300000000000004,50.28,50.54,50.52,50.52,50.5,50.46,50.44,50.42,50.42,50.4,50.38,50.36
2021-07-23 03:00:00,59.54,59.56,59.56,59.56,59.58,59.58,59.6,59.6,59.620000000000005,59.620000000000005,59.64,59.64,59.64,59.660000000000004,59.68,59.58,59.58,59.58,59.6,59.620000000000005,59.620000000000005,59.64,59.64,59.64,59.660000000000004,59.68,59.68,59.68,59.7,59.7,59.72,59.74,59.74,59.74,59.76,59.76,59.78,59.78,59.800000000000004,59.800000000000004,59.82,59.84,59.84,59.84,59.86,59.86,59.88,59.88,59.9,59.9,59.92,59.92,59.92,59.94,59.96,59.96,59.980000000000004,59.980000000000004,59.980000000000004,60.0,59.9,59.92,59.92,59.92,59.94,59.96,59.96,59.96,59.980000000000004,59.980000000000004,60.0,60.02,60.02,60.02,60.04,60.06,60.06,60.06,60.08,60.08,60.1,60.1,60.1,60.120000000000005,60.14,60.14,60.160000000000004,60.160000000000004,60.18,60.18,60.2,60.2,60.2,60.22,60.24,60.24,60.26,60.26,60.26,60.28,60.300000000000004,60.300000000000004,60.300000000000004,60.32,60.22,60.24,60.24,60.24,60.26,60.26,60.28,60.300000000000004,60.300000000000004,60.300000000000004,60.32,60.32,60.34,60.34,60.36,60.36,60.38
2021-08-11 22:00:00,57.94,57.88,57.88,57.82,57.76,57.7,57.620000000000005,57.620000000000005,57.56,57.5,57.44,57.92,57.92,57.86,57.800000000000004,57.76,57.7,57.7,57.620000000000005,57.56,57.5,57.44,58.0,57.92,57.86,57.800000000000004,57.74,57.74,57.68,57.620000000000005,57.54,57.480000000000004,57.480000000000004,57.980000000000004,57.9,57.84,57.78,57.78,57.72,57.660000000000004,57.6,57.52,57.52,57.46,57.96,57.88,57.82,57.82,57.76,57.7,57.64,57.58,57.58,57.5,57.44,57.94,57.86,57.86,57.800000000000004,57.74,57.7,57.64,57.64,57.58,57.5,57.44,57.94,57.94,57.86,57.800000000000004,57.74,57.68,57.68,57.620000000000005,57.56,57.480000000000004,57.42,57.980000000000004,57.92,57.84,57.78,57.72,57.72,57.660000000000004,57.6,57.54,57.46,57.46,57.96,57.9,57.82,57.76,57.76,57.7,57.64,57.58,57.52,57.52,57.44,57.94,57.88,57.800000000000004,57.800000000000004,57.74,57.7,57.64,57.58,57.58,57.52,57.44,57.94,57.88,57.88,57.800000000000004,57.74,57.68,57.620000000000005,57.620000000000005,57.56,57.5,57.42
2021-08-14 09:00:00,90.78,90.86,90.86,90.92,90.98,91.06,91.12,91.12,91.18,91.24,91.32000000000001,90.82000000000001,90.82000000000001,90.9,90.96000000000001,90.98,91.06,91.06,91.12,91.18,91.24,91.32000000000001,90.76,90.82000000000001,90.9,90.96000000000001,91.02,91.02,91.10000000000001,91.16,91.22,91.28,91.28,90.8,90.86,90.94,91.0,91.0,91.06,91.14,91.2,91.26,91.26,91.32000000000001,90.84,90.9,90.98,90.98,91.04,91.10000000000001,91.18,91.24,91.24,91.3,91.36,90.88,90.94,90.94,91.02,91.08,91.10000000000001,91.18,91.18,91.24,91.3,91.36,90.88,90.88,90.94,91.02,91.08,91.14,91.14,91.22,91.28,91.34,91.4,90.86,90.92,90.98,91.06,91.12,91.12,91.18,91.24,91.32000000000001,91.38,91.38,90.9,90.96000000000001,91.02,91.10000000000001,91.10000000000001,91.16,91.22,91.28,91.36,91.36,91.42,90.94,91.0,91.06,91.06,91.14,91.16,91.22,91.28,91.28,91.36,91.42,90.94,91.0,91.0,91.06,91.14,91.2,91.26,91.26,91.32000000000001,91.4,91.46000000000001
2021-06-09 10:00:00,84.54,84.60000000000001,84.60000000000001,84.66,84.72,84.78,84.84,84.84,84.9,84.98,85.04,84.54,84.54,84.60000000000001,84.68,84.72,84.78,84.78,84.84,84.9,84.98,85.04,84.48,84.54,84.60000000000001,84.68,84.74,84.74,84.8,84.86,84.92,84.98,84.98,84.5,84.56,84.62,84.68,84.68,84.74,84.8,84.86,84.92,84.92,84.98,84.5,84.56,84.62,84.62,84.68,84.74,84.8,84.88,84.88,84.94,85.0,84.52,84.58,84.58,84.64,84.7,84.74,84.8,84.8,84.88,84.94,85.0,84.52,84.52,84.58,84.64,84.7,84.76,84.76,84.82000000000001,84.88,84.94,85.0,84.46000000000001,84.52,84.58,84.64,84.7,84.7,84.76,84.82000000000001,84.88,84.94,84.94,84.46000000000001,84.52,84.58,84.64,84.64,84.72,84.78,84.84,84.9,84.9,84.96000000000001,84.48,84.54,84.60000000000001,84.60000000000001,84.66,84.72,84.78,84.84,84.84,84.9,84.96000000000001,84.48,84.54,84.54,84.60000000000001,84.66,84.72,84.78,84.78,84.84,84.9,84.96000000000001
2021-06-11 22:00:00,49.7,49.64,49.64,49.56,49.5,49.44,49.38,49.38,49.32,49.24,49.18,49.68,49.68,49.620000000000005,49.54,49.5,49.44,49.44,49.38,49.32,49.24,49.18,49.74,49.68,49.620000000000005,49.54,49.480000000000004,49.480000000000004,49.42,49.36,49.300000000000004,49.24,49.24,49.72,49.660000000000004,49.6,49.52,49.52,49.46,49.4,49.34,49.28,49.28,49.22,49.7,49.64,49.58,49.58,49.5,49.44,49.38,49.32,49.32,49.26,49.2,49.68,49.620000000000005,49.620000000000005,49.56,49.480000000000004,49.44,49.38,49.38,49.32,49.26,49.2,49.68,49.68,49.620000000000005,49.56,49.480000000000004,49.42,49.42,49.36,49.300000000000004,49.24,49.18,49.72,49.660000000000004,49.6,49.54,49.46,49.46,49.4,49.34,49.28,49.22,49.22,49.7,49.64,49.58,49.52,49.52,49.46,49.38,49.32,49.26,49.26,49.2,49.68,49.620000000000005,49.56,49.56,49.5,49.46,49.38,49.32,49.32,49.26,49.2,49.68,49.620000000000005,49.620000000000005,49.56,49.5,49.44,49.36,49.36,49.300000000000004,49.24,49.18
2021-07-16 04:00:00,62.76,62.800000000000004,62.800000000000004,62.82,62.86,62.88,62.92,62.92,62.940000000000005,62.980000000000004,63.0,62.88,62.88,62.9,62.940000000000005,62.86,62.88,62.88,62.92,62.940000000000005,62.980000000000004,63.0,62.84,62.88,62.9,62.940000000000005,62.96,62.96,63.0,63.02,63.06,63.08,63.08,62.96,63.0,63.02,63.04,63.04,63.08,63.1,63.14,63.160000000000004,63.160000000000004,63.2,63.08,63.1,63.14,63.14,63.160000000000004,63.2,63.22,63.24,63.24,63.28,63.300000000000004,63.18,63.22,63.22,63.24,63.28,63.2,63.22,63.22,63.24,63.28,63.300000000000004,63.18,63.18,63.22,63.24,63.28,63.300000000000004,63.300000000000004,63.34,63.36,63.4,63.42,63.28,63.300000000000004,63.34,63.36,63.38,63.38,63.42,63.440000000000005,63.480000000000004,63.5,63.5,63.38,63.42,63.440000000000005,63.480000000000004,63.480000000000004,63.5,63.54,63.56,63.58,63.58,63.620000000000005,63.5,63.52,63.56,63.56,63.58,63.5,63.54,63.56,63.56,63.58,63.620000000000005,63.5,63.52,63.52,63.56,63.58,63.620000000000005,63.64,63.64,63.68,63.7,63.74
2021-06-07 04:00:00,61.980000000000004,62.0,62.0,62.04,62.06,62.1,62.14,62.14,62.160000000000004,62.2,62.22,62.08,62.08,62.120000000000005,62.14,62.06,62.1,62.1,62.14,62.160000000000004,62.2,62.22,62.06,62.08,62.120000000000005,62.14,62.18,62.18,62.2,62.24,62.28,62.300000000000004,62.300000000000004,62.160000000000004,62.2,62.22,62.26,62.26,62.300000000000004,62.32,62.36,62.38,62.38,62.42,62.28,62.32,62.34,62.34,62.38,62.4,62.440000000000005,62.46,62.46,62.5,62.54,62.4,62.42,62.42,62.46,62.480000000000004,62.4,62.440000000000005,62.440000000000005,62.46,62.5,62.54,62.4,62.4,62.42,62.46,62.480000000000004,62.52,62.52,62.54,62.58,62.620000000000005,62.64,62.480000000000004,62.5,62.54,62.56,62.6,62.6,62.64,62.660000000000004,62.7,62.72,62.72,62.58,62.620000000000005,62.660000000000004,62.68,62.68,62.72,62.74,62.78,62.800000000000004,62.800000000000004,62.84,62.7,62.74,62.76,62.76,62.800000000000004,62.72,62.74,62.78,62.78,62.800000000000004,62.84,62.7,62.74,62.74,62.76,62.800000000000004,62.82,62.86,62.86,62.88,62.92,62.96
2021-08-04 05:00:00,71.4,71.44,71.44,71.5,71.54,71.58,71.62,71.62,71.66,71.7,71.74,71.52,71.52,71.56,71.60000000000001,71.54,71.58,71.58,71.62,71.66,71.7,71.74,71.48,71.52,71.56,71.60000000000001,71.64,71.64,71.68,71.72,71.76,71.8,71.8,71.58,71.62,71.66,71.7,71.7,71.76,71.8,71.84,71.88,71.88,71.92,71.7,71.74,71.78,71.78,71.82000000000001,71.86,71.9,71.94,71.94,71.98,72.02,71.8,71.84,71.84,71.88,71.94,71.86,71.9,71.9,71.94,71.98,72.02,71.8,71.8,71.84,71.88,71.94,71.98,71.98,72.02,72.06,72.10000000000001,72.14,71.88,71.92,71.96000000000001,72.0,72.04,72.04,72.08,72.12,72.16,72.2,72.2,71.98,72.02,72.06,72.10000000000001,72.10000000000001,72.16,72.2,72.24,72.28,72.28,72.32000000000001,72.10000000000001,72.14,72.18,72.18,72.22,72.16,72.2,72.24,72.24,72.28,72.32000000000001,72.10000000000001,72.14,72.14,72.18,72.22,72.26,72.3,72.3,72.34,72.38,72.42
