time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
2021-06-11 08:00:00,53.28,53.32,53.32,53.36,53.4,53.44,53.480000000000004,53.480000000000004,53.52,53.56,53.58,53.28,53.28,53.32,53.36,53.4,53.44,53.44,53.480000000000004,53.52,53.56,53.58,53.24,53.28,53.32,53.36,53.4,53.4,53.44,53.480000000000004,53.52,53.56,53.56,53.24,53.28,53.32,53.36,53.36,53.4,53.44,53.480000000000004,53.52,53.52,53.56,53.26,53.300000000000004,53.34,53.34,53.38,53.42,53.46,53.5,53.5,53.54,53.58,53.26,53.300000000000004,53.300000000000004,53.34,53.38,53.42,53.46,53.46,53.5,53.54,53.58,53.26,53.26,53.300000000000004,53.34,53.38,53.42,53.42,53.46,53.5,53.54,53.58,53.22,53.26,53.300000000000004,53.34,53.38,53.38,53.42,53.46,53.5,53.54,53.54,53.24,53.28,53.32,53.36,53.36,53.4,53.44,53.480000000000004,53.52,53.52,53.56,53.24,53.28,53.32,53.32,53.36,53.4,53.44,53.480000000000004,53.480000000000004,53.52,53.56,53.24,53.28,53.28,53.32,53.36,53.4,53.44,53.44,53.480000000000004,53.52,53.56
2021-06-17 01:00:00,40.74,40.7,40.7,40.660000000000004,40.62,40.58,40.54,40.54,40.5,40.46,40.42,40.74,40.74,40.7,40.660000000000004,40.62,40.58,40.58,40.54,40.5,40.46,40.42,40.78,40.74,40.7,40.660000000000004,40.62,40.62,40.58,40.54,40.5,40.46,40.46,40.78,40.74,40.7,40.660000000000004,40.660000000000004,40.62,40.58,40.54,40.5,40.5,40.46,40.78,40.74,40.7,40.7,40.660000000000004,40.62,40.58,40.54,40.54,40.5,40.46,40.78,40.74,40.74,40.7,40.660000000000004,40.62,40.58,40.58,40.54,40.5,40.46,40.78,40.78,40.74,40.7,40.660000000000004,40.62,40.62,40.58,40.54,40.5,40.46,40.82,40.78,40.74,40.7,40.660000000000004,40.660000000000004,40.62,40.58,40.54,40.5,40.5,40.82,40.78,40.74,40.7,40.7,40.660000000000004,40.62,40.58,40.54,40.54,40.5,40.800000000000004,40.76,40.74,40.74,40.7,40.660000000000004,40.62,40.58,40.58,40.54,40.5,40.800000000000004,40.76,40.76,40.74,40.7,40.660000000000004,40.62,40.62,40.58,40.54,40.5
2021-07-23 03:00:00,23.02,23.0,23.0,22.98,22.96,22.92,22.900000000000002,22.900000000000002,22.88,22.86,22.82,23.06,23.06,23.04,23.02,22.96,22.92,22.92,22.900000000000002,22.88,22.86,22.82,23.080000000000002,23.06,23.04,23.02,22.98,22.98,22.96,22.94,22.92,22.88,22.88,23.12,23.1,23.080000000000002,23.04,23.04,23.02,23.0,22.98,22.94,22.94,22.92,23.16,23.12,23.1,23.1,23.080000000000002,23.06,23.02,23.0,23.0,22.98,22.96,23.18,23.16,23.16,23.14,23.12,23.06,23.02,23.02,23.0,22.98,22.96,23.18,23.18,23.16,23.14,23.12,23.080000000000002,23.080000000000002,23.06,23.04,23.02,22.98,23.240000000000002,23.22,23.2,23.18,23.14,23.14,23.12,23.1,23.080000000000002,23.04,23.04,23.28,23.26,23.240000000000002,23.2,23.2,23.18,23.16,23.14,23.1,23.1,23.080000000000002,23.32,23.28,23.26,23.26,23.240000000000002,23.18,23.16,23.14,23.14,23.1,23.080000000000002,23.32,23.28,23.28,23.26,23.240000000000002,23.22,23.2,23.2,23.16,23.14,23.12
2021-08-11 22:00:00,81.36,81.32000000000001,81.32000000000001,81.28,81.24,81.2,81.16,81.16,81.12,81.08,81.04,81.34,81.34,81.3,81.26,81.24,81.2,81.2,81.16,81.12,81.08,81.04,81.38,81.34,81.3,81.26,81.22,81.22,81.18,81.14,81.10000000000001,81.06,81.06,81.36,81.32000000000001,81.28,81.24,81.24,81.2,81.16,81.12,81.08,81.08,81.04,81.34,81.3,81.26,81.26,81.22,81.18,81.14,81.10000000000001,81.10000000000001,81.06,81.02,81.32000000000001,81.28,81.28,81.24,81.2,81.18,81.14,81.14,81.10000000000001,81.06,81.02,81.32000000000001,81.32000000000001,81.28,81.24,81.2,81.16,81.16,81.12,81.08,81.04,81.0,81.34,81.3,81.26,81.22,81.18,81.18,81.14,81.10000000000001,81.06,81.02,81.02,81.32000000000001,81.28,81.24,81.2,81.2,81.16,81.12,81.08,81.04,81.04,81.0,81.3,81.26,81.22,81.22,81.18,81.16,81.12,81.08,81.08,81.04,81.0,81.3,81.26,81.26,81.22,81.18,81.14,81.10000000000001,81.10000000000001,81.06,81.02,80.98
2021-08-14 09:00:00,69.02,69.06,69.06,69.10000000000001,69.14,69.18,69.22,69.22,69.26,69.3,69.34,69.02,69.02,69.06,69.10000000000001,69.14,69.18,69.18,69.22,69.26,69.3,69.34,68.98,69.02,69.06,69.10000000000001,69.14,69.14,69.18,69.22,69.26,69.3,69.3,69.0,69.04,69.08,69.12,69.12,69.16,69.18,69.22,69.26,69.26,69.3,69.0,69.04,69.08,69.08,69.12,69.16,69.2,69.24,69.24,69.28,69.32000000000001,69.0,69.04,69.04,69.08,69.12,69.16,69.2,69.2,69.24,69.28,69.32000000000001,69.0,69.0,69.04,69.08,69.12,69.16,69.16,69.2,69.24,69.28,69.32000000000001,68.98,69.02,69.06,69.10000000000001,69.14,69.14,69.18,69.22,69.26,69.3,69.3,68.98,69.02,69.06,69.10000000000001,69.10000000000001,69.14,69.18,69.22,69.26,69.26,69.3,69.0,69.04,69.08,69.08,69.12,69.14,69.18,69.22,69.22,69.26,69.3,69.0,69.04,69.04,69.08,69.12,69.14,69.18,69.18,69.22,69.26,69.3
2021-06-09 10:00:00,76.48,76.52,76.52,76.54,76.58,76.62,76.66,76.66,76.7,76.74,76.78,76.46000000000001,76.46000000000001,76.5,76.54,76.58,76.62,76.62,76.66,76.7,76.74,76.78,76.42,76.46000000000001,76.5,76.54,76.58,76.58,76.62,76.64,76.68,76.72,76.72,76.42,76.46000000000001,76.5,76.54,76.54,76.56,76.60000000000001,76.64,76.68,76.68,76.72,76.42,76.46000000000001,76.48,76.48,76.52,76.56,76.60000000000001,76.64,76.64,76.68,76.7,76.4,76.44,76.44,76.48,76.52,76.56,76.60000000000001,76.60000000000001,76.64,76.68,76.7,76.4,76.4,76.44,76.48,76.52,76.56,76.56,76.60000000000001,76.62,76.66,76.7,76.36,76.4,76.44,76.46000000000001,76.5,76.5,76.54,76.58,76.62,76.66,76.66,76.36,76.38,76.42,76.46000000000001,76.46000000000001,76.5,76.54,76.58,76.60000000000001,76.60000000000001,76.64,76.34,76.38,76.42,76.42,76.46000000000001,76.5,76.54,76.58,76.58,76.60000000000001,76.64,76.34,76.38,76.38,76.42,76.46000000000001,76.5,76.52,76.52,76.56,76.60000000000001,76.64
2021-06-11 22:00:00,75.46000000000001,75.42,75.42,75.4,75.36,75.32000000000001,75.28,75.28,75.24,75.2,75.16,75.44,75.44,75.4,75.36,75.36,75.32000000000001,75.32000000000001,75.28,75.24,75.2,75.16,75.48,75.44,75.4,75.36,75.34,75.34,75.3,75.26,75.22,75.18,75.18,75.46000000000001,75.42,75.38,75.34,75.34,75.3,75.26,75.22,75.18,75.18,75.16,75.42,75.4,75.36,75.36,75.32000000000001,75.28,75.24,75.2,75.2,75.16,75.12,75.4,75.36,75.36,75.32000000000001,75.28,75.28,75.24,75.24,75.2,75.16,75.12,75.4,75.4,75.36,75.32000000000001,75.28,75.26,75.26,75.22,75.18,75.14,75.10000000000001,75.42,75.38,75.34,75.3,75.26,75.26,75.22,75.18,75.16,75.12,75.12,75.4,75.36,75.32000000000001,75.28,75.28,75.24,75.2,75.16,75.12,75.12,75.08,75.36,75.32000000000001,75.28,75.28,75.26,75.24,75.2,75.16,75.16,75.12,75.08,75.36,75.32000000000001,75.32000000000001,75.28,75.26,75.22,75.18,75.18,75.14,75.10000000000001,75.06
2021-07-16 04:00:00,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.1,17.1,17.1,17.1,17.06,17.06,17.06,17.06,17.06,17.06,17.06,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.16,17.22,17.22,17.22,17.22,17.22,17.22,17.22,17.22,17.22,17.22,17.22,17.26,17.26,17.26,17.26,17.26,17.22,17.22,17.22,17.22,17.22,17.22,17.26,17.26,17.26,17.26,17.26,17.26,17.26,17.26,17.26,17.26,17.26,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.38,17.38,17.38,17.36,17.36,17.36,17.36,17.36,17.36,17.36,17.38,17.42,17.42,17.42,17.42,17.42,17.36,17.36,17.36,17.36,17.36,17.38,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42
2021-06-07 04:00:00,15.6,15.620000000000001,15.620000000000001,15.620000000000001,15.620000000000001,15.620000000000001,15.620000000000001,15.620000000000001,15.64,15.64,15.64,15.66,15.66,15.66,15.66,15.620000000000001,15.620000000000001,15.620000000000001,15.620000000000001,15.64,15.64,15.64,15.66,15.66,15.66,15.66,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.74,15.74,15.74,15.74,15.76,15.76,15.780000000000001,15.780000000000001,15.780000000000001,15.780000000000001,15.780000000000001,15.780000000000001,15.780000000000001,15.8,15.8,15.82,15.82,15.82,15.82,15.82,15.780000000000001,15.780000000000001,15.780000000000001,15.780000000000001,15.8,15.8,15.82,15.82,15.82,15.82,15.82,15.84,15.84,15.84,15.84,15.84,15.860000000000001,15.860000000000001,15.88,15.88,15.88,15.88,15.88,15.88,15.9,15.9,15.9,15.9,15.92,15.92,15.92,15.94,15.94,15.94,15.94,15.94,15.94,15.94,15.96,15.98,15.98,15.98,15.98,15.98,15.94,15.94,15.94,15.94,15.94,15.96,15.98,15.98,15.98,15.98,15.98,16.0,16.0,16.0,16.0,16.0,16.0
2021-08-04 05:00:00,24.46,24.48,24.48,24.5,24.52,24.54,24.580000000000002,24.580000000000002,24.6,24.62,24.64,24.5,24.5,24.52,24.54,24.52,24.54,24.54,24.580000000000002,24.6,24.62,24.64,24.48,24.5,24.52,24.54,24.580000000000002,24.580000000000002,24.6,24.62,24.64,24.66,24.66,24.52,24.560000000000002,24.580000000000002,24.6,24.6,24.62,24.64,24.66,24.7,24.7,24.72,24.580000000000002,24.6,24.62,24.62,24.64,24.68,24.7,24.72,24.72,24.740000000000002,24.76,24.62,24.66,24.66,24.68,24.7,24.68,24.7,24.7,24.72,24.740000000000002,24.76,24.62,24.62,24.66,24.68,24.7,24.72,24.72,24.740000000000002,24.76,24.8,24.82,24.66,24.68,24.7,24.72,24.740000000000002,24.740000000000002,24.78,24.8,24.82,24.84,24.84,24.7,24.72,24.76,24.78,24.78,24.8,24.82,24.84,24.86,24.86,24.900000000000002,24.76,24.78,24.8,24.8,24.82,24.8,24.82,24.84,24.84,24.86,24.900000000000002,24.76,24.78,24.78,24.8,24.82,24.84,24.88,24.88,24.900000000000002,24.92,24.94
