time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
2021-06-11 08:00:00,70.04,70.10000000000001,70.16,70.24,70.3,70.3,70.36,70.44,70.5,70.56,70.64,70.08,70.14,70.2,70.28,70.28,70.34,70.4,70.48,70.54,70.60000000000001,70.68,70.12,70.18,70.26,70.26,70.32000000000001,70.38,70.46000000000001,70.52,70.58,70.66,70.72,70.16,70.24,70.24,70.3,70.36,70.44,70.5,70.56,70.64,70.7,70.66,70.22,70.16,70.24,70.3,70.36,70.44,70.5,70.56,70.64,70.64,70.7,70.14,70.22,70.28,70.34,70.42,70.48,70.54,70.62,70.62,70.68,70.74,70.2,70.26,70.32000000000001,70.4,70.46000000000001,70.52,70.60000000000001,70.60000000000001,70.66,70.72,70.8,70.24,70.3,70.38,70.44,70.5,70.58,70.58,70.64,70.7,70.78,70.84,70.28,70.36,70.42,70.48,70.48,70.56,70.62,70.68,70.76,70.82000000000001,70.88,70.34,70.4,70.46000000000001,70.46000000000001,70.54,70.60000000000001,70.66,70.74,70.8,70.86,70.94,70.38,70.44,70.44,70.46000000000001,70.54,70.60000000000001,70.66,70.74,70.8,70.86,70.86
2021-06-17 01:00:00,44.4,44.36,44.32,44.26,44.22,44.22,44.18,44.14,44.1,44.06,44.02,44.46,44.42,44.36,44.32,44.32,44.28,44.24,44.2,44.160000000000004,44.12,44.08,44.52,44.46,44.42,44.42,44.38,44.34,44.300000000000004,44.26,44.22,44.18,44.14,44.56,44.52,44.52,44.480000000000004,44.44,44.4,44.36,44.32,44.28,44.24,44.18,44.62,44.56,44.52,44.480000000000004,44.44,44.4,44.36,44.32,44.28,44.28,44.24,44.660000000000004,44.62,44.58,44.54,44.5,44.46,44.42,44.38,44.38,44.34,44.300000000000004,44.72,44.68,44.64,44.6,44.56,44.52,44.480000000000004,44.480000000000004,44.44,44.4,44.36,44.78,44.74,44.7,44.660000000000004,44.62,44.58,44.58,44.54,44.5,44.46,44.42,44.84,44.800000000000004,44.76,44.72,44.72,44.68,44.64,44.6,44.56,44.52,44.480000000000004,44.9,44.86,44.82,44.82,44.78,44.74,44.7,44.660000000000004,44.62,44.58,44.54,44.96,44.92,44.92,44.82,44.78,44.74,44.7,44.660000000000004,44.62,44.58,44.58
2021-07-23 03:00:00,48.26,48.26,48.26,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.24,48.36,48.34,48.34,48.34,48.34,48.34,48.34,48.34,48.34,48.34,48.34,48.44,48.44,48.44,48.44,48.44,48.44,48.44,48.44,48.44,48.44,48.44,48.54,48.54,48.54,48.54,48.54,48.54,48.54,48.54,48.54,48.54,48.44,48.64,48.54,48.54,48.54,48.54,48.54,48.54,48.54,48.54,48.54,48.54,48.64,48.64,48.64,48.64,48.64,48.64,48.64,48.64,48.64,48.64,48.620000000000005,48.74,48.74,48.74,48.74,48.74,48.72,48.72,48.72,48.72,48.72,48.72,48.84,48.84,48.84,48.82,48.82,48.82,48.82,48.82,48.82,48.82,48.82,48.94,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,48.92,49.02,49.02,49.02,49.02,49.02,49.02,49.02,49.02,49.02,49.02,49.02,49.120000000000005,49.120000000000005,49.120000000000005,49.02,49.02,49.02,49.02,49.02,49.02,49.02,49.02
2021-08-11 22:00:00,64.1,64.04,63.980000000000004,63.9,63.84,63.84,63.76,63.7,63.64,63.56,63.5,64.08,64.02,63.940000000000005,63.88,63.88,63.82,63.74,63.68,63.6,63.54,63.480000000000004,64.06,63.980000000000004,63.92,63.92,63.86,63.78,63.72,63.660000000000004,63.58,63.52,63.440000000000005,64.02,63.96,63.96,63.9,63.82,63.76,63.7,63.620000000000005,63.56,63.480000000000004,63.52,64.0,64.02,63.96,63.9,63.82,63.76,63.7,63.620000000000005,63.56,63.56,63.480000000000004,64.08,64.0,63.940000000000005,63.86,63.800000000000004,63.74,63.660000000000004,63.6,63.6,63.54,63.46,64.04,63.980000000000004,63.92,63.84,63.78,63.7,63.64,63.64,63.58,63.5,63.440000000000005,64.02,63.96,63.88,63.82,63.76,63.68,63.68,63.620000000000005,63.54,63.480000000000004,63.42,64.0,63.92,63.86,63.800000000000004,63.800000000000004,63.72,63.660000000000004,63.58,63.52,63.46,63.38,63.96,63.9,63.84,63.84,63.76,63.7,63.64,63.56,63.5,63.42,63.36,63.940000000000005,63.88,63.88,63.84,63.76,63.7,63.64,63.56,63.5,63.42,63.42
2021-08-14 09:00:00,83.3,83.38,83.44,83.5,83.58,83.58,83.64,83.7,83.78,83.84,83.92,83.34,83.4,83.46000000000001,83.54,83.54,83.60000000000001,83.68,83.74,83.8,83.88,83.94,83.36,83.44,83.5,83.5,83.56,83.64,83.7,83.78,83.84,83.9,83.98,83.4,83.46000000000001,83.46000000000001,83.54,83.60000000000001,83.66,83.74,83.8,83.86,83.94,83.9,83.42,83.4,83.46000000000001,83.54,83.60000000000001,83.66,83.74,83.8,83.86,83.86,83.94,83.36,83.42,83.5,83.56,83.64,83.7,83.76,83.84,83.84,83.9,83.96000000000001,83.4,83.46000000000001,83.52,83.60000000000001,83.66,83.72,83.8,83.8,83.86,83.94,84.0,83.42,83.5,83.56,83.62,83.7,83.76,83.76,83.82000000000001,83.9,83.96000000000001,84.04,83.46000000000001,83.52,83.60000000000001,83.66,83.66,83.72,83.8,83.86,83.92,84.0,84.06,83.48,83.56,83.62,83.62,83.7,83.76,83.82000000000001,83.9,83.96000000000001,84.02,84.10000000000001,83.52,83.58,83.58,83.62,83.7,83.76,83.82000000000001,83.9,83.96000000000001,84.02,84.02
2021-06-09 10:00:00,80.62,80.68,80.74,80.82000000000001,80.88,80.88,80.94,81.0,81.08,81.14,81.2,80.62,80.68,80.74,80.82000000000001,80.82000000000001,80.88,80.94,81.0,81.08,81.14,81.2,80.62,80.68,80.74,80.74,80.82000000000001,80.88,80.94,81.0,81.08,81.14,81.2,80.62,80.68,80.68,80.76,80.82000000000001,80.88,80.94,81.02,81.08,81.14,81.14,80.62,80.62,80.68,80.76,80.82000000000001,80.88,80.94,81.02,81.08,81.08,81.14,80.56,80.62,80.68,80.76,80.82000000000001,80.88,80.94,81.02,81.02,81.08,81.14,80.56,80.62,80.68,80.76,80.82000000000001,80.88,80.94,80.94,81.02,81.08,81.14,80.56,80.62,80.68,80.76,80.82000000000001,80.88,80.88,80.94,81.02,81.08,81.14,80.56,80.62,80.7,80.76,80.76,80.82000000000001,80.88,80.94,81.02,81.08,81.14,80.56,80.62,80.7,80.7,80.76,80.82000000000001,80.88,80.96000000000001,81.02,81.08,81.14,80.56,80.62,80.62,80.7,80.76,80.82000000000001,80.88,80.96000000000001,81.02,81.08,81.08
2021-06-11 22:00:00,56.08,56.02,55.94,55.88,55.82,55.82,55.74,55.68,55.6,55.54,55.480000000000004,56.06,55.980000000000004,55.92,55.86,55.86,55.78,55.72,55.64,55.58,55.52,55.44,56.02,55.96,55.88,55.88,55.82,55.76,55.68,55.620000000000005,55.54,55.480000000000004,55.42,56.0,55.92,55.92,55.86,55.800000000000004,55.72,55.660000000000004,55.58,55.52,55.46,55.480000000000004,55.96,56.0,55.92,55.86,55.800000000000004,55.72,55.660000000000004,55.58,55.52,55.52,55.46,56.04,55.96,55.9,55.82,55.76,55.7,55.620000000000005,55.56,55.56,55.5,55.42,56.0,55.94,55.86,55.800000000000004,55.74,55.660000000000004,55.6,55.6,55.52,55.46,55.4,55.980000000000004,55.9,55.84,55.78,55.7,55.64,55.64,55.56,55.5,55.44,55.36,55.94,55.88,55.800000000000004,55.74,55.74,55.68,55.6,55.54,55.480000000000004,55.4,55.34,55.92,55.84,55.78,55.78,55.72,55.64,55.58,55.5,55.44,55.38,55.300000000000004,55.88,55.82,55.82,55.78,55.72,55.64,55.58,55.5,55.44,55.38,55.38
2021-07-16 04:00:00,49.96,49.980000000000004,50.0,50.02,50.04,50.04,50.06,50.08,50.1,50.120000000000005,50.14,50.06,50.08,50.1,50.120000000000005,50.120000000000005,50.14,50.160000000000004,50.18,50.2,50.22,50.24,50.160000000000004,50.18,50.2,50.2,50.22,50.24,50.26,50.28,50.300000000000004,50.32,50.34,50.26,50.28,50.28,50.300000000000004,50.32,50.34,50.36,50.38,50.4,50.42,50.32,50.36,50.26,50.28,50.300000000000004,50.32,50.34,50.36,50.38,50.4,50.4,50.42,50.34,50.36,50.38,50.4,50.42,50.44,50.46,50.480000000000004,50.480000000000004,50.5,50.52,50.44,50.46,50.480000000000004,50.5,50.52,50.54,50.56,50.56,50.58,50.6,50.620000000000005,50.54,50.56,50.58,50.6,50.620000000000005,50.64,50.64,50.660000000000004,50.68,50.7,50.72,50.64,50.660000000000004,50.68,50.7,50.7,50.72,50.74,50.76,50.78,50.800000000000004,50.82,50.74,50.76,50.78,50.78,50.800000000000004,50.82,50.84,50.86,50.88,50.9,50.92,50.84,50.86,50.86,50.78,50.800000000000004,50.82,50.84,50.86,50.88,50.9,50.9
2021-06-07 04:00:00,49.04,49.06,49.08,49.1,49.120000000000005,49.120000000000005,49.14,49.160000000000004,49.2,49.22,49.24,49.14,49.160000000000004,49.18,49.2,49.2,49.22,49.24,49.26,49.300000000000004,49.32,49.34,49.24,49.26,49.28,49.28,49.300000000000004,49.32,49.34,49.38,49.4,49.42,49.44,49.34,49.36,49.36,49.38,49.4,49.42,49.44,49.480000000000004,49.5,49.52,49.42,49.44,49.34,49.36,49.38,49.4,49.42,49.44,49.480000000000004,49.5,49.5,49.52,49.42,49.44,49.46,49.480000000000004,49.5,49.52,49.56,49.58,49.58,49.6,49.620000000000005,49.52,49.54,49.56,49.58,49.6,49.620000000000005,49.660000000000004,49.660000000000004,49.68,49.7,49.72,49.620000000000005,49.64,49.660000000000004,49.68,49.7,49.72,49.72,49.76,49.78,49.800000000000004,49.82,49.72,49.74,49.76,49.78,49.78,49.800000000000004,49.84,49.86,49.88,49.9,49.92,49.82,49.84,49.86,49.86,49.88,49.9,49.94,49.96,49.980000000000004,50.0,50.02,49.92,49.94,49.94,49.86,49.88,49.9,49.94,49.96,49.980000000000004,50.0,50.0
2021-08-04 05:00:00,58.18,58.22,58.26,58.300000000000004,58.34,58.34,58.36,58.4,58.44,58.480000000000004,58.52,58.28,58.32,58.36,58.4,58.4,58.42,58.46,58.5,58.54,58.58,58.620000000000005,58.38,58.42,58.46,58.46,58.480000000000004,58.52,58.56,58.6,58.64,58.68,58.7,58.480000000000004,58.52,58.52,58.56,58.58,58.620000000000005,58.660000000000004,58.7,58.74,58.76,58.68,58.58,58.480000000000004,58.52,58.56,58.58,58.620000000000005,58.660000000000004,58.7,58.74,58.74,58.76,58.54,58.58,58.620000000000005,58.64,58.68,58.72,58.76,58.800000000000004,58.800000000000004,58.84,58.86,58.64,58.68,58.72,58.74,58.78,58.82,58.86,58.86,58.9,58.92,58.96,58.74,58.78,58.800000000000004,58.84,58.88,58.92,58.92,58.96,58.980000000000004,59.02,59.06,58.84,58.88,58.9,58.94,58.94,58.980000000000004,59.02,59.06,59.08,59.120000000000005,59.160000000000004,58.94,58.96,59.0,59.0,59.04,59.08,59.120000000000005,59.14,59.18,59.22,59.26,59.04,59.06,59.06,59.0,59.04,59.08,59.120000000000005,59.14,59.18,59.22,59.22
