Ta,rh,COD,th0,dsw,dni,dhi,C01,C02,C03,C04,C05,C06
293.0,0.7,0.0,30.0,819.0665418674223,729.9880504435555,186.87834572422696,8.118681931664737,10.5464835310792,7.640152955092452,0.0020728204755792,2.4979247044782698,0.5424802194389273
243.0,0.8,15.0,45.0,297.65817244639413,7.643747517404712,292.25322674315936,36.14247347646739,96.36656171947013,57.03479829214161,0.9782721240211756,4.810841266841684,3.9898833138842256
273.0,0.1,20.0,0.0,433.5480082987106,0.0474865973411812,433.5005217013695,50.807000529522725,138.1898882452855,79.91705197613916,0.852566046495824,6.326885027020183,4.682888200191645
243.0,0.7,1.0,15.0,1016.8908356862656,383.01653184285385,646.9252756835838,10.41990235705779,14.788465170794186,9.094736519318795,0.3043694775765935,2.8839794415594033,0.6670101965492324
243.0,1.0,40.0,60.0,81.3695224128365,2.1899417437085043,80.27455154098224,33.191999341913906,86.05306015491247,50.013790577413715,0.6308064227137443,3.8710676812943263,3.2493617133479833
288.0,0.8,0.63,45.0,616.811681394048,329.1635563990459,384.0578985448021,9.464924664082693,12.218341116169196,6.953211018533955,0.0015461909473459,2.2216284232576387,0.4951939726855212
298.0,0.9,0.63,0.0,946.8840538536742,414.5829409541169,532.3011128995573,9.896357413514764,14.344570191011917,9.541233448422592,0.002255168893644,3.01072032777029,0.6257178100022258
278.0,0.9,40.0,30.0,189.56154323477685,3.796239748207945,186.27390317397257,56.52954852926722,149.367579858231,81.98669046164977,0.0241827334865514,6.076399428868735,4.355796345641948
268.0,0.7,0.25,0.0,1045.059045321031,657.2610164698613,387.7980288511695,8.921939173769335,12.765409320678668,9.00498297827891,0.0084426068362766,2.8952721245484727,0.6404069194215535
303.0,0.4,1.58,60.0,318.0596189318508,54.809427238491544,290.654905312605,10.718890980752304,14.34753033585599,6.243635123656327,0.0012279301262233,1.9488756818075048,0.4506049223845542
303.0,0.4,15.0,60.0,146.1445697493774,3.8811946467998375,144.2039724259775,27.31137634425284,67.11741085036432,37.97766283283252,0.0088008215545623,3.604377809812011,2.878284257540894
303.0,0.7,40.0,30.0,174.86324447546357,3.55245191205452,171.78673087390175,56.1121378010526,143.31448934063158,75.92344388821174,0.0087997764997075,5.981213713710892,3.949979108096167
258.0,1.0,0.63,30.0,878.8281330034732,447.46777745859185,491.3096703493708,9.65136394487655,13.19959151952136,8.35016284664584,0.0265012714434178,2.6646261038084695,0.6068550269979597
278.0,0.2,40.0,30.0,192.071167802445,3.888535665730678,188.7035971324004,55.153960341249885,148.14866137618898,83.08261488127553,0.3011420719155462,5.973707860788085,4.408960877169734
298.0,0.9,0.0,0.0,968.971425751396,743.7664307326548,225.20499501874104,8.71218261732702,12.06642647930794,9.30261890494667,0.002255168893644,3.005295923036302,0.6217287716449362
288.0,0.4,0.16,15.0,968.773501592717,697.6957285651059,294.8511784801137,8.737864946472925,11.829923692986146,8.475316104143102,0.003439662434496,2.799714636089239,0.6170804537366175
298.0,0.8,30.0,45.0,161.6154246837951,4.174589307005677,158.66354427614257,44.47165225721619,112.40284622932474,60.60100629979986,0.0086422113263696,5.145014111638602,3.601962013409552
288.0,0.3,0.0,0.0,1017.9969320859076,817.5820755999324,200.41485648597512,8.297314660800978,11.310006098224846,8.664222084308896,0.0053249710875396,2.8484172458464254,0.6369829720143039
293.0,0.2,2.51,0.0,920.1245335534016,81.6588577776917,838.4656757757098,13.72921852822405,20.472360404954596,10.0117507619194,0.0059283330735198,3.171186855303548,0.7196161886335578
243.0,1.0,30.0,60.0,103.52788831516492,2.8010294181554634,102.1273736060872,31.7983288462598,82.29621417214192,48.07935787057772,0.6154264982525292,3.842633970304983,3.2605390119521687
288.0,0.5,0.16,15.0,961.3975067566122,690.9623911639975,293.97908813685746,8.756611547031568,11.859667698037262,8.452700351187382,0.0033534667138402,2.7959142225884333,0.6186718154676132
