time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
2021-06-11 08:00:00,223.7,232.9,241.5,244.61,245.61,246.5,247.31,248.81,248.81,250.11,250.7,215.81,217.0,228.9,240.2,244.11,246.2,248.7,250.0,250.7,250.81,250.7,202.61,205.81,211.61,223.4,242.2,248.61,249.0,250.2,250.4,250.31,250.2,190.5,197.31,206.2,215.5,232.9,246.9,248.7,248.81,249.5,249.61,249.9,186.39999999999998,197.5,205.2,211.2,220.11,239.4,246.7,247.5,247.7,248.61,249.61,198.89999999999998,201.81,201.81,209.0,212.7,224.7,240.0,245.7,247.2,248.9,250.4,198.89999999999998,201.81,205.61,206.2,214.0,214.0,228.31,242.4,246.2,249.2,250.9,203.5,202.11,205.61,205.11,208.61,221.2,237.4,244.81,244.81,248.11,249.7,205.2,204.81,203.39999999999998,205.11,206.81,215.0,231.7,241.7,245.4,247.4,247.4,205.2,204.81,202.7,204.11,206.81,215.0,223.4,237.9,243.0,244.7,246.11,206.9,204.81,203.61,204.0,207.2,211.81,223.4,232.5,240.31,241.5,242.0
2021-06-17 01:00:00,219.4,216.7,214.81,213.81,212.7,213.0,212.4,213.7,213.7,212.0,210.81,215.0,212.9,212.0,211.61,211.81,211.81,213.4,213.2,212.5,211.7,213.11,212.7,211.11,211.2,211.0,211.11,211.11,212.5,213.9,211.9,212.9,214.61,213.4,213.0,212.11,212.31,211.7,212.31,212.2,213.61,211.31,214.11,214.61,214.7,214.4,213.0,213.0,212.81,211.5,212.31,212.7,211.7,211.4,213.9,215.7,214.0,214.0,214.0,213.2,212.31,212.61,212.31,211.61,210.7,212.2,215.7,214.0,214.7,213.9,213.2,213.2,212.9,212.2,211.7,209.9,210.81,216.4,215.0,214.7,213.5,214.2,212.7,213.0,212.4,212.4,211.0,210.2,216.4,214.81,215.31,213.5,214.81,213.0,212.11,213.5,212.11,210.61,210.61,216.2,214.2,214.7,213.2,214.81,213.0,212.81,213.5,211.9,211.2,211.7,215.7,214.61,214.2,212.11,212.4,212.81,212.81,213.5,210.61,212.11,213.9
2021-07-23 03:00:00,237.2,233.31,229.11,228.2,227.5,226.0,225.2,220.9,220.9,219.0,219.5,238.81,235.11,231.7,228.5,227.81,227.4,226.0,222.9,220.2,219.61,219.5,239.9,237.2,233.9,229.4,227.9,227.9,225.9,223.4,220.61,220.11,218.2,240.2,238.7,235.0,231.0,228.2,226.4,225.81,223.0,220.5,217.4,216.81,240.0,238.61,236.0,231.7,228.0,225.81,224.0,222.2,218.9,215.5,215.11,238.7,236.31,236.31,232.4,228.11,225.31,221.81,220.2,217.7,216.2,214.7,238.7,236.31,232.81,227.9,223.4,223.4,219.4,217.61,216.11,214.5,214.0,237.4,236.0,232.81,227.81,222.11,218.4,216.61,214.0,214.0,214.61,213.11,236.5,235.61,232.0,227.81,223.11,218.11,214.61,213.5,212.9,213.2,213.2,236.5,234.31,231.31,227.0,223.11,218.11,214.5,213.0,211.7,213.0,212.11,236.2,233.7,231.2,227.0,223.9,219.4,214.5,214.0,211.9,213.11,212.4
2021-08-11 22:00:00,243.31,243.9,245.0,245.11,243.4,243.0,244.0,244.61,244.61,245.5,245.9,244.4,244.9,245.2,245.0,244.2,243.61,244.31,244.7,245.11,245.5,246.0,245.5,245.2,245.2,244.31,244.7,244.9,244.61,244.61,244.31,244.31,244.7,246.11,245.81,246.0,245.0,244.9,245.2,245.11,245.11,244.31,243.61,242.9,246.31,246.5,246.61,245.81,245.2,245.11,245.4,245.5,244.2,242.4,241.4,246.81,246.5,246.5,246.11,245.5,245.11,245.0,245.5,243.9,241.81,242.2,246.81,246.5,245.5,245.4,245.4,245.4,244.5,244.31,243.5,242.81,242.4,246.4,245.9,245.5,245.0,245.61,244.9,244.4,243.9,243.9,243.2,242.9,245.5,245.4,245.0,245.0,245.5,245.31,244.61,244.31,243.9,243.2,243.2,244.31,244.61,244.7,244.5,245.5,245.31,245.0,245.11,245.11,244.61,243.61,242.9,243.9,244.7,244.31,244.9,245.11,245.0,245.61,245.61,245.0,244.61
2021-08-14 09:00:00,224.0,220.2,212.61,207.9,209.5,211.9,214.81,213.31,213.31,213.11,219.81,226.2,217.61,209.31,205.61,204.9,204.0,208.9,215.2,212.81,211.4,212.11,228.31,213.9,209.31,206.0,202.81,201.61,205.4,212.9,214.81,211.11,206.5,227.7,219.4,217.61,212.4,208.0,204.31,206.4,214.0,217.81,212.81,205.61,226.9,227.4,224.31,221.0,215.5,212.61,213.4,216.11,220.81,215.7,208.4,229.11,228.11,228.11,224.5,222.9,220.5,222.0,220.5,218.7,219.4,219.7,229.11,228.11,229.0,228.5,229.31,229.31,229.11,223.0,217.5,221.7,226.2,231.81,231.61,229.0,232.81,233.5,232.4,226.81,221.4,221.4,220.9,225.11,235.31,236.11,232.9,232.81,235.4,234.61,231.11,225.0,217.31,221.4,221.4,239.4,239.11,237.2,235.9,235.4,234.61,230.4,225.2,219.81,219.11,219.61,241.31,239.9,238.7,238.61,240.4,237.11,230.4,225.31,221.0,216.7,215.4
2021-06-09 10:00:00,242.2,243.9,244.81,245.7,246.4,247.31,247.7,247.9,247.9,248.2,248.81,244.31,245.5,246.2,246.9,247.11,248.0,248.0,248.2,248.5,248.5,248.61,246.31,246.7,247.5,248.31,248.0,248.4,248.5,248.81,248.81,248.5,248.7,247.61,247.5,248.2,248.5,248.9,248.5,249.0,248.81,248.9,248.81,248.81,248.11,248.5,248.31,248.7,249.11,248.9,249.0,248.7,248.9,248.9,249.0,249.0,248.81,248.81,248.81,249.0,249.2,248.9,248.81,248.81,248.61,248.7,249.0,248.81,248.81,248.81,249.0,249.0,248.7,248.61,248.5,248.61,248.11,249.31,249.11,248.81,248.0,247.5,247.9,248.4,248.0,248.0,247.7,248.0,248.61,248.61,248.4,248.0,246.2,246.11,246.4,246.4,246.31,246.61,246.61,248.4,248.0,247.4,246.61,246.2,246.11,244.9,244.9,245.0,245.11,245.61,247.11,246.5,246.5,246.0,245.9,245.4,244.9,244.31,244.11,244.2,244.7
2021-06-11 22:00:00,244.4,241.4,237.0,239.2,240.2,238.61,236.11,234.4,234.4,233.81,231.11,244.81,243.0,240.81,241.0,243.11,241.81,238.0,236.31,236.5,235.4,233.11,244.9,243.4,243.11,244.5,244.2,242.11,239.31,238.11,238.61,238.2,236.7,245.4,243.9,242.0,244.81,244.0,242.4,240.61,237.5,238.7,240.2,239.5,244.81,243.2,241.0,242.4,243.31,243.31,239.7,235.81,237.31,240.7,241.61,243.4,241.4,241.4,240.5,242.5,241.9,236.81,232.61,236.81,241.61,243.0,243.4,241.4,239.61,241.9,240.9,240.9,235.11,231.61,237.81,242.9,243.5,243.4,241.7,239.61,242.9,241.31,238.61,237.81,240.11,240.11,242.2,242.81,242.2,240.5,239.61,242.9,243.9,242.2,244.31,243.0,239.7,241.4,241.4,242.9,239.31,238.81,243.9,243.9,242.2,245.5,244.81,244.61,241.81,240.7,243.7,239.61,240.81,244.7,246.0,245.4,245.5,246.9,246.0,243.81,239.0
2021-07-16 04:00:00,250.5,250.2,250.31,250.2,250.11,250.2,249.61,249.9,249.9,249.9,250.0,250.31,250.11,250.0,250.2,250.11,250.11,249.61,249.81,249.9,250.11,249.81,250.11,249.81,249.81,249.9,250.0,250.11,249.61,249.61,249.9,250.0,249.9,249.9,249.81,249.81,250.11,250.11,250.31,250.2,249.81,250.0,249.81,249.9,249.7,249.81,249.9,250.0,250.2,250.81,250.61,250.4,250.2,249.31,249.81,249.9,250.2,250.2,250.2,250.5,250.7,250.81,250.31,250.11,249.7,249.5,249.9,250.2,249.9,250.2,250.2,250.2,250.31,250.11,249.9,249.5,249.2,249.9,250.2,249.9,249.2,249.4,249.31,249.5,249.5,249.5,249.5,249.2,249.4,249.4,248.7,249.2,248.31,248.31,248.4,249.0,249.11,248.81,248.81,248.61,248.61,247.81,248.11,248.31,248.31,247.61,248.7,248.9,248.5,248.5,248.4,248.31,247.9,247.11,247.11,247.11,247.61,248.7,247.9,248.5,248.9
2021-06-07 04:00:00,252.11,251.9,251.61,251.7,252.11,252.31,252.31,252.11,252.11,251.11,251.2,251.7,252.11,251.7,251.5,252.0,252.0,252.0,252.2,251.4,250.11,251.2,251.7,252.0,251.81,251.61,251.7,251.7,251.61,251.61,251.4,250.9,250.5,252.11,251.61,252.11,251.31,251.7,251.4,251.5,251.5,251.5,251.0,250.61,252.11,251.7,251.9,251.61,251.5,251.5,251.4,251.81,251.7,251.5,251.0,251.9,251.7,251.7,251.7,251.61,251.31,251.5,251.7,251.7,251.81,251.5,251.9,251.7,251.7,251.61,251.7,251.7,251.7,251.61,251.81,252.0,252.11,252.0,251.81,251.7,252.0,251.7,252.0,251.9,252.0,252.0,252.11,252.4,252.11,252.0,251.9,252.0,252.0,252.2,252.0,252.2,252.11,252.5,252.5,252.2,252.0,252.2,252.11,252.0,252.2,252.11,252.31,252.31,252.31,252.11,252.2,252.31,252.4,252.31,252.31,252.31,252.11,252.61,252.4,252.31,252.31
2021-08-04 05:00:00,234.7,226.7,226.7,232.0,233.4,231.5,232.11,235.5,235.5,237.5,236.11,235.9,227.11,224.7,226.9,232.2,236.2,235.61,236.31,236.31,234.0,232.81,236.7,228.7,224.61,226.4,231.7,236.0,238.31,238.7,234.31,225.11,228.0,233.31,230.11,228.11,228.5,230.9,231.7,232.4,230.81,228.2,231.5,233.0,230.31,230.2,230.4,230.11,228.0,226.0,223.5,220.4,224.61,231.61,240.11,229.61,229.9,229.9,225.2,225.61,220.7,218.31,219.7,221.5,227.81,238.0,229.61,229.9,229.11,222.31,215.4,215.4,217.81,220.0,219.11,223.2,232.61,226.4,227.81,229.11,224.31,228.2,229.2,224.81,219.61,219.61,220.5,226.7,228.4,228.4,225.0,224.31,232.81,239.0,233.31,224.4,222.11,225.11,225.11,233.61,228.4,227.5,229.4,232.81,239.0,236.81,233.9,229.61,232.0,236.61,239.31,237.4,233.9,234.0,233.5,232.9,236.81,239.5,239.7,235.9,240.11
