time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
2021-06-11 08:00:00,277.02,277.04,277.04,277.06,277.06,277.06,277.08,277.08,277.08,277.1,277.1,276.94,276.96,276.96,276.96,276.98,276.98,277.0,277.0,277.02,277.02,277.02,276.86,276.86,276.88,276.88,276.90000000000003,276.90000000000003,276.92,276.92,276.92,276.94,276.94,276.78000000000003,276.78000000000003,276.8,276.8,276.82,276.82,276.82,276.84000000000003,276.84000000000003,276.86,276.86,276.7,276.7,276.7,276.72,276.72,276.74,276.74,276.76,276.76,276.78000000000003,276.78000000000003,276.62,276.62,276.62,276.64,276.64,276.66,276.66,276.66,276.68,276.68,276.7,276.62,276.62,276.54,276.56,276.56,276.56,276.58,276.58,276.6,276.6,276.62,276.54,276.54,276.54,276.48,276.48,276.5,276.5,276.52,276.52,276.52,276.54,276.44,276.46,276.46,276.48,276.40000000000003,276.42,276.42,276.42,276.44,276.44,276.44,276.36,276.38,276.38,276.40000000000003,276.40000000000003,276.42,276.34000000000003,276.34000000000003,276.36,276.36,276.38,276.28000000000003,276.28000000000003,276.3,276.3,276.32,276.32,276.34000000000003,276.26,276.28000000000003,276.28000000000003,276.3
2021-06-17 01:00:00,72.26,72.26,72.28,72.28,72.3,72.3,72.32000000000001,72.34,72.34,72.34,72.36,72.26,72.28,72.28,72.3,72.3,72.32000000000001,72.34,72.34,72.36,72.36,72.38,72.28,72.28,72.3,72.3,72.32000000000001,72.34,72.34,72.36,72.36,72.38,72.38,72.28,72.3,72.32000000000001,72.32000000000001,72.34,72.34,72.36,72.36,72.38,72.4,72.4,72.3,72.32000000000001,72.32000000000001,72.34,72.34,72.36,72.38,72.38,72.4,72.4,72.42,72.32000000000001,72.34,72.34,72.34,72.36,72.38,72.38,72.4,72.4,72.42,72.42,72.32000000000001,72.34,72.36,72.38,72.38,72.38,72.4,72.4,72.42,72.42,72.44,72.34,72.34,72.36,72.38,72.4,72.4,72.42,72.44,72.44,72.44,72.46000000000001,72.36,72.36,72.38,72.38,72.4,72.42,72.44,72.44,72.46000000000001,72.46000000000001,72.46000000000001,72.36,72.38,72.38,72.4,72.4,72.42,72.44,72.46000000000001,72.46000000000001,72.48,72.5,72.38,72.38,72.4,72.4,72.42,72.44,72.44,72.46000000000001,72.48,72.5,72.5
2021-07-23 03:00:00,83.72,83.72,83.74,83.76,83.76,83.78,83.78,83.8,83.8,83.8,83.82000000000001,83.76,83.76,83.78,83.78,83.8,83.82000000000001,83.82000000000001,83.84,83.84,83.86,83.86,83.8,83.8,83.82000000000001,83.82000000000001,83.84,83.86,83.86,83.88,83.88,83.9,83.9,83.84,83.84,83.86,83.86,83.88,83.9,83.9,83.92,83.92,83.94,83.94,83.88,83.88,83.9,83.9,83.92,83.94,83.94,83.96000000000001,83.96000000000001,83.98,83.98,83.92,83.94,83.94,83.94,83.96000000000001,83.98,83.98,84.0,84.0,84.02,84.02,83.92,83.94,83.98,84.0,84.02,84.02,84.02,84.04,84.04,84.06,84.06,83.96000000000001,83.98,83.98,84.04,84.06,84.06,84.08,84.08,84.08,84.10000000000001,84.10000000000001,84.0,84.02,84.02,84.04,84.10000000000001,84.10000000000001,84.12,84.12,84.14,84.14,84.14,84.04,84.06,84.06,84.08,84.10000000000001,84.10000000000001,84.16,84.16,84.18,84.18,84.2,84.08,84.10000000000001,84.10000000000001,84.12,84.14,84.14,84.16,84.2,84.22,84.22,84.24
2021-08-11 22:00:00,61.660000000000004,61.68,61.72,61.74,61.76,61.78,61.82,61.84,61.84,61.86,61.88,61.64,61.660000000000004,61.7,61.72,61.74,61.76,61.78,61.82,61.84,61.86,61.88,61.620000000000005,61.64,61.68,61.7,61.72,61.74,61.78,61.800000000000004,61.82,61.84,61.86,61.6,61.64,61.660000000000004,61.68,61.7,61.72,61.76,61.78,61.800000000000004,61.82,61.84,61.58,61.620000000000005,61.64,61.660000000000004,61.68,61.7,61.74,61.76,61.78,61.800000000000004,61.82,61.6,61.620000000000005,61.620000000000005,61.64,61.660000000000004,61.68,61.72,61.74,61.76,61.78,61.800000000000004,61.6,61.620000000000005,61.620000000000005,61.64,61.68,61.68,61.7,61.72,61.74,61.76,61.800000000000004,61.58,61.6,61.620000000000005,61.620000000000005,61.660000000000004,61.68,61.7,61.72,61.72,61.74,61.78,61.56,61.58,61.6,61.620000000000005,61.64,61.660000000000004,61.68,61.7,61.74,61.76,61.76,61.54,61.56,61.58,61.6,61.64,61.660000000000004,61.660000000000004,61.68,61.7,61.74,61.76,61.52,61.54,61.56,61.58,61.620000000000005,61.64,61.660000000000004,61.660000000000004,61.7,61.72,61.74
2021-08-14 09:00:00,265.96,265.98,266.0,266.02,266.04,266.06,266.08,266.1,266.1,266.14,266.16,265.92,265.94,265.96,265.98,266.0,266.02,266.04,266.06,266.08,266.1,266.12,265.86,265.88,265.9,265.92,265.94,265.96,265.98,266.0,266.02,266.04,266.06,265.82,265.84000000000003,265.86,265.88,265.9,265.92,265.94,265.96,265.98,266.0,266.02,265.76,265.78000000000003,265.8,265.82,265.84000000000003,265.86,265.88,265.9,265.92,265.96,265.98,265.74,265.76,265.76,265.78000000000003,265.8,265.82,265.84000000000003,265.86,265.88,265.9,265.92,265.74,265.76,265.72,265.74,265.76,265.76,265.78000000000003,265.8,265.82,265.84000000000003,265.86,265.68,265.7,265.72,265.7,265.72,265.74,265.76,265.78000000000003,265.78000000000003,265.8,265.82,265.64,265.66,265.68,265.7,265.66,265.68,265.7,265.72,265.74,265.76,265.76,265.58,265.6,265.62,265.64,265.66,265.68,265.66,265.68,265.7,265.72,265.74,265.52,265.54,265.58,265.6,265.62,265.64,265.66,265.62,265.64,265.66,265.68
2021-06-09 10:00:00,282.74,282.76,282.76,282.78000000000003,282.8,282.8,282.82,282.82,282.82,282.84000000000003,282.84000000000003,282.72,282.72,282.74,282.74,282.76,282.76,282.78000000000003,282.8,282.8,282.82,282.82,282.68,282.7,282.7,282.72,282.72,282.74,282.74,282.76,282.78000000000003,282.78000000000003,282.8,282.66,282.66,282.68,282.68,282.7,282.7,282.72,282.72,282.74,282.76,282.76,282.62,282.64,282.64,282.66,282.66,282.68,282.68,282.7,282.7,282.72,282.74,282.6,282.62,282.62,282.62,282.64,282.64,282.66,282.66,282.68,282.68,282.7,282.6,282.62,282.6,282.6,282.62,282.62,282.62,282.64,282.64,282.66,282.66,282.58,282.58,282.6,282.58,282.58,282.6,282.6,282.62,282.62,282.62,282.64,282.54,282.56,282.56,282.58,282.56,282.56,282.58,282.58,282.6,282.6,282.6,282.5,282.52,282.54,282.54,282.56,282.56,282.54,282.56,282.56,282.58,282.58,282.48,282.48,282.5,282.5,282.52,282.54,282.54,282.52,282.54,282.54,282.56
2021-06-11 22:00:00,55.18,55.2,55.22,55.24,55.26,55.300000000000004,55.32,55.34,55.34,55.36,55.38,55.160000000000004,55.18,55.2,55.22,55.26,55.28,55.300000000000004,55.32,55.34,55.36,55.4,55.14,55.160000000000004,55.2,55.22,55.24,55.26,55.28,55.300000000000004,55.34,55.36,55.38,55.14,55.160000000000004,55.18,55.2,55.22,55.24,55.28,55.300000000000004,55.32,55.34,55.36,55.120000000000005,55.14,55.160000000000004,55.18,55.22,55.24,55.26,55.28,55.300000000000004,55.32,55.36,55.120000000000005,55.14,55.14,55.18,55.2,55.22,55.24,55.26,55.28,55.32,55.34,55.120000000000005,55.14,55.160000000000004,55.18,55.2,55.2,55.22,55.26,55.28,55.300000000000004,55.32,55.120000000000005,55.14,55.160000000000004,55.160000000000004,55.2,55.22,55.24,55.26,55.26,55.28,55.300000000000004,55.1,55.120000000000005,55.14,55.160000000000004,55.18,55.2,55.22,55.24,55.28,55.300000000000004,55.300000000000004,55.08,55.1,55.14,55.160000000000004,55.18,55.2,55.2,55.24,55.26,55.28,55.300000000000004,55.06,55.1,55.120000000000005,55.14,55.160000000000004,55.18,55.2,55.22,55.24,55.26,55.28
2021-07-16 04:00:00,85.76,85.76,85.76,85.78,85.78,85.8,85.8,85.82000000000001,85.82000000000001,85.82000000000001,85.84,85.82000000000001,85.82000000000001,85.84,85.84,85.86,85.86,85.88,85.88,85.9,85.9,85.92,85.88,85.9,85.9,85.92,85.92,85.94,85.94,85.96000000000001,85.96000000000001,85.98,85.98,85.96000000000001,85.96000000000001,85.98,85.98,86.0,86.0,86.02,86.02,86.04,86.04,86.06,86.02,86.04,86.04,86.06,86.06,86.08,86.08,86.10000000000001,86.10000000000001,86.12,86.12,86.10000000000001,86.10000000000001,86.10000000000001,86.12,86.14,86.14,86.16,86.16,86.18,86.18,86.2,86.10000000000001,86.10000000000001,86.18,86.2,86.2,86.2,86.22,86.22,86.24,86.26,86.26,86.16,86.18,86.18,86.26,86.28,86.28,86.3,86.3,86.3,86.32000000000001,86.32000000000001,86.24,86.24,86.26,86.26,86.34,86.36,86.36,86.38,86.38,86.4,86.4,86.3,86.32000000000001,86.32000000000001,86.34,86.34,86.36,86.44,86.44,86.46000000000001,86.46000000000001,86.48,86.38,86.38,86.4,86.4,86.42,86.42,86.44,86.52,86.52,86.54,86.54
2021-06-07 04:00:00,83.26,83.28,83.28,83.28,83.3,83.3,83.3,83.32000000000001,83.32000000000001,83.32000000000001,83.32000000000001,83.34,83.34,83.36,83.36,83.36,83.38,83.38,83.38,83.4,83.4,83.4,83.42,83.42,83.42,83.44,83.44,83.44,83.46000000000001,83.46000000000001,83.46000000000001,83.48,83.48,83.5,83.5,83.5,83.5,83.52,83.52,83.52,83.54,83.54,83.54,83.56,83.56,83.58,83.58,83.58,83.60000000000001,83.60000000000001,83.60000000000001,83.60000000000001,83.62,83.62,83.62,83.64,83.66,83.66,83.66,83.66,83.68,83.68,83.68,83.7,83.7,83.7,83.64,83.66,83.74,83.74,83.74,83.74,83.76,83.76,83.76,83.78,83.78,83.72,83.72,83.74,83.82000000000001,83.82000000000001,83.82000000000001,83.84,83.84,83.84,83.84,83.86,83.8,83.8,83.8,83.82000000000001,83.9,83.9,83.9,83.92,83.92,83.92,83.92,83.86,83.88,83.88,83.88,83.9,83.9,83.98,83.98,84.0,84.0,84.02,83.94,83.94,83.96000000000001,83.96000000000001,83.96000000000001,83.98,83.98,84.06,84.08,84.08,84.08
2021-08-04 05:00:00,104.16,104.2,104.24000000000001,104.28,104.32000000000001,104.38,104.42,104.46000000000001,104.46000000000001,104.5,104.56,104.26,104.32000000000001,104.36,104.4,104.44,104.48,104.54,104.58,104.62,104.66,104.7,104.38,104.44,104.48,104.52,104.56,104.60000000000001,104.66,104.7,104.74000000000001,104.78,104.84,104.5,104.54,104.60000000000001,104.64,104.68,104.72,104.78,104.82000000000001,104.86,104.9,104.96000000000001,104.62,104.66,104.72,104.76,104.8,104.84,104.9,104.94,104.98,105.02,105.08,104.78,104.82000000000001,104.82000000000001,104.88,104.92,104.96000000000001,105.0,105.06,105.10000000000001,105.14,105.18,104.78,104.82000000000001,105.0,105.04,105.08,105.08,105.12,105.18,105.22,105.26,105.32000000000001,104.9,104.94,105.0,105.16,105.2,105.24000000000001,105.3,105.34,105.34,105.38,105.44,105.02,105.06,105.10000000000001,105.16,105.32000000000001,105.36,105.42,105.46000000000001,105.5,105.56,105.56,105.14,105.18,105.22,105.28,105.32000000000001,105.36,105.52,105.58,105.62,105.66,105.72,105.24000000000001,105.3,105.34,105.38,105.44,105.48,105.52,105.68,105.74000000000001,105.78,105.84
