time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
2021-06-11 08:00:00,83.74,83.82000000000001,83.82000000000001,83.88,83.96000000000001,84.04,84.12,84.2,84.3,84.38,84.46000000000001,83.76,83.76,83.82000000000001,83.9,83.98,84.06,84.14,84.22,84.3,84.38,84.46000000000001,83.68,83.76,83.84,83.92,84.0,84.08,84.16,84.24,84.32000000000001,84.32000000000001,84.4,83.68,83.76,83.84,83.92,84.0,84.08,84.18,84.18,84.26,84.34,84.42,83.7,83.78,83.86,83.94,84.02,84.02,84.10000000000001,84.18,84.26,84.34,84.42,83.72,83.8,83.88,83.96000000000001,83.96000000000001,84.04,84.12,84.2,84.28,84.36,84.44,83.72,83.8,83.8,83.88,83.96000000000001,84.04,84.12,84.2,84.28,84.36,84.44,83.66,83.74,83.82000000000001,83.9,83.98,84.06,84.14,84.22,84.3,84.38,84.38,83.68,83.76,83.84,83.92,84.0,84.08,84.16,84.24,84.24,84.32000000000001,84.4,83.68,83.76,83.84,83.92,84.0,84.08,84.08,84.16,84.24,84.32000000000001,84.4,83.7,83.78,83.86,83.94,84.02,84.02,84.10000000000001,84.18,84.26,84.34,84.42
2021-06-17 01:00:00,19.42,19.400000000000002,19.400000000000002,19.3,19.28,19.26,19.240000000000002,19.2,19.18,19.16,19.14,19.48,19.48,19.400000000000002,19.38,19.34,19.32,19.3,19.28,19.26,19.240000000000002,19.2,19.580000000000002,19.48,19.46,19.44,19.42,19.400000000000002,19.36,19.34,19.32,19.32,19.3,19.580000000000002,19.56,19.52,19.5,19.48,19.46,19.44,19.44,19.400000000000002,19.38,19.36,19.64,19.62,19.6,19.580000000000002,19.54,19.54,19.52,19.5,19.48,19.46,19.44,19.72,19.68,19.66,19.64,19.64,19.62,19.6,19.56,19.54,19.52,19.5,19.78,19.76,19.76,19.72,19.7,19.68,19.66,19.64,19.62,19.580000000000002,19.56,19.86,19.84,19.82,19.8,19.78,19.740000000000002,19.72,19.7,19.68,19.66,19.66,19.94,19.900000000000002,19.88,19.86,19.84,19.82,19.8,19.76,19.76,19.740000000000002,19.72,20.0,19.98,19.96,19.92,19.900000000000002,19.88,19.88,19.86,19.84,19.82,19.8,20.06,20.04,20.02,20.0,19.98,19.98,19.94,19.92,19.900000000000002,19.88,19.86
2021-07-23 03:00:00,31.94,32.0,32.0,31.98,32.02,32.08,32.14,32.18,32.24,32.3,32.34,32.02,32.02,32.0,32.06,32.1,32.160000000000004,32.22,32.26,32.32,32.38,32.42,32.06,32.02,32.08,32.14,32.18,32.24,32.3,32.34,32.4,32.4,32.46,32.06,32.1,32.160000000000004,32.22,32.26,32.32,32.38,32.38,32.42,32.480000000000004,32.54,32.14,32.18,32.24,32.3,32.34,32.34,32.4,32.46,32.5,32.56,32.62,32.22,32.26,32.32,32.38,32.38,32.42,32.480000000000004,32.54,32.58,32.64,32.7,32.3,32.34,32.34,32.4,32.46,32.5,32.56,32.62,32.660000000000004,32.72,32.78,32.32,32.38,32.44,32.480000000000004,32.54,32.58,32.64,32.7,32.74,32.8,32.8,32.4,32.46,32.52,32.56,32.62,32.660000000000004,32.72,32.78,32.78,32.82,32.88,32.480000000000004,32.54,32.6,32.64,32.7,32.74,32.74,32.8,32.86,32.9,32.96,32.58,32.62,32.68,32.72,32.78,32.78,32.84,32.88,32.94,33.0,33.04
2021-08-11 22:00:00,49.34,49.26,49.26,49.2,49.120000000000005,49.04,48.96,48.88,48.800000000000004,48.72,48.64,49.32,49.32,49.26,49.18,49.1,49.02,48.94,48.86,48.78,48.7,48.620000000000005,49.38,49.32,49.24,49.160000000000004,49.08,49.0,48.92,48.84,48.76,48.76,48.68,49.38,49.300000000000004,49.22,49.14,49.06,48.980000000000004,48.9,48.9,48.82,48.72,48.64,49.36,49.28,49.2,49.120000000000005,49.04,49.04,48.96,48.88,48.800000000000004,48.72,48.620000000000005,49.34,49.26,49.18,49.1,49.1,49.02,48.94,48.86,48.78,48.68,48.6,49.32,49.24,49.24,49.160000000000004,49.08,49.0,48.92,48.82,48.74,48.660000000000004,48.58,49.38,49.300000000000004,49.22,49.14,49.06,48.96,48.88,48.800000000000004,48.72,48.64,48.64,49.36,49.28,49.2,49.120000000000005,49.04,48.94,48.86,48.78,48.78,48.7,48.620000000000005,49.34,49.26,49.18,49.08,49.0,48.92,48.92,48.84,48.76,48.68,48.6,49.300000000000004,49.22,49.14,49.06,48.980000000000004,48.980000000000004,48.9,48.82,48.74,48.660000000000004,48.58
2021-08-14 09:00:00,99.14,99.22,99.22,99.28,99.36,99.44,99.52,99.60000000000001,99.68,99.76,99.84,99.14,99.14,99.22,99.3,99.36,99.44,99.52,99.60000000000001,99.68,99.76,99.84,99.08,99.14,99.22,99.3,99.38,99.46000000000001,99.54,99.62,99.7,99.7,99.78,99.08,99.14,99.22,99.3,99.38,99.46000000000001,99.54,99.54,99.62,99.7,99.78,99.08,99.16,99.24000000000001,99.32000000000001,99.4,99.4,99.48,99.56,99.62,99.7,99.78,99.08,99.16,99.24000000000001,99.32000000000001,99.32000000000001,99.4,99.48,99.56,99.64,99.72,99.8,99.10000000000001,99.18,99.18,99.26,99.34,99.42,99.48,99.56,99.64,99.72,99.8,99.02,99.10000000000001,99.18,99.26,99.34,99.42,99.5,99.58,99.66,99.74000000000001,99.74000000000001,99.04,99.10000000000001,99.18,99.26,99.34,99.42,99.5,99.58,99.58,99.66,99.74000000000001,99.04,99.12,99.2,99.28,99.36,99.44,99.44,99.52,99.60000000000001,99.66,99.74000000000001,99.04,99.12,99.2,99.28,99.36,99.36,99.44,99.52,99.60000000000001,99.68,99.76
2021-06-09 10:00:00,101.60000000000001,101.68,101.68,101.76,101.82000000000001,101.9,101.96000000000001,102.02,102.10000000000001,102.16,102.24000000000001,101.58,101.58,101.68,101.74000000000001,101.8,101.88,101.94,102.02,102.08,102.14,102.22,101.5,101.58,101.66,101.72,101.78,101.86,101.92,102.0,102.06,102.06,102.12,101.5,101.56,101.64,101.7,101.78,101.84,101.9,101.9,101.98,102.04,102.12,101.48,101.54,101.62,101.68,101.76,101.76,101.82000000000001,101.88,101.96000000000001,102.02,102.10000000000001,101.46000000000001,101.52,101.60000000000001,101.66,101.66,101.74000000000001,101.8,101.86,101.94,102.0,102.08,101.44,101.52,101.52,101.58,101.64,101.72,101.78,101.86,101.92,101.98,102.06,101.36,101.42,101.5,101.56,101.62,101.7,101.76,101.84,101.9,101.96000000000001,101.96000000000001,101.34,101.4,101.48,101.54,101.60000000000001,101.68,101.74000000000001,101.82000000000001,101.82000000000001,101.88,101.94,101.32000000000001,101.38,101.46000000000001,101.52,101.60000000000001,101.66,101.66,101.72,101.8,101.86,101.94,101.3,101.36,101.44,101.5,101.58,101.58,101.64,101.7,101.78,101.84,101.92
2021-06-11 22:00:00,43.0,42.92,42.92,42.88,42.78,42.7,42.62,42.54,42.46,42.38,42.300000000000004,42.96,42.96,42.92,42.84,42.76,42.68,42.6,42.5,42.42,42.34,42.26,43.02,42.96,42.88,42.800000000000004,42.72,42.64,42.56,42.480000000000004,42.4,42.4,42.32,43.02,42.94,42.86,42.78,42.68,42.6,42.52,42.52,42.44,42.36,42.28,42.980000000000004,42.9,42.82,42.74,42.660000000000004,42.660000000000004,42.58,42.5,42.42,42.34,42.24,42.96,42.88,42.800000000000004,42.7,42.7,42.62,42.54,42.46,42.38,42.300000000000004,42.22,42.92,42.84,42.84,42.76,42.68,42.6,42.52,42.42,42.34,42.26,42.18,42.980000000000004,42.88,42.800000000000004,42.72,42.64,42.56,42.480000000000004,42.4,42.32,42.24,42.24,42.94,42.86,42.78,42.7,42.62,42.54,42.44,42.36,42.36,42.28,42.2,42.9,42.82,42.74,42.660000000000004,42.58,42.5,42.5,42.42,42.34,42.26,42.160000000000004,42.88,42.800000000000004,42.7,42.62,42.54,42.54,42.46,42.38,42.300000000000004,42.22,42.14
2021-07-16 04:00:00,40.86,40.94,40.94,40.94,41.0,41.08,41.160000000000004,41.22,41.300000000000004,41.36,41.44,40.94,40.94,40.94,41.0,41.08,41.14,41.22,41.28,41.36,41.44,41.5,40.94,40.94,41.0,41.08,41.14,41.22,41.28,41.36,41.42,41.42,41.5,40.94,41.0,41.08,41.14,41.22,41.28,41.36,41.36,41.42,41.5,41.56,41.0,41.06,41.14,41.2,41.28,41.28,41.34,41.42,41.480000000000004,41.56,41.64,41.06,41.14,41.2,41.28,41.28,41.34,41.42,41.480000000000004,41.56,41.62,41.7,41.14,41.2,41.2,41.28,41.34,41.42,41.480000000000004,41.56,41.62,41.7,41.76,41.14,41.2,41.28,41.34,41.42,41.480000000000004,41.56,41.62,41.7,41.76,41.76,41.2,41.28,41.34,41.42,41.480000000000004,41.56,41.62,41.7,41.7,41.76,41.84,41.28,41.34,41.4,41.480000000000004,41.54,41.62,41.62,41.68,41.76,41.82,41.9,41.34,41.4,41.480000000000004,41.54,41.62,41.62,41.68,41.76,41.82,41.9,41.96
2021-06-07 04:00:00,41.2,41.28,41.28,41.28,41.36,41.44,41.5,41.58,41.660000000000004,41.72,41.800000000000004,41.28,41.28,41.28,41.36,41.42,41.5,41.56,41.64,41.72,41.78,41.86,41.26,41.28,41.34,41.42,41.480000000000004,41.56,41.64,41.7,41.78,41.78,41.86,41.26,41.34,41.4,41.480000000000004,41.56,41.62,41.7,41.7,41.78,41.84,41.92,41.32,41.4,41.46,41.54,41.62,41.62,41.68,41.76,41.84,41.9,41.980000000000004,41.4,41.46,41.54,41.6,41.6,41.68,41.76,41.82,41.9,41.96,42.04,41.46,41.52,41.52,41.6,41.68,41.74,41.82,41.88,41.96,42.04,42.1,41.44,41.52,41.6,41.660000000000004,41.74,41.82,41.88,41.96,42.02,42.1,42.1,41.52,41.58,41.660000000000004,41.72,41.800000000000004,41.88,41.94,42.02,42.02,42.1,42.160000000000004,41.58,41.660000000000004,41.72,41.800000000000004,41.86,41.94,41.94,42.02,42.08,42.160000000000004,42.22,41.64,41.72,41.78,41.86,41.94,41.94,42.0,42.08,42.160000000000004,42.22,42.300000000000004
2021-08-04 05:00:00,54.28,54.36,54.36,54.36,54.44,54.52,54.6,54.660000000000004,54.74,54.82,54.9,54.34,54.34,54.36,54.42,54.5,54.58,54.660000000000004,54.72,54.800000000000004,54.88,54.96,54.32,54.34,54.42,54.480000000000004,54.56,54.64,54.72,54.78,54.86,54.86,54.94,54.32,54.4,54.480000000000004,54.54,54.620000000000005,54.7,54.78,54.78,54.84,54.92,55.0,54.38,54.46,54.52,54.6,54.68,54.68,54.76,54.82,54.9,54.980000000000004,55.06,54.44,54.52,54.58,54.660000000000004,54.660000000000004,54.74,54.82,54.88,54.96,55.04,55.120000000000005,54.5,54.58,54.58,54.64,54.72,54.800000000000004,54.88,54.94,55.02,55.1,55.18,54.480000000000004,54.56,54.64,54.7,54.78,54.86,54.94,55.0,55.08,55.160000000000004,55.160000000000004,54.54,54.620000000000005,54.7,54.76,54.84,54.92,55.0,55.06,55.06,55.14,55.22,54.6,54.68,54.76,54.82,54.9,54.980000000000004,54.980000000000004,55.06,55.120000000000005,55.2,55.28,54.660000000000004,54.74,54.82,54.88,54.96,54.96,55.04,55.120000000000005,55.18,55.26,55.34
2021-06-18 06:00:00,62.26,62.34,62.34,62.38,62.46,62.54,62.620000000000005,62.72,62.800000000000004,62.88,62.96,62.300000000000004,62.300000000000004,62.34,62.42,62.5,62.58,62.660000000000004,62.74,62.84,62.92,63.0,62.26,62.300000000000004,62.38,62.46,62.54,62.620000000000005,62.7,62.78,62.88,62.88,62.96,62.26,62.34,62.42,62.5,62.58,62.660000000000004,62.74,62.74,62.82,62.92,63.0,62.300000000000004,62.38,62.46,62.54,62.620000000000005,62.620000000000005,62.7,62.78,62.86,62.940000000000005,63.04,62.34,62.42,62.5,62.58,62.58,62.660000000000004,62.74,62.82,62.9,62.980000000000004,63.08,62.38,62.46,62.46,62.54,62.620000000000005,62.7,62.78,62.86,62.940000000000005,63.02,63.120000000000005,62.34,62.42,62.5,62.58,62.660000000000004,62.74,62.82,62.9,62.980000000000004,63.06,63.06,62.38,62.46,62.54,62.620000000000005,62.7,62.78,62.86,62.940000000000005,62.940000000000005,63.02,63.1,62.42,62.5,62.58,62.660000000000004,62.74,62.82,62.82,62.9,62.980000000000004,63.06,63.14,62.46,62.54,62.620000000000005,62.7,62.78,62.78,62.86,62.940000000000005,63.02,63.1,63.18
2021-06-28 01:00:00,19.580000000000002,19.54,19.54,19.46,19.42,19.400000000000002,19.38,19.34,19.32,19.3,19.28,19.64,19.64,19.54,19.52,19.5,19.46,19.44,19.42,19.38,19.36,19.34,19.72,19.64,19.6,19.580000000000002,19.56,19.52,19.5,19.48,19.46,19.46,19.42,19.72,19.7,19.68,19.64,19.62,19.6,19.56,19.56,19.54,19.52,19.5,19.8,19.76,19.740000000000002,19.72,19.68,19.68,19.66,19.64,19.6,19.580000000000002,19.56,19.86,19.84,19.8,19.78,19.78,19.76,19.72,19.7,19.68,19.64,19.62,19.92,19.900000000000002,19.900000000000002,19.86,19.84,19.82,19.8,19.76,19.740000000000002,19.72,19.7,20.02,19.98,19.96,19.94,19.900000000000002,19.88,19.86,19.84,19.8,19.78,19.78,20.080000000000002,20.06,20.02,20.0,19.98,19.94,19.92,19.900000000000002,19.900000000000002,19.88,19.84,20.14,20.12,20.080000000000002,20.06,20.04,20.02,20.02,19.98,19.96,19.94,19.92,20.2,20.18,20.16,20.12,20.1,20.1,20.080000000000002,20.06,20.02,20.0,19.98
2021-07-08 01:00:00,20.42,20.400000000000002,20.400000000000002,20.3,20.28,20.240000000000002,20.22,20.18,20.16,20.14,20.1,20.48,20.48,20.400000000000002,20.36,20.34,20.3,20.28,20.26,20.22,20.2,20.18,20.580000000000002,20.48,20.46,20.42,20.400000000000002,20.36,20.34,20.32,20.28,20.28,20.26,20.580000000000002,20.54,20.52,20.48,20.46,20.44,20.400000000000002,20.400000000000002,20.38,20.36,20.32,20.64,20.6,20.580000000000002,20.56,20.52,20.52,20.5,20.48,20.44,20.42,20.400000000000002,20.7,20.68,20.64,20.62,20.62,20.580000000000002,20.56,20.54,20.5,20.48,20.46,20.76,20.740000000000002,20.740000000000002,20.7,20.68,20.66,20.62,20.6,20.580000000000002,20.54,20.52,20.86,20.82,20.8,20.78,20.740000000000002,20.72,20.7,20.66,20.64,20.62,20.62,20.92,20.900000000000002,20.86,20.84,20.8,20.78,20.76,20.72,20.72,20.7,20.68,20.98,20.96,20.92,20.900000000000002,20.88,20.84,20.84,20.82,20.8,20.76,20.740000000000002,21.04,21.02,21.0,20.96,20.94,20.94,20.92,20.88,20.86,20.84,20.8
2021-07-31 06:00:00,64.54,64.62,64.62,64.66,64.74,64.82000000000001,64.9,64.98,65.06,65.14,65.22,64.58,64.58,64.62,64.7,64.78,64.86,64.94,65.02,65.1,65.18,65.26,64.56,64.58,64.66,64.74,64.82000000000001,64.92,65.0,65.08,65.16,65.16,65.24,64.56,64.64,64.72,64.8,64.88,64.96000000000001,65.04,65.04,65.12,65.2,65.28,64.6,64.68,64.76,64.84,64.92,64.92,65.0,65.08,65.16,65.24,65.32000000000001,64.64,64.72,64.8,64.88,64.88,64.96000000000001,65.04,65.12,65.2,65.3,65.38,64.7,64.78,64.78,64.86,64.94,65.02,65.1,65.18,65.26,65.34,65.42,64.66,64.74,64.82000000000001,64.9,64.98,65.06,65.14,65.22,65.3,65.38,65.38,64.7,64.78,64.86,64.94,65.02,65.1,65.18,65.26,65.26,65.34,65.42,64.76,64.84,64.92,65.0,65.08,65.16,65.16,65.24,65.32000000000001,65.4,65.48,64.8,64.88,64.96000000000001,65.04,65.12,65.12,65.2,65.28,65.36,65.44,65.52
2021-06-08 07:00:00,73.74,73.82000000000001,73.82000000000001,73.88,73.96000000000001,74.04,74.12,74.2,74.28,74.36,74.46000000000001,73.76,73.76,73.82000000000001,73.9,73.98,74.06,74.16,74.24,74.32000000000001,74.4,74.48,73.72,73.76,73.84,73.94,74.02,74.10000000000001,74.18,74.26,74.34,74.34,74.42,73.72,73.8,73.88,73.96000000000001,74.04,74.12,74.2,74.2,74.28,74.36,74.46000000000001,73.74,73.82000000000001,73.9,73.98,74.06,74.06,74.14,74.22,74.32000000000001,74.4,74.48,73.76,73.84,73.92,74.02,74.02,74.10000000000001,74.18,74.26,74.34,74.42,74.5,73.8,73.88,73.88,73.96000000000001,74.04,74.12,74.2,74.28,74.36,74.44,74.54,73.74,73.82000000000001,73.9,73.98,74.06,74.14,74.24,74.32000000000001,74.4,74.48,74.48,73.76,73.84,73.92,74.0,74.08,74.18,74.26,74.34,74.34,74.42,74.5,73.8,73.88,73.96000000000001,74.04,74.12,74.2,74.2,74.28,74.36,74.44,74.52,73.82000000000001,73.9,73.98,74.06,74.14,74.14,74.22,74.32000000000001,74.4,74.48,74.56
