time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
2021-06-11 08:00:00,67.74,67.78,67.82000000000001,67.86,67.86,67.9,67.94,68.0,68.04,68.08,68.08,67.74,67.78,67.82000000000001,67.82000000000001,67.86,67.9,67.94,67.98,68.04,68.04,68.08,67.74,67.74,67.78,67.82000000000001,67.86,67.9,67.94,67.94,67.98,68.02,68.08,67.68,67.72,67.78,67.82000000000001,67.86,67.9,67.9,67.94,67.98,68.02,68.06,67.68,67.72,67.76,67.8,67.86,67.86,67.9,67.94,67.98,68.02,68.06,67.68,67.72,67.76,67.76,67.8,67.84,67.9,67.94,67.98,67.98,68.02,67.68,67.72,67.72,67.76,67.8,67.84,67.88,67.94,67.94,67.98,68.02,67.68,67.68,67.72,67.76,67.8,67.84,67.88,67.88,67.92,67.98,68.02,67.62,67.66,67.7,67.76,67.8,67.8,67.84,67.88,67.92,67.96000000000001,68.0,67.62,67.66,67.7,67.74,67.74,67.8,67.84,67.88,67.92,67.96000000000001,67.96000000000001,67.62,67.66,67.7,67.7,67.74,67.78,67.84,67.88,67.92,67.92,67.96000000000001
2021-06-17 01:00:00,28.580000000000002,28.52,28.48,28.44,28.44,28.400000000000002,28.36,28.3,28.26,28.22,28.22,28.560000000000002,28.52,28.46,28.46,28.42,28.38,28.34,28.28,28.240000000000002,28.240000000000002,28.2,28.54,28.54,28.5,28.46,28.400000000000002,28.36,28.32,28.32,28.28,28.22,28.18,28.560000000000002,28.52,28.48,28.44,28.400000000000002,28.34,28.34,28.3,28.26,28.22,28.16,28.560000000000002,28.52,28.48,28.42,28.38,28.38,28.34,28.3,28.240000000000002,28.2,28.16,28.54,28.5,28.46,28.46,28.400000000000002,28.36,28.32,28.28,28.240000000000002,28.240000000000002,28.18,28.52,28.48,28.48,28.44,28.400000000000002,28.34,28.3,28.26,28.26,28.22,28.16,28.52,28.52,28.46,28.42,28.38,28.34,28.28,28.28,28.240000000000002,28.2,28.16,28.54,28.5,28.46,28.400000000000002,28.36,28.36,28.32,28.28,28.22,28.18,28.14,28.52,28.48,28.44,28.400000000000002,28.400000000000002,28.34,28.3,28.26,28.22,28.16,28.16,28.52,28.46,28.42,28.42,28.38,28.34,28.28,28.240000000000002,28.2,28.2,28.16
2021-07-23 03:00:00,3.08,3.04,3.02,2.98,2.98,2.96,2.92,2.9,2.86,2.84,2.84,3.1,3.06,3.04,3.04,3.0,2.98,2.94,2.92,2.88,2.88,2.86,3.12,3.12,3.1,3.06,3.04,3.0,2.98,2.98,2.94,2.92,2.88,3.18,3.14,3.12,3.08,3.06,3.02,3.02,3.0,2.96,2.94,2.9,3.2,3.18,3.14,3.12,3.08,3.08,3.06,3.02,3.0,2.96,2.94,3.22,3.2,3.16,3.16,3.14,3.1,3.08,3.04,3.02,3.02,3.0,3.24,3.22,3.22,3.18,3.16,3.12,3.1,3.08,3.08,3.04,3.02,3.2600000000000002,3.2600000000000002,3.24,3.22,3.18,3.16,3.12,3.12,3.1,3.08,3.04,3.3200000000000003,3.3000000000000003,3.2600000000000002,3.24,3.2,3.2,3.18,3.16,3.12,3.1,3.08,3.34,3.3200000000000003,3.2800000000000002,3.2600000000000002,3.2600000000000002,3.24,3.2,3.18,3.16,3.12,3.12,3.38,3.34,3.3200000000000003,3.3200000000000003,3.2800000000000002,3.2600000000000002,3.24,3.2,3.18,3.18,3.16
2021-08-11 22:00:00,72.68,72.64,72.60000000000001,72.56,72.56,72.5,72.46000000000001,72.42,72.38,72.32000000000001,72.32000000000001,72.66,72.62,72.58,72.58,72.54,72.48,72.44,72.4,72.36,72.36,72.32000000000001,72.66,72.66,72.60000000000001,72.56,72.52,72.48,72.42,72.42,72.38,72.34,72.3,72.68,72.64,72.58,72.54,72.5,72.46000000000001,72.46000000000001,72.42,72.36,72.32000000000001,72.28,72.66,72.62,72.58,72.54,72.48,72.48,72.44,72.4,72.36,72.32000000000001,72.26,72.66,72.60000000000001,72.56,72.56,72.52,72.48,72.42,72.38,72.34,72.34,72.3,72.64,72.58,72.58,72.54,72.5,72.46000000000001,72.42,72.36,72.36,72.32000000000001,72.28,72.62,72.62,72.58,72.52,72.48,72.44,72.4,72.4,72.34,72.3,72.26,72.64,72.60000000000001,72.56,72.52,72.46000000000001,72.46000000000001,72.42,72.38,72.34,72.28,72.24,72.62,72.58,72.54,72.5,72.5,72.46000000000001,72.4,72.36,72.32000000000001,72.28,72.28,72.62,72.56,72.52,72.52,72.48,72.44,72.38,72.34,72.3,72.3,72.26
2021-08-14 09:00:00,82.9,82.94,82.98,83.02,83.02,83.08,83.12,83.16,83.2,83.24,83.24,82.9,82.94,82.98,82.98,83.02,83.08,83.12,83.16,83.2,83.2,83.24,82.9,82.9,82.94,82.98,83.02,83.08,83.12,83.12,83.16,83.2,83.24,82.86,82.9,82.94,82.98,83.02,83.08,83.08,83.12,83.16,83.2,83.24,82.86,82.9,82.94,82.98,83.02,83.02,83.08,83.12,83.16,83.2,83.24,82.86,82.9,82.94,82.94,82.98,83.02,83.08,83.12,83.16,83.16,83.2,82.86,82.9,82.9,82.94,82.98,83.04,83.08,83.12,83.12,83.16,83.2,82.86,82.86,82.9,82.94,82.98,83.04,83.08,83.08,83.12,83.16,83.2,82.8,82.86,82.9,82.94,82.98,82.98,83.02,83.06,83.12,83.16,83.2,82.8,82.86,82.9,82.94,82.94,82.98,83.02,83.08,83.12,83.16,83.16,82.82000000000001,82.86,82.9,82.9,82.94,82.98,83.02,83.08,83.12,83.12,83.16
2021-06-09 10:00:00,93.7,93.74,93.78,93.82000000000001,93.82000000000001,93.86,93.9,93.94,93.98,94.02,94.02,93.7,93.74,93.78,93.78,93.82000000000001,93.84,93.88,93.92,93.96000000000001,93.96000000000001,94.0,93.68,93.68,93.72,93.76,93.8,93.84,93.88,93.88,93.92,93.96000000000001,94.0,93.64,93.68,93.72,93.76,93.8,93.84,93.84,93.86,93.9,93.94,93.98,93.62,93.66,93.7,93.74,93.78,93.78,93.82000000000001,93.86,93.9,93.94,93.98,93.62,93.66,93.7,93.7,93.72,93.76,93.8,93.84,93.88,93.88,93.92,93.60000000000001,93.64,93.64,93.68,93.72,93.76,93.8,93.84,93.84,93.88,93.92,93.60000000000001,93.60000000000001,93.64,93.68,93.72,93.76,93.78,93.78,93.82000000000001,93.86,93.9,93.54,93.58,93.62,93.66,93.7,93.7,93.74,93.78,93.82000000000001,93.86,93.9,93.52,93.56,93.60000000000001,93.64,93.64,93.68,93.72,93.76,93.8,93.84,93.84,93.52,93.56,93.60000000000001,93.60000000000001,93.64,93.68,93.72,93.76,93.8,93.8,93.84
2021-06-11 22:00:00,69.04,68.98,68.94,68.9,68.9,68.86,68.82000000000001,68.78,68.72,68.68,68.68,69.0,68.96000000000001,68.92,68.92,68.88,68.84,68.8,68.74,68.7,68.7,68.66,68.98,68.98,68.94,68.9,68.86,68.82000000000001,68.76,68.76,68.72,68.68,68.64,69.0,68.96000000000001,68.92,68.88,68.84,68.8,68.8,68.74,68.7,68.66,68.62,69.0,68.94,68.9,68.86,68.82000000000001,68.82000000000001,68.78,68.74,68.68,68.64,68.60000000000001,68.96000000000001,68.92,68.88,68.88,68.84,68.8,68.76,68.7,68.66,68.66,68.62,68.94,68.9,68.9,68.86,68.82000000000001,68.78,68.72,68.68,68.68,68.64,68.60000000000001,68.92,68.92,68.88,68.84,68.8,68.76,68.7,68.7,68.66,68.62,68.58,68.94,68.9,68.86,68.82000000000001,68.78,68.78,68.74,68.68,68.64,68.60000000000001,68.56,68.92,68.88,68.84,68.8,68.8,68.76,68.7,68.66,68.62,68.58,68.58,68.9,68.86,68.82000000000001,68.82000000000001,68.78,68.72,68.68,68.64,68.60000000000001,68.60000000000001,68.56
2021-07-16 04:00:00,11.78,11.84,11.88,11.92,11.92,11.96,12.02,12.06,12.1,12.14,12.14,11.8,11.84,11.88,11.88,11.94,11.98,12.02,12.06,12.120000000000001,12.120000000000001,12.16,11.82,11.82,11.86,11.9,11.94,12.0,12.040000000000001,12.040000000000001,12.08,12.120000000000001,12.18,11.78,11.82,11.86,11.92,11.96,12.0,12.0,12.040000000000001,12.1,12.14,12.18,11.78,11.82,11.88,11.92,11.96,11.96,12.0,12.06,12.1,12.14,12.18,11.8,11.84,11.88,11.88,11.92,11.98,12.02,12.06,12.1,12.1,12.16,11.8,11.86,11.86,11.9,11.94,11.98,12.040000000000001,12.08,12.08,12.120000000000001,12.16,11.82,11.82,11.86,11.9,11.96,12.0,12.040000000000001,12.040000000000001,12.08,12.14,12.18,11.78,11.82,11.88,11.92,11.96,11.96,12.0,12.06,12.1,12.14,12.18,11.8,11.84,11.88,11.94,11.94,11.98,12.02,12.06,12.120000000000001,12.16,12.16,11.82,11.86,11.9,11.9,11.94,12.0,12.040000000000001,12.08,12.120000000000001,12.120000000000001,12.18
2021-06-07 04:00:00,13.38,13.42,13.48,13.52,13.52,13.56,13.6,13.66,13.700000000000001,13.74,13.74,13.4,13.44,13.48,13.48,13.52,13.56,13.620000000000001,13.66,13.700000000000001,13.700000000000001,13.74,13.4,13.4,13.44,13.48,13.540000000000001,13.58,13.620000000000001,13.620000000000001,13.66,13.700000000000001,13.76,13.36,13.4,13.44,13.5,13.540000000000001,13.58,13.58,13.620000000000001,13.68,13.72,13.76,13.36,13.4,13.44,13.5,13.540000000000001,13.540000000000001,13.58,13.620000000000001,13.68,13.72,13.76,13.36,13.42,13.46,13.46,13.5,13.540000000000001,13.58,13.64,13.68,13.68,13.72,13.38,13.42,13.42,13.46,13.5,13.56,13.6,13.64,13.64,13.68,13.74,13.38,13.38,13.42,13.46,13.52,13.56,13.6,13.6,13.64,13.700000000000001,13.74,13.34,13.38,13.42,13.48,13.52,13.52,13.56,13.6,13.66,13.700000000000001,13.74,13.34,13.4,13.44,13.48,13.48,13.52,13.58,13.620000000000001,13.66,13.700000000000001,13.700000000000001,13.36,13.4,13.44,13.44,13.48,13.540000000000001,13.58,13.620000000000001,13.66,13.66,13.72
2021-08-04 05:00:00,26.48,26.52,26.560000000000002,26.62,26.62,26.66,26.7,26.740000000000002,26.8,26.84,26.84,26.5,26.54,26.580000000000002,26.580000000000002,26.62,26.66,26.72,26.76,26.8,26.8,26.84,26.5,26.5,26.54,26.6,26.64,26.68,26.72,26.72,26.78,26.82,26.86,26.48,26.52,26.560000000000002,26.6,26.66,26.7,26.7,26.740000000000002,26.78,26.84,26.88,26.48,26.52,26.580000000000002,26.62,26.66,26.66,26.7,26.76,26.8,26.84,26.88,26.5,26.54,26.580000000000002,26.580000000000002,26.64,26.68,26.72,26.76,26.82,26.82,26.86,26.52,26.560000000000002,26.560000000000002,26.6,26.64,26.7,26.740000000000002,26.78,26.78,26.82,26.88,26.52,26.52,26.580000000000002,26.62,26.66,26.7,26.76,26.76,26.8,26.84,26.88,26.5,26.54,26.580000000000002,26.62,26.68,26.68,26.72,26.76,26.8,26.86,26.900000000000002,26.52,26.560000000000002,26.6,26.64,26.64,26.68,26.740000000000002,26.78,26.82,26.86,26.86,26.52,26.580000000000002,26.62,26.62,26.66,26.7,26.740000000000002,26.8,26.84,26.84,26.88
2021-06-18 06:00:00,40.34,40.38,40.42,40.480000000000004,40.480000000000004,40.52,40.56,40.6,40.64,40.7,40.7,40.34,40.38,40.44,40.44,40.480000000000004,40.52,40.56,40.6,40.660000000000004,40.660000000000004,40.7,40.34,40.34,40.38,40.44,40.480000000000004,40.52,40.56,40.56,40.6,40.660000000000004,40.7,40.300000000000004,40.34,40.4,40.44,40.480000000000004,40.52,40.52,40.56,40.62,40.660000000000004,40.7,40.300000000000004,40.34,40.4,40.44,40.480000000000004,40.480000000000004,40.52,40.56,40.62,40.660000000000004,40.7,40.300000000000004,40.36,40.4,40.4,40.44,40.480000000000004,40.52,40.56,40.62,40.62,40.660000000000004,40.300000000000004,40.36,40.36,40.4,40.44,40.480000000000004,40.52,40.58,40.58,40.62,40.660000000000004,40.32,40.32,40.36,40.4,40.44,40.480000000000004,40.54,40.54,40.58,40.62,40.660000000000004,40.26,40.300000000000004,40.36,40.4,40.44,40.44,40.480000000000004,40.52,40.58,40.62,40.660000000000004,40.26,40.32,40.36,40.4,40.4,40.44,40.480000000000004,40.54,40.58,40.62,40.62,40.28,40.32,40.36,40.36,40.4,40.44,40.5,40.54,40.58,40.58,40.62
2021-06-28 01:00:00,29.12,29.080000000000002,29.02,28.98,28.98,28.94,28.900000000000002,28.86,28.8,28.76,28.76,29.1,29.060000000000002,29.02,29.02,28.96,28.92,28.88,28.84,28.78,28.78,28.740000000000002,29.080000000000002,29.080000000000002,29.04,29.0,28.96,28.900000000000002,28.86,28.86,28.82,28.78,28.72,29.12,29.080000000000002,29.02,28.98,28.94,28.900000000000002,28.900000000000002,28.84,28.8,28.76,28.72,29.1,29.060000000000002,29.02,28.98,28.92,28.92,28.88,28.84,28.8,28.740000000000002,28.7,29.080000000000002,29.04,29.0,29.0,28.96,28.92,28.86,28.82,28.78,28.78,28.740000000000002,29.080000000000002,29.02,29.02,28.98,28.94,28.900000000000002,28.84,28.8,28.8,28.76,28.72,29.060000000000002,29.060000000000002,29.02,28.96,28.92,28.88,28.84,28.84,28.78,28.740000000000002,28.7,29.080000000000002,29.04,29.0,28.96,28.900000000000002,28.900000000000002,28.86,28.82,28.78,28.740000000000002,28.68,29.080000000000002,29.02,28.98,28.94,28.94,28.900000000000002,28.84,28.8,28.76,28.72,28.72,29.060000000000002,29.02,28.96,28.96,28.92,28.88,28.84,28.78,28.740000000000002,28.740000000000002,28.7
