time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
2021-06-11 08:00:00,78.36,78.36,78.44,78.52,78.60000000000001,78.66,78.74,78.82000000000001,78.9,78.94,78.94,78.32000000000001,78.4,78.48,78.54,78.62,78.7,78.74,78.82000000000001,78.82000000000001,78.9,78.98,78.34,78.42,78.48,78.54,78.62,78.7,78.78,78.78,78.84,78.92,79.0,78.34,78.42,78.5,78.58,78.64,78.64,78.72,78.8,78.88,78.96000000000001,79.02,78.38,78.46000000000001,78.52,78.52,78.60000000000001,78.68,78.76,78.82000000000001,78.9,78.98,79.06,78.4,78.48,78.48,78.56,78.64,78.7,78.78,78.86,78.94,79.0,79.0,78.36,78.44,78.52,78.58,78.66,78.74,78.82000000000001,78.88,78.96000000000001,78.96000000000001,79.04,78.38,78.46000000000001,78.54,78.62,78.68,78.76,78.84,78.84,78.92,79.0,79.06,78.42,78.5,78.56,78.64,78.72,78.72,78.8,78.86,78.94,79.02,79.10000000000001,78.44,78.52,78.60000000000001,78.68,78.68,78.74,78.82000000000001,78.9,78.98,79.06,79.12,78.48,78.56,78.56,78.62,78.7,78.78,78.86,78.92,79.0,79.06,79.12
2021-06-17 01:00:00,31.66,31.66,31.62,31.6,31.560000000000002,31.54,31.5,31.48,31.46,31.36,31.36,31.740000000000002,31.720000000000002,31.68,31.66,31.64,31.6,31.5,31.48,31.48,31.46,31.42,31.82,31.78,31.68,31.66,31.64,31.6,31.580000000000002,31.580000000000002,31.54,31.52,31.48,31.82,31.78,31.76,31.720000000000002,31.7,31.7,31.66,31.64,31.62,31.580000000000002,31.560000000000002,31.88,31.86,31.82,31.82,31.8,31.76,31.740000000000002,31.7,31.68,31.66,31.62,31.94,31.92,31.92,31.88,31.86,31.82,31.8,31.78,31.740000000000002,31.720000000000002,31.720000000000002,32.04,32.02,31.98,31.96,31.92,31.900000000000002,31.86,31.84,31.82,31.82,31.78,32.1,32.08,32.04,32.02,32.0,31.96,31.94,31.94,31.900000000000002,31.88,31.86,32.18,32.14,32.12,32.08,32.06,32.06,32.02,32.0,31.98,31.94,31.92,32.24,32.2,32.18,32.160000000000004,32.160000000000004,32.12,32.1,32.06,32.04,32.02,31.98,32.3,32.28,32.28,32.24,32.22,32.2,32.160000000000004,32.14,32.1,32.02,31.98
2021-07-23 03:00:00,40.24,40.24,40.26,40.300000000000004,40.32,40.36,40.38,40.4,40.44,40.38,40.38,40.300000000000004,40.34,40.36,40.4,40.42,40.44,40.38,40.4,40.4,40.44,40.46,40.4,40.42,40.36,40.4,40.42,40.44,40.480000000000004,40.480000000000004,40.5,40.54,40.56,40.4,40.42,40.46,40.480000000000004,40.52,40.52,40.54,40.56,40.6,40.62,40.660000000000004,40.5,40.52,40.54,40.54,40.58,40.6,40.64,40.660000000000004,40.68,40.72,40.74,40.58,40.62,40.62,40.64,40.68,40.7,40.72,40.76,40.78,40.82,40.82,40.660000000000004,40.68,40.72,40.74,40.76,40.800000000000004,40.82,40.84,40.88,40.88,40.9,40.74,40.78,40.800000000000004,40.82,40.86,40.88,40.92,40.92,40.94,40.96,41.0,40.84,40.86,40.9,40.92,40.96,40.96,40.980000000000004,41.0,41.04,41.06,41.1,40.94,40.96,41.0,41.02,41.02,41.04,41.08,41.1,41.12,41.160000000000004,41.18,41.04,41.06,41.06,41.08,41.12,41.14,41.160000000000004,41.2,41.22,41.160000000000004,41.18
2021-08-11 22:00:00,54.480000000000004,54.480000000000004,54.4,54.32,54.24,54.18,54.1,54.02,53.94,53.9,53.9,54.52,54.44,54.38,54.300000000000004,54.22,54.14,54.1,54.02,54.02,53.94,53.88,54.5,54.42,54.38,54.300000000000004,54.22,54.14,54.08,54.08,54.0,53.92,53.84,54.5,54.42,54.36,54.28,54.2,54.2,54.120000000000005,54.06,53.980000000000004,53.9,53.82,54.480000000000004,54.4,54.32,54.32,54.26,54.18,54.1,54.04,53.96,53.88,53.800000000000004,54.46,54.38,54.38,54.300000000000004,54.24,54.160000000000004,54.08,54.0,53.94,53.86,53.86,54.5,54.44,54.36,54.28,54.2,54.14,54.06,53.980000000000004,53.9,53.9,53.84,54.480000000000004,54.42,54.34,54.26,54.18,54.120000000000005,54.04,54.04,53.96,53.9,53.82,54.46,54.38,54.32,54.24,54.160000000000004,54.160000000000004,54.1,54.02,53.94,53.86,53.800000000000004,54.44,54.36,54.300000000000004,54.22,54.22,54.14,54.06,54.0,53.92,53.84,53.78,54.42,54.34,54.34,54.26,54.2,54.120000000000005,54.04,53.980000000000004,53.9,53.84,53.78
2021-08-14 09:00:00,92.86,92.86,92.94,93.0,93.08,93.16,93.24,93.3,93.38,93.44,93.44,92.8,92.88,92.96000000000001,93.02,93.10000000000001,93.18,93.24,93.3,93.3,93.38,93.46000000000001,92.82000000000001,92.9,92.96000000000001,93.02,93.10000000000001,93.18,93.26,93.26,93.32000000000001,93.4,93.48,92.82000000000001,92.9,92.98,93.04,93.12,93.12,93.2,93.26,93.34,93.42,93.5,92.84,92.92,93.0,93.0,93.06,93.14,93.22,93.28,93.36,93.44,93.52,92.86,92.94,92.94,93.02,93.08,93.16,93.24,93.3,93.38,93.46000000000001,93.46000000000001,92.8,92.88,92.96000000000001,93.02,93.10000000000001,93.18,93.26,93.32000000000001,93.4,93.4,93.48,92.82000000000001,92.9,92.98,93.04,93.12,93.2,93.28,93.28,93.34,93.42,93.5,92.84,92.92,93.0,93.06,93.14,93.14,93.22,93.28,93.36,93.44,93.52,92.86,92.94,93.02,93.08,93.08,93.16,93.24,93.3,93.38,93.46000000000001,93.54,92.88,92.96000000000001,92.96000000000001,93.04,93.10000000000001,93.18,93.26,93.32000000000001,93.4,93.46000000000001,93.54
2021-06-09 10:00:00,92.4,92.4,92.48,92.54,92.60000000000001,92.68,92.74,92.8,92.88,92.96000000000001,92.96000000000001,92.34,92.4,92.46000000000001,92.54,92.60000000000001,92.66,92.74,92.8,92.8,92.88,92.94,92.32000000000001,92.38,92.46000000000001,92.54,92.60000000000001,92.66,92.74,92.74,92.8,92.86,92.94,92.32000000000001,92.38,92.46000000000001,92.52,92.58,92.58,92.66,92.72,92.78,92.86,92.92,92.32000000000001,92.38,92.44,92.44,92.52,92.58,92.64,92.72,92.78,92.84,92.9,92.3,92.36,92.36,92.44,92.5,92.56,92.64,92.7,92.76,92.84,92.84,92.22,92.3,92.36,92.42,92.5,92.56,92.62,92.7,92.76,92.76,92.82000000000001,92.22,92.28,92.34,92.42,92.48,92.54,92.62,92.62,92.68,92.74,92.82000000000001,92.2,92.28,92.34,92.4,92.48,92.48,92.54,92.60000000000001,92.68,92.74,92.8,92.2,92.26,92.34,92.4,92.4,92.46000000000001,92.52,92.60000000000001,92.66,92.72,92.8,92.18,92.26,92.26,92.32000000000001,92.38,92.46000000000001,92.52,92.58,92.66,92.72,92.8
2021-06-11 22:00:00,46.96,46.96,46.88,46.800000000000004,46.74,46.660000000000004,46.58,46.5,46.44,46.38,46.38,47.0,46.94,46.86,46.78,46.7,46.62,46.58,46.5,46.5,46.44,46.36,46.980000000000004,46.9,46.86,46.78,46.7,46.62,46.56,46.56,46.480000000000004,46.4,46.32,46.980000000000004,46.9,46.82,46.76,46.68,46.68,46.6,46.52,46.44,46.38,46.300000000000004,46.94,46.88,46.800000000000004,46.800000000000004,46.72,46.64,46.58,46.5,46.42,46.34,46.26,46.92,46.84,46.84,46.76,46.7,46.62,46.54,46.46,46.4,46.32,46.32,46.96,46.88,46.82,46.74,46.660000000000004,46.58,46.52,46.44,46.36,46.36,46.28,46.94,46.86,46.78,46.72,46.64,46.56,46.480000000000004,46.480000000000004,46.4,46.34,46.26,46.9,46.84,46.76,46.68,46.6,46.6,46.54,46.46,46.38,46.300000000000004,46.22,46.88,46.800000000000004,46.72,46.660000000000004,46.660000000000004,46.58,46.5,46.42,46.36,46.28,46.2,46.84,46.78,46.78,46.7,46.62,46.54,46.480000000000004,46.4,46.32,46.28,46.2
2021-07-16 04:00:00,45.74,45.74,45.78,45.84,45.88,45.94,45.980000000000004,46.02,46.08,46.04,46.04,45.78,45.82,45.88,45.92,45.980000000000004,46.02,45.980000000000004,46.02,46.02,46.08,46.12,45.86,45.92,45.88,45.92,45.980000000000004,46.02,46.06,46.06,46.12,46.160000000000004,46.22,45.86,45.92,45.96,46.0,46.06,46.06,46.1,46.160000000000004,46.2,46.26,46.300000000000004,45.96,46.0,46.04,46.04,46.1,46.14,46.2,46.24,46.300000000000004,46.34,46.4,46.04,46.1,46.1,46.14,46.18,46.24,46.28,46.34,46.38,46.44,46.44,46.08,46.14,46.18,46.22,46.28,46.32,46.38,46.42,46.480000000000004,46.480000000000004,46.52,46.18,46.22,46.26,46.32,46.36,46.42,46.46,46.46,46.52,46.56,46.62,46.26,46.300000000000004,46.36,46.4,46.46,46.46,46.5,46.56,46.6,46.660000000000004,46.7,46.36,46.4,46.44,46.5,46.5,46.54,46.6,46.64,46.7,46.74,46.800000000000004,46.44,46.480000000000004,46.480000000000004,46.54,46.58,46.64,46.68,46.74,46.78,46.74,46.800000000000004
2021-06-07 04:00:00,45.44,45.44,45.480000000000004,45.54,45.6,45.64,45.7,45.74,45.800000000000004,45.76,45.76,45.480000000000004,45.52,45.58,45.62,45.68,45.72,45.7,45.74,45.74,45.800000000000004,45.86,45.56,45.6,45.58,45.62,45.68,45.72,45.78,45.78,45.84,45.88,45.94,45.56,45.6,45.660000000000004,45.72,45.76,45.76,45.82,45.86,45.92,45.980000000000004,46.02,45.64,45.7,45.74,45.74,45.800000000000004,45.86,45.9,45.96,46.0,46.06,46.12,45.74,45.78,45.78,45.84,45.88,45.94,46.0,46.04,46.1,46.14,46.14,45.76,45.82,45.88,45.92,45.980000000000004,46.02,46.08,46.14,46.18,46.18,46.24,45.86,45.9,45.96,46.0,46.06,46.12,46.160000000000004,46.160000000000004,46.22,46.26,46.32,45.94,46.0,46.04,46.1,46.14,46.14,46.2,46.26,46.300000000000004,46.36,46.4,46.04,46.08,46.14,46.18,46.18,46.24,46.28,46.34,46.4,46.44,46.5,46.12,46.18,46.18,46.22,46.28,46.32,46.38,46.42,46.480000000000004,46.44,46.5
2021-08-04 05:00:00,57.02,57.02,57.08,57.14,57.2,57.26,57.32,57.38,57.44,57.42,57.42,57.04,57.1,57.160000000000004,57.22,57.28,57.34,57.32,57.38,57.38,57.44,57.52,57.120000000000005,57.18,57.160000000000004,57.22,57.28,57.34,57.4,57.4,57.480000000000004,57.54,57.6,57.120000000000005,57.18,57.24,57.300000000000004,57.36,57.36,57.42,57.480000000000004,57.54,57.620000000000005,57.68,57.22,57.28,57.34,57.34,57.4,57.46,57.52,57.58,57.64,57.7,57.76,57.300000000000004,57.36,57.36,57.42,57.480000000000004,57.54,57.6,57.660000000000004,57.72,57.78,57.78,57.32,57.38,57.44,57.5,57.56,57.620000000000005,57.68,57.74,57.800000000000004,57.800000000000004,57.86,57.4,57.46,57.52,57.58,57.64,57.7,57.76,57.76,57.82,57.88,57.94,57.480000000000004,57.54,57.6,57.660000000000004,57.72,57.72,57.78,57.84,57.9,57.96,58.02,57.56,57.620000000000005,57.68,57.74,57.74,57.800000000000004,57.86,57.92,57.980000000000004,58.04,58.1,57.64,57.7,57.7,57.76,57.82,57.88,57.94,58.0,58.06,58.04,58.1
