Category,ID,Latitude,Longitude,Date,MODIS_Tile,MCD43A1_061_Line_Y_500m,MCD43A1_061_Sample_X_500m,MCD43A1_061_BRDF_Albedo_Parameters_Band1_0,MCD43A1_061_BRDF_Albedo_Parameters_Band1_1,MCD43A1_061_BRDF_Albedo_Parameters_Band1_2,MCD43A1_061_BRDF_Albedo_Parameters_Band2_0,MCD43A1_061_BRDF_Albedo_Parameters_Band2_1,MCD43A1_061_BRDF_Albedo_Parameters_Band2_2,MCD43A1_061_BRDF_Albedo_Parameters_Band3_0,MCD43A1_061_BRDF_Albedo_Parameters_Band3_1,MCD43A1_061_BRDF_Albedo_Parameters_Band3_2,MCD43A1_061_BRDF_Albedo_Parameters_Band4_0,MCD43A1_061_BRDF_Albedo_Parameters_Band4_1,MCD43A1_061_BRDF_Albedo_Parameters_Band4_2,MCD43A1_061_BRDF_Albedo_Parameters_Band5_0,MCD43A1_061_BRDF_Albedo_Parameters_Band5_1,MCD43A1_061_BRDF_Albedo_Parameters_Band5_2,MCD43A1_061_BRDF_Albedo_Parameters_Band6_0,MCD43A1_061_BRDF_Albedo_Parameters_Band6_1,MCD43A1_061_BRDF_Albedo_Parameters_Band6_2,MCD43A1_061_BRDF_Albedo_Parameters_Band7_0,MCD43A1_061_BRDF_Albedo_Parameters_Band7_1,MCD43A1_061_BRDF_Albedo_Parameters_Band7_2,MCD43A1_061_BRDF_Albedo_Parameters_nir_0,MCD43A1_061_BRDF_Albedo_Parameters_nir_1,MCD43A1_061_BRDF_Albedo_Parameters_nir_2,MCD43A1_061_BRDF_Albedo_Parameters_shortwave_0,MCD43A1_061_BRDF_Albedo_Parameters_shortwave_1,MCD43A1_061_BRDF_Albedo_Parameters_shortwave_2,MCD43A1_061_BRDF_Albedo_Parameters_vis_0,MCD43A1_061_BRDF_Albedo_Parameters_vis_1,MCD43A1_061_BRDF_Albedo_Parameters_vis_2,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band1,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band2,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band3,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band4,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band5,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band6,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band7,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_nir,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_shortwave,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_vis,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band1_bitmask,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band1_MODLAND,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band1_MODLAND_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band1_Fill,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band1_Fill_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band2_bitmask,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band2_MODLAND,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band2_MODLAND_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band2_Fill,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band2_Fill_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band3_bitmask,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band3_MODLAND,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band3_MODLAND_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band3_Fill,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band3_Fill_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band4_bitmask,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band4_MODLAND,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band4_MODLAND_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band4_Fill,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band4_Fill_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band5_bitmask,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band5_MODLAND,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band5_MODLAND_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band5_Fill,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band5_Fill_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band6_bitmask,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band6_MODLAND,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band6_MODLAND_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band6_Fill,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band6_Fill_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band7_bitmask,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band7_MODLAND,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band7_MODLAND_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band7_Fill,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_Band7_Fill_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_nir_bitmask,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_nir_MODLAND,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_nir_MODLAND_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_nir_Fill,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_nir_Fill_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_shortwave_bitmask,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_shortwave_MODLAND,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_shortwave_MODLAND_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_shortwave_Fill,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_shortwave_Fill_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_vis_bitmask,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_vis_MODLAND,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_vis_MODLAND_Description,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_vis_Fill,MCD43A1_061_BRDF_Albedo_Band_Mandatory_Quality_vis_Fill_Description
BJC,7,40.0001,116.3333,2021-01-01,h26v04,2399,2187,0.182,0.087,0.051,0.279,0.106,0.082,0.095,0.004,0.018,0.154,0.087,0.04,0.301,0.155,0.095,0.234,0.008,0.055,0.234,0.096,0.07,0.256,0.104,0.078,0.195,0.07,0.055,0.135,0.051,0.034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,
BJC,7,40.0001,116.3333,2021-01-02,h26v04,2399,2187,0.18,0.086,0.05,0.278,0.106,0.081,0.092,0.004,0.018,0.151,0.085,0.039,0.301,0.155,0.095,0.234,0.008,0.055,0.234,0.096,0.07,0.256,0.104,0.078,0.194,0.069,0.054,0.133,0.05,0.033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,
BJC,7,40.0001,116.3333,2021-01-03,h26v04,2399,2187,0.179,0.086,0.05,0.278,0.106,0.082,0.093,0.004,0.018,0.15,0.085,0.039,0.301,0.155,0.095,0.237,0.008,0.056,0.233,0.096,0.07,0.256,0.104,0.078,0.195,0.07,0.054,0.133,0.05,0.033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,
BJC,7,40.0001,116.3333,2021-01-04,h26v04,2399,2187,0.179,0.086,0.05,0.278,0.106,0.081,0.093,0.004,0.018,0.15,0.085,0.039,0.301,0.155,0.095,0.237,0.008,0.056,0.233,0.096,0.07,0.256,0.104,0.078,0.195,0.069,0.054,0.133,0.05,0.033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,
BJC,7,40.0001,116.3333,2021-01-05,h26v04,2399,2187,0.179,0.086,0.05,0.278,0.106,0.082,0.093,0.004,0.018,0.15,0.085,0.039,0.301,0.155,0.095,0.237,0.008,0.056,0.233,0.096,0.07,0.256,0.104,0.078,0.195,0.07,0.054,0.133,0.05,0.033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,
BJC,7,40.0001,116.3333,2021-01-06,h26v04,2399,2187,0.179,0.086,0.05,0.278,0.106,0.082,0.094,0.004,0.018,0.15,0.085,0.039,0.301,0.155,0.095,0.237,0.008,0.056,0.233,0.096,0.07,0.256,0.104,0.078,0.195,0.07,0.054,0.133,0.05,0.034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,
BJC,7,40.0001,116.3333,2021-01-07,h26v04,2399,2187,0.179,0.086,0.05,0.278,0.106,0.082,0.094,0.004,0.018,0.15,0.085,0.039,0.301,0.155,0.095,0.237,0.008,0.056,0.233,0.096,0.07,0.256,0.104,0.078,0.195,0.07,0.054,0.133,0.05,0.034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,
BJC,7,40.0001,116.3333,2021-01-08,h26v04,2399,2187,0.179,0.086,0.05,0.278,0.106,0.081,0.094,0.004,0.018,0.15,0.085,0.039,0.301,0.155,0.095,0.237,0.008,0.056,0.233,0.096,0.07,0.256,0.104,0.078,0.195,0.069,0.054,0.133,0.05,0.034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,
BJC,7,40.0001,116.3333,2021-01-09,h26v04,2399,2187,0.178,0.085,0.05,0.275,0.105,0.081,0.093,0.004,0.018,0.148,0.084,0.039,0.3,0.155,0.095,0.236,0.008,0.056,0.232,0.096,0.07,0.254,0.103,0.077,0.194,0.069,0.054,0.132,0.049,0.033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,
BJC,7,40.0001,116.3333,2021-01-10,h26v04,2399,2187,0.178,0.085,0.05,0.275,0.105,0.081,0.093,0.004,0.018,0.148,0.084,0.039,0.3,0.155,0.095,0.237,0.008,0.056,0.232,0.096,0.07,0.254,0.103,0.077,0.194,0.069,0.054,0.132,0.049,0.033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, see other QA (magnitude BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,,0b00000001,0b001,"Processed, good quality (full BRDF inversions)",0b00000,
