time,invalid,thin_or_unclassified,ice,water,valid,optically_thick
2021-04-01 00:00:00,121,0,0,0,0,0
2021-04-01 01:00:00,0,34,0,87,121,0
2021-04-01 02:00:00,0,10,0,111,121,2
2021-04-01 03:00:00,0,25,0,96,121,98
2021-04-01 04:00:00,0,0,0,121,121,96
2021-04-01 05:00:00,0,56,30,35,121,121
2021-04-01 06:00:00,0,68,50,3,121,121
2021-04-01 07:00:00,0,99,18,4,121,65
2021-04-01 08:00:00,0,0,121,0,121,0
2021-04-01 09:00:00,121,0,0,0,0,0
2021-04-01 10:00:00,121,0,0,0,0,0
2021-04-01 23:00:00,121,0,0,0,0,0
2021-04-02 00:00:00,121,0,0,0,0,0
2021-04-02 01:00:00,0,0,121,0,121,0
2021-04-02 02:00:00,0,16,105,0,121,41
2021-04-02 03:00:00,0,0,121,0,121,121
2021-04-02 04:00:00,0,29,92,0,121,121
2021-04-02 05:00:00,0,16,102,3,121,87
2021-04-02 06:00:00,0,46,66,9,121,69
2021-04-02 07:00:00,0,52,45,24,121,2
2021-04-02 08:00:00,0,6,0,115,121,0
2021-04-02 09:00:00,121,0,0,0,0,0
2021-04-02 10:00:00,121,0,0,0,0,0
2021-04-02 23:00:00,121,0,0,0,0,0
2021-04-03 01:00:00,0,121,0,0,121,0
2021-04-03 08:00:00,0,121,0,0,121,0
2021-04-03 09:00:00,121,0,0,0,0,0
2021-04-03 10:00:00,121,0,0,0,0,0
2021-04-03 23:00:00,121,0,0,0,0,0
2021-04-04 00:00:00,121,0,0,0,0,0
2021-04-04 10:00:00,121,0,0,0,0,0
2021-04-04 23:00:00,121,0,0,0,0,0
2021-04-05 00:00:00,121,0,0,0,0,0
2021-04-05 01:00:00,0,118,3,0,121,0
2021-04-05 02:00:00,0,96,25,0,121,0
2021-04-05 03:00:00,0,109,12,0,121,0
2021-04-05 04:00:00,0,100,21,0,121,0
2021-04-05 05:00:00,0,16,105,0,121,22
2021-04-05 06:00:00,0,0,121,0,121,3
2021-04-05 07:00:00,0,0,121,0,121,0
2021-04-05 08:00:00,0,0,121,0,121,0
2021-04-05 09:00:00,121,0,0,0,0,0
2021-04-05 10:00:00,121,0,0,0,0,0
2021-04-05 23:00:00,121,0,0,0,0,0
2021-04-06 00:00:00,121,0,0,0,0,0
2021-04-06 01:00:00,0,121,0,0,121,0
2021-04-06 07:00:00,0,119,0,2,121,0
2021-04-06 08:00:00,0,121,0,0,121,0
2021-04-06 09:00:00,121,0,0,0,0,0
2021-04-06 10:00:00,121,0,0,0,0,0
2021-04-06 23:00:00,121,0,0,0,0,0
2021-04-07 00:00:00,121,0,0,0,0,0
2021-04-07 01:00:00,0,121,0,0,121,0
2021-04-07 07:00:00,0,121,0,0,121,0
2021-04-07 08:00:00,0,121,0,0,121,0
2021-04-07 09:00:00,121,0,0,0,0,0
2021-04-07 10:00:00,121,0,0,0,0,0
2021-04-07 23:00:00,121,0,0,0,0,0
2021-04-08 00:00:00,121,0,0,0,0,0
2021-04-08 01:00:00,0,121,0,0,121,0
2021-04-08 08:00:00,0,121,0,0,121,0
2021-04-08 09:00:00,121,0,0,0,0,0
2021-04-08 10:00:00,121,0,0,0,0,0
2021-04-08 23:00:00,121,0,0,0,0,0
2021-04-09 00:00:00,68,36,2,15,53,0
2021-04-09 01:00:00,0,94,0,27,121,0
2021-04-09 02:00:00,0,92,4,25,121,0
2021-04-09 03:00:00,0,43,0,78,121,4
2021-04-09 04:00:00,0,0,0,121,121,12
2021-04-09 05:00:00,0,5,0,116,121,0
2021-04-09 06:00:00,0,28,0,93,121,0
2021-04-09 07:00:00,0,59,0,62,121,0
2021-04-09 08:00:00,0,94,0,27,121,0
2021-04-09 09:00:00,121,0,0,0,0,0
2021-04-09 10:00:00,121,0,0,0,0,0
2021-04-09 23:00:00,121,0,0,0,0,0
2021-04-10 00:00:00,0,59,0,62,121,0
2021-04-10 01:00:00,0,66,55,0,121,0
2021-04-10 02:00:00,0,87,32,2,121,0
2021-04-10 03:00:00,0,118,3,0,121,0
2021-04-10 05:00:00,0,76,43,2,121,0
2021-04-10 07:00:00,0,121,0,0,121,0
2021-04-10 08:00:00,0,111,0,10,121,0
2021-04-10 09:00:00,121,0,0,0,0,0
2021-04-10 10:00:00,121,0,0,0,0,0
2021-04-10 23:00:00,121,0,0,0,0,0
2021-04-11 00:00:00,0,113,8,0,121,0
2021-04-11 01:00:00,0,32,89,0,121,0
2021-04-11 02:00:00,0,0,121,0,121,38
2021-04-11 03:00:00,0,0,121,0,121,37
2021-04-11 04:00:00,0,0,121,0,121,121
2021-04-11 05:00:00,0,5,116,0,121,78
2021-04-11 06:00:00,0,2,119,0,121,62
2021-04-11 07:00:00,0,0,121,0,121,37
2021-04-11 08:00:00,0,1,120,0,121,0
2021-04-11 09:00:00,121,0,0,0,0,0
2021-04-11 10:00:00,121,0,0,0,0,0
2021-04-11 23:00:00,121,0,0,0,0,0
2021-04-12 00:00:00,0,2,0,119,121,0
2021-04-12 01:00:00,0,0,0,121,121,0
2021-04-12 02:00:00,0,0,0,121,121,114
2021-04-12 03:00:00,0,0,0,121,121,78
2021-04-12 04:00:00,0,30,0,91,121,64
2021-04-12 05:00:00,0,5,0,116,121,121
2021-04-12 06:00:00,0,38,0,83,121,121
2021-04-12 07:00:00,0,22,99,0,121,111
2021-04-12 09:00:00,121,0,0,0,0,0
2021-04-12 10:00:00,121,0,0,0,0,0
2021-04-12 23:00:00,121,0,0,0,0,0
2021-04-13 00:00:00,0,120,1,0,121,0
2021-04-13 01:00:00,0,121,0,0,121,0
2021-04-13 10:00:00,121,0,0,0,0,0
2021-04-13 23:00:00,121,0,0,0,0,0
2021-04-14 00:00:00,0,121,0,0,121,0
2021-04-14 01:00:00,0,121,0,0,121,0
2021-04-14 09:00:00,121,0,0,0,0,0
2021-04-14 10:00:00,121,0,0,0,0,0
2021-04-14 23:00:00,121,0,0,0,0,0
2021-04-15 00:00:00,0,116,5,0,121,0
2021-04-15 01:00:00,0,121,0,0,121,0
2021-04-15 03:00:00,0,92,0,29,121,0
2021-04-15 05:00:00,0,32,0,89,121,0
2021-04-15 06:00:00,0,75,44,2,121,59
2021-04-15 07:00:00,0,23,98,0,121,95
2021-04-15 08:00:00,0,59,56,6,121,65
2021-04-15 09:00:00,121,0,0,0,0,0
2021-04-15 10:00:00,121,0,0,0,0,0
2021-04-15 23:00:00,121,0,0,0,0,0
2021-04-16 00:00:00,0,44,0,77,121,0
2021-04-16 01:00:00,0,31,0,90,121,0
2021-04-16 02:00:00,0,88,0,33,121,0
2021-04-16 03:00:00,0,73,21,27,121,13
