channel,feature,importance
C01,log1p_COD,0.20615652697727774
C01,tpw,0.0035411046940334555
C01,cos_th0,0.1052223266390527
C01,alb_C01,0.027192812254207378
C02,log1p_COD,0.17360172729606535
C02,tpw,0.012836961437595763
C02,cos_th0,0.1061553600403307
C02,alb_C02,0.04056662789272607
C03,log1p_COD,0.17289362627110955
C03,tpw,0.03104816596647228
C03,cos_th0,0.11618928682452986
C03,alb_C03,0.05372480032558583
C05,log1p_COD,0.18178177751689603
C05,tpw,0.003354700380322513
C05,cos_th0,0.1047618676101391
C05,alb_C05,0.04290152125250331
C06,log1p_COD,0.11578244373998173
C06,tpw,0.04041712028272645
C06,cos_th0,0.06567033665690497
C06,alb_C06,0.02887346940140282
