AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06,C01_rad,C02_rad,C03_rad,C05_rad,C06_rad,C01,C02,C03,C05,C06
0,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,0.013735,0.023839,0.126622,0.081469,0.041332,11.429929408861627,28.691249904686185,18.51401347288559,1.0934816881716647,1.1031441196600897,0.11365871341610982,0.09763233528003716,0.12675531686338687,0.07846335691096956,0.0605977155107963
1,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,0.032169,0.051783,0.239896,0.170084,0.079692,13.079936850499745,45.0683954694537,31.65663898601956,1.7707561640091747,1.5385408818230681,0.13006631456876414,0.1533614851783899,0.21673568032017557,0.12706154515606233,0.08451485258986052
2,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,0.045682,0.078521,0.305128,0.209253,0.112486,14.761662149338234,55.22211892245198,39.04275130331306,2.1693610631226967,1.979409877506725,0.14678931669309156,0.18791319469948642,0.26730434867175923,0.15566365052638592,0.10873258942210741
3,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,0.06565,0.112386,0.354232,0.259652,0.180991,16.94198380484313,64.16499899520069,44.75351919439114,2.79683357896795,2.834772541547355,0.16847033897533242,0.2183445725074347,0.3064028507133068,0.20068827279044069,0.15571921832247462
4,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,0.100162,0.201559,0.454122,0.368143,0.289324,22.90691813710449,83.73234751886193,56.36065115897424,3.9570367991423754,4.265721149878774,0.2277853826265015,0.28492953962981177,0.38587053027401347,0.28393926852134577,0.23432383138514112
0,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.013735,0.023839,0.126622,0.081469,0.041332,11.412488160525776,28.49266031273843,18.093493988986914,1.0838557068177743,1.078054096903149,0.11348527841268043,0.0969565625030205,0.12387625012257085,0.07777263952744255,0.059219474867449544
1,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.032169,0.051783,0.239896,0.170084,0.079692,13.157230859671447,44.57884068581873,30.96845482139765,1.7686296653817055,1.5015434059263555,0.13083492278347608,0.1516955982988508,0.21202406001295435,0.1269089571222775,0.08248251385999689
2,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.045682,0.078521,0.305128,0.209253,0.112486,14.841946677835413,54.60292227803891,38.220004324469386,2.2203862536888535,1.947187371476063,0.14758766249994612,0.18580615458821761,0.26167145042662954,0.15932499006425854,0.10696254848303897
3,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.06565,0.112386,0.354232,0.259652,0.180991,16.953711052943884,63.507670001793464,43.74790295112101,2.868761071470944,2.797103200565757,0.16858695421269423,0.21610777331301753,0.29951794670557486,0.20584946805966362,0.15364997281991472
4,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.100162,0.201559,0.454122,0.368143,0.289324,22.90770324656724,82.82307598247901,55.283306843511504,3.9847077215943454,4.226347860612176,0.22779318972033688,0.2818354149822051,0.3784945434153324,0.28592481019789173,0.2321609849000991
0,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.013735,0.023839,0.126622,0.081469,0.041332,11.495282635240853,28.519640995575244,18.012000850187626,1.0819946785573935,1.0568161625024197,0.11430858301391292,0.09704837401634107,0.12331831120533801,0.07763910046026364,0.058052836452834336
1,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.032169,0.051783,0.239896,0.170084,0.079692,13.2202030789011,44.636696344374734,30.752421911472567,1.7838636652616864,1.487534574219995,0.13146111575130406,0.15189247306285555,0.2105450009212789,0.12800208084139825,0.08171298322184035
2,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.045682,0.078521,0.305128,0.209253,0.112486,14.96369460280795,54.70470548599013,37.94256824754413,2.2496332659581513,1.9351719633013407,0.14879831849076364,0.18615250869679023,0.2597719974586657,0.1614236248992894,0.10630252022984729
3,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.06565,0.112386,0.354232,0.259652,0.180991,17.06937564711296,63.47035324591033,43.60292471778447,2.8833737488848703,2.789846724942457,0.16973711783057813,0.21598078957985675,0.29852536009372105,0.20689800845659595,0.15325136139861897
4,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.100162,0.201559,0.454122,0.368143,0.289324,23.135883470097767,83.22756969327335,55.147814913217026,4.080920405602992,4.2061455965944825,0.23006220378908282,0.28321185085454015,0.37756690432821277,0.29282860222879004,0.23105123774576045
0,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,0.013735,0.023839,0.126622,0.081469,0.041332,11.410487285375183,28.528102996123565,18.260585712156107,1.0847008051608544,1.070388574544091,0.11346538179852056,0.09707716902797069,0.12502023569580048,0.07783328000604886,0.058798393764013156
1,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,0.032169,0.051783,0.239896,0.170084,0.079692,13.106586914833777,44.846459030209694,31.217033186085715,1.7894715031835071,1.5113936248945785,0.13033132163191485,0.15260626632528623,0.213725940020094,0.12840447421763704,0.08302360432688832
2,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,0.045682,0.078521,0.305128,0.209253,0.112486,14.77529384501646,54.86007906920414,38.48811296731349,2.211994448535293,1.9434847948724885,0.14692486967308335,0.18668122340320437,0.26350704355867993,0.15872283164678008,0.10675915920716678
3,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,0.06565,0.112386,0.354232,0.259652,0.180991,16.934348746537157,63.65905922124399,44.14810280545722,2.851190590306602,2.793140378212887,0.1683944162926218,0.2166229297833797,0.30225789606444076,0.20458868889014653,0.1534322877710808
4,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,0.100162,0.201559,0.454122,0.368143,0.289324,22.830743906092724,83.10525049017753,55.668823059197614,3.9613899116026903,4.220615050899554,0.2270279094363743,0.2827956156090381,0.38113396193724464,0.2842516284084312,0.2318460712221383
0,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.013735,0.023839,0.126622,0.081469,0.041332,11.3699449007702,27.974316212350182,17.470027541918064,1.0579333334876255,1.0177582806910628,0.11306223011593441,0.09519270958034706,0.1196077166051009,0.07591256591799446,0.055907315873720706
1,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.032169,0.051783,0.239896,0.170084,0.079692,13.149243635583144,43.770085904006805,29.853621409798507,1.7652994762160847,1.4470778319633972,0.1307554981797739,0.14894351819500357,0.204391405832158,0.12666999763725859,0.07949062069090077
2,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.045682,0.078521,0.305128,0.209253,0.112486,14.858535306882874,53.463736935193985,36.942955426052194,2.2099151947569373,1.8612528417749434,0.1477526190948145,0.18192966521573567,0.2529281955939603,0.15857363369213268,0.10224200826478799
3,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.06565,0.112386,0.354232,0.259652,0.180991,17.020726768439484,62.08848409657574,42.373325059479185,2.8953120235254026,2.704565112004363,0.1692533555288725,0.21127848094746293,0.2901069642374223,0.20775464566794927,0.14856668708723628
4,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.100162,0.201559,0.454122,0.368143,0.289324,22.855042936187292,81.40367460747271,53.37309009056995,4.011777651601113,4.076913015238169,0.22726953791884477,0.27700538940291075,0.36541633483827457,0.2878672273436488,0.22395225669678498
0,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,0.013735,0.023839,0.126622,0.081469,0.041332,11.531111415989347,28.01262789103766,17.2185726190529,1.056135303944857,0.9844878120515786,0.11466486282785336,0.09532307889751458,0.1178861423785664,0.07578354735711978,0.05407970844002695
1,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,0.032169,0.051783,0.239896,0.170084,0.079692,13.328292559702252,43.79183042708442,29.398482655732252,1.774403154664714,1.384267720109481,0.13253595277629474,0.14901751178450107,0.20127531989687628,0.12732323689955646,0.07604034685859525
2,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,0.045682,0.078521,0.305128,0.209253,0.112486,15.091482197672375,53.498432859056614,36.38941474555453,2.2241537755302048,1.8065541433488828,0.1500690326923377,0.18204773062183197,0.24913840552731625,0.15959533058674327,0.09923730914437334
3,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,0.06565,0.112386,0.354232,0.259652,0.180991,17.19418086955014,62.068200713511374,41.76859128444643,2.904656767696178,2.60967699741234,0.17097817545240593,0.2112094594143289,0.2859666830723184,0.20842518272864682,0.14335431014488811
4,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,0.100162,0.201559,0.454122,0.368143,0.289324,23.179585918540326,81.47846097195018,52.78555493999485,4.089678957796769,4.001020044781265,0.23049677900695462,0.27725987700576166,0.36139380324140646,0.2934570767741231,0.21978331761524975
0,0.12,0.5,0.0,1.0,300.0,10.0,0.1,5.60472200819694,0.013735,0.023839,0.126622,0.081469,0.041332,11.398256088974819,28.191306327190695,17.786139739022147,1.059987878089375,1.019503436796971,0.11334375532151647,0.09593109677905541,0.12177196379909759,0.07605999085260504,0.05600318047685193
1,0.12,0.5,0.0,1.0,300.0,10.0,0.1,5.60472200819694,0.032169,0.051783,0.239896,0.170084,0.079692,13.095442808353951,44.17634258296994,30.47288552426789,1.7747582307107015,1.4319882126902745,0.13022050512908614,0.1503259532029606,0.20863116827840716,0.12734871556904698,0.07866172042339929
2,0.12,0.5,0.0,1.0,300.0,10.0,0.1,5.60472200819694,0.045682,0.078521,0.305128,0.209253,0.112486,14.795626940991824,54.02089182039472,37.63667887374335,2.2182472752429767,1.8738001748620794,0.14712706108176646,0.18382558584434322,0.25767774034050783,0.15917150653450293,0.10293125612214661
3,0.12,0.5,0.0,1.0,300.0,10.0,0.1,5.60472200819694,0.06565,0.112386,0.354232,0.259652,0.180991,16.95135375837428,62.786452176310654,43.22423257516347,2.8807368774551527,2.6942470779760783,0.1685635133795675,0.21365356930373258,0.295932662265025,0.2067087983524339,0.14799989868712285
4,0.12,0.5,0.0,1.0,300.0,10.0,0.1,5.60472200819694,0.100162,0.201559,0.454122,0.368143,0.289324,22.787173985897113,82.2338676164279,54.6126410331974,3.9804406827435557,4.068080464971031,0.2265946520735391,0.2798304208137667,0.37390286169163134,0.28561862656818476,0.22346706862499632
0,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280876997,0.013735,0.023839,0.126622,0.081469,0.041332,11.353974101416373,27.290759389607693,16.597609446371678,1.0418284063930399,0.9264140562948319,0.11290341719226268,0.09286666072842684,0.11363474741069644,0.07475694835592948,0.05088961127386959
1,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280876997,0.032169,0.051783,0.239896,0.170084,0.079692,13.124856449334697,42.49170379631123,28.276823333059387,1.7519696466979133,1.2991770745262312,0.1305129930764013,0.14459336158038533,0.1935959324390248,0.12571350866962397,0.07136616273179903
2,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280876997,0.045682,0.078521,0.305128,0.209253,0.112486,14.824299968276662,51.7878948511626,35.09250031333914,2.1846669510781047,1.710173271556942,0.1474121843991872,0.1762270075494405,0.24025914225785186,0.15676193261238275,0.09394293233046243
3,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280876997,0.06565,0.112386,0.354232,0.259652,0.180991,17.065292518237165,60.12390801063192,40.225330568799826,2.9036670734297902,2.4764649626981035,0.1696965153773053,0.2045933016073087,0.2754008216343817,0.20835416669308235,0.13603673047568318
4,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280876997,0.100162,0.201559,0.454122,0.368143,0.289324,22.809263621420882,79.10838772197002,50.626592248873,4.022737791865754,3.7410205681956437,0.22681431043394124,0.269194847181372,0.34661256737322665,0.28865367800549446,0.20550107286200198
0,0.12,0.5,0.0,1.0,300.0,90.0,0.9,50.77481736061284,0.013735,0.023839,0.126622,0.081469,0.041332,11.545186775298,27.085832374586893,16.10135850487069,1.0490101689495528,0.8465221545083895,0.1148048275793986,0.09216932258160807,0.11023718883022794,0.07527227952682794,0.046501003611651305
1,0.12,0.5,0.0,1.0,300.0,90.0,0.9,50.77481736061284,0.032169,0.051783,0.239896,0.170084,0.079692,13.373895762819856,42.35987651593941,27.530350119678396,1.7577744486667521,1.1932389741617646,0.13298942901473781,0.1441447716695563,0.18848523891864297,0.12613003530523692,0.06554678994701893
2,0.12,0.5,0.0,1.0,300.0,90.0,0.9,50.77481736061284,0.045682,0.078521,0.305128,0.209253,0.112486,15.092878243298864,51.71161148168389,34.139391471054545,2.202704051641196,1.579030004246789,0.1500829149084128,0.17596742584665734,0.2337337276854788,0.1580561943036665,0.08673899382235013
