channel,feature,importance
C01,log1p_COD,0.21507984219197507
C01,tpw,0.0030588457624965947
C01,cos_th0,0.10633155283837115
C01,alb_C01,0.02536342363052412
C02,log1p_COD,0.18063239281338395
C02,tpw,0.012320132751446887
C02,cos_th0,0.1068492357944194
C02,alb_C02,0.03916067698602889
C03,log1p_COD,0.17916643392878312
C03,tpw,0.030088119673336293
C03,cos_th0,0.11599297285581438
C03,alb_C03,0.0530072834784695
C05,log1p_COD,0.1795906914688922
C05,tpw,0.0032630105866134455
C05,cos_th0,0.09454767261002225
C05,alb_C05,0.040195618730499
C06,log1p_COD,0.10682117182866598
C06,tpw,0.033955617573175195
C06,cos_th0,0.05494286039609263
C06,alb_C06,0.03179773767519132
