AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,theta_trunc_cld,re_um,escape,GHI,DNI,DHI,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06
0,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,1141.6216604507183,796.7861984015178,344.8354620492005,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,1113.695803571954,779.0390910932015,334.6567124787524,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,0.0,1.0,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,1080.6794687548138,758.1714688884693,322.5079998663446,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,0.0,1.0,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,1028.5469625205126,724.5849355327729,303.96202698773976,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,15.0,0.9659258262890684,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,1096.8796609834064,758.0249331419785,338.85472784142786,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,15.0,0.9659258262890684,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,1069.73244816973,740.8255393070383,328.90690886269147,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,15.0,0.9659258262890684,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,1038.576479040927,720.725023801104,317.8514552398231,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,15.0,0.9659258262890684,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,987.618772616916,687.7940385928132,299.8247340241028,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,30.0,0.8660254037844387,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,962.7106898939184,640.6901184766473,322.02057141727124,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,30.0,0.8660254037844387,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,938.0309887560328,625.5193818014609,312.5116069545718,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,30.0,0.8660254037844387,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,909.430472177277,608.0957853696805,301.33468680759654,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,30.0,0.8660254037844387,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,863.5092387507642,579.9439490826522,283.56528966811186,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,0.5,45.0,0.7071067811865476,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,751.5463293336703,463.8686099001352,287.6777194335352,0.0145,0.0288,0.4156,0.2031,0.0641
