source_server,AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,escape,GHI,DNI,DHI,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06
83,0,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,none,1136.6070334348503,605.8657709745701,530.7412624602805,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,none,1097.325013638084,582.568259530297,514.7567541077867,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,none,1083.4444505092813,570.4796670077425,512.9647835015389,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,none,1109.2219809877763,590.1761967081145,519.0457842796617,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,none,1056.534543601843,559.9820890523633,496.5524545494797,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,none,1037.465224992777,543.7534900598316,493.7117349329453,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,0.0,1.0,300.0,10.0,0.1,5.60472200819694,none,1076.6045320946569,572.5184636511644,504.08606844349225,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280877004,none,1010.377669884511,534.4415449389074,475.9361249456035,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,0.0,1.0,300.0,90.0,0.9,50.77481736061284,none,987.8775395770448,515.255561365266,472.6219782117788,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,0.0,1.0,320.0,10.0,0.1,17.790732986801878,none,1024.4423432360727,543.4057175043182,481.0366257317545,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,0.0,1.0,320.0,50.0,0.5,89.89379743803187,none,942.742992705324,499.2167084124631,443.52628429286074,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,0.0,1.0,320.0,90.0,0.9,163.54494133649348,none,914.3723945612518,475.44664995492064,438.92574460633114,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,15.0,0.9659258262890684,270.0,10.0,0.1,0.7002750439845209,none,1089.153486032598,567.2395954853854,521.9138905472126,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,15.0,0.9659258262890684,270.0,50.0,0.5,3.5027922523960817,none,1053.2009186513424,547.2268406327051,505.97407801863704,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,15.0,0.9659258262890684,270.0,90.0,0.9,6.307579202674779,none,1038.4363210803167,534.5037234760208,503.9325976042959,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,15.0,0.9659258262890684,285.0,10.0,0.1,2.102284871618859,none,1064.730291233744,554.9283748238289,509.8019164099149,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,15.0,0.9659258262890684,285.0,50.0,0.5,10.524269951667252,none,1012.389465368142,524.7118014577663,487.6776639103756,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,15.0,0.9659258262890684,285.0,90.0,0.9,18.966876247123928,none,995.0545142707548,510.8489760337304,484.20553823702426,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,15.0,0.9659258262890684,300.0,10.0,0.1,5.60472200819694,none,1031.705230407055,536.5563840086154,495.1488463984395,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,15.0,0.9659258262890684,300.0,50.0,0.5,28.115555280877004,none,967.7069011180644,502.1786455137664,465.5282556042979,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,15.0,0.9659258262890684,300.0,90.0,0.9,50.77481736061284,none,947.9336427382086,483.3775346619972,464.5561080762115,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,15.0,0.9659258262890684,320.0,10.0,0.1,17.790732986801878,none,981.4480161846316,510.74576019665994,470.70225598797145,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,15.0,0.9659258262890684,320.0,50.0,0.5,89.89379743803187,none,903.8880729854594,467.2676678487268,436.62040513673264,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,15.0,0.9659258262890684,320.0,90.0,0.9,163.54494133649348,none,875.4953132875273,446.1303791414915,429.36493414603575,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,30.0,0.8660254037844387,270.0,10.0,0.1,0.7002750439845209,none,956.4662848676884,466.18549091862354,490.2807939490647,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,30.0,0.8660254037844387,270.0,50.0,0.5,3.5027922523960817,none,921.8634399754288,447.935504071091,473.927935904338,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,30.0,0.8660254037844387,270.0,90.0,0.9,6.307579202674779,none,910.211752051517,437.8186899995093,472.3930620520078,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,30.0,0.8660254037844387,285.0,10.0,0.1,2.102284871618859,none,932.000997333134,453.9481636958465,478.0528336372875,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,30.0,0.8660254037844387,285.0,50.0,0.5,10.524269951667252,none,887.5134412325109,430.3381213427778,457.17531988973315,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,30.0,0.8660254037844387,285.0,90.0,0.9,18.966876247123928,none,871.5454304846774,417.3900960982617,454.1553343864156,0.0145,0.0288,0.4156,0.2031,0.0641
