channel,feature,importance
C01,log1p_COD,0.20443059743064387
C01,tpw,0.0036750996989877126
C01,cos_th0,0.10822592306438694
C01,alb_C01,0.021798022673754334
C02,log1p_COD,0.1621476852097265
C02,tpw,0.01346463197743116
C02,cos_th0,0.10864278814336989
C02,alb_C02,0.009049611860928902
C03,log1p_COD,0.1536699883236053
C03,tpw,0.03187230770646176
C03,cos_th0,0.11939685726625768
C03,alb_C03,0.03168675176563111
C05,log1p_COD,0.13462720724329222
C05,tpw,0.003446302823006167
C05,cos_th0,0.0816819500081494
C05,alb_C05,0.030448514990017533
C06,log1p_COD,0.06612745184641133
C06,tpw,0.03025648247879461
C06,cos_th0,0.036619502725264555
C06,alb_C06,0.023647647564332238
