AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06,C01_rad,C02_rad,C03_rad,C05_rad,C06_rad,C01,C02,C03,C05,C06,C01_srf,C02_srf,C03_srf,C05_srf,C06_srf
0,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,0.0145,0.0288,0.4156,0.2031,0.0641,11.732301099678931,29.39601716570122,18.384775340410716,0.962926857060008,0.939614968986433,0.11666548416003968,0.1000305603051022,0.12587049410700957,0.0690953259500733,0.05161476144918394,6.442389023429026,58.29421448023147,51.823114626447854,4.222861070244754,3.361448893273396
1,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,0.0251,0.0472,0.3922,0.2218,0.0897,13.510295137164409,45.21059266758449,30.948871744401465,1.6653581702825637,1.4331150580246976,0.13434577837125658,0.1538453624779118,0.21188998540328385,0.11949865636795769,0.07872362008980106,14.42851039724869,113.17429996128409,98.23475417386175,9.182854213524456,6.725362162301707
2,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,0.0407,0.0745,0.3575,0.2494,0.1275,15.28988969488142,54.87785526083724,38.33682606057163,2.1107667157082806,1.8526109685484513,0.15204198808499367,0.18674171331240283,0.2624712649129838,0.15145918213530582,0.1017672944300982,21.271180060223145,148.50392423845975,125.67333570646545,11.762743034197115,9.455159216957169
3,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,0.0673,0.1207,0.2988,0.2961,0.1916,17.382613679796805,64.1609533991907,44.57332548280506,2.813920669062652,2.686481857672208,0.17285194299828535,0.21833080590655926,0.30516916299657626,0.2019143659780753,0.14757334099401057,30.489357450206313,181.0183464689423,147.1157704562254,16.028425406447447,15.081113876103197
4,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,0.0938,0.1669,0.2401,0.3428,0.2555,23.094651454462802,84.61031572488568,56.96097341207499,4.088055941972734,4.21890991392052,0.2296521944459814,0.2879171433954366,0.3899806081630336,0.2933406164152063,0.23175240494252805,55.91958812727125,257.80673176652766,192.42990702479017,23.703477206273803,24.323809556340642
0,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.0145,0.0288,0.4156,0.2031,0.0641,11.735490463664945,29.155756118522,17.984260422453204,0.951787202432558,0.9161224211496084,0.11669719905470778,0.099212985358355,0.12312838767997426,0.0682959941401735,0.05032427301247966,6.421419279241356,57.318937947780796,50.7902532814503,4.0089267111270654,3.0359093929393244
1,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.0251,0.0472,0.3922,0.2218,0.0897,13.577566195544478,44.900458769667665,30.225718672814487,1.6576632943418452,1.4184422625103434,0.1350147188058047,0.15279001993258146,0.20693895212981328,0.11894650647477407,0.07791761671047753,14.506250611771977,111.54919521023683,96.71164839253811,8.736684011698962,6.095595061078191
2,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.0407,0.0745,0.3575,0.2494,0.1275,15.222750303096419,54.392264522100376,37.44747672430137,2.0634331326291937,1.825622308045345,0.15137435693725385,0.18508931552664115,0.2563823767804199,0.14806273584527305,0.10028475815760407,21.361069020794037,145.63287557274043,122.63737871484034,11.26046114312137,8.514926327292828
3,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.0673,0.1207,0.2988,0.2961,0.1916,17.40952296008065,63.44327084946345,43.46743779446844,2.7679920278381562,2.648754454982988,0.17311952769339678,0.21588863194925956,0.29759775528664234,0.19861873203393585,0.14550090605611046,30.58302182025729,177.91007139789784,143.9662937933474,15.076189445449474,13.512923822414859
4,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.0938,0.1669,0.2401,0.3428,0.2555,23.106551298859486,83.65167954666484,55.680831129845366,4.102581142740344,4.12170130490937,0.2297705259732899,0.2846550377334472,0.38121617462452084,0.2943828798791131,0.2264125590157121,55.99079415324063,253.559542479728,188.05588952213958,22.651591007544056,21.7911212611477
0,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.0145,0.0288,0.4156,0.2031,0.0641,11.840466078864536,29.30020828599864,17.94690798872414,0.9771146505769271,0.9113074806654162,0.11774107193763213,0.09970453600511521,0.12287265601056177,0.07011337857824168,0.05005977956283647,6.437255279576889,56.927535313975916,50.294886504771064,3.8994815148788495,2.9141197861288335
1,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.0251,0.0472,0.3922,0.2218,0.0897,13.768406605027637,45.141321102243495,30.323073147893144,1.7130896825700357,1.4169638923912427,0.13691242741219758,0.15360964096995336,0.2076054849350711,0.12292365627881517,0.07783640714746545,14.55069049253631,110.80606995441788,95.99829325693423,8.503811758124982,5.869183157335491
