channel,feature,importance
C01,log1p_COD,0.19704424159011985
C01,tpw,0.002879179792933671
C01,cos_th0,0.0936903386052027
C01,alb_C01,0.027476614710005946
C02,log1p_COD,0.16449343147131626
C02,tpw,0.011811013748897387
C02,cos_th0,0.09410478437616439
C02,alb_C02,0.0434062472458612
C03,log1p_COD,0.16243294886945325
C03,tpw,0.028377997851965292
C03,cos_th0,0.10225587931375466
C03,alb_C03,0.058683288559151836
C05,log1p_COD,0.12999908815531197
C05,tpw,0.0027472018081501877
C05,cos_th0,0.06325548221504053
C05,alb_C05,0.04512201601515927
C06,log1p_COD,0.05491394856923591
C06,tpw,0.024665227919045418
C06,cos_th0,0.026238971935798612
C06,alb_C06,0.03166518135825634
