AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06,C01_rad,C02_rad,C03_rad,C05_rad,C06_rad,C01,C02,C03,C05,C06
4,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,0.100162,0.201559,0.454122,0.368143,0.289324,23.26538533394536,82.37644703672096,56.07786421748287,3.7529191801822424,4.156608204373864,0.23134996460574142,0.2803155987621771,0.383934442865086,0.2692927008087533,0.22833005857484964
4,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.100162,0.201559,0.454122,0.368143,0.289324,23.45143019415959,81.62398621006753,54.998746026869725,3.7431340520246783,4.076883874282308,0.2331999864819251,0.27775507916275305,0.3765463112541558,0.268590563762151,0.22395065593100877
4,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674777,0.100162,0.201559,0.454122,0.368143,0.289324,23.742803084876506,81.85148062495699,55.02073428012235,3.8267903317955336,4.032976580863944,0.23609738564324817,0.27852921103440764,0.37669685278921466,0.2745933643654969,0.2215387483406978
4,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,0.100162,0.201559,0.454122,0.368143,0.289324,23.329885616745855,81.76182553232452,55.450930813944694,3.710549323950749,4.085902181042446,0.23199135257025463,0.2782241272164306,0.37964217299426056,0.26625242936413795,0.22444604794525283
3,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.06565,0.112386,0.354232,0.259652,0.180991,16.848321225295155,60.37221028237733,41.518802102381414,2.522234664555146,2.6172880560835585,0.16753896241946295,0.20543823972350708,0.2842565132613226,0.18098428244290948,0.1437723994587636
4,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.100162,0.201559,0.454122,0.368143,0.289324,23.586545558031332,80.14654436599038,53.194084977932036,3.7548645026831755,3.9186621868637217,0.23454356769499063,0.27272754993496096,0.3641907848079791,0.2694322884537489,0.2152592504918138
3,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,0.06565,0.112386,0.354232,0.259652,0.180991,17.133243230824363,60.221112641140756,41.241263931889456,2.590355003192805,2.581306089101766,0.17037221426328275,0.204924075453277,0.282356361314587,0.18587229337280411,0.1417958444830154
4,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,0.100162,0.201559,0.454122,0.368143,0.289324,23.990231966734342,80.14267706337165,52.77812771390905,3.8291338114433255,3.7979418287539914,0.23855780752058234,0.27271439004171283,0.3613429530895849,0.2747615219871629,0.2086278613680165
3,0.12,0.5,0.0,1.0,300.0,10.0,0.1,5.60472200819694,0.06565,0.112386,0.354232,0.259652,0.180991,16.81385089694345,60.95992603002101,42.50935579597765,2.5380577779351166,2.636788149828436,0.16719619099618116,0.2074381547189822,0.29103829223571265,0.18211967831282225,0.1448435751212419
4,0.12,0.5,0.0,1.0,300.0,10.0,0.1,5.60472200819694,0.100162,0.201559,0.454122,0.368143,0.289324,23.4142348778217,80.95421490646193,54.31544607429004,3.718188690978198,3.9102417231301194,0.23283011789841554,0.2754759405162388,0.3718681304734827,0.2668005961858895,0.21479669908379376
3,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280876997,0.06565,0.112386,0.354232,0.259652,0.180991,16.884867388243887,58.74569672589268,39.19991172510827,2.5530018060756507,2.421766659523016,0.1679023758503305,0.19990344017968179,0.26838034006023964,0.18319199495640395,0.13303205306712432
4,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280876997,0.100162,0.201559,0.454122,0.368143,0.289324,23.5732891380601,77.91114733860306,50.44124491405722,3.7282836005070585,3.583080428077123,0.23441174644006096,0.2651208045757694,0.3453435956190057,0.2675249617586421,0.19682513332874638
3,0.12,0.5,0.0,1.0,300.0,90.0,0.9,50.77481736061284,0.06565,0.112386,0.354232,0.259652,0.180991,17.20444107416664,58.52795772619275,38.63466305734248,2.6301299023665576,2.24429294896312,0.17108020247412953,0.19916250462989343,0.2645103918129732,0.18872636230118844,0.12328309893548488
4,0.12,0.5,0.0,1.0,300.0,90.0,0.9,50.77481736061284,0.100162,0.201559,0.454122,0.368143,0.289324,24.145187678189213,77.46985089339722,49.28310253491631,3.7936447558179935,3.3065370045362656,0.24009868027407316,0.2636191341138915,0.33741442864200644,0.27221498602951044,0.18163409943983427
3,0.12,0.5,0.0,1.0,320.0,10.0,0.1,17.790732986801878,0.06565,0.112386,0.354232,0.259652,0.180991,16.80902238477379,59.32021832855699,40.24188659096471,2.523409484055968,2.2762337507917256,0.16714817648434244,0.2018584573338067,0.27551417165643827,0.18106858223758926,0.12503766534970187
4,0.12,0.5,0.0,1.0,320.0,10.0,0.1,17.790732986801878,0.100162,0.201559,0.454122,0.368143,0.289324,23.42053569117607,78.8081088816883,51.59857370997948,3.7102828819014646,3.3345996893550374,0.23289277290823368,0.2681730400272997,0.35326719243701016,0.2662333106739621,0.18317563382397356
3,0.12,0.5,0.0,1.0,320.0,50.0,0.5,89.89379743803187,0.06565,0.112386,0.354232,0.259652,0.180991,16.983289870616545,55.54753932336021,35.69655875462881,2.5582957642371893,1.8438059043435104,0.16888108466974133,0.18902055508963964,0.24439479978245138,0.18357186572442302,0.10128361621776298
4,0.12,0.5,0.0,1.0,320.0,50.0,0.5,89.89379743803187,0.100162,0.201559,0.454122,0.368143,0.289324,23.2424019698203,73.78304121002321,44.96456426192982,3.739366554979921,2.6662975101335413,0.23112141904758574,0.2510734332358664,0.30784776077818815,0.268320225018959,0.1464645780244939
3,0.12,0.5,0.0,1.0,320.0,90.0,0.9,163.54494133649348,0.06565,0.112386,0.354232,0.259652,0.180991,17.350141956172912,54.585995284976974,34.16682968439435,2.5847589309304735,1.4078305377515021,0.17252904561217955,0.1857485543837164,0.2339215821142954,0.1854707442476852,0.07733469534367254
4,0.12,0.5,0.0,1.0,320.0,90.0,0.9,163.54494133649348,0.100162,0.201559,0.454122,0.368143,0.289324,23.895108320892916,72.90892884388619,43.15620629928728,3.8000321226175613,2.0317450941305086,0.2376119021859961,0.24809895035740603,0.2954669235873282,0.27267331491268887,0.11160745818281036
4,0.12,0.5,15.0,0.9659258262890683,270.0,10.0,0.1,0.7002750439845209,0.100162,0.201559,0.454122,0.368143,0.289324,22.973260310787765,79.61281834596579,54.08946490486232,3.627653624217353,4.04368366888584,0.22844508627263452,0.27091135447788506,0.37032096109403295,0.2603042045836742,0.2221269081852155
4,0.12,0.5,15.0,0.9659258262890683,270.0,50.0,0.5,3.5027922523960817,0.100162,0.201559,0.454122,0.368143,0.289324,23.066293095113288,78.99784049059338,53.198411160347355,3.611013087376641,3.965766115036603,0.22937020017261706,0.26881867031930085,0.3642204038111016,0.2591101540609754,0.21784675505081988
4,0.12,0.5,15.0,0.9659258262890683,270.0,90.0,0.9,6.307579202674777,0.100162,0.201559,0.454122,0.368143,0.289324,23.303436824105695,79.30410862198416,53.18968504337331,3.671558361125492,3.9091854040916085,0.2317283469439417,0.2698608581984929,0.364160660864298,0.263454612203088,0.21473867355526713
4,0.12,0.5,15.0,0.9659258262890683,285.0,10.0,0.1,2.102284871618859,0.100162,0.201559,0.454122,0.368143,0.289324,23.059321132250044,79.18681067709274,53.552626126538335,3.5826293446610404,3.9701457512334226,0.22930087128171361,0.26946170959669474,0.3666455198100203,0.25707346358938,0.21808733644319267
3,0.12,0.5,15.0,0.9659258262890683,285.0,50.0,0.5,10.524269951667252,0.06565,0.112386,0.354232,0.259652,0.180991,16.51013680010844,58.23033937825202,40.38970201683661,2.4744090585198553,2.5694431157638267,0.16417607142607782,0.1981497507614433,0.2765261829726841,0.17755253078540817,0.14114418975301865
4,0.12,0.5,15.0,0.9659258262890683,285.0,50.0,0.5,10.524269951667252,0.100162,0.201559,0.454122,0.368143,0.289324,23.077223231208453,77.48412124135228,51.60209726222637,3.622070721242654,3.7828645088142427,0.22947888896338742,0.2636676941243734,0.3532913162706777,0.25990360042775495,0.2077996367252965
3,0.12,0.5,15.0,0.9659258262890683,285.0,90.0,0.9,18.966876247123928,0.06565,0.112386,0.354232,0.259652,0.180991,16.744349097248197,58.34517497917156,40.2484904539333,2.5251564397525996,2.492455612575964,0.16650506816848093,0.19854052034897635,0.2755593846916525,0.18119393596761982,0.1369151259952368
4,0.12,0.5,15.0,0.9659258262890683,285.0,90.0,0.9,18.966876247123928,0.100162,0.201559,0.454122,0.368143,0.289324,23.517239510983053,77.39794135464668,51.23950314166032,3.676472360992766,3.654409405065286,0.23385439142296952,0.26337443594910437,0.3508088327879655,0.26380721886273045,0.20074336393721545
3,0.12,0.5,15.0,0.9659258262890683,300.0,10.0,0.1,5.60472200819694,0.06565,0.112386,0.354232,0.259652,0.180991,16.501499709522978,58.81387916029092,41.21605483984727,2.4624219080033014,2.5762558637582518,0.16409018457861915,0.20013545552643355,0.28218376845921694,0.176692386459719,0.14151842640755488
4,0.12,0.5,15.0,0.9659258262890683,300.0,10.0,0.1,5.60472200819694,0.100162,0.201559,0.454122,0.368143,0.289324,23.063558437874903,78.11584572183594,52.514468694571804,3.59557159438015,3.775752667749899,0.2293430068617723,0.2658173647203942,0.359537824094247,0.25800214156353,0.20740897034372896
3,0.12,0.5,15.0,0.9659258262890683,300.0,50.0,0.5,28.115555280876997,0.06565,0.112386,0.354232,0.259652,0.180991,16.592259511997323,56.82624148395138,38.33785688669301,2.4633909811900243,2.3459979036077745,0.16499269604742461,0.1933718007997735,0.2624783224152286,0.176761922818805,0.12886993731657895
4,0.12,0.5,15.0,0.9659258262890683,300.0,50.0,0.5,28.115555280876997,0.100162,0.201559,0.454122,0.368143,0.289324,22.888981028701835,75.19260975510909,48.80817860490933,3.6199841398626855,3.4268443693336397,0.22760701681245976,0.2558699990617261,0.33416288443619696,0.25975387667717803,0.188242802088851
3,0.12,0.5,15.0,0.9659258262890683,300.0,90.0,0.9,50.77481736061284,0.06565,0.112386,0.354232,0.259652,0.180991,16.881318603520675,56.7461255960224,37.602239619897,2.5837915156148954,2.1704292044827036,0.16786708689171992,0.1930991775694324,0.25744195361926414,0.18540132685002006,0.11922562893241258
4,0.12,0.5,15.0,0.9659258262890683,300.0,90.0,0.9,50.77481736061284,0.100162,0.201559,0.454122,0.368143,0.289324,23.447602712518812,75.01909192842817,47.90945880538595,3.6857738542106238,3.1441217683030454,0.2331619261734706,0.255279542016883,0.3280098418705306,0.26447465242842466,0.1727123347270676
3,0.12,0.5,15.0,0.9659258262890683,320.0,10.0,0.1,17.790732986801878,0.06565,0.112386,0.354232,0.259652,0.180991,16.571627630548182,57.47657272907559,39.04689610907036,2.50211932894667,2.2073934552777357,0.1647875335291815,0.19558478762948567,0.2673327258881782,0.17954089589670147,0.1212561425469322
4,0.12,0.5,15.0,0.9659258262890683,320.0,10.0,0.1,17.790732986801878,0.100162,0.201559,0.454122,0.368143,0.289324,22.814478879264392,76.02605822242596,49.93627553323674,3.5831336644978773,3.227552740737848,0.22686617072768608,0.2587061083448711,0.341886346656432,0.25710965132602254,0.1772953499852653
3,0.12,0.5,15.0,0.9659258262890683,320.0,50.0,0.5,89.89379743803187,0.06565,0.112386,0.354232,0.259652,0.180991,16.640617089850544,53.94847904972614,34.64792559973535,2.5051045033284014,1.7982282578419229,0.1654735616666344,0.1835791752512893,0.23721538252553737,0.17975509866341347,0.09877995309058621
4,0.12,0.5,15.0,0.9659258262890683,320.0,50.0,0.5,89.89379743803187,0.100162,0.201559,0.454122,0.368143,0.289324,22.46113842745262,71.19369766012508,43.74922043789384,3.6095870445280163,2.573480833720168,0.2233525688746723,0.24226225705990045,0.2995269668164005,0.2590078276020943,0.1413659889537492
3,0.12,0.5,15.0,0.9659258262890683,320.0,90.0,0.9,163.54494133649348,0.06565,0.112386,0.354232,0.259652,0.180991,17.024346919954002,53.16258600000968,33.09161115580618,2.56007218502367,1.3626856751074374,0.169289354155705,0.1809048904439329,0.22656014935482488,0.18369933373756073,0.07485480582196441
4,0.12,0.5,15.0,0.9659258262890683,320.0,90.0,0.9,163.54494133649348,0.100162,0.201559,0.454122,0.368143,0.289324,23.147415071244325,70.47996328179855,41.72277152576436,3.6857656665794867,1.9590633175472418,0.23017687352176983,0.23983351818107304,0.2856529802634241,0.26447406492062175,0.10761491582889819
4,0.12,0.5,30.0,0.8660254037844387,270.0,10.0,0.1,0.7002750439845209,0.100162,0.201559,0.454122,0.368143,0.289324,20.684230905397524,72.18065097302816,48.334639736888846,3.3916858754191983,3.5344898689392843,0.20568307892492602,0.24562072199507076,0.3309208229917148,0.24337221395803785,0.19415596542342087
4,0.12,0.5,30.0,0.8660254037844387,270.0,50.0,0.5,3.5027922523960817,0.100162,0.201559,0.454122,0.368143,0.289324,20.880793901684296,71.31919142590533,47.35088028969145,3.3195312399656274,3.469769482207409,0.20763769268184468,0.24268929490094657,0.32418556050368225,0.23819471992625335,0.1906007567131253
4,0.12,0.5,30.0,0.8660254037844387,270.0,90.0,0.9,6.307579202674777,0.100162,0.201559,0.454122,0.368143,0.289324,21.07753729978132,71.73348322899261,47.42584523227055,3.3665144150497928,3.4407617388617258,0.20959410034639983,0.24409907231939854,0.324698804434512,0.24156602250526893,0.18900730854298636
4,0.12,0.5,30.0,0.8660254037844387,285.0,10.0,0.1,2.102284871618859,0.100162,0.201559,0.454122,0.368143,0.289324,20.74099673603285,71.55375085314448,47.74606453391881,3.3357565959919553,3.4642128714699365,0.20624755583858095,0.24348746802757518,0.3268911707253567,0.23935897893001407,0.19029552196575852
