AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06,C01_rad,C02_rad,C03_rad,C05_rad,C06_rad,C01,C02,C03,C05,C06
0,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,0.013735,0.023839,0.126622,0.081469,0.041332,10.47010638586135,27.377561172315282,17.015765043788832,0.8753839359051934,0.7062401662161324,0.10411427565109672,0.09316203512934577,0.11649762991461358,0.06281363733845684,0.038795058516787016
1,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,0.032169,0.051783,0.239896,0.170084,0.079692,12.819540900549468,43.48931757769803,30.492568979184156,1.5930429503053674,1.2310291509066043,0.12747694873880824,0.14798810260797762,0.20876593012075603,0.11430963950874233,0.06762267317811671
2,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,0.045682,0.078521,0.305128,0.209253,0.112486,14.444686072679708,53.727238835290315,38.32804325854994,1.998816176137109,1.6683823790693701,0.14363732058113285,0.18282632555443112,0.2624111338746847,0.14342611195428104,0.09164728249761514
3,0.12,0.5,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,0.06565,0.112386,0.354232,0.259652,0.180991,16.853289710386647,62.22573018706515,44.12728298046203,2.6685802088741113,2.5996257633421544,0.16758836881585662,0.21174551031589586,0.3021153541181377,0.1914853843821917,0.1428021775523623
0,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.013735,0.023839,0.126622,0.081469,0.041332,10.484701837104245,27.133328861586353,16.51883026722419,0.8615486796106024,0.6943732833727185,0.10425941217387429,0.09233094652475311,0.11309538948975177,0.06182088120514443,0.03814318903053465
1,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.032169,0.051783,0.239896,0.170084,0.079692,12.80986649868128,43.13489240543473,29.82991827994354,1.5715622090772094,1.208439046796964,0.12738074691375095,0.14678204301262887,0.20422912347561656,0.11276827756008889,0.0663817576188541
2,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.045682,0.078521,0.305128,0.209253,0.112486,14.50193796531587,53.42360371848169,37.516233354630714,1.9971783431367993,1.6306621535379553,0.1442066308738647,0.1817930974578674,0.25685311579530823,0.14330858838104338,0.08957524181406414
3,0.12,0.5,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,0.06565,0.112386,0.354232,0.259652,0.180991,16.765345504741344,61.792954821749035,43.167093428122065,2.7081729372880003,2.5543823444263904,0.166713855517612,0.21027283590443416,0.29554146179954277,0.1943263815513463,0.14031687415516156
0,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.013735,0.023839,0.126622,0.081469,0.041332,10.535746191869666,27.226133833118702,16.57241709474358,0.8693741135847327,0.6900935767067053,0.10476699498407915,0.09264674894278652,0.113462269167779,0.06238239935907168,0.03790809694927818
1,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.032169,0.051783,0.239896,0.170084,0.079692,12.87155934591338,43.25084356220313,29.770458851197265,1.5895261187553613,1.2103672787480908,0.1279942178629189,0.14717660868165092,0.2038220373112747,0.11405728740071092,0.06648767891157624
2,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.045682,0.078521,0.305128,0.209253,0.112486,14.532663152420675,53.80232958195955,37.49652611709965,2.0241485735934446,1.6385332738705218,0.14451216077793338,0.1830818489275708,0.2567181911264129,0.1452438515328472,0.09000761678861513
3,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.06565,0.112386,0.354232,0.259652,0.180991,16.916876227279296,62.34494789240549,43.20219137648168,2.7418661893385514,2.541564861278058,0.16822067033252452,0.21215119159565088,0.2957817582415916,0.19674405867363443,0.13961278646295103
0,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,0.013735,0.023839,0.126622,0.081469,0.041332,10.483781038500975,27.191461219904053,16.7224369528189,0.865681096676199,0.6970283354657885,0.10425025579321616,0.09252876285958507,0.11448937302475667,0.06211740497744923,0.03828903587731997
1,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,0.032169,0.051783,0.239896,0.170084,0.079692,12.773439722912494,43.16716101989661,30.056282820733916,1.5701487138609218,1.2098790254083351,0.12701852066372987,0.14689184862223567,0.2057789175889535,0.11266685146320293,0.06646085826642896
2,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,0.045682,0.078521,0.305128,0.209253,0.112486,14.468768994102662,53.496183780263586,37.795082196847154,1.9920314503560608,1.6578152413459322,0.1438768000885139,0.1820400773193261,0.25876224119396357,0.14293927036721105,0.09106681037786563
3,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,0.06565,0.112386,0.354232,0.259652,0.180991,16.791263985307044,62.01762007480327,43.527063883992845,2.7200127856051632,2.5613809029579255,0.16697158774406948,0.21103734053162307,0.2980059824861126,0.19517595612980548,0.14070131772089464
0,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.013735,0.023839,0.126622,0.081469,0.041332,10.546877310279221,26.63989926534665,16.023138942649943,0.8393475634941552,0.659950701732463,0.1048776823341105,0.09065187419652736,0.1097016623000822,0.06022782837535327,0.036252293931509784
1,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.032169,0.051783,0.239896,0.170084,0.079692,12.761580697809084,42.32110270251935,28.78438085478225,1.549310605011287,1.1615955063306878,0.12690059504167153,0.1440128297721315,0.19707090098577446,0.11117160194077852,0.06380855663078328
2,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.045682,0.078521,0.305128,0.209253,0.112486,14.547190601329495,52.31388899510481,36.17241373018962,1.961804825169926,1.5785506216225016,0.14465662108850316,0.17801689250695554,0.2476527183475732,0.14077034288918505,0.08671266046175864
0,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,0.013735,0.023839,0.126622,0.081469,0.041332,10.65037863255693,26.68117183975448,15.929275695142081,0.8517381110585605,0.6547515887488098,0.10590689491330894,0.09079231903026036,0.10905903201912717,0.061116918669580175,0.03596669718682607
1,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,0.032169,0.051783,0.239896,0.170084,0.079692,12.859553212150134,42.42278659950803,28.48358302589782,1.5704026179411978,1.1505742484844785,0.12787482939884193,0.144358845939303,0.1950115028888732,0.11268507048478084,0.06320313886565798
2,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,0.045682,0.078521,0.305128,0.209253,0.112486,14.648984658685128,52.59620363390299,35.79875456151374,1.9850528071792388,1.5507018318389574,0.14566885670069138,0.17897756998044215,0.24509447853675173,0.14243851413483843,0.08518287572144459
0,0.12,0.5,0.0,1.0,300.0,10.0,0.1,5.60472200819694,0.013735,0.023839,0.126622,0.081469,0.041332,10.527988343097629,26.9050370308493,16.363771748389897,0.8370815328507777,0.6665723655460758,0.10468985127839511,0.09155410115781171,0.11203378868039766,0.06006522814796418,0.036616033983996384
1,0.12,0.5,0.0,1.0,300.0,10.0,0.1,5.60472200819694,0.032169,0.051783,0.239896,0.170084,0.079692,12.733567328210153,42.66485430256491,29.34085250317412,1.548456963660883,1.1744011097173537,0.1266220313311559,0.14518256868487284,0.20088075778536602,0.11111034845416301,0.06451199174605032
2,0.12,0.5,0.0,1.0,300.0,10.0,0.1,5.60472200819694,0.045682,0.078521,0.305128,0.209253,0.112486,14.509981701722516,52.87157530259063,36.851791448305896,1.9687253249282965,1.5896950192672907,0.1442866174335655,0.17991462149173038,0.2523040457356553,0.14126692700981283,0.08732484252027897
0,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280876997,0.013735,0.023839,0.126622,0.081469,0.041332,10.610083362065925,25.92600868399647,15.259760667845462,0.8510390544987639,0.6017509523937623,0.10550620052256224,0.08822260378052303,0.10447522907688188,0.06106675749637939,0.0330552757084394
1,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280876997,0.032169,0.051783,0.239896,0.170084,0.079692,12.642865572202268,41.051388136046114,27.338625421141675,1.5378966548634838,1.0752110556563557,0.1257200970738502,0.139692167595486,0.18717260484558526,0.11035258791073241,0.05906330143408916
2,0.12,0.5,0.0,1.0,300.0,50.0,0.5,28.115555280876997,0.045682,0.078521,0.305128,0.209253,0.112486,14.574414280008916,50.8706913656445,34.1514376632788,1.935197656393708,1.449840916967189,0.14492733214737968,0.17310589158148487,0.23381620137032397,0.13886113142029483,0.07964240198221881
0,0.12,0.5,0.0,1.0,300.0,90.0,0.9,50.77481736061284,0.013735,0.023839,0.126622,0.081469,0.041332,10.702779155314758,25.977136742969186,15.054269645790683,0.8757587573029316,0.5658243227989227,0.10642796339815618,0.08839658545829672,0.1030683445215,0.06284053284610615,0.03108176051613555
1,0.12,0.5,0.0,1.0,300.0,90.0,0.9,50.77481736061284,0.032169,0.051783,0.239896,0.170084,0.079692,12.826247322668634,41.10370746407593,26.67355858895141,1.5799369118095712,0.9989784242105901,0.12754363710427608,0.13987020299627204,0.18261925626057599,0.11336920878428824,0.05487570415585385
2,0.12,0.5,0.0,1.0,300.0,90.0,0.9,50.77481736061284,0.045682,0.078521,0.305128,0.209253,0.112486,14.76560303700296,50.71751145719586,33.509593560252505,1.9861720218195071,1.3413054030032068,0.1468285047060414,0.17258464164537177,0.2294218461012655,0.14251882397333807,0.07368034853807406
0,0.12,0.5,0.0,1.0,320.0,10.0,0.1,17.790732986801878,0.013735,0.023839,0.126622,0.081469,0.041332,10.616951986102583,26.19070354380039,15.644280185356312,0.8401031711958202,0.5516813331769767,0.10557450181673647,0.08912332359527943,0.10710782375191685,0.060282047405650484,0.030304860339350936
1,0.12,0.5,0.0,1.0,320.0,10.0,0.1,17.790732986801878,0.032169,0.051783,0.239896,0.170084,0.079692,12.631285419643511,41.55468787149334,27.924249164667554,1.5462423306128243,0.9967406287911889,0.1256049445480638,0.1414048266354643,0.1911820500845692,0.11095143628841181,0.05475277797805033
2,0.12,0.5,0.0,1.0,320.0,10.0,0.1,17.790732986801878,0.045682,0.078521,0.305128,0.209253,0.112486,14.555947967988121,51.405501300370275,34.90119288584518,1.926362170162307,1.3626375822250556,0.14474370395592323,0.17492577544962246,0.23894936501123648,0.13822713643239928,0.07485216399234965
