						MOLECULAR VOLUME	MIXING RATIOS	BY LAYER				
						molecular weight	s are in pare	ntheses				
	P(MB)	T(K)	H2O(18.0154)	CO2(44.0098)	O3(47.9982)	N2O(44.0128)	CO(28.0101)	CH4(16.0428)	O2(31.9988)	CCL4(153.8215)	CFC11(137.370)	CFC12(120.910)
1	983.88	288.99	6.64E-03	3.60E-04	6.86E-08	3.20E-07	1.48E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
2	973.46	287.63	6.66E-03	3.60E-04	6.86E-08	3.20E-07	1.48E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
3	952.02	285.67	6.62E-03	3.60E-04	6.86E-08	3.20E-07	1.47E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
4	923.94	283.38	6.68E-03	3.60E-04	6.86E-08	3.20E-07	1.46E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
5	883.14	279.67	6.66E-03	3.60E-04	6.75E-08	3.20E-07	1.44E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
6	830.68	276.87	6.41E-03	3.60E-04	6.52E-08	3.20E-07	1.41E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
7	781.3	279.39	6.33E-03	3.60E-04	6.23E-08	3.20E-07	1.39E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
8	735.07	279.78	3.43E-03	3.60E-04	5.97E-08	3.20E-07	1.36E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
9	691.56	279.12	1.40E-03	3.60E-04	5.79E-08	3.20E-07	1.34E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
10	650.22	275.15	1.48E-03	3.60E-04	5.73E-08	3.20E-07	1.32E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
11	610.87	271.44	9.84E-04	3.60E-04	5.72E-08	3.20E-07	1.31E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
12	573.46	269.08	4.14E-04	3.60E-04	5.72E-08	3.20E-07	1.30E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
13	538.02	266.2	2.95E-04	3.60E-04	5.73E-08	3.20E-07	1.30E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
14	504.37	262.74	1.78E-04	3.60E-04	5.74E-08	3.20E-07	1.29E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
15	472.44	259.19	1.12E-04	3.60E-04	5.77E-08	3.20E-07	1.28E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
16	442.1	255.5	9.68E-05	3.60E-04	5.81E-08	3.20E-07	1.26E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
17	413.35	252.36	6.40E-05	3.60E-04	5.87E-08	3.20E-07	1.23E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
18	386.15	249.38	7.31E-05	3.60E-04	5.97E-08	3.20E-07	1.20E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
19	360.42	245.87	6.90E-05	3.60E-04	6.13E-08	3.20E-07	1.16E-07	1.70E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
20	336.05	241.93	3.49E-05	3.60E-04	6.34E-08	3.20E-07	1.12E-07	1.69E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
21	312.97	238.14	3.45E-05	3.60E-04	6.62E-08	3.19E-07	1.07E-07	1.69E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
22	291.17	234.76	4.46E-05	3.60E-04	7.01E-08	3.18E-07	1.02E-07	1.69E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
23	261.31	231.22	2.79E-05	3.60E-04	7.77E-08	3.16E-07	9.48E-08	1.68E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
24	225.06	226.02	1.11E-05	3.60E-04	9.43E-08	3.12E-07	8.42E-08	1.67E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
25	193.06	219.17	6.09E-06	3.60E-04	1.17E-07	3.07E-07	7.12E-08	1.65E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
26	164.79	211.99	4.02E-06	3.60E-04	1.42E-07	3.02E-07	5.70E-08	1.64E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
27	140.02	207.2	3.90E-06	3.60E-04	1.77E-07	2.97E-07	4.48E-08	1.62E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
28	114.19	203.37	3.04E-06	3.60E-04	2.61E-07	2.90E-07	3.32E-08	1.59E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
29	88.75	203.6	4.14E-06	3.60E-04	4.98E-07	2.76E-07	2.37E-08	1.55E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
30	68.72	210.59	3.59E-06	3.60E-04	1.01E-06	2.56E-07	1.70E-08	1.49E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
31	53.55	217.1	3.92E-06	3.60E-04	1.85E-06	2.32E-07	1.33E-08	1.41E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
32	42.38	218.32	4.05E-06	3.60E-04	2.84E-06	2.10E-07	1.25E-08	1.29E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
33	33.59	219.82	4.21E-06	3.60E-04	3.91E-06	1.94E-07	1.33E-08	1.18E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
34	26.67	221.31	4.38E-06	3.60E-04	5.05E-06	1.80E-07	1.46E-08	1.08E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
35	21.21	222.78	4.51E-06	3.60E-04	6.12E-06	1.66E-07	1.56E-08	1.02E-06	2.09E-01	1.11E-10	2.78E-10	5.03E-10
36	16.91	224.2	4.59E-06	3.60E-04	6.92E-06	1.57E-07	1.61E-08	9.78E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
37	13.49	225.69	4.68E-06	3.60E-04	7.30E-06	1.47E-07	1.67E-08	9.37E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
38	10.32	227.74	4.76E-06	3.60E-04	7.42E-06	1.32E-07	1.76E-08	8.82E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
39	7.6	231.31	4.84E-06	3.60E-04	7.44E-06	1.12E-07	1.88E-08	8.15E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
40	5.8	236.24	4.90E-06	3.60E-04	7.37E-06	9.24E-08	2.01E-08	7.47E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
41	4.46	241.55	4.94E-06	3.60E-04	7.06E-06	7.23E-08	2.17E-08	6.79E-07	2.09E-01	1.11E-10	2.78E-10	5.03E-10
