The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  706.96        633.47        172.21        138.75
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP   
     820.0  0.0008812610  0.0008808960  0.0001350266  0.0001729929
     821.0  0.0008861070  0.0008857393  0.0001359720  0.0001739442
     822.0  0.0008855739  0.0008852060  0.0001356702  0.0001738394
     823.0  0.0008807027  0.0008803367  0.0001343685  0.0001728830
     824.0  0.0008739735  0.0008736100  0.0001326508  0.0001715621
     825.0  0.0008675730  0.0008672120  0.0001310524  0.0001703059
     826.0  0.0008643565  0.0008639964  0.0001302456  0.0001696745
     827.0  0.0008658405  0.0008654789  0.0001305948  0.0001699659
     828.0  0.0008726924  0.0008723270  0.0001322412  0.0001713108
     829.0  0.0008841727  0.0008838011  0.0001349894  0.0001735644
     830.0  0.0008980713  0.0008976923  0.0001382974  0.0001762923
     831.0  0.0009122824  0.0009118961  0.0001416443  0.0001790822
     832.0  0.0009240458  0.0009236532  0.0001443763  0.0001813921
     833.0  0.0009320983  0.0009317013  0.0001461940  0.0001829724
     834.0  0.0009353930  0.0009349940  0.0001468652  0.0001836189
     835.0  0.0009341972  0.0009337981  0.0001464751  0.0001833844
     836.0  0.0009295197  0.0009291223  0.0001452607  0.0001824661
     837.0  0.0009227744  0.0009223797  0.0001435720  0.0001811419
     838.0  0.0009163579  0.0009159655  0.0001419485  0.0001798824
     839.0  0.0009120638  0.0009116729  0.0001408242  0.0001790394
     840.0  0.0009118150  0.0009114236  0.0001406363  0.0001789902
     841.0  0.0009158732  0.0009154791  0.0001414727  0.0001797873
     842.0  0.0009233891  0.0009229907  0.0001431444  0.0001812624
     843.0  0.0009319780  0.0009315747  0.0001451154  0.0001829489
     844.0  0.0009385785  0.0009381713  0.0001466730  0.0001842442
     845.0  0.0009400956  0.0009396870  0.0001470972  0.0001845421
     846.0  0.0009345050  0.0009340983  0.0001459078  0.0001834448
     847.0  0.0009209312  0.0009205305  0.0001429023  0.0001807803
     848.0  0.0009006840  0.0009002925  0.0001383744  0.0001768057
     849.0  0.0008762396  0.0008758593  0.0001328977  0.0001720070
     850.0  0.0008518432  0.0008514742  0.0001274218  0.0001672184
     851.0  0.0008320904  0.0008317303  0.0001229760  0.0001633405
     852.0  0.0008211472  0.0008207918  0.0001204799  0.0001611924
     853.0  0.0008222377  0.0008218811  0.0001206376  0.0001614063
     854.0  0.0008354573  0.0008350936  0.0001234864  0.0001640013
     855.0  0.0008595608  0.0008591846  0.0001287402  0.0001687330
     856.0  0.0008900947  0.0008897028  0.0001354486  0.0001747267
     857.0  0.0009227587  0.0009223502  0.0001426446  0.0001811388
     858.0  0.0009528555  0.0009524315  0.0001492988  0.0001870467
     859.0  0.0009772440  0.0009768072  0.0001546863  0.0001918341
     860.0  0.0009945717  0.0009941257  0.0001584865  0.0001952356
     861.0  0.0010046150  0.0010041629  0.0001606328  0.0001972073
     862.0  0.0010090281  0.0010085730  0.0001614823  0.0001980737
     863.0  0.0010093610  0.0010089061  0.0001614049  0.0001981390
     864.0  0.0010080710  0.0010076161  0.0001609656  0.0001978859
     865.0  0.0010065510  0.0010060960  0.0001605142  0.0001975872
     866.0  0.0010059570  0.0010055010  0.0001603193  0.0001974704
     867.0  0.0010065120  0.0010060550  0.0001604321  0.0001975796
     868.0  0.0010079490  0.0010074900  0.0001607774  0.0001978617
     869.0  0.0010103630  0.0010099020  0.0001613492  0.0001983354
     870.0  0.0010135530  0.0010130900  0.0001620953  0.0001989619
     871.0  0.0010180681  0.0010176020  0.0001631131  0.0001998478
     872.0  0.0010236379  0.0010231680  0.0001643447  0.0002009413
     873.0  0.0010299050  0.0010294310  0.0001656797  0.0002021714
     874.0  0.0010357380  0.0010352610  0.0001668568  0.0002033171
     875.0  0.0010400240  0.0010395440  0.0001675939  0.0002041579
     876.0  0.0010420810  0.0010415990  0.0001677440  0.0002045621
     877.0  0.0010418340  0.0010413521  0.0001672901  0.0002045138
     878.0  0.0010399160  0.0010394340  0.0001664124  0.0002041372
     879.0  0.0010370919  0.0010366120  0.0001653170  0.0002035826
     880.0  0.0010339210  0.0010334420  0.0001641710  0.0002029600
     881.0  0.0010306910  0.0010302130  0.0001630737  0.0002023260
     882.0  0.0010272920  0.0010268150  0.0001620068  0.0002016593
     883.0  0.0010238200  0.0010233440  0.0001610032  0.0002009773
     884.0  0.0010206620  0.0010201880  0.0001601228  0.0002003574
     885.0  0.0010185720  0.0010180970  0.0001595386  0.0001999471
     886.0  0.0010189021  0.0010184270  0.0001595335  0.0002000121
     887.0  0.0010226240  0.0010221450  0.0001603508  0.0002007425
     888.0  0.0010306960  0.0010302130  0.0001622197  0.0002023269
     889.0  0.0010429870  0.0010424970  0.0001651425  0.0002047398
     890.0  0.0010586850  0.0010581850  0.0001689454  0.0002078215
     891.0  0.0010763319  0.0010758220  0.0001732815  0.0002112855
     892.0  0.0010940180  0.0010934960  0.0001776834  0.0002147569
     893.0  0.0011103780  0.0011098470  0.0001817802  0.0002179690
     894.0  0.0011241951  0.0011236561  0.0001852534  0.0002206811
     895.0  0.0011353550  0.0011348079  0.0001880387  0.0002228717
     896.0  0.0011438550  0.0011433030  0.0001901408  0.0002245401
     897.0  0.0011503780  0.0011498210  0.0001917189  0.0002258210
     898.0  0.0011551901  0.0011546300  0.0001928582  0.0002267654
     899.0  0.0011586130  0.0011580500  0.0001936266  0.0002274375
     900.0  0.0011603429  0.0011597780  0.0001939492  0.0002277768
     901.0  0.0011599410  0.0011593760  0.0001936997  0.0002276981
     902.0  0.0011568520  0.0011562880  0.0001927308  0.0002270916
     903.0  0.0011507031  0.0011501421  0.0001909564  0.0002258845
     904.0  0.0011417920  0.0011412350  0.0001884620  0.0002241353
     905.0  0.0011310920  0.0011305400  0.0001855160  0.0002220347
     906.0  0.0011203530  0.0011198060  0.0001825769  0.0002199265
     907.0  0.0011118890  0.0011113470  0.0001802266  0.0002182650
     908.0  0.0011076640  0.0011071240  0.0001789658  0.0002174359
     909.0  0.0011091570  0.0011086140  0.0001791401  0.0002177292
     910.0  0.0011163160  0.0011157680  0.0001807411  0.0002191343
     911.0  0.0011279940  0.0011274390  0.0001834663  0.0002214268
     912.0  0.0011420600  0.0011414960  0.0001867888  0.0002241880
     913.0  0.0011560339  0.0011554620  0.0001900925  0.0002269311
     914.0  0.0011679200  0.0011673400  0.0001928659  0.0002292644
     915.0  0.0011761480  0.0011755630  0.0001947250  0.0002308797
     916.0  0.0011801280  0.0011795399  0.0001954921  0.0002316609
     917.0  0.0011797430  0.0011791540  0.0001951503  0.0002315850
     918.0  0.0011756340  0.0011750470  0.0001938487  0.0002307786
     919.0  0.0011689140  0.0011683300  0.0001918857  0.0002294595
     920.0  0.0011612360  0.0011606560  0.0001896917  0.0002279526
     921.0  0.0011545460  0.0011539690  0.0001877673  0.0002266389
     922.0  0.0011506820  0.0011501060  0.0001865939  0.0002258804
     923.0  0.0011510700  0.0011504930  0.0001865213  0.0002259566
     924.0  0.0011562190  0.0011556380  0.0001876813  0.0002269680
     925.0  0.0011657500  0.0011651620  0.0001899611  0.0002288381
     926.0  0.0011784530  0.0011778570  0.0001930494  0.0002313321
     927.0  0.0011926451  0.0011920400  0.0001965149  0.0002341176
     928.0  0.0012067350  0.0012061200  0.0001999470  0.0002368837
     929.0  0.0012193790  0.0012187560  0.0002030057  0.0002393658
     930.0  0.0012298330  0.0012292030  0.0002054971  0.0002414181
     931.0  0.0012378710  0.0012372350  0.0002073540  0.0002429955
     932.0  0.0012435450  0.0012429050  0.0002085863  0.0002441094
     933.0  0.0012472559  0.0012466130  0.0002092786  0.0002448382
     934.0  0.0012492680  0.0012486220  0.0002094966  0.0002452328
     935.0  0.0012499420  0.0012492950  0.0002093219  0.0002453655
     936.0  0.0012495380  0.0012488900  0.0002088236  0.0002452861
     937.0  0.0012481461  0.0012474980  0.0002080321  0.0002450129
     938.0  0.0012460910  0.0012454450  0.0002070398  0.0002446094
     939.0  0.0012431720  0.0012425260  0.0002058234  0.0002440361
     940.0  0.0012396920  0.0012390480  0.0002044736  0.0002433533
     941.0  0.0012351120  0.0012344690  0.0002028909  0.0002424541
     942.0  0.0012296250  0.0012289850  0.0002011342  0.0002413772
     943.0  0.0012226671  0.0012220300  0.0001990918  0.0002400111
     944.0  0.0012148470  0.0012142140  0.0001969072  0.0002384760
     945.0  0.0012064660  0.0012058370  0.0001946667  0.0002368311
     946.0  0.0011990260  0.0011984000  0.0001927041  0.0002353705
     947.0  0.0011937229  0.0011931000  0.0001912974  0.0002343297
     948.0  0.0011916891  0.0011910660  0.0001906715  0.0002339300
     949.0  0.0011935100  0.0011928860  0.0001909393  0.0002342876
     950.0  0.0011984210  0.0011977931  0.0001918875  0.0002352517
     951.0  0.0012060240  0.0012053900  0.0001934227  0.0002367441
     952.0  0.0012147760  0.0012141360  0.0001952128  0.0002384624
     953.0  0.0012248340  0.0012241880  0.0001973572  0.0002404366
     954.0  0.0012355880  0.0012349340  0.0001997883  0.0002425476
     955.0  0.0012478339  0.0012471720  0.0002027479  0.0002449515
     956.0  0.0012611980  0.0012605269  0.0002061724  0.0002475749
     957.0  0.0012755730  0.0012748920  0.0002099944  0.0002503965
     958.0  0.0012899170  0.0012892260  0.0002138975  0.0002532126
     959.0  0.0013030570  0.0013023569  0.0002174959  0.0002557920
     960.0  0.0013140020  0.0013132950  0.0002204576  0.0002579407
