The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  351.06        253.88        115.22         66.23
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP   
     820.0  0.0000672801  0.0000671011  0.0000029339  0.0000127088
     821.0  0.0000681397  0.0000679581  0.0000029835  0.0000128712
     822.0  0.0000678159  0.0000676349  0.0000029715  0.0000128100
     823.0  0.0000665838  0.0000664057  0.0000029124  0.0000125773
     824.0  0.0000649546  0.0000647806  0.0000028340  0.0000122696
     825.0  0.0000635303  0.0000633596  0.0000027687  0.0000120005
     826.0  0.0000628964  0.0000627270  0.0000027481  0.0000118808
     827.0  0.0000634513  0.0000632801  0.0000027935  0.0000119856
     828.0  0.0000652891  0.0000651127  0.0000029095  0.0000123327
     829.0  0.0000681642  0.0000679800  0.0000030820  0.0000128758
     830.0  0.0000715722  0.0000713787  0.0000032828  0.0000135195
     831.0  0.0000748894  0.0000746868  0.0000034774  0.0000141462
     832.0  0.0000775658  0.0000773558  0.0000036350  0.0000146517
     833.0  0.0000792353  0.0000790206  0.0000037349  0.0000149671
     834.0  0.0000797706  0.0000795541  0.0000037704  0.0000150682
     835.0  0.0000792726  0.0000790571  0.0000037469  0.0000149741
     836.0  0.0000780143  0.0000778018  0.0000036806  0.0000147364
     837.0  0.0000764035  0.0000761949  0.0000035948  0.0000144322
     838.0  0.0000749325  0.0000747275  0.0000035179  0.0000141543
     839.0  0.0000740880  0.0000738849  0.0000034783  0.0000139948
     840.0  0.0000742425  0.0000740385  0.0000034971  0.0000140239
     841.0  0.0000755078  0.0000753001  0.0000035808  0.0000142630
     842.0  0.0000776451  0.0000774312  0.0000037149  0.0000146667
     843.0  0.0000800900  0.0000798692  0.0000038662  0.0000151285
     844.0  0.0000820704  0.0000818439  0.0000039888  0.0000155026
     845.0  0.0000828311  0.0000826023  0.0000040385  0.0000156463
     846.0  0.0000818438  0.0000816174  0.0000039847  0.0000154598
     847.0  0.0000789575  0.0000787386  0.0000038194  0.0000149146
     848.0  0.0000744581  0.0000742511  0.0000035615  0.0000140647
     849.0  0.0000690302  0.0000688376  0.0000032524  0.0000130394
     850.0  0.0000636238  0.0000634456  0.0000029490  0.0000120182
     851.0  0.0000592993  0.0000591324  0.0000027128  0.0000112013
     852.0  0.0000569930  0.0000568320  0.0000025972  0.0000107656
     853.0  0.0000573186  0.0000571563  0.0000026363  0.0000108271
     854.0  0.0000604261  0.0000602549  0.0000028376  0.0000114141
     855.0  0.0000659259  0.0000657392  0.0000031786  0.0000124530
     856.0  0.0000730353  0.0000728286  0.0000036145  0.0000137959
     857.0  0.0000807350  0.0000805069  0.0000040876  0.0000152504
     858.0  0.0000880437  0.0000877951  0.0000045410  0.0000166309
     859.0  0.0000942060  0.0000939400  0.0000049298  0.0000177949
     860.0  0.0000987711  0.0000984923  0.0000052260  0.0000186573
     861.0  0.0001016737  0.0001013864  0.0000054231  0.0000192055
     862.0  0.0001031142  0.0001028225  0.0000055315  0.0000194776
     863.0  0.0001035626  0.0001032693  0.0000055779  0.0000195624
     864.0  0.0001035375  0.0001032437  0.0000055939  0.0000195576
     865.0  0.0001035379  0.0001032436  0.0000056097  0.0000195577
     866.0  0.0001038403  0.0001035447  0.0000056431  0.0000196148
     867.0  0.0001045352  0.0001042372  0.0000056997  0.0000197461
     868.0  0.0001055488  0.0001052474  0.0000057757  0.0000199375
     869.0  0.0001067995  0.0001064941  0.0000058672  0.0000201738
     870.0  0.0001082701  0.0001079600  0.0000059739  0.0000204516
     871.0  0.0001099722  0.0001096569  0.0000060974  0.0000207731
     872.0  0.0001118634  0.0001115422  0.0000062343  0.0000211303
     873.0  0.0001137452  0.0001134182  0.0000063703  0.0000214857
     874.0  0.0001152795  0.0001149476  0.0000064812  0.0000217756
     875.0  0.0001161242  0.0001157894  0.0000065428  0.0000219351
     876.0  0.0001160746  0.0001157394  0.0000065409  0.0000219257
     877.0  0.0001151595  0.0001148263  0.0000064780  0.0000217529
     878.0  0.0001136276  0.0001132982  0.0000063717  0.0000214635
     879.0  0.0001117862  0.0001114613  0.0000062441  0.0000211157
     880.0  0.0001099276  0.0001096076  0.0000061161  0.0000207647
     881.0  0.0001082035  0.0001078877  0.0000059986  0.0000204390
     882.0  0.0001066742  0.0001063622  0.0000058961  0.0000201501
     883.0  0.0001053738  0.0001050650  0.0000058111  0.0000199044
     884.0  0.0001043714  0.0001040649  0.0000057486  0.0000197151
     885.0  0.0001038655  0.0001035599  0.0000057233  0.0000196196
     886.0  0.0001041609  0.0001038538  0.0000057579  0.0000196753
     887.0  0.0001056169  0.0001053050  0.0000058800  0.0000199504
     888.0  0.0001085622  0.0001082412  0.0000061146  0.0000205067
     889.0  0.0001130978  0.0001127631  0.0000064712  0.0000213635
     890.0  0.0001190768  0.0001187241  0.0000069390  0.0000224928
     891.0  0.0001260154  0.0001256420  0.0000074827  0.0000238035
     892.0  0.0001332653  0.0001328702  0.0000080523  0.0000251730
     893.0  0.0001401565  0.0001397408  0.0000085969  0.0000264747
     894.0  0.0001461855  0.0001457515  0.0000090771  0.0000276135
     895.0  0.0001511480  0.0001506990  0.0000094774  0.0000285509
     896.0  0.0001550744  0.0001546132  0.0000098001  0.0000292926
     897.0  0.0001581711  0.0001577000  0.0000100609  0.0000298775
     898.0  0.0001605936  0.0001601147  0.0000102710  0.0000303351
     899.0  0.0001623539  0.0001618690  0.0000104288  0.0000306676
     900.0  0.0001632769  0.0001627886  0.0000105181  0.0000308420
     901.0  0.0001630157  0.0001625274  0.0000105091  0.0000307926
     902.0  0.0001613025  0.0001608184  0.0000103790  0.0000304690
     903.0  0.0001579637  0.0001574887  0.0000101152  0.0000298383
     904.0  0.0001532486  0.0001527869  0.0000097386  0.0000289477
     905.0  0.0001476964  0.0001472504  0.0000092954  0.0000278989
     906.0  0.0001422471  0.0001418163  0.0000088624  0.0000268695
     907.0  0.0001379344  0.0001375157  0.0000085243  0.0000260549
     908.0  0.0001356993  0.0001352864  0.0000083571  0.0000256327
     909.0  0.0001360968  0.0001356818  0.0000084052  0.0000257078
     910.0  0.0001391247  0.0001386998  0.0000086685  0.0000262798
     911.0  0.0001442564  0.0001438153  0.0000091047  0.0000272491
     912.0  0.0001505546  0.0001500938  0.0000096386  0.0000284388
     913.0  0.0001569881  0.0001565073  0.0000101865  0.0000296541
     914.0  0.0001625689  0.0001620705  0.0000106677  0.0000307082
     915.0  0.0001666237  0.0001661124  0.0000110248  0.0000314741
     916.0  0.0001687051  0.0001681868  0.0000112199  0.0000318674
     917.0  0.0001687723  0.0001682530  0.0000112463  0.0000318800
     918.0  0.0001670402  0.0001665254  0.0000111212  0.0000315528
     919.0  0.0001641065  0.0001635998  0.0000108928  0.0000309986
     920.0  0.0001607897  0.0001602922  0.0000106307  0.0000303721
     921.0  0.0001580819  0.0001575918  0.0000104182  0.0000298607
     922.0  0.0001568640  0.0001563767  0.0000103318  0.0000296306
     923.0  0.0001577836  0.0001572926  0.0000104271  0.0000298044
     924.0  0.0001610152  0.0001605134  0.0000107212  0.0000304148
     925.0  0.0001663326  0.0001658136  0.0000111966  0.0000314192
     926.0  0.0001731485  0.0001726076  0.0000118046  0.0000327066
     927.0  0.0001807306  0.0001801653  0.0000124842  0.0000341389
     928.0  0.0001883968  0.0001878071  0.0000131765  0.0000355870
     929.0  0.0001955983  0.0001949853  0.0000138347  0.0000369473
     930.0  0.0002020038  0.0002013700  0.0000144282  0.0000381572
     931.0  0.0002074314  0.0002067800  0.0000149396  0.0000391824
     932.0  0.0002118100  0.0002111439  0.0000153598  0.0000400095
     933.0  0.0002151178  0.0002144404  0.0000156836  0.0000406343
     934.0  0.0002173697  0.0002166842  0.0000159101  0.0000410597
     935.0  0.0002186004  0.0002179101  0.0000160400  0.0000412922
     936.0  0.0002188758  0.0002181836  0.0000160785  0.0000413443
     937.0  0.0002183334  0.0002176419  0.0000160377  0.0000412418
     938.0  0.0002170703  0.0002163817  0.0000159272  0.0000410032
     939.0  0.0002152987  0.0002146144  0.0000157671  0.0000406685
