The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  643.36        568.55        427.55        431.82
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP   
     820.0  0.0008770283  0.0008770279  0.0005544184  0.0005887923
     821.0  0.0008819693  0.0008819688  0.0005588300  0.0005921093
     822.0  0.0008850436  0.0008850432  0.0005611277  0.0005941728
     823.0  0.0008862963  0.0008862958  0.0005615187  0.0005950141
     824.0  0.0008866185  0.0008866180  0.0005609011  0.0005952311
     825.0  0.0008869351  0.0008869346  0.0005602819  0.0005954430
     826.0  0.0008878807  0.0008878802  0.0005605076  0.0005960790
     827.0  0.0008905577  0.0008905571  0.0005626140  0.0005978748
     828.0  0.0008948153  0.0008948148  0.0005666503  0.0006007332
     829.0  0.0009008581  0.0009008576  0.0005726474  0.0006047902
     830.0  0.0009078722  0.0009078716  0.0005797700  0.0006094986
     831.0  0.0009149878  0.0009149872  0.0005870357  0.0006142760
     832.0  0.0009216213  0.0009216208  0.0005936407  0.0006187308
     833.0  0.0009266624  0.0009266619  0.0005985447  0.0006221141
     834.0  0.0009303227  0.0009303222  0.0006017214  0.0006245726
     835.0  0.0009320401  0.0009320395  0.0006027920  0.0006257250
     836.0  0.0009325232  0.0009325226  0.0006023707  0.0006260489
     837.0  0.0009321181  0.0009321175  0.0006009298  0.0006257771
     838.0  0.0009314847  0.0009314841  0.0005992581  0.0006253509
     839.0  0.0009316705  0.0009316700  0.0005983781  0.0006254762
     840.0  0.0009327373  0.0009327367  0.0005986217  0.0006261928
     841.0  0.0009354317  0.0009354311  0.0006005805  0.0006280017
     842.0  0.0009388872  0.0009388866  0.0006035737  0.0006303214
     843.0  0.0009427098  0.0009427092  0.0006070256  0.0006328873
     844.0  0.0009457030  0.0009457024  0.0006096928  0.0006348972
     845.0  0.0009467417  0.0009467411  0.0006104053  0.0006355942
     846.0  0.0009454463  0.0009454457  0.0006085822  0.0006347244
     847.0  0.0009411408  0.0009411402  0.0006036875  0.0006318346
     848.0  0.0009347646  0.0009347640  0.0005964831  0.0006275534
     849.0  0.0009269619  0.0009269613  0.0005877836  0.0006223152
     850.0  0.0009194627  0.0009194621  0.0005792986  0.0006172801
     851.0  0.0009140346  0.0009140340  0.0005728254  0.0006136369
     852.0  0.0009119380  0.0009119374  0.0005697882  0.0006122286
     853.0  0.0009145706  0.0009145700  0.0005714768  0.0006139964
     854.0  0.0009215329  0.0009215323  0.0005777086  0.0006186700
     855.0  0.0009323983  0.0009323977  0.0005879302  0.0006259645
     856.0  0.0009454287  0.0009454280  0.0006004561  0.0006347122
     857.0  0.0009588095  0.0009588088  0.0006134346  0.0006436955
     858.0  0.0009712358  0.0009712352  0.0006253739  0.0006520384
     859.0  0.0009811696  0.0009811689  0.0006348367  0.0006587066
     860.0  0.0009887323  0.0009887316  0.0006416784  0.0006637848
     861.0  0.0009935488  0.0009935481  0.0006456990  0.0006670183
     862.0  0.0009964691  0.0009964684  0.0006476443  0.0006689801
     863.0  0.0009980985  0.0009980978  0.0006482317  0.0006700715
     864.0  0.0009988961  0.0009988954  0.0006480572  0.0006706081
     865.0  0.0009998116  0.0009998109  0.0006480006  0.0006712227
     866.0  0.0010004890  0.0010004879  0.0006479391  0.0006716768
     867.0  0.0010016590  0.0010016580  0.0006483740  0.0006724639
     868.0  0.0010027570  0.0010027559  0.0006488893  0.0006731987
     869.0  0.0010042130  0.0010042120  0.0006497502  0.0006741768
     870.0  0.0010061070  0.0010061060  0.0006510325  0.0006754492
     871.0  0.0010084470  0.0010084460  0.0006527900  0.0006770203
     872.0  0.0010117240  0.0010117230  0.0006553594  0.0006792200
     873.0  0.0010152130  0.0010152120  0.0006581766  0.0006815631
     874.0  0.0010190750  0.0010190740  0.0006611922  0.0006841546
     875.0  0.0010224460  0.0010224450  0.0006636463  0.0006864174
     876.0  0.0010251740  0.0010251740  0.0006653339  0.0006882506
     877.0  0.0010272830  0.0010272830  0.0006662534  0.0006896663
     878.0  0.0010285500  0.0010285490  0.0006663637  0.0006905171
     879.0  0.0010296770  0.0010296759  0.0006662465  0.0006912733
     880.0  0.0010303080  0.0010303070  0.0006657673  0.0006916964
     881.0  0.0010308611  0.0010308611  0.0006652302  0.0006920694
     882.0  0.0010311450  0.0010311441  0.0006644944  0.0006922600
     883.0  0.0010310831  0.0010310831  0.0006635117  0.0006922170
     884.0  0.0010312010  0.0010312001  0.0006626710  0.0006922965
     885.0  0.0010314080  0.0010314080  0.0006620694  0.0006924362
     886.0  0.0010327100  0.0010327090  0.0006625333  0.0006933091
     887.0  0.0010351990  0.0010351990  0.0006643469  0.0006949805
     888.0  0.0010392680  0.0010392680  0.0006678537  0.0006977120
     889.0  0.0010449500  0.0010449500  0.0006730780  0.0007015264
     890.0  0.0010514660  0.0010514650  0.0006793428  0.0007059020
     891.0  0.0010587260  0.0010587251  0.0006863347  0.0007107765
     892.0  0.0010655610  0.0010655600  0.0006930197  0.0007153639
     893.0  0.0010719290  0.0010719290  0.0006991215  0.0007196379
     894.0  0.0010773770  0.0010773760  0.0007042334  0.0007232965
     895.0  0.0010817969  0.0010817960  0.0007082234  0.0007262630
     896.0  0.0010856820  0.0010856810  0.0007114843  0.0007288717
     897.0  0.0010886200  0.0010886190  0.0007138078  0.0007308442
     898.0  0.0010914580  0.0010914570  0.0007158371  0.0007327478
     899.0  0.0010935960  0.0010935951  0.0007172039  0.0007341849
     900.0  0.0010954960  0.0010954950  0.0007182059  0.0007354608
     901.0  0.0010967840  0.0010967830  0.0007185254  0.0007363260
     902.0  0.0010972200  0.0010972189  0.0007179505  0.0007366173
     903.0  0.0010969969  0.0010969960  0.0007165403  0.0007364698
     904.0  0.0010955870  0.0010955860  0.0007139912  0.0007355218
     905.0  0.0010938240  0.0010938230  0.0007109449  0.0007343383
     906.0  0.0010916820  0.0010916820  0.0007076374  0.0007329002
     907.0  0.0010902170  0.0010902160  0.0007050389  0.0007319165
     908.0  0.0010900690  0.0010900680  0.0007038658  0.0007318176
     909.0  0.0010915680  0.0010915680  0.0007045182  0.0007328239
     910.0  0.0010952069  0.0010952060  0.0007073307  0.0007352656
     911.0  0.0011001090  0.0011001080  0.0007115713  0.0007385579
     912.0  0.0011060541  0.0011060530  0.0007167803  0.0007425494
     913.0  0.0011118770  0.0011118760  0.0007218656  0.0007464569
     914.0  0.0011169440  0.0011169440  0.0007261052  0.0007498594
     915.0  0.0011209620  0.0011209610  0.0007291120  0.0007525585
     916.0  0.0011232900  0.0011232890  0.0007303678  0.0007541196
     917.0  0.0011245020  0.0011245010  0.0007302528  0.0007549342
     918.0  0.0011242180  0.0011242169  0.0007286063  0.0007547421
     919.0  0.0011231960  0.0011231950  0.0007260793  0.0007540567
     920.0  0.0011217101  0.0011217090  0.0007230808  0.0007530589
     921.0  0.0011201820  0.0011201811  0.0007201460  0.0007520335
     922.0  0.0011195330  0.0011195320  0.0007181318  0.0007515975
     923.0  0.0011195840  0.0011195830  0.0007171138  0.0007516313
     924.0  0.0011211830  0.0011211820  0.0007177080  0.0007527049
     925.0  0.0011236250  0.0011236240  0.0007193918  0.0007543452
     926.0  0.0011269820  0.0011269810  0.0007220196  0.0007565990
     927.0  0.0011305920  0.0011305910  0.0007249137  0.0007590232
