The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                   92.33          0.00        628.98         12.56
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP   
     820.0  0.0000000000  0.0000000000  0.0000099197  0.0000000000
     821.0  0.0000000000  0.0000000000  0.0000099662  0.0000000000
     822.0  0.0000000000  0.0000000000  0.0000099479  0.0000000000
     823.0  0.0000000000  0.0000000000  0.0000098816  0.0000000000
     824.0  0.0000000000  0.0000000000  0.0000097925  0.0000000000
     825.0  0.0000000000  0.0000000000  0.0000097152  0.0000000000
     826.0  0.0000000000  0.0000000000  0.0000096766  0.0000000000
     827.0  0.0000000000  0.0000000000  0.0000097010  0.0000000000
     828.0  0.0000000000  0.0000000000  0.0000097910  0.0000000000
     829.0  0.0000000000  0.0000000000  0.0000099373  0.0000000000
     830.0  0.0000000000  0.0000000000  0.0000101144  0.0000000000
     831.0  0.0000000000  0.0000000000  0.0000102912  0.0000000000
     832.0  0.0000000000  0.0000000000  0.0000104407  0.0000000000
     833.0  0.0000000000  0.0000000000  0.0000105407  0.0000000000
     834.0  0.0000000000  0.0000000000  0.0000105847  0.0000000000
     835.0  0.0000000000  0.0000000000  0.0000105714  0.0000000000
     836.0  0.0000000000  0.0000000000  0.0000105147  0.0000000000
     837.0  0.0000000000  0.0000000000  0.0000104311  0.0000000000
     838.0  0.0000000000  0.0000000000  0.0000103475  0.0000000000
     839.0  0.0000000000  0.0000000000  0.0000102885  0.0000000000
     840.0  0.0000000000  0.0000000000  0.0000102752  0.0000000000
     841.0  0.0000000000  0.0000000000  0.0000103151  0.0000000000
     842.0  0.0000000000  0.0000000000  0.0000103977  0.0000000000
     843.0  0.0000000000  0.0000000000  0.0000104973  0.0000000000
     844.0  0.0000000000  0.0000000000  0.0000105769  0.0000000000
     845.0  0.0000000000  0.0000000000  0.0000105998  0.0000000000
     846.0  0.0000000000  0.0000000000  0.0000105416  0.0000000000
     847.0  0.0000000000  0.0000000000  0.0000103907  0.0000000000
     848.0  0.0000000000  0.0000000000  0.0000101635  0.0000000000
     849.0  0.0000000000  0.0000000000  0.0000098879  0.0000000000
     850.0  0.0000000000  0.0000000000  0.0000096149  0.0000000000
     851.0  0.0000000000  0.0000000000  0.0000093961  0.0000000000
     852.0  0.0000000000  0.0000000000  0.0000092802  0.0000000000
     853.0  0.0000000000  0.0000000000  0.0000093020  0.0000000000
     854.0  0.0000000000  0.0000000000  0.0000094627  0.0000000000
     855.0  0.0000000000  0.0000000000  0.0000097460  0.0000000000
     856.0  0.0000000000  0.0000000000  0.0000101012  0.0000000000
     857.0  0.0000000000  0.0000000000  0.0000104789  0.0000000000
     858.0  0.0000000000  0.0000000000  0.0000108244  0.0000000000
     859.0  0.0000000000  0.0000000000  0.0000111044  0.0000000000
     860.0  0.0000000000  0.0000000000  0.0000112997  0.0000000000
     861.0  0.0000000000  0.0000000000  0.0000114138  0.0000000000
     862.0  0.0000000000  0.0000000000  0.0000114590  0.0000000000
     863.0  0.0000000000  0.0000000000  0.0000114615  0.0000000000
     864.0  0.0000000000  0.0000000000  0.0000114415  0.0000000000
     865.0  0.0000000000  0.0000000000  0.0000114222  0.0000000000
     866.0  0.0000000000  0.0000000000  0.0000114111  0.0000000000
     867.0  0.0000000000  0.0000000000  0.0000114138  0.0000000000
     868.0  0.0000000000  0.0000000000  0.0000114268  0.0000000000
     869.0  0.0000000000  0.0000000000  0.0000114498  0.0000000000
     870.0  0.0000000000  0.0000000000  0.0000114851  0.0000000000
     871.0  0.0000000000  0.0000000000  0.0000115351  0.0000000000
     872.0  0.0000000000  0.0000000000  0.0000116015  0.0000000000
     873.0  0.0000000000  0.0000000000  0.0000116750  0.0000000000
     874.0  0.0000000000  0.0000000000  0.0000117447  0.0000000000
     875.0  0.0000000000  0.0000000000  0.0000117936  0.0000000000
     876.0  0.0000000000  0.0000000000  0.0000118147  0.0000000000
     877.0  0.0000000000  0.0000000000  0.0000118057  0.0000000000
     878.0  0.0000000000  0.0000000000  0.0000117771  0.0000000000
     879.0  0.0000000000  0.0000000000  0.0000117358  0.0000000000
     880.0  0.0000000000  0.0000000000  0.0000116949  0.0000000000
     881.0  0.0000000000  0.0000000000  0.0000116520  0.0000000000
     882.0  0.0000000000  0.0000000000  0.0000116133  0.0000000000
     883.0  0.0000000000  0.0000000000  0.0000115725  0.0000000000
     884.0  0.0000000000  0.0000000000  0.0000115392  0.0000000000
     885.0  0.0000000000  0.0000000000  0.0000115191  0.0000000000
     886.0  0.0000000000  0.0000000000  0.0000115291  0.0000000000
     887.0  0.0000000000  0.0000000000  0.0000115833  0.0000000000
     888.0  0.0000000000  0.0000000000  0.0000116901  0.0000000000
     889.0  0.0000000000  0.0000000000  0.0000118523  0.0000000000
     890.0  0.0000000000  0.0000000000  0.0000120554  0.0000000000
     891.0  0.0000000000  0.0000000000  0.0000122842  0.0000000000
     892.0  0.0000000000  0.0000000000  0.0000125132  0.0000000000
     893.0  0.0000000000  0.0000000000  0.0000127267  0.0000000000
     894.0  0.0000000000  0.0000000000  0.0000129110  0.0000000000
     895.0  0.0000000000  0.0000000000  0.0000130661  0.0000000000
     896.0  0.0000000000  0.0000000000  0.0000131961  0.0000000000
     897.0  0.0000000000  0.0000000000  0.0000133119  0.0000000000
     898.0  0.0000000000  0.0000000000  0.0000134221  0.0000000000
     899.0  0.0000000000  0.0000000000  0.0000135331  0.0000000000
     900.0  0.0000000000  0.0000000000  0.0000136440  0.0000000000
     901.0  0.0000000000  0.0000000000  0.0000137502  0.0000000000
     902.0  0.0000000000  0.0000000000  0.0000138417  0.0000000000
     903.0  0.0000000000  0.0000000000  0.0000139140  0.0000000000
     904.0  0.0000000000  0.0000000000  0.0000139633  0.0000000000
     905.0  0.0000000000  0.0000000000  0.0000140026  0.0000000000
