The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                   94.18          0.00        636.02         12.81
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP   
     820.0  0.0000000000  0.0000000000  0.0000094585  0.0000000000
     821.0  0.0000000000  0.0000000000  0.0000095022  0.0000000000
     822.0  0.0000000000  0.0000000000  0.0000094826  0.0000000000
     823.0  0.0000000000  0.0000000000  0.0000094162  0.0000000000
     824.0  0.0000000000  0.0000000000  0.0000093277  0.0000000000
     825.0  0.0000000000  0.0000000000  0.0000092506  0.0000000000
     826.0  0.0000000000  0.0000000000  0.0000092113  0.0000000000
     827.0  0.0000000000  0.0000000000  0.0000092336  0.0000000000
     828.0  0.0000000000  0.0000000000  0.0000093198  0.0000000000
     829.0  0.0000000000  0.0000000000  0.0000094610  0.0000000000
     830.0  0.0000000000  0.0000000000  0.0000096322  0.0000000000
     831.0  0.0000000000  0.0000000000  0.0000098030  0.0000000000
     832.0  0.0000000000  0.0000000000  0.0000099473  0.0000000000
     833.0  0.0000000000  0.0000000000  0.0000100432  0.0000000000
     834.0  0.0000000000  0.0000000000  0.0000100846  0.0000000000
     835.0  0.0000000000  0.0000000000  0.0000100700  0.0000000000
     836.0  0.0000000000  0.0000000000  0.0000100131  0.0000000000
     837.0  0.0000000000  0.0000000000  0.0000099301  0.0000000000
     838.0  0.0000000000  0.0000000000  0.0000098471  0.0000000000
     839.0  0.0000000000  0.0000000000  0.0000097881  0.0000000000
     840.0  0.0000000000  0.0000000000  0.0000097737  0.0000000000
     841.0  0.0000000000  0.0000000000  0.0000098113  0.0000000000
     842.0  0.0000000000  0.0000000000  0.0000098906  0.0000000000
     843.0  0.0000000000  0.0000000000  0.0000099864  0.0000000000
     844.0  0.0000000000  0.0000000000  0.0000100628  0.0000000000
     845.0  0.0000000000  0.0000000000  0.0000100840  0.0000000000
     846.0  0.0000000000  0.0000000000  0.0000100260  0.0000000000
     847.0  0.0000000000  0.0000000000  0.0000098776  0.0000000000
     848.0  0.0000000000  0.0000000000  0.0000096549  0.0000000000
     849.0  0.0000000000  0.0000000000  0.0000093848  0.0000000000
     850.0  0.0000000000  0.0000000000  0.0000091173  0.0000000000
     851.0  0.0000000000  0.0000000000  0.0000089025  0.0000000000
     852.0  0.0000000000  0.0000000000  0.0000087880  0.0000000000
     853.0  0.0000000000  0.0000000000  0.0000088075  0.0000000000
     854.0  0.0000000000  0.0000000000  0.0000089625  0.0000000000
     855.0  0.0000000000  0.0000000000  0.0000092371  0.0000000000
     856.0  0.0000000000  0.0000000000  0.0000095817  0.0000000000
     857.0  0.0000000000  0.0000000000  0.0000099484  0.0000000000
     858.0  0.0000000000  0.0000000000  0.0000102837  0.0000000000
     859.0  0.0000000000  0.0000000000  0.0000105552  0.0000000000
     860.0  0.0000000000  0.0000000000  0.0000107443  0.0000000000
     861.0  0.0000000000  0.0000000000  0.0000108541  0.0000000000
     862.0  0.0000000000  0.0000000000  0.0000108969  0.0000000000
     863.0  0.0000000000  0.0000000000  0.0000108979  0.0000000000
     864.0  0.0000000000  0.0000000000  0.0000108769  0.0000000000
     865.0  0.0000000000  0.0000000000  0.0000108567  0.0000000000
     866.0  0.0000000000  0.0000000000  0.0000108446  0.0000000000
     867.0  0.0000000000  0.0000000000  0.0000108460  0.0000000000
     868.0  0.0000000000  0.0000000000  0.0000108575  0.0000000000
     869.0  0.0000000000  0.0000000000  0.0000108787  0.0000000000
     870.0  0.0000000000  0.0000000000  0.0000109119  0.0000000000
     871.0  0.0000000000  0.0000000000  0.0000109594  0.0000000000
     872.0  0.0000000000  0.0000000000  0.0000110227  0.0000000000
     873.0  0.0000000000  0.0000000000  0.0000110929  0.0000000000
     874.0  0.0000000000  0.0000000000  0.0000111592  0.0000000000
     875.0  0.0000000000  0.0000000000  0.0000112054  0.0000000000
     876.0  0.0000000000  0.0000000000  0.0000112244  0.0000000000
     877.0  0.0000000000  0.0000000000  0.0000112140  0.0000000000
     878.0  0.0000000000  0.0000000000  0.0000111845  0.0000000000
     879.0  0.0000000000  0.0000000000  0.0000111427  0.0000000000
     880.0  0.0000000000  0.0000000000  0.0000111014  0.0000000000
     881.0  0.0000000000  0.0000000000  0.0000110582  0.0000000000
     882.0  0.0000000000  0.0000000000  0.0000110191  0.0000000000
     883.0  0.0000000000  0.0000000000  0.0000109780  0.0000000000
     884.0  0.0000000000  0.0000000000  0.0000109443  0.0000000000
     885.0  0.0000000000  0.0000000000  0.0000109235  0.0000000000
     886.0  0.0000000000  0.0000000000  0.0000109318  0.0000000000
     887.0  0.0000000000  0.0000000000  0.0000109833  0.0000000000
     888.0  0.0000000000  0.0000000000  0.0000110859  0.0000000000
