The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  722.54        537.69        148.19         98.32
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP   
     820.0  0.0007544399  0.0007495094  0.0000630804  0.0001026756
     821.0  0.0007583270  0.0007533631  0.0000635140  0.0001032045
     822.0  0.0007568773  0.0007519176  0.0000632942  0.0001030073
     823.0  0.0007514925  0.0007465631  0.0000625936  0.0001022744
     824.0  0.0007442426  0.0007393564  0.0000616750  0.0001012877
     825.0  0.0007379791  0.0007331282  0.0000608934  0.0001004353
     826.0  0.0007349025  0.0007300651  0.0000605323  0.0001000166
     827.0  0.0007370049  0.0007321455  0.0000608349  0.0001003029
     828.0  0.0007444937  0.0007395740  0.0000618260  0.0001013218
     829.0  0.0007565968  0.0007515844  0.0000633953  0.0001029691
     830.0  0.0007712041  0.0007660826  0.0000652720  0.0001049571
     831.0  0.0007857502  0.0007805193  0.0000671232  0.0001069368
     832.0  0.0007980511  0.0007927273  0.0000686733  0.0001086109
     833.0  0.0008062603  0.0008008723  0.0000696926  0.0001097280
     834.0  0.0008098941  0.0008044734  0.0000701262  0.0001102226
     835.0  0.0008088439  0.0008034228  0.0000699706  0.0001100795
     836.0  0.0008042951  0.0007988988  0.0000693764  0.0001094606
     837.0  0.0007976249  0.0007922689  0.0000685224  0.0001085528
     838.0  0.0007910840  0.0007857652  0.0000676821  0.0001076626
     839.0  0.0007867002  0.0007814047  0.0000671141  0.0001070660
     840.0  0.0007861944  0.0007808947  0.0000670307  0.0001069972
     841.0  0.0007901500  0.0007848135  0.0000675146  0.0001075354
     842.0  0.0007976055  0.0007922082  0.0000684527  0.0001085502
     843.0  0.0008063732  0.0008009057  0.0000695748  0.0001097434
     844.0  0.0008133193  0.0008077949  0.0000704915  0.0001106888
     845.0  0.0008153631  0.0008098162  0.0000708116  0.0001109671
     846.0  0.0008104647  0.0008049447  0.0000702751  0.0001103002
     847.0  0.0007976750  0.0007922392  0.0000687651  0.0001085596
     848.0  0.0007783877  0.0007730816  0.0000664493  0.0001059347
     849.0  0.0007549757  0.0007498281  0.0000636321  0.0001027484
     850.0  0.0007317538  0.0007267647  0.0000608343  0.0000995881
     851.0  0.0007131217  0.0007082575  0.0000585999  0.0000970523
     852.0  0.0007032394  0.0006984382  0.0000574227  0.0000957074
