The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  474.67          0.06        357.04         77.84
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP   
     820.0  0.0000046394  0.0000003376  0.0000026027  0.0000007610
     821.0  0.0000047199  0.0000003431  0.0000026277  0.0000007742
     822.0  0.0000047556  0.0000003454  0.0000026156  0.0000007800
     823.0  0.0000047589  0.0000003453  0.0000025763  0.0000007806
     824.0  0.0000047460  0.0000003440  0.0000025232  0.0000007785
     825.0  0.0000047421  0.0000003433  0.0000024760  0.0000007778
     826.0  0.0000047673  0.0000003447  0.0000024510  0.0000007819
     827.0  0.0000048388  0.0000003495  0.0000024611  0.0000007937
     828.0  0.0000049608  0.0000003578  0.0000025095  0.0000008137
     829.0  0.0000051241  0.0000003692  0.0000025888  0.0000008405
     830.0  0.0000053118  0.0000003823  0.0000026856  0.0000008713
     831.0  0.0000054976  0.0000003953  0.0000027798  0.0000009017
     832.0  0.0000056627  0.0000004067  0.0000028571  0.0000009288
     833.0  0.0000057890  0.0000004154  0.0000029044  0.0000009495
     834.0  0.0000058729  0.0000004210  0.0000029194  0.0000009633
     835.0  0.0000059142  0.0000004235  0.0000029029  0.0000009701
     836.0  0.0000059251  0.0000004238  0.0000028639  0.0000009719
     837.0  0.0000059203  0.0000004230  0.0000028131  0.0000009711
     838.0  0.0000059218  0.0000004226  0.0000027653  0.0000009713
     839.0  0.0000059504  0.0000004242  0.0000027344  0.0000009760
     840.0  0.0000060227  0.0000004288  0.0000027313  0.0000009879
     841.0  0.0000061433  0.0000004368  0.0000027597  0.0000010076
     842.0  0.0000063007  0.0000004475  0.0000028128  0.0000010335
     843.0  0.0000064708  0.0000004591  0.0000028752  0.0000010614
     844.0  0.0000066175  0.0000004690  0.0000029249  0.0000010854
     845.0  0.0000067087  0.0000004750  0.0000029413  0.0000011004
     846.0  0.0000067184  0.0000004752  0.0000029088  0.0000011020
     847.0  0.0000066392  0.0000004692  0.0000028233  0.0000010890
     848.0  0.0000064827  0.0000004576  0.0000026922  0.0000010633
     849.0  0.0000062777  0.0000004427  0.0000025337  0.0000010297
     850.0  0.0000060735  0.0000004278  0.0000023756  0.0000009962
     851.0  0.0000059193  0.0000004163  0.0000022461  0.0000009709
     852.0  0.0000058707  0.0000004123  0.0000021742  0.0000009629
     853.0  0.0000059576  0.0000004178  0.0000021759  0.0000009772
     854.0  0.0000061933  0.0000004337  0.0000022570  0.0000010159
     855.0  0.0000065566  0.0000004585  0.0000024056  0.0000010754
     856.0  0.0000070040  0.0000004892  0.0000025987  0.0000011488
     857.0  0.0000074820  0.0000005220  0.0000028075  0.0000012272
     858.0  0.0000079352  0.0000005530  0.0000030027  0.0000013016
     859.0  0.0000083263  0.0000005797  0.0000031641  0.0000013657
     860.0  0.0000086329  0.0000006004  0.0000032795  0.0000014160
     861.0  0.0000088541  0.0000006151  0.0000033477  0.0000014523
     862.0  0.0000090045  0.0000006249  0.0000033762  0.0000014770
     863.0  0.0000091079  0.0000006314  0.0000033775  0.0000014939
     864.0  0.0000091931  0.0000006365  0.0000033671  0.0000015079
     865.0  0.0000092828  0.0000006419  0.0000033573  0.0000015226
     866.0  0.0000093905  0.0000006486  0.0000033560  0.0000015403
     867.0  0.0000095204  0.0000006567  0.0000033654  0.0000015616
     868.0  0.0000096671  0.0000006660  0.0000033827  0.0000015856
     869.0  0.0000098296  0.0000006764  0.0000034068  0.0000016123
     870.0  0.0000100056  0.0000006877  0.0000034360  0.0000016412
     871.0  0.0000101990  0.0000007001  0.0000034718  0.0000016729
     872.0  0.0000104069  0.0000007135  0.0000035127  0.0000017070
     873.0  0.0000106203  0.0000007272  0.0000035544  0.0000017420
     874.0  0.0000108225  0.0000007402  0.0000035888  0.0000017751
     875.0  0.0000109955  0.0000007511  0.0000036072  0.0000018035
     876.0  0.0000111292  0.0000007594  0.0000036046  0.0000018255
     877.0  0.0000112247  0.0000007650  0.0000035818  0.0000018411
     878.0  0.0000112918  0.0000007686  0.0000035438  0.0000018521
     879.0  0.0000113465  0.0000007714  0.0000034992  0.0000018611
