0.25,1.38,0.000000663
0.3,1.37,0.000000268
0.35,1.36,4.68E-08
0.4,1.36,5.43E-09
0.45,1.36,3.97E-09
0.5,1.36,2.84E-09
0.55,1.35,2.98E-09
0.6,1.35,1.16E-08
0.65,1.35,1.97E-08
0.7,1.35,5.46E-08
0.75,1.35,0.000000273
0.8,1.35,0.000000356
0.9,1.35,0.0000058
1,1.35,0.0000204
1.25,1.34,0.000053
1.5,1.34,0.000247
1.75,1.33,0.000184
2,1.32,0.00109
2.5,1.28,0.00203
3,1.4,0.239
3.2,1.48,0.0811
3.39,1.43,0.0205
3.5,1.41,0.00841
3.75,1.38,0.00323
4,1.37,0.00419
4.5,1.35,0.0119
5,1.34,0.0111
5.5,1.31,0.0106
6,1.28,0.0948
6.2,1.39,0.0796
6.5,1.35,0.0349
7.2,1.33,0.0289
7.9,1.31,0.0313
8.2,1.3,0.0332
8.5,1.3,0.0353
8.7,1.31,0.0369
9,1.31,0.0384
9.2,1.3,0.0396
9.5,1.29,0.0411
9.8,1.27,0.0439
10,1.26,0.0463
10.6,1.22,0.0606
11,1.19,0.0863
11.5,1.17,0.126
12.5,1.16,0.228
13,1.18,0.269
14,1.24,0.326
14.8,1.28,0.35
15,1.29,0.356
16.4,1.37,0.384
17.2,1.43,0.39
18,1.47,0.389
18.5,1.48,0.385
20,1.52,0.362
21.3,1.53,0.352
22.5,1.54,0.346
25,1.56,0.337
27.9,1.58,0.331
30,1.58,0.324
35,1.56,0.357
40,1.55,0.463
