lambda	15deg	45deg	60deg
300	0.12	0.34	0.36
310	0.08	0.11	0.16
320	0.09	0.11	0.17
330	0.39	0.42	0.45
340	0.66	0.66	0.67
350	0.77	0.76	0.77
360	0.82	0.81	0.81
370	0.85	0.84	0.85
380	0.87	0.86	0.87
390	0.89	0.88	0.88
400	0.9	0.9	0.9
425	0.92	0.91	0.91
450	0.93	0.92	0.93
475	0.94	0.93	0.93
500	0.95	0.94	0.94
525	0.95	0.94	0.95
550	0.95	0.95	0.95
575	0.95	0.95	0.95
600	0.96	0.95	0.95
625	0.96	0.95	0.95
650	0.96	0.95	0.95
675	0.96	0.95	0.95
700	0.96	0.95	0.95
725	0.96	0.95	0.95
750	0.96	0.95	0.95
775	0.96	0.95	0.95
800	0.95	0.95	0.94
825	0.95	0.95	0.94
850	0.96	0.95	0.95
875	0.94	0.94	0.94
900	0.95	0.95	0.94
925	0.95	0.95	0.94
950	0.95	0.95	0.94
975	0.94	0.94	0.94
1000	0.95	0.95	0.94
1025	0.95	0.94	0.94
1050	0.95	0.95	0.94
1075	0.95	0.95	0.94
1100	0.95	0.94	0.94
1125	0.95	0.95	0.95
1150	0.95	0.94	0.94
1200	0.95	0.94	0.94
1250	0.95	0.95	0.95
1300	0.96	0.94	0.96
1350	0.96	0.95	0.95
1400	0.95	0.96	0.95
1450	0.95	0.93	0.95
1500	0.95	0.95	0.95
1550	0.96	0.95	0.96
1600	0.96	0.96	0.95
1650	0.95	0.95	0.95
1700	0.95	0.95	0.95
1750	0.95	0.94	0.95
1800	0.95	0.94	0.93
1850	0.95	0.94	0.93
1900	0.94	0.94	0.93
1950	0.94	0.93	0.91
2000	0.94	0.92	0.91
2050	0.93	0.92	0.91
2100	0.93	0.91	0.9
2150	0.92	0.9	0.88
2200	0.88	0.85	0.84
2250	0.86	0.84	0.83
2300	0.87	0.85	0.84
2350	0.88	0.85	0.85
2400	0.86	0.84	0.81
2450	0.84	0.8	0.8
2500	0.82	0.79	0.79
