0.25,1.48,0.0559
0.3,1.48,0.05
0.35,1.48,0.0467
0.4,1.48,0.0452
0.45,1.48,0.0437
0.5,1.48,0.043
0.55,1.48,0.0419
0.6,1.48,0.0412
0.65,1.48,0.0415
0.7,1.48,0.0409
0.75,1.48,0.0413
0.8,1.47,0.0418
0.9,1.47,0.0431
1,1.47,0.0443
1.25,1.47,0.0464
1.5,1.47,0.0486
1.75,1.46,0.049
2,1.44,0.0478
2.5,1.42,0.0526
3,1.47,0.162
3.2,1.51,0.0893
3.39,1.49,0.0637
3.5,1.49,0.0587
3.75,1.48,0.0557
4,1.47,0.0559
4.5,1.47,0.0628
5,1.46,0.0654
5.5,1.44,0.0722
6,1.42,0.114
6.2,1.46,0.111
6.5,1.46,0.0924
7.2,1.44,0.122
7.9,1.32,0.113
8.2,1.24,0.132
8.5,1.31,0.19
8.7,1.66,0.232
9,1.87,0.295
9.2,1.86,0.335
9.5,1.96,0.289
9.8,1.93,0.272
10,1.83,0.234
10.6,1.63,0.172
11,1.59,0.164
11.5,1.56,0.219
12.5,1.53,0.302
13,1.6,0.282
14,1.52,0.279
14.8,1.48,0.303
15,1.47,0.339
16.4,1.59,0.354
17.2,1.71,0.392
18,1.76,0.399
18.5,1.8,0.42
20,1.93,0.489
21.3,1.97,0.519
22.5,2.04,0.534
25,2.09,0.492
27.9,1.98,0.486
30,1.94,0.459
35,1.97,0.483
40,1.93,0.556
